;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
1993.0;2108.0;;1135.0;840.0;808.0;578.0;261.0;964.0;4650.0;1358.0;2522.0;2128.0;619.0;-733.0;303.0;188.0;40.0;;;1211.0;12.0;;;;1199.0;1211.0;61.0;151.0;176.0;53.84;39.83;-32.0;38.31;230.0;27.4;2.21;2.21;261.0;;774.0;;774.0;;7.0;183.0;3686.0;;;;;774.0;-774.0;3686.0;;341.0;454.0;;;563.0;985.0;;;180.0;1164.0;;;;61.0;2067.0;;0.0;4650.0;;4650.0;;578.0;176.0;;;32.0;;-2.0;;;-167.0;-579.0;;;;-154.0;;0.0;;;303.0;;302.0;114.0;;1.51;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;2115.0;;1173.0;869.0;860.0;653.0;261.0;958.0;4912.0;1201.0;2394.0;2518.0;675.0;-622.0;-201.0;-148.0;165.0;;;1174.0;12.0;;;;1163.0;1174.0;37.0;120.0;192.0;55.45;41.07;-9.0;40.67;207.0;30.86;2.5;2.5;261.0;;550.0;180.0;730.0;;12.0;216.0;3936.0;;;;;550.0;-532.0;3954.0;;389.0;242.0;;;570.0;965.0;;;229.0;1193.0;;;;60.0;2456.0;;2.0;4912.0;;4912.0;;653.0;192.0;;;58.0;;-1.0;;;-228.0;-510.0;;-19.0;;-93.0;-223.0;2.0;;;19.0;;148.0;296.0;;1.48;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;2317.0;;1310.0;979.0;990.0;705.0;261.0;500.0;5175.0;1114.0;1976.0;3199.0;822.0;-214.0;-726.0;-119.0;210.0;;;1239.0;13.0;;;;1225.0;1239.0;29.0;85.0;235.0;56.53;42.26;11.0;42.75;285.0;30.44;2.71;2.71;261.0;;137.0;127.0;263.0;;14.0;223.0;4658.0;;;;;137.0;-120.0;4675.0;;479.0;19.0;;;617.0;568.0;;;294.0;862.0;;;;65.0;3127.0;;7.0;5175.0;;5175.0;;705.0;235.0;;;134.0;;-0.0;;;-253.0;-612.0;;;;398.0;-731.0;4.0;;;;;43.0;162.0;;1.62;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;2270.0;;1253.0;1002.0;941.0;645.0;261.0;589.0;4877.0;1238.0;3195.0;1683.0;-1454.0;-273.0;1629.0;-98.0;-1889.0;;;1196.0;13.0;;;;1183.0;1196.0;25.0;87.0;225.0;55.18;44.14;-61.0;41.46;296.0;28.4;2.47;2.47;261.0;;92.0;0.0;93.0;;12.0;485.0;4272.0;;;;;92.0;-77.0;4288.0;;479.0;335.0;;;424.0;1673.0;;;284.0;1957.0;;;;260.0;1166.0;-2166.0;2422.0;4877.0;;4877.0;;645.0;225.0;;;105.0;;0.0;;;-2429.0;-436.0;;;;163.0;-229.0;273.0;;;1585.0;;-242.0;-145.0;;1.53;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;2388.0;;1363.0;1173.0;969.0;680.0;263.0;603.0;5485.0;1596.0;3209.0;2276.0;1138.0;-820.0;-354.0;-35.0;671.0;;;1192.0;13.0;;;;1179.0;1192.0;13.0;129.0;265.0;57.06;49.13;-204.0;40.58;289.0;28.49;2.58;2.58;263.0;;319.0;0.0;320.0;;15.0;269.0;4867.0;;;;;319.0;-305.0;4882.0;;581.0;390.0;;;625.0;1318.0;;;296.0;1614.0;;;;281.0;1692.0;-2460.0;2762.0;5485.0;;5485.0;;680.0;265.0;;;44.0;;-2.0;;;149.0;-467.0;;;;-352.0;-967.0;11.0;;;601.0;;-71.0;-36.0;;1.64;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2692.0;;1387.0;951.0;958.0;735.0;311.0;642.0;5725.0;1835.0;4170.0;1555.0;-851.0;148.0;843.0;140.0;-1338.0;;;1927.0;13.0;;;;1914.0;1927.0;45.0;162.0;267.0;51.51;35.32;7.0;35.58;223.0;27.28;2.4;2.38;306.0;;84.0;;84.0;;21.0;538.0;4536.0;;;;529.0;84.0;-66.0;5082.0;;598.0;326.0;;;912.0;2209.0;;;126.0;2335.0;;;;290.0;875.0;-2592.0;2981.0;5725.0;;5725.0;;735.0;267.0;;;-112.0;;-6.0;;;-1740.0;-487.0;;;;635.0;-350.0;10.0;;;1183.0;;-242.0;-382.0;;1.67;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;2439.0;;2510.0;929.0;2091.0;1635.0;288.0;2813.0;8205.0;2279.0;5060.0;3145.0;244.0;-1386.0;1108.0;-35.0;-268.0;;;2862.0;14.0;;;;2848.0;2862.0;45.0;208.0;212.0;102.93;38.09;1162.0;85.73;456.0;67.03;6.14;5.79;266.0;;2456.0;27.0;2482.0;;20.0;310.0;4992.0;;24.0;24.0;358.0;2456.0;-2438.0;5392.0;;497.0;951.0;;;831.0;2637.0;;;144.0;2781.0;;;;280.0;2468.0;-2681.0;3078.0;8205.0;;8205.0;;1635.0;212.0;;;-162.0;;0.0;;;-1441.0;-512.0;;-21.0;1545.0;-2398.0;-57.0;9.0;;;1156.0;;1504.0;1539.0;;1.61;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;2571.0;;2848.0;911.0;2390.0;1828.0;289.0;3924.0;13958.0;2963.0;9270.0;4631.0;239.0;-1428.0;1232.0;42.0;-214.0;;;3290.0;12.0;;;;3277.0;3290.0;151.0;220.0;238.0;110.77;35.43;1479.0;92.96;561.0;71.12;6.84;6.44;267.0;;1611.0;26.0;1637.0;;47.0;2241.0;7862.0;;1345.0;1345.0;655.0;1611.0;-1440.0;10033.0;;843.0;1065.0;;;1055.0;4786.0;;115.0;1406.0;6307.0;;;;278.0;3916.0;-4990.0;5428.0;13902.0;56.0;13958.0;;1828.0;238.0;;;-46.0;;-1.0;;;-1782.0;-453.0;;-230.0;1517.0;-2262.0;-414.0;9.0;-2.0;-315.0;1953.0;;545.0;503.0;;1.59;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;5381.0;;1782.0;1013.0;884.0;1089.0;282.0;3142.0;14136.0;3135.0;9155.0;4922.0;118.0;-375.0;-181.0;-3.0;-566.0;;;4367.0;11.0;;;;4356.0;4367.0;160.0;466.0;439.0;33.12;18.83;-129.0;16.44;-212.0;20.24;4.07;3.86;268.0;;384.0;24.0;408.0;2686.0;48.0;;632.0;;1963.0;1680.0;1134.0;384.0;7164.0;10994.0;;919.0;3135.0;;;-919.0;5318.0;;1660.0;-958.0;6020.0;;;;247.0;4283.0;-4638.0;5030.0;14077.0;59.0;14136.0;;1089.0;439.0;;;134.0;;-11.0;;;-1544.0;-685.0;;-478.0;277.0;510.0;-1323.0;10.0;;-306.0;1438.0;;-1044.0;-1042.0;;1.42;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;6275.0;;301.0;539.0;-658.0;-703.0;277.0;;;;;;790.0;-2584.0;309.0;76.0;38.0;;;5736.0;9.0;;;;5727.0;5736.0;104.0;457.0;511.0;4.8;8.59;-1197.0;-10.49;36.0;-11.21;-2.54;-2.54;277.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-703.0;511.0;;;;;20.0;;;983.0;-753.0;-1331.0;-71.0;52.0;-481.0;-4237.0;17.0;;-339.0;4868.0;;-1745.0;-1821.0;;1.43;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;14882.0;;4314.0;2748.0;1056.0;619.0;559.0;9420.0;39490.0;7989.0;37533.0;1824.0;2888.0;-1970.0;-646.0;667.0;2712.0;;;12330.0;;;;;12330.0;12330.0;;1585.0;1723.0;28.99;18.47;-1692.0;7.1;388.0;4.16;1.11;1.11;559.0;;188.0;763.0;952.0;;199.0;8269.0;26672.0;;2997.0;2997.0;-363.0;;763.0;30070.0;;7989.0;7989.0;;;-7989.0;22569.0;;;6976.0;29544.0;;;;488.0;7485.0;;-6149.0;39357.0;133.0;39490.0;;619.0;1723.0;;;-35.0;;;;;581.0;-176.0;;-261.0;;-1533.0;;6.0;-154.0;-921.0;423.0;939.0;-21972.0;-22638.0;;1.58;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;16673.0;;6189.0;3437.0;2514.0;2029.0;558.0;9235.0;43186.0;8330.0;40855.0;2239.0;2625.0;-2390.0;-1488.0;2300.0;2355.0;;;13249.0;18.0;;;;13231.0;13249.0;107.0;1617.0;2062.0;37.12;20.61;-923.0;15.08;482.0;12.17;3.56;3.56;557.0;;177.0;960.0;1137.0;7930.0;168.0;;30836.0;;2837.0;2837.0;279.0;177.0;-177.0;33952.0;;1903.0;8330.0;225.0;;-1903.0;24852.0;;5434.0;2239.0;32525.0;;;;570.0;8777.0;-16477.0;9369.0;43094.0;92.0;43186.0;;2029.0;2062.0;;;-353.0;;57.0;;;-1113.0;-269.0;;-48.0;61.0;-2134.0;-786.0;70.0;;-1045.0;273.0;986.0;-23316.0;-25616.0;;1.85;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;16104.0;;5184.0;3500.0;2177.0;1716.0;562.0;9098.0;46701.0;11619.0;44072.0;2568.0;3791.0;-4623.0;856.0;-1703.0;1406.0;;;12604.0;17.0;;;;12587.0;12604.0;123.0;1457.0;1548.0;32.19;21.73;-1323.0;13.52;463.0;10.66;4.81;4.79;559.0;;189.0;1077.0;1266.0;7641.0;191.0;;33538.0;3838.0;677.0;3785.0;280.0;601.0;-601.0;37603.0;;4417.0;11619.0;195.0;;-4417.0;24191.0;;6027.0;2236.0;32453.0;;;;584.0;9245.0;-21091.0;13830.0;46641.0;60.0;46701.0;;1716.0;1548.0;;23.0;-283.0;;;;;788.0;-2385.0;;-214.0;117.0;-1680.0;-1640.0;25.0;;-1187.0;3659.0;212.0;-25774.0;-24072.0;;1.89;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;15979.0;8069.0;12171.0;4239.0;3092.0;6692.0;590.0;6636.0;45061.0;9878.0;38970.0;6072.0;5164.0;16621.0;-9929.0;2077.0;2095.0;7911.0;50.49;11740.0;12.0;1552.0;1552.0;;10175.0;19650.0;1801.0;2847.0;1655.0;76.17;26.53;-1147.0;19.35;977.0;41.88;11.4;11.35;587.0;;2524.0;667.0;3191.0;2640.0;188.0;617.0;32913.0;3723.0;558.0;4281.0;278.0;276.0;676.0;38425.0;;3642.0;4940.0;728.0;334.0;963.0;17881.0;;3756.0;7455.0;29092.0;;;;539.0;11849.0;-7609.0;1292.0;45042.0;19.0;45061.0;;6692.0;1655.0;;24.0;-368.0;;;;-369.0;-2838.0;-3070.0;;-4993.0;5051.0;19606.0;-4764.0;94.0;-12.0;-1295.0;-3951.0;24.0;2519.0;442.0;;1.74;15.67;6.56;2.05;1.27;3.01;5.95;587.0;9.6;0.5;2.0;9193.0;26.5;952.0;3850.0;31.6;41.9;-1865.0;10287.0;3493.0;20.5;23.3;110.2;80.6;57.9;1.738
2007.0;17275.0;9177.0;6906.0;4946.0;3446.0;2747.0;566.0;10454.0;55870.0;6612.0;47708.0;8118.0;5821.0;-8625.0;2940.0;272.0;1456.0;8098.0;53.12;12330.0;;1618.0;1618.0;;10711.0;20428.0;541.0;1576.0;1714.0;39.97;28.63;-1500.0;19.95;868.0;15.9;4.88;4.84;562.0;;3135.0;3554.0;6689.0;;209.0;3556.0;37185.0;2913.0;283.0;3196.0;-3544.0;;8578.0;45416.0;;3645.0;2029.0;148.0;;939.0;28902.0;;4702.0;7492.0;41096.0;;;;606.0;15026.0;-19924.0;12410.0;55826.0;43.0;55870.0;;2747.0;1714.0;;30.0;35.0;;;;;1295.0;-4365.0;;-7303.0;3934.0;-956.0;-15444.0;31.0;-333.0;-1437.0;20122.0;-28.0;3123.0;2852.0;;1.97;15.61;2.48;1.32;1.3;3.94;7.34;562.0;33.9;2.0;1.5;8778.0;28.6;871.0;1396.0;25.2;15.9;1952.0;14686.0;4125.0;7.9;9.3;33.8;47.7;119.3;1.968
2008.0;22801.0;5878.0;13588.0;5878.0;4347.0;6338.0;543.0;10819.0;75001.0;14123.0;64332.0;10633.0;6276.0;-5995.0;-3157.0;-2822.0;571.0;16923.0;25.78;;26.0;;;;-16.0;16923.0;2528.0;4067.0;1971.0;59.59;25.78;-1531.0;19.06;1212.0;27.8;11.73;11.66;540.0;;345.0;5007.0;5352.0;4565.0;902.0;;48252.0;7611.0;539.0;8150.0;2606.0;345.0;4829.0;64182.0;;4837.0;7698.0;585.0;;1588.0;33951.0;;6756.0;9366.0;50073.0;100282.0;;;583.0;17746.0;-21563.0;13867.0;74965.0;36.0;75001.0;;6338.0;1971.0;;36.0;-297.0;;;;-660.0;-1771.0;-5705.0;;-17478.0;17516.0;-416.0;-1289.0;46.0;-2971.0;-1598.0;2655.0;8.0;325.0;3147.0;;1.98;21.31;5.92;0.53;1.49;5.33;9.94;540.0;12.1;0.6;2.1;11498.0;25.8;994.0;3196.0;27.9;27.8;-1666.0;17121.0;5362.0;13.8;15.5;59.6;74.8;792.0;1.983
2009.0;22475.0;7449.0;7168.0;3668.0;1997.0;1352.0;519.0;9678.0;63708.0;10066.0;58000.0;5688.0;4890.0;-2863.0;-1256.0;797.0;327.0;15026.0;33.14;3691.0;14.0;2076.0;2076.0;;1600.0;18717.0;1884.0;3532.0;1607.0;31.89;16.32;-1671.0;8.89;676.0;6.02;2.63;2.6;515.0;;1056.0;3769.0;4825.0;4056.0;797.0;;42329.0;7724.0;530.0;8254.0;517.0;196.0;2734.0;54030.0;;4062.0;4661.0;549.0;;1344.0;33726.0;;3812.0;10396.0;47934.0;;;;421.0;10222.0;-18409.0;13453.0;63688.0;20.0;63708.0;;1352.0;1607.0;;32.0;77.0;;;;;1821.0;-4563.0;;-8949.0;8986.0;1552.0;-4658.0;11.0;-898.0;-1201.0;5489.0;26.0;1032.0;235.0;;1.43;30.46;1.83;0.44;1.63;6.18;7.71;515.0;28.1;0.4;3.2;15687.0;16.3;1122.0;944.0;33.9;6.0;-271.0;23540.0;3970.0;6.9;8.7;23.8;11.2;639.0;1.433
2010.0;21270.0;8942.0;8409.0;5000.0;3330.0;2105.0;514.0;7691.0;66135.0;9960.0;59741.0;6376.0;6858.0;-3541.0;-3359.0;-44.0;2133.0;12327.0;42.04;3942.0;29.0;2129.0;2129.0;;1784.0;16269.0;1526.0;3280.0;1804.0;39.54;23.51;-1670.0;15.66;1221.0;9.9;4.12;4.1;511.0;;1093.0;2328.0;3421.0;3482.0;618.0;170.0;46853.0;7747.0;591.0;8338.0;738.0;;2515.0;58444.0;;2584.0;4261.0;594.0;371.0;2744.0;33890.0;2378.0;5047.0;8466.0;49781.0;;307.0;;453.0;11109.0;-20521.0;15335.0;66117.0;18.0;66135.0;;2105.0;1804.0;;38.0;654.0;;;;;2256.0;-4724.0;;-4431.0;5523.0;-67.0;-3743.0;27.0;-11.0;-1045.0;1412.0;-2.0;1049.0;1093.0;;1.52;27.42;2.71;2.75;1.35;6.09;8.22;511.0;18.2;0.9;2.7;14007.0;23.5;1188.0;1386.0;36.7;9.9;-1494.0;22318.0;4199.0;7.5;10.0;33.0;50.4;48.2;1.518
