;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
1997.0;36.0;18.0;2.0;;0.0;0.0;7.0;44.0;56.0;15.0;19.0;37.0;-0.0;-7.0;16.0;16.0;-7.0;18.0;50.56;19.0;4.0;;;;15.0;37.0;;;2.0;4.72;;1.0;0.28;-0.0;0.56;0.03;0.03;7.0;;13.0;;13.0;19.0;8.0;5.0;3.0;;7.0;7.0;;;1.0;11.0;;6.0;0.0;;;9.0;2.0;;1.0;2.0;4.0;;;;;16.0;-5.0;27.0;56.0;;56.0;;0.0;2.0;-0.0;;-3.0;;1.0;;;1.0;-6.0;;;;-1.0;;;;;16.0;;;4.0;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;27.0;14.0;-6.0;7.0;-8.0;-8.0;8.0;39.0;53.0;16.0;24.0;29.0;-7.0;-0.0;4.0;-4.0;-8.0;14.0;50.0;21.0;4.0;;;;17.0;34.0;1.0;;2.0;-23.9;26.47;-15.0;-30.51;0.0;-30.88;-1.01;-1.01;8.0;;10.0;;10.0;17.0;10.0;1.0;2.0;;7.0;7.0;;;5.0;14.0;;4.0;4.0;;;8.0;6.0;;0.0;1.0;8.0;;;;1.0;8.0;-3.0;23.0;53.0;;53.0;;-8.0;2.0;0.0;;0.0;;-1.0;;;-1.0;-1.0;;;4.0;-3.0;;;-3.0;;7.0;-0.0;10.0;14.0;;1.17;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;19.0;8.0;-5.0;;-7.0;-6.0;8.0;24.0;37.0;14.0;21.0;16.0;-3.0;-2.0;-2.0;-6.0;-3.0;11.0;43.77;17.0;3.0;;;;13.0;27.0;;;2.0;-24.58;;2.0;-33.95;-0.0;-32.61;-0.81;-0.81;8.0;;3.0;;3.0;12.0;9.0;1.0;3.0;;5.0;5.0;;;4.0;13.0;;5.0;2.0;;;7.0;6.0;;;1.0;7.0;;;;1.0;-2.0;-4.0;20.0;37.0;;37.0;;-6.0;2.0;-0.0;;2.0;;0.0;;;-0.0;-1.0;;;;-1.0;;;-0.0;;-2.0;1.0;3.0;9.0;;1.01;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;26.0;12.0;13.0;4.0;11.0;11.0;8.0;38.0;48.0;10.0;15.0;33.0;0.0;2.0;-2.0;0.0;-0.0;13.0;47.92;16.0;4.0;;;;12.0;29.0;;;1.0;49.09;13.71;8.0;44.15;0.0;42.97;1.42;1.34;8.0;;3.0;20.0;24.0;8.0;5.0;1.0;2.0;;3.0;3.0;;;6.0;10.0;;4.0;2.0;;1.0;3.0;3.0;;;2.0;5.0;;;;1.0;8.0;-4.0;27.0;48.0;;48.0;;11.0;1.0;0.0;;2.0;;3.0;;;-14.0;-0.0;;;;2.0;;0.0;;;-2.0;-0.0;3.0;3.0;;0.94;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;21.0;8.0;8.0;5.0;7.0;6.0;8.0;41.0;47.0;11.0;13.0;35.0;-3.0;21.0;-4.0;14.0;-4.0;14.0;36.62;12.0;3.0;;;;9.0;25.0;1.0;;1.0;38.07;21.34;3.0;33.46;1.0;29.78;0.82;0.8;8.0;;17.0;9.0;26.0;10.0;5.0;0.0;2.0;;2.0;2.0;;;2.0;6.0;;5.0;1.0;;1.0;4.0;0.0;;;2.0;2.0;;;;1.0;14.0;-4.0;24.0;47.0;0.0;47.0;;6.0;1.0;0.0;;1.0;;0.0;;;-12.0;-1.0;;;19.0;3.0;;;-0.0;;-4.0;-0.0;17.0;3.0;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;21.0;9.0;-3.0;5.0;-4.0;-4.0;8.0;36.0;42.0;10.0;12.0;30.0;-8.0;5.0;-0.0;-4.0;-9.0;12.0;42.37;14.0;3.0;;;;11.0;26.0;0.0;;1.0;-13.81;23.93;-9.0;-19.4;0.0;-20.24;-0.55;-0.55;8.0;;17.0;0.0;17.0;12.0;7.0;1.0;2.0;;3.0;3.0;;;1.0;6.0;;4.0;2.0;;1.0;3.0;0.0;;;2.0;2.0;;;;1.0;12.0;-3.0;19.0;42.0;;42.0;;-4.0;1.0;0.0;;-3.0;;-0.0;;;-2.0;-1.0;-0.0;;6.0;1.0;;;;;-0.0;-0.0;17.0;20.0;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;23.0;7.0;-10.0;10.0;-11.0;-11.0;8.0;33.0;40.0;14.0;16.0;24.0;-5.0;-1.0;-1.0;-7.0;-5.0;16.0;29.12;17.0;4.0;;;;13.0;33.0;0.0;;1.0;-43.89;43.96;-22.0;-49.21;-0.0;-48.59;-1.45;-1.45;8.0;;13.0;;13.0;12.0;7.0;1.0;4.0;;3.0;3.0;;;1.0;8.0;;4.0;2.0;;3.0;5.0;1.0;;;2.0;2.0;;1.0;;1.0;4.0;-4.0;23.0;40.0;;40.0;;-11.0;1.0;-0.0;;6.0;;1.0;;;-0.0;-1.0;-0.0;;0.0;-0.0;;;;;-1.0;-1.0;13.0;20.0;;1.26;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;30.0;11.0;0.0;1.0;-1.0;-2.0;8.0;30.0;38.0;11.0;13.0;24.0;-2.0;0.0;-0.0;-1.0;-2.0;19.0;38.29;13.0;2.0;;;;11.0;31.0;0.0;;1.0;0.81;3.74;-2.0;-3.93;0.0;-5.18;-0.2;-0.2;8.0;;13.0;;13.0;11.0;5.0;1.0;4.0;;3.0;3.0;;;1.0;8.0;;4.0;2.0;;1.0;4.0;1.0;;;1.0;2.0;;1.0;;1.0;2.0;-4.0;25.0;38.0;;38.0;;-2.0;1.0;0.0;;0.0;;3.0;;;-2.0;-0.0;-0.0;;;0.0;;;;;-0.0;0.0;13.0;14.0;;1.36;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;25.0;10.0;0.0;2.0;-1.0;-1.0;8.0;27.0;34.0;12.0;14.0;21.0;-0.0;-1.0;0.0;-1.0;-1.0;15.0;40.83;12.0;2.0;;;;10.0;26.0;0.0;;1.0;1.16;6.36;-3.0;-4.62;0.0;-5.12;-0.17;-0.17;8.0;;10.0;;10.0;11.0;5.0;0.0;4.0;3.0;0.0;3.0;;;0.0;7.0;;4.0;3.0;;1.0;4.0;1.0;;0.0;1.0;2.0;;1.0;;1.0;1.0;-3.0;22.0;34.0;;34.0;;-1.0;1.0;0.0;;-1.0;;-1.0;;;1.0;-0.0;;;;-1.0;;;;;0.0;0.0;10.0;11.0;;1.18;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;27.0;11.0;-3.0;4.0;-4.0;-5.0;10.0;35.0;43.0;14.0;17.0;25.0;-3.0;-2.0;7.0;2.0;-3.0;16.0;41.05;15.0;3.0;;;;12.0;31.0;0.0;;2.0;-10.45;15.27;-9.0;-16.65;0.0;-16.93;-0.51;-0.51;9.0;;13.0;1.0;14.0;14.0;5.0;1.0;4.0;3.0;0.0;3.0;;;1.0;8.0;;5.0;3.0;;1.0;5.0;1.0;;;2.0;3.0;;1.0;;2.0;-4.0;-2.0;30.0;43.0;;43.0;;-5.0;2.0;-0.0;;-1.0;;1.0;;;1.0;-0.0;;-1.0;;-0.0;;;;;7.0;-0.0;13.0;11.0;;1.32;2.3;-0.39;-0.24;;0.03;2.19;9.0;-24.0;-1.3;;20.0;15.3;1.0;-3.0;-1.7;-16.9;15.0;1.0;19.0;-15.9;-10.4;-17.8;100.0;;1.32
