;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
1999.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;125.0;;1.0;125.0;10.0;6.0;27.0;;67.0;;56.0;12.0;;;;;;;;;;;;;;;;;;0.74;100.0;-115.0;8.36;-5.0;4.55;0.31;0.21;19.0;;;;;;;;;;;;;;;;67.0;;;;;;;;;;;56.0;;;;;;12.0;67.0;;67.0;;6.0;;;;;;;;;-6.0;-11.0;;;;;;;;;;;;;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;157.0;;2.0;23.0;-2.0;0.0;27.0;;82.0;;72.0;11.0;;;;;;;;;;;;;;;;;;1.52;14.56;-25.0;-1.45;2.0;0.04;0.0;0.0;19.0;;;;;;;;;;;;;;;;82.0;;;;;;;;;;;72.0;;;;;;11.0;82.0;;82.0;;0.0;;;;;;;;;-0.0;-12.0;;;;;;;;;;;;;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;156.0;;1.0;13.0;1.0;1.0;27.0;;75.0;;65.0;11.0;;;;;;;;;;;;;;;;;;0.37;8.1;-11.0;0.92;-0.0;0.65;0.05;0.04;19.0;;;;;;;;;;;;;;;;75.0;;;;;;;;;;;65.0;;;;;;11.0;75.0;;75.0;;1.0;;;;;;;;;-1.0;-5.0;;;;;;;;;;;;;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;234.0;;4.0;21.0;13.0;9.0;27.0;;108.0;;88.0;20.0;;;;;;;;;;;;;;;;;;1.71;9.02;-8.0;5.55;-5.0;3.63;0.46;0.32;19.0;;;;;;;;;;;;;;;;108.0;;;;;;;;;;;88.0;;;;;;;108.0;;108.0;;9.0;;;;;;;;;-9.0;-16.0;;;;;;;;;;;;;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;289.0;43.0;1.0;-31.0;-19.0;-12.0;27.0;77.0;374.0;44.0;280.0;94.0;14.0;-282.0;300.0;300.0;8.0;246.0;14.83;74.0;;;;;74.0;320.0;;;20.0;0.26;-10.87;12.0;-6.65;-7.0;-4.15;-0.64;-0.64;19.0;;28.0;;28.0;47.0;1.0;1.0;128.0;152.0;4.0;155.0;;;13.0;297.0;;18.0;1.0;;;25.0;202.0;;2.0;32.0;236.0;;2.0;;97.0;-3.0;;0.0;374.0;;374.0;;-12.0;20.0;-8.0;;13.0;;;;;1.0;-6.0;-281.0;;;5.0;-3.0;71.0;;;232.0;;32.0;;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;295.0;30.0;-17.0;8.0;-37.0;-35.0;27.0;111.0;435.0;76.0;375.0;61.0;-4.0;-21.0;9.0;-15.0;-25.0;266.0;10.12;22.0;;;;;22.0;288.0;;;20.0;-5.72;2.64;-45.0;-12.48;-2.0;-11.84;-1.88;-1.88;19.0;;15.0;;15.0;82.0;0.0;14.0;146.0;164.0;1.0;165.0;;;13.0;325.0;;49.0;1.0;;;26.0;255.0;;;43.0;298.0;;6.0;;105.0;-45.0;;1.0;435.0;;435.0;;-35.0;20.0;-4.0;;-4.0;;;;;20.0;-21.0;;;;1.0;-1.0;;;;10.0;;15.0;30.0;;0.83;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;421.0;87.0;4.0;42.0;-18.0;-19.0;0.0;138.0;502.0;80.0;457.0;45.0;29.0;-19.0;11.0;21.0;4.0;334.0;20.73;26.0;;;;;26.0;360.0;;;22.0;0.93;10.04;-60.0;-4.31;1.0;-4.46;-0.19;-0.19;0.0;;37.0;;37.0;58.0;0.0;44.0;159.0;170.0;1.0;171.0;;20.0;15.0;365.0;;46.0;3.0;;;31.0;267.0;;20.0;91.0;378.0;;7.0;;;-66.0;-41.0;;502.0;;502.0;;-19.0;22.0;;;-4.0;;0.0;;-0.0;30.0;-25.0;;;;6.0;;7.0;-1.0;;5.0;;37.0;15.0;;0.86;;;;;;;;;;;;;;;;;;;;;;;;;
2007.0;546.0;107.0;46.0;44.0;16.0;18.0;25.0;199.0;616.0;129.0;404.0;212.0;9.0;-94.0;55.0;-30.0;-87.0;439.0;19.68;36.0;;;;;36.0;475.0;;;30.0;8.5;8.12;-28.0;2.93;-2.0;3.35;0.75;0.72;24.0;;7.0;;7.0;153.0;0.0;39.0;222.0;173.0;1.0;173.0;;12.0;10.0;418.0;;85.0;21.0;;;24.0;206.0;;17.0;53.0;275.0;;6.0;;;-48.0;-61.0;;616.0;-0.0;616.0;;18.0;30.0;0.0;;-42.0;;-0.0;;-9.0;2.0;-95.0;-1.0;;;3.0;;149.0;-24.0;;-70.0;;7.0;37.0;;0.87;25.87;0.87;-4.11;;4.52;10.03;24.0;21.1;1.2;;630.0;8.1;35.0;21.0;-14.0;3.3;80.0;237.0;244.0;3.8;2.6;8.6;100.0;143.3;0.867
2008.0;965.0;195.0;93.0;90.0;56.0;39.0;37.0;284.0;773.0;179.0;497.0;276.0;95.0;-47.0;-23.0;24.0;35.0;770.0;20.21;69.0;;;;;69.0;839.0;;;38.0;9.67;9.34;-34.0;5.78;17.0;4.02;1.08;1.05;36.0;;32.0;;32.0;231.0;0.0;21.0;274.0;195.0;2.0;197.0;;18.0;1.0;490.0;;115.0;9.0;;;55.0;203.0;;24.0;92.0;319.0;;10.0;;;-19.0;-95.0;;773.0;;773.0;;39.0;38.0;17.0;;-8.0;;0.0;;4.0;10.0;-60.0;-2.0;;;14.0;;2.0;-1.0;;-24.0;;32.0;8.0;;0.97;27.65;1.11;1.01;;1.71;7.92;36.0;11.8;0.5;;990.0;9.3;39.0;40.0;30.4;4.0;108.0;208.0;283.0;6.5;7.2;14.0;100.0;-2.9;0.975
