;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
2003.0;6.0;3.0;1.0;1.0;1.0;1.0;172.0;1.0;2.0;1.0;1.0;1.0;1.0;;;1.0;1.0;2.0;59.22;2.0;0.0;;;;2.0;5.0;0.0;0.0;0.0;18.75;16.47;-0.0;16.07;0.0;14.75;0.0;0.0;172.0;;0.0;;0.0;;0.0;1.0;0.0;;;;;0.0;-0.0;0.0;;0.0;;0.0;;0.0;;;;;;;;;0.0;-1.0;-1.0;3.0;2.0;;2.0;;1.0;0.0;;;;;;;;-0.0;;;;;;;;;;;;0.0;-1.0;;1.65;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;12.0;8.0;3.0;3.0;3.0;2.0;172.0;5.0;5.0;2.0;2.0;3.0;1.0;-2.0;0.0;0.0;1.0;5.0;62.66;5.0;1.0;;;;4.0;10.0;0.0;;0.0;23.88;21.4;0.0;21.56;1.0;15.0;0.01;0.01;172.0;;2.0;;2.0;;1.0;2.0;0.0;;;;;2.0;-2.0;0.0;;1.0;;1.0;;1.0;;;0.0;;0.0;;;;0.0;1.0;-1.0;3.0;5.0;;5.0;;2.0;0.0;;;-1.0;;-1.0;;;0.0;-0.0;;;;-1.0;;0.0;;;;;2.0;2.0;;1.82;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;22.0;13.0;6.0;5.0;5.0;4.0;135.0;8.0;10.0;4.0;4.0;6.0;1.0;-2.0;1.0;-2.0;-0.0;8.0;61.45;8.0;1.0;7.0;7.0;;-0.0;16.0;0.0;;0.0;25.79;24.05;0.0;24.53;1.0;18.8;0.03;0.03;133.0;;3.0;2.0;4.0;;2.0;2.0;1.0;;;;;3.0;-3.0;1.0;;1.0;;1.0;;2.0;;;0.0;;0.0;;;;0.0;2.0;-0.0;4.0;10.0;;10.0;;4.0;0.0;;;-1.0;;-1.0;;;-2.0;-2.0;;;;-0.0;;1.0;;-2.0;2.0;;0.0;2.0;;1.79;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;36.0;22.0;10.0;8.0;9.0;6.0;165.0;31.0;34.0;6.0;6.0;28.0;3.0;-20.0;17.0;19.0;2.0;14.0;61.34;14.0;2.0;10.0;10.0;;1.0;27.0;1.0;;1.0;26.77;23.32;1.0;24.94;3.0;17.69;0.04;0.04;160.0;;2.0;20.0;22.0;;4.0;5.0;2.0;;0.0;0.0;;2.0;-2.0;2.0;;2.0;;1.0;;3.0;;;0.0;;0.0;;;;1.0;8.0;-1.0;21.0;34.0;;34.0;;6.0;1.0;;0.0;-3.0;;-2.0;;;-1.0;-1.0;;;;-18.0;;17.0;;-2.0;2.0;-0.0;22.0;3.0;;1.85;0.12;0.02;0.01;0.01;0.0;0.02;160.0;;;;19.0;23.3;0.0;3.0;29.1;17.7;2.0;;3.0;103.9;88.7;106.5;66.3;-773.6;1.848
2007.0;49.0;29.0;13.0;10.0;11.0;8.0;178.0;37.0;46.0;7.0;8.0;38.0;7.0;-7.0;-2.0;-2.0;-1.0;20.0;59.13;20.0;3.0;14.0;14.0;;2.0;40.0;;;2.0;25.81;20.55;1.0;22.57;3.0;16.56;0.05;0.05;173.0;;22.0;0.0;22.0;;6.0;9.0;6.0;;3.0;3.0;;22.0;-22.0;9.0;;5.0;;0.0;;2.0;;;0.0;1.0;1.0;;;;1.0;15.0;-2.0;25.0;46.0;;46.0;;8.0;2.0;;0.0;-3.0;;-1.0;;;-1.0;-8.0;;;;1.0;;0.0;;-2.0;;-0.0;22.0;24.0;;2.01;0.14;0.02;-0.0;0.01;0.02;0.09;173.0;;;;25.0;20.5;1.0;4.0;26.6;16.6;14.0;;15.0;26.8;30.4;27.0;76.2;-124.8;2.009
2008.0;73.0;44.0;19.0;15.0;16.0;12.0;178.0;48.0;58.0;9.0;10.0;48.0;14.0;-4.0;-4.0;6.0;9.0;29.0;60.68;28.0;5.0;2.0;2.0;;21.0;56.0;;;3.0;25.56;20.14;1.0;21.73;4.0;16.09;0.07;0.07;175.0;;27.0;2.0;29.0;;9.0;10.0;8.0;;2.0;2.0;;27.0;-27.0;10.0;;4.0;;1.0;;5.0;;;0.0;0.0;0.0;;;;1.0;23.0;-4.0;28.0;58.0;;58.0;;12.0;3.0;;0.0;-1.0;;-3.0;;;0.0;-5.0;;;;1.0;;1.0;;-3.0;-2.0;0.0;27.0;21.0;;1.99;0.21;0.03;0.03;0.01;0.02;0.11;175.0;;;;37.0;20.1;1.0;6.0;25.9;16.1;15.0;;19.0;30.3;34.8;31.2;74.9;27.7;1.993
2009.0;94.0;62.0;30.0;26.0;27.0;20.0;180.0;66.0;74.0;14.0;14.0;60.0;24.0;-2.0;-2.0;20.0;21.0;32.0;65.81;33.0;5.0;23.0;23.0;;5.0;65.0;1.0;;3.0;31.66;27.94;1.0;28.7;7.0;21.64;0.11;0.11;176.0;;42.0;2.0;44.0;;11.0;11.0;6.0;;1.0;1.0;;1.0;1.0;8.0;;3.0;;3.0;;11.0;;;;0.0;0.0;;;;1.0;35.0;-7.0;31.0;74.0;;74.0;;20.0;3.0;;1.0;-0.0;;-4.0;;;1.0;-3.0;;;;1.0;;1.0;;-4.0;2.0;-0.0;42.0;22.0;;1.65;0.32;0.07;0.07;0.01;0.01;0.14;176.0;;;;57.0;27.9;2.0;12.0;24.6;21.6;19.0;;24.0;50.6;56.1;51.0;79.1;17.2;1.647
2010.0;106.0;71.0;41.0;38.0;39.0;29.0;183.0;87.0;95.0;15.0;15.0;80.0;29.0;-1.0;-41.0;-12.0;28.0;35.0;66.68;33.0;5.0;23.0;23.0;;5.0;68.0;0.0;;2.0;38.48;36.07;0.0;36.33;10.0;27.03;0.16;0.16;179.0;;60.0;34.0;95.0;;14.0;-21.0;4.0;;1.0;1.0;;2.0;0.0;7.0;;4.0;;4.0;;11.0;;;;0.0;0.0;;;;1.0;55.0;-8.0;32.0;95.0;;95.0;;29.0;2.0;;1.0;-5.0;;-3.0;;;3.0;-1.0;;;0.0;0.0;-34.0;1.0;;-8.0;;0.0;26.0;38.0;;1.49;0.4;0.11;0.11;0.03;0.0;0.2;179.0;;;;71.0;36.1;2.0;19.0;25.6;27.0;32.0;;36.0;52.6;57.3;52.7;72.3;23.2;1.495
2011.0;134.0;90.0;54.0;51.0;52.0;38.0;183.0;123.0;139.0;19.0;20.0;119.0;41.0;-5.0;-12.0;24.0;39.0;44.0;67.29;40.0;5.0;29.0;29.0;;6.0;84.0;1.0;;3.0;40.47;38.08;1.0;38.56;13.0;28.59;0.21;0.21;180.0;;89.0;38.0;127.0;;17.0;-22.0;4.0;3.0;3.0;7.0;;6.0;0.0;16.0;;6.0;;5.0;;14.0;;;1.0;0.0;1.0;;;;1.0;87.0;-11.0;42.0;139.0;;139.0;;38.0;3.0;;2.0;-2.0;;-2.0;;;1.0;-2.0;-4.0;;0.0;0.0;-1.0;1.0;-0.0;-13.0;;0.0;51.0;28.0;;1.6;0.46;0.13;0.14;0.04;0.01;0.3;180.0;;;;83.0;38.1;2.0;24.0;25.9;28.6;48.0;;53.0;44.6;50.6;44.7;66.9;28.7;1.605
2012.0;154.0;106.0;59.0;54.0;54.0;40.0;189.0;77.0;276.0;23.0;43.0;233.0;38.0;-84.0;17.0;-28.0;34.0;48.0;69.05;52.0;7.0;44.0;44.0;;2.0;100.0;1.0;0.0;4.0;38.28;34.99;1.0;35.43;15.0;25.97;0.22;0.21;185.0;;22.0;5.0;27.0;;24.0;25.0;9.0;129.0;54.0;183.0;;7.0;0.0;199.0;;7.0;;6.0;;16.0;;;20.0;0.0;20.0;;;;1.0;109.0;-13.0;136.0;276.0;;276.0;;40.0;4.0;;2.0;-9.0;;-3.0;;;1.0;-4.0;-80.0;;;-1.0;;1.0;;-16.0;32.0;0.0;22.0;50.0;;1.57;0.53;0.14;0.12;0.05;0.02;0.4;185.0;;;;98.0;35.0;3.0;25.0;26.7;26.0;64.0;;74.0;34.2;40.1;34.4;60.4;44.0;1.571
