;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (KRW/USD)
2001.0;;;;;;;315.0;;;;;;;;;;;;;;;;;;;;;;;464.4;-31.01;;;;78.48;;;268.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;276.0;;;;;;;;;;;;;;;;;;;;;;;133.26;37.28;;36.87;;23.89;;;276.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;294.0;;;;;;;;;;;;;;;;;;;;;;;129.24;15.89;;15.15;;7.98;;;277.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;355.0;;;;;;;;;;;;;;;;;;;;;;;121.89;42.01;;39.3;;25.89;;;308.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;374.0;;;;;;;;;;;;;;;;;;;;;;;115.79;43.68;;43.42;;28.16;;;351.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;391.0;;;;;;;;;;;;;;;;;;;;;;;95.37;26.76;;26.53;;18.6;;;391.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19272.49;3583.9;333.77;689.46;1094.71;24324.92;391.0;0.0;0.0;1518.0;7541639.0;26.8;515857.0;1402439.0;29.4;18.6;121749619.0;38799389.0;9518735.0;3.0;4.0;14.7;80.8;206.6;
2007.0;;;;;;;417.0;;;;;;;;;;;;;;;;;;;;;;;108.79;31.11;;30.16;;19.47;;;402.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24636.55;4797.77;5781.37;837.72;1099.85;42045.09;402.0;0.0;0.0;1407.0;9914171.0;31.1;812805.0;1930704.0;35.4;19.5;142055905.0;46522619.0;16919664.0;3.4;4.5;11.4;82.5;14.5;
2008.0;;;;;;;432.0;;;;;;;;;;;;;;;;;;;;;;;118.46;21.02;;21.02;;14.31;;;417.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24847.16;3554.43;8384.14;1373.1;986.65;42373.94;417.0;0.0;0.0;3189.5;10350789.0;21.0;1130845.0;1480699.0;31.9;14.3;191322759.0;59877483.0;17652068.0;3.2;4.3;8.4;61.4;16.4;
2009.0;;;;;;;476.0;;;;;;;;;;;;;;;;;;;;;;;89.5;14.36;;14.36;;10.38;;;462.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23660.61;2456.88;2878.8;499.64;835.43;43809.73;462.0;0.0;0.0;1720.5;10919375.0;14.4;839334.0;1133852.0;27.1;10.4;197280506.0;52739371.0;20218199.0;2.7;3.5;5.6;79.7;-78.6;
2010.0;;;;;;;474.0;;;;;;;;;;;;;;;;;;;;;;;90.77;25.78;;28.36;;23.74;;;474.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25269.43;5998.58;12886.05;886.26;597.07;48071.26;474.0;0.0;0.0;2268.4;11982754.0;25.8;604759.0;2844522.0;17.0;23.7;214822105.0;54791695.0;22795370.0;3.3;3.8;12.5;85.2;9.9;
