;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (SEK/USD)
2006.0;25881.0;10670.0;6268.0;5216.0;5240.0;3822.0;3174.0;22065.0;31290.0;10237.0;13691.0;17485.0;2691.0;-2166.0;-2247.0;-1714.0;2134.0;15211.0;41.23;5454.0;4064.0;;;;1390.0;20665.0;;;1055.0;24.22;20.15;24.0;20.25;1391.0;14.77;1.2;1.2;3174.0;;4362.0;4703.0;9066.0;9872.0;3126.0;1.0;1148.0;993.0;3005.0;3998.0;;1974.0;2105.0;9225.0;;2647.0;244.0;;667.0;6679.0;1879.0;;56.0;1520.0;3454.0;;;;2348.0;12220.0;-683.0;3601.0;31177.0;114.0;31290.0;;3822.0;1055.0;;;-2039.0;;-372.0;;-302.0;-147.0;-557.0;-2631.0;;899.0;124.0;;18.0;;-1069.0;-1197.0;8.0;4362.0;6076.0;;0.15;55.85;8.25;4.6;2.31;1.2;37.73;3174.0;2.1;0.1;13.2;177267.0;20.2;7226.0;26177.0;26.5;14.8;81012.0;12867.0;119762.0;18.3;16.7;21.9;72.0;49.3;0.146
2007.0;29083.0;11418.0;6037.0;4746.0;4712.0;3382.0;3178.0;24487.0;37963.0;12030.0;17047.0;20770.0;2975.0;-4264.0;969.0;-256.0;2307.0;17665.0;39.26;6672.0;4467.0;;;;2204.0;24336.0;;;1324.0;20.76;16.32;-34.0;16.2;1330.0;11.63;1.06;1.06;3178.0;;4385.0;4554.0;8939.0;10710.0;3481.0;1357.0;1441.0;3535.0;4278.0;7813.0;;1810.0;2413.0;13476.0;;2699.0;913.0;;923.0;7494.0;3302.0;;433.0;1282.0;5018.0;;;;2499.0;15376.0;-935.0;3830.0;37818.0;145.0;37963.0;;3382.0;1324.0;;;-1564.0;;-69.0;;-338.0;-167.0;-669.0;-4059.0;61.0;542.0;-139.0;;15.0;;-1259.0;2213.0;63.0;4385.0;4641.0;;0.15;59.19;6.88;4.69;2.56;1.36;42.27;3178.0;2.6;0.1;14.4;188116.0;16.3;8567.0;21875.0;28.2;11.6;80576.0;21357.0;134349.0;13.1;12.5;16.3;62.8;53.9;0.155
2008.0;26743.0;9506.0;3511.0;2080.0;2205.0;1443.0;3203.0;25411.0;36568.0;13327.0;18381.0;18025.0;3072.0;-1094.0;-923.0;1216.0;2363.0;17237.0;35.55;7751.0;4299.0;;;;3453.0;24988.0;443.0;318.0;1039.0;13.13;7.78;125.0;8.24;712.0;5.4;0.45;0.45;3183.0;;4840.0;5013.0;9853.0;11995.0;3563.0;;1279.0;3184.0;2991.0;6175.0;1800.0;1902.0;;11156.0;;3009.0;709.0;;;9609.0;3192.0;;350.0;1511.0;5054.0;;;;2078.0;12812.0;-30.0;3166.0;36406.0;161.0;36568.0;;1443.0;1039.0;132.0;;-254.0;-1464.0;-503.0;;1712.0;712.0;-709.0;235.0;;;-800.0;-540.0;;;-1055.0;672.0;161.0;4840.0;3624.0;;0.13;65.64;3.54;5.8;2.59;1.74;44.24;3183.0;2.9;0.1;25.6;208930.0;7.8;8114.0;11273.0;32.3;5.4;94408.0;24939.0;140823.0;7.3;6.8;8.0;26.9;44.6;0.128
2009.0;28824.0;9800.0;1520.0;826.0;872.0;513.0;3188.0;25469.0;37665.0;11934.0;17978.0;19526.0;3417.0;-5230.0;-237.0;-2096.0;2656.0;19024.0;34.0;8371.0;4614.0;;;;3756.0;27395.0;262.0;216.0;496.0;5.27;2.87;45.0;3.02;295.0;1.78;-0.37;-0.37;3188.0;;3183.0;7730.0;10912.0;10804.0;3171.0;581.0;1341.0;3822.0;2906.0;6728.0;2010.0;2000.0;118.0;12196.0;;2633.0;297.0;;1839.0;7166.0;4187.0;;317.0;1540.0;6044.0;;;;2285.0;13686.0;103.0;3452.0;37504.0;162.0;37665.0;;513.0;496.0;-141.0;;488.0;1070.0;727.0;-492.0;-818.0;2062.0;-761.0;-2524.0;;;-2146.0;-1369.0;;;-882.0;2013.0;-46.0;3183.0;5279.0;;0.14;64.77;1.15;5.97;1.98;1.71;43.87;3188.0;8.0;0.1;21.5;206477.0;2.9;3550.0;3672.0;33.9;1.8;96955.0;29996.0;139870.0;2.6;2.7;2.6;-72.1;33.2;0.14
2010.0;30258.0;11049.0;3925.0;2449.0;2349.0;1659.0;3226.0;29528.0;41934.0;14398.0;20092.0;21592.0;3956.0;-1866.0;-844.0;1200.0;3162.0;19209.0;36.52;8724.0;4696.0;;;;4028.0;27933.0;156.0;256.0;1334.0;12.97;8.09;-100.0;7.76;677.0;5.48;0.52;0.51;3197.0;;4593.0;8840.0;13433.0;11647.0;4449.0;;1404.0;4040.0;2927.0;6967.0;2140.0;1895.0;;12406.0;;3714.0;567.0;332.0;2583.0;7534.0;4011.0;;383.0;1301.0;5694.0;;;;2435.0;15867.0;-391.0;3680.0;41684.0;250.0;41934.0;;1659.0;1334.0;52.0;;425.0;656.0;-1178.0;887.0;60.0;486.0;-793.0;-421.0;-449.0;;-447.0;-216.0;;;-994.0;365.0;-46.0;4593.0;3392.0;;0.15;63.61;3.49;6.65;2.09;1.67;45.39;3197.0;3.1;0.1;19.6;203348.0;8.1;8962.0;11146.0;28.8;5.5;101680.0;26955.0;145106.0;6.8;6.2;7.7;40.1;31.4;0.149
2011.0;32858.0;11544.0;4263.0;2592.0;2624.0;1766.0;3233.0;28789.0;40595.0;14050.0;19559.0;20722.0;1445.0;658.0;-940.0;1131.0;503.0;21315.0;35.13;8590.0;4726.0;;;;3864.0;29904.0;417.0;385.0;1308.0;12.98;7.89;32.0;7.99;804.0;5.37;0.55;0.55;3206.0;;5600.0;6474.0;12074.0;11926.0;4789.0;;1562.0;3973.0;2405.0;6378.0;1981.0;1885.0;;11806.0;;3665.0;1124.0;;;9261.0;3367.0;;326.0;1816.0;5510.0;;;;2370.0;14771.0;-3048.0;6630.0;40281.0;313.0;40595.0;;1766.0;1308.0;;;-2201.0;-246.0;-470.0;-239.0;-1247.0;572.0;-943.0;-453.0;;;1834.0;-182.0;;;-1079.0;321.0;-31.0;5600.0;4469.0;;0.14;70.78;3.8;1.08;2.33;2.03;44.64;3206.0;3.2;0.2;19.3;226921.0;7.9;9036.0;12194.0;30.6;5.4;101787.0;23256.0;143105.0;7.8;7.3;8.5;38.9;214.7;0.145
2012.0;35010.0;11079.0;3274.0;1607.0;1565.0;888.0;3247.0;29703.0;42267.0;14971.0;20982.0;21039.0;3386.0;-751.0;-1442.0;923.0;2300.0;23931.0;31.64;8911.0;5046.0;;;;3865.0;32842.0;259.0;267.0;1467.0;9.35;4.59;-42.0;4.47;652.0;2.54;0.28;0.27;3216.0;;6868.0;5540.0;12408.0;11831.0;4427.0;1038.0;1766.0;4673.0;2927.0;7600.0;1177.0;1894.0;127.0;12564.0;;3550.0;733.0;596.0;2523.0;8165.0;3673.0;;480.0;1858.0;6011.0;;;;2540.0;14698.0;-3492.0;7294.0;42021.0;246.0;42267.0;;888.0;1467.0;-175.0;;464.0;-170.0;423.0;-202.0;605.0;743.0;-1087.0;-319.0;;;402.0;-1486.0;24.0;-14.0;-1327.0;1360.0;-269.0;6868.0;5945.0;;0.15;70.83;1.8;4.65;2.68;2.2;42.56;3216.0;5.2;0.4;28.7;227779.0;4.6;9546.0;5775.0;41.7;2.5;95850.0;23898.0;136883.0;3.9;4.3;4.2;-49.5;57.3;0.154
2013.0;35311.0;11860.0;4425.0;2771.0;2655.0;1864.0;3257.0;29646.0;41805.0;14186.0;19811.0;21774.0;2701.0;-1725.0;-1477.0;-402.0;1859.0;23451.0;33.59;8917.0;5006.0;;;;3911.0;32368.0;151.0;219.0;1577.0;12.53;7.85;-116.0;7.52;765.0;5.28;0.58;0.57;3226.0;;6537.0;5760.0;12297.0;13011.0;3534.0;804.0;1776.0;4899.0;2510.0;7409.0;1466.0;1414.0;95.0;12159.0;;3184.0;1147.0;436.0;2385.0;7469.0;3427.0;;412.0;1787.0;5625.0;;;;2566.0;15366.0;-3703.0;7544.0;41585.0;220.0;41805.0;;1864.0;1577.0;-205.0;;-716.0;-1321.0;756.0;-335.0;-98.0;181.0;-841.0;-417.0;;;-609.0;-791.0;14.0;;-1421.0;722.0;100.0;6537.0;6939.0;;0.16;70.48;3.72;3.71;2.84;1.68;43.46;3226.0;3.3;0.2;23.4;227376.0;7.8;10155.0;12005.0;28.8;5.3;99552.0;22067.0;140204.0;7.4;6.8;8.6;23.8;75.7;0.155
2014.0;29227.0;10567.0;3530.0;2155.0;2027.0;1483.0;3270.0;25869.0;37634.0;12926.0;19006.0;18500.0;2398.0;-963.0;-2336.0;-142.0;1520.0;18660.0;36.15;8389.0;4655.0;;;;3734.0;27049.0;91.0;176.0;1273.0;12.08;7.37;-128.0;6.94;598.0;5.07;0.46;0.45;3237.0;;5255.0;4290.0;9544.0;11901.0;3612.0;813.0;1710.0;4914.0;2065.0;6978.0;1367.0;1638.0;71.0;11765.0;;3137.0;292.0;413.0;2709.0;6787.0;2803.0;;407.0;2870.0;6080.0;;;;2119.0;13211.0;-3529.0;6699.0;37506.0;129.0;37634.0;;1483.0;1273.0;-158.0;;-467.0;152.0;-375.0;162.0;-315.0;267.0;-878.0;-563.0;;;282.0;-1203.0;;;-1262.0;129.0;760.0;5255.0;5397.0;;0.13;70.43;3.57;3.66;3.04;2.11;44.58;3237.0;3.5;0.2;24.6;227983.0;7.4;9927.0;11568.0;29.5;5.1;100965.0;21864.0;144306.0;6.5;6.0;8.0;14.9;83.0;0.128
2015.0;29235.0;10161.0;3718.0;2582.0;2353.0;1604.0;3282.0;22440.0;33669.0;10311.0;16220.0;17349.0;2439.0;-946.0;-1268.0;-90.0;1061.0;19074.0;34.76;7593.0;4126.0;;;;3468.0;26668.0;46.0;169.0;1210.0;12.72;8.83;-229.0;8.05;734.0;5.49;0.49;0.49;3249.0;;4763.0;3326.0;8088.0;10233.0;3367.0;752.0;1883.0;4865.0;1753.0;6618.0;1114.0;1561.0;54.0;11229.0;;2651.0;281.0;465.0;1926.0;5453.0;2693.0;;293.0;2923.0;5909.0;;;;1957.0;12464.0;-3391.0;6319.0;33569.0;100.0;33669.0;;1604.0;1210.0;-336.0;;-437.0;829.0;-43.0;-317.0;-1003.0;396.0;-1378.0;-260.0;;;302.0;-158.0;20.0;;-1342.0;212.0;-315.0;4763.0;4853.0;;0.12;76.0;4.17;2.76;3.49;3.58;45.1;3249.0;2.6;0.1;32.0;246920.0;8.8;10223.0;13549.0;31.2;5.5;102435.0;22744.0;146525.0;7.4;7.5;9.2;16.3;124.7;0.118
2016.0;24442.0;7287.0;1547.0;692.0;442.0;188.0;3303.0;19300.0;31112.0;10405.0;15685.0;15352.0;1538.0;-909.0;-1289.0;-358.0;373.0;17155.0;29.81;6603.0;3474.0;;;;3129.0;23758.0;4.0;149.0;976.0;6.33;2.83;-250.0;1.81;234.0;0.77;0.06;0.06;3263.0;;4059.0;1751.0;5810.0;9394.0;3328.0;768.0;1837.0;4764.0;1737.0;6501.0;1769.0;1704.0;;11812.0;;2780.0;882.0;;2128.0;4615.0;2048.0;;236.0;2996.0;5280.0;;;;1829.0;10808.0;-3345.0;6061.0;31037.0;74.0;31112.0;;188.0;976.0;-681.0;;659.0;651.0;-67.0;305.0;-125.0;396.0;-1165.0;-68.0;;;-168.0;-118.0;14.0;-3.0;-1346.0;163.0;303.0;4059.0;4417.0;;0.11;68.22;0.53;1.04;3.76;3.25;42.85;3263.0;14.3;0.6;49.9;222608.0;2.8;8886.0;1716.0;52.9;0.8;81006.0;18653.0;139817.0;1.3;1.8;1.2;-614.6;357.8;0.11
2017.0;24539.0;5430.0;-3647.0;-4648.0;-4794.0;-4292.0;3317.0;18873.0;31760.0;11896.0;19549.0;12134.0;1170.0;-1959.0;668.0;-132.0;522.0;19109.0;22.13;8520.0;4618.0;;;;3902.0;27629.0;-22.0;134.0;1030.0;-14.86;-18.94;-147.0;-19.54;-520.0;-17.49;-1.31;-1.31;3277.0;;4374.0;1032.0;5406.0;9925.0;3043.0;499.0;1567.0;3391.0;1066.0;4456.0;4266.0;2588.0;10.0;12888.0;;3209.0;310.0;;3299.0;5078.0;3718.0;;110.0;3825.0;7653.0;;;;2032.0;7087.0;-3620.0;6634.0;31683.0;78.0;31760.0;;-4292.0;1030.0;-1195.0;;3179.0;168.0;487.0;294.0;2133.0;2448.0;-649.0;34.0;;;-1520.0;-589.0;12.0;;-417.0;1662.0;-11.0;4374.0;4506.0;;0.12;61.43;-10.74;1.31;1.04;1.62;30.38;3277.0;-0.6;-0.0;16.4;201303.0;-18.9;8451.0;-35206.0;10.8;-17.5;57234.0;30500.0;99540.0;-21.1;-14.8;-35.4;109.7;;0.122
2018.0;23804.0;7700.0;786.0;140.0;-165.0;-737.0;3318.0;18196.0;30343.0;12522.0;20434.0;9820.0;1055.0;-467.0;-460.0;283.0;502.0;16104.0;32.35;7464.0;4393.0;;;;3071.0;23568.0;-52.0;165.0;815.0;3.3;0.59;-305.0;-0.69;543.0;-3.1;-0.22;-0.22;3291.0;;4334.0;940.0;5274.0;9305.0;3303.0;313.0;1451.0;3391.0;871.0;4262.0;3821.0;2614.0;;12147.0;;3374.0;255.0;;3313.0;5580.0;3485.0;;76.0;4351.0;7912.0;;;;1882.0;5145.0;-3467.0;6259.0;30254.0;89.0;30343.0;;-737.0;815.0;-214.0;;879.0;-231.0;-543.0;275.0;1256.0;312.0;-553.0;-145.0;;;127.0;-197.0;12.0;;-387.0;112.0;155.0;4334.0;4051.0;;0.11;64.07;-1.98;1.35;1.04;1.49;26.43;3291.0;-3.9;-0.2;13.4;210838.0;0.6;7221.0;-6530.0;-329.0;-3.1;50253.0;30870.0;86978.0;-0.7;-0.1;-7.5;152.5;;0.113
2019.0;24267.0;9059.0;2103.0;1128.0;936.0;237.0;3320.0;16438.0;29518.0;12476.0;20773.0;8817.0;1802.0;-378.0;-737.0;714.0;1090.0;15207.0;37.33;8061.0;4145.0;;;;3915.0;23268.0;149.0;208.0;918.0;8.66;4.65;-192.0;3.86;739.0;0.98;0.07;0.07;3306.0;;4814.0;881.0;5696.0;7235.0;3296.0;211.0;2386.0;3332.0;698.0;4030.0;3335.0;3329.0;;13080.0;;3247.0;1252.0;;3102.0;4875.0;3829.0;;131.0;4337.0;8297.0;;1055.0;;1781.0;4151.0;245.0;2641.0;29590.0;-73.0;29518.0;;237.0;918.0;176.0;;300.0;1174.0;28.0;-40.0;-771.0;170.0;-712.0;-161.0;;;329.0;-797.0;21.0;;-475.0;515.0;28.0;4814.0;4100.0;;0.11;68.73;0.67;3.09;1.35;2.02;24.97;3306.0;13.4;0.6;14.9;227216.0;4.6;8599.0;2223.0;79.0;1.0;37095.0;35852.0;82559.0;1.5;4.0;2.7;-100.2;41.7;0.107
2020.0;28189.0;11369.0;4445.0;3373.0;3301.0;2121.0;3326.0;18170.0;32937.0;13867.0;22605.0;10514.0;3510.0;-1844.0;-1515.0;-178.0;2865.0;16820.0;40.33;7964.0;4817.0;;;;3147.0;24785.0;97.0;193.0;968.0;15.77;11.97;-72.0;11.71;1163.0;7.52;0.64;0.64;3323.0;;5290.0;1060.0;6350.0;7947.0;3408.0;465.0;2591.0;4239.0;1051.0;5290.0;3696.0;3190.0;;14766.0;;3880.0;1230.0;;3207.0;5550.0;3557.0;;132.0;5049.0;8738.0;;1128.0;;2022.0;5818.0;-326.0;3000.0;33118.0;-182.0;32937.0;;2121.0;968.0;743.0;;-437.0;-386.0;47.0;522.0;-664.0;116.0;-644.0;-1164.0;;;-135.0;-1342.0;20.0;;-727.0;534.0;-328.0;5290.0;5468.0;;0.12;69.93;5.26;7.11;1.8;1.6;26.08;3323.0;1.9;0.0;18.2;232390.0;12.0;7978.0;17483.0;35.2;7.5;35475.0;29322.0;86674.0;11.7;10.5;20.2;65.7;24.7;0.121
2021.0;25694.0;11143.0;4195.0;3515.0;3235.0;2510.0;3332.0;19333.0;33801.0;14041.0;21956.0;12031.0;4321.0;-2199.0;-1029.0;1154.0;3809.0;14551.0;43.37;7595.0;4653.0;;;;2941.0;22146.0;;;992.0;16.33;13.68;-280.0;12.59;693.0;9.77;0.75;0.75;3329.0;;5978.0;1731.0;7709.0;7735.0;3889.0;;2381.0;4225.0;814.0;5039.0;4491.0;2556.0;;14467.0;;3947.0;1307.0;;3631.0;5156.0;3243.0;;98.0;4574.0;7915.0;;1029.0;;;;;;33986.0;-185.0;33801.0;;2510.0;992.0;727.0;;443.0;172.0;-615.0;153.0;730.0;-351.0;-512.0;7.0;;;-1800.0;-902.0;;;-762.0;635.0;62.0;5978.0;4823.0;;0.11;69.78;6.82;10.35;2.07;1.39;32.67;3329.0;1.8;0.1;16.9;232314.0;13.7;8969.0;22694.0;21.4;9.8;47853.0;29320.0;108775.0;12.6;9.4;20.9;69.6;20.0;0.111
