;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (SEK/USD)
1996.0;18368.0;8139.0;2161.0;1570.0;1481.0;1037.0;1577.0;12340.0;16364.0;8013.0;9964.0;6401.0;1357.0;-766.0;-264.0;536.0;439.0;10229.0;44.31;6569.0;;;;;6569.0;16798.0;;;680.0;11.77;8.55;-88.0;8.06;444.0;5.65;0.65;0.65;1577.0;;2781.0;;2781.0;5164.0;2863.0;1533.0;2591.0;;456.0;456.0;;;977.0;4024.0;;1659.0;952.0;;;5403.0;331.0;;116.0;1502.0;1950.0;;;;350.0;2023.0;-2780.0;6806.0;16364.0;;16364.0;;1037.0;680.0;;;-407.0;;163.0;;;46.0;-918.0;-78.0;;;230.0;;;;-280.0;16.0;211.0;2781.0;2244.0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;21240.0;8848.0;2970.0;2375.0;2180.0;1513.0;1580.0;14945.0;18670.0;7356.0;11450.0;7220.0;1887.0;-906.0;261.0;1275.0;971.0;12392.0;41.66;6473.0;3069.0;;;;3403.0;18865.0;;;729.0;13.98;11.18;-195.0;10.26;729.0;7.12;1.1;1.1;1580.0;;3689.0;;3689.0;5844.0;2990.0;2422.0;2434.0;;95.0;95.0;;;1195.0;3725.0;;1875.0;632.0;;;4850.0;1357.0;;;2736.0;4093.0;;;;308.0;2662.0;-2778.0;7028.0;18670.0;;18670.0;;1513.0;729.0;;;-470.0;;-430.0;;;116.0;-916.0;-9.0;;;19.0;;;;-355.0;617.0;32.0;3689.0;2413.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;22741.0;9764.0;3024.0;2376.0;2245.0;1608.0;1598.0;15478.0;20647.0;8254.0;12612.0;8034.0;911.0;-2123.0;-98.0;-1343.0;-194.0;12977.0;42.93;7388.0;3456.0;;;;3932.0;20365.0;;;749.0;13.3;10.45;-131.0;9.87;667.0;7.07;1.05;1.05;1598.0;;2248.0;;2248.0;7118.0;3325.0;2787.0;2776.0;;783.0;783.0;;;1610.0;5169.0;;2250.0;815.0;;;5189.0;1555.0;;;2804.0;4358.0;;;;601.0;3721.0;-3134.0;6846.0;20647.0;;20647.0;;1608.0;749.0;;;-783.0;;-254.0;;;-662.0;-1105.0;-1093.0;;;75.0;;;;-469.0;371.0;-34.0;2248.0;3591.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;25285.0;10508.0;2790.0;2064.0;1923.0;1424.0;1598.0;17757.0;23785.0;9833.0;15409.0;8376.0;1517.0;-1803.0;1590.0;1265.0;450.0;14776.0;41.56;8444.0;3888.0;;;;4556.0;23220.0;;;867.0;11.03;8.16;-141.0;7.61;499.0;5.63;0.9;0.9;1576.0;;3405.0;;3405.0;7947.0;3017.0;3387.0;2902.0;;1238.0;1238.0;;;1888.0;6028.0;;2538.0;1410.0;;;5885.0;2863.0;;;2713.0;5576.0;;;;574.0;3717.0;-3333.0;7418.0;23785.0;;23785.0;;1424.0;867.0;;;-632.0;;84.0;;;-141.0;-1067.0;-559.0;;;-177.0;;;;-470.0;2060.0;-39.0;3405.0;2141.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;29236.0;9958.0;4234.0;3331.0;3066.0;2246.0;1588.0;21353.0;26750.0;11319.0;16657.0;10094.0;-1159.0;1843.0;-25.0;705.0;-2473.0;19279.0;34.06;6627.0;4480.0;;;;2146.0;25905.0;;;1168.0;14.48;11.39;-265.0;10.49;820.0;7.68;1.43;1.41;1576.0;;1798.0;2006.0;3804.0;8477.0;4696.0;4376.0;2391.0;;1372.0;1372.0;;;1634.0;5397.0;;3223.0;1654.0;;;6442.0;2303.0;;;3035.0;5337.0;;;;845.0;5469.0;-3481.0;7260.0;26750.0;;26750.0;;2246.0;1168.0;;;-2131.0;;-1956.0;;101.0;-2443.0;-1313.0;;;;3157.0;;216.0;-41.0;-446.0;247.0;46.0;3805.0;3100.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;22154.0;5536.0;-2157.0;-2589.0;-2897.0;-2032.0;1582.0;18668.0;23895.0;8757.0;17003.0;6891.0;-65.0;465.0;2706.0;3175.0;-858.0;16618.0;24.99;8126.0;4456.0;;;;3669.0;24743.0;;;740.0;-9.73;-11.69;-308.0;-13.08;-864.0;-9.17;-1.28;-1.28;1582.0;;3133.0;3445.0;6578.0;9709.0;2380.0;1.0;1537.0;;1248.0;1248.0;;;2442.0;5227.0;;1868.0;1942.0;;;4946.0;7246.0;;;1001.0;8247.0;;;;770.0;4987.0;-2645.0;3779.0;23895.0;;23895.0;;-2032.0;740.0;;;3249.0;;1921.0;;;-2022.0;-793.0;;;509.0;749.0;;15.0;-15.0;-411.0;3116.0;70.0;6578.0;3403.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;16814.0;5437.0;-1936.0;-2457.0;-2690.0;-2193.0;2537.0;16456.0;24022.0;7241.0;15247.0;8490.0;-1163.0;344.0;645.0;-312.0;-1480.0;11377.0;32.34;5906.0;3383.0;;;;2523.0;17283.0;;;754.0;-11.51;-14.61;-233.0;-16.0;-497.0;-13.04;-0.87;-0.87;2515.0;;2072.0;5565.0;7637.0;7271.0;1548.0;1.0;1149.0;;1455.0;1455.0;;2830.0;2132.0;7566.0;;1439.0;1555.0;;;4248.0;4166.0;;;3840.0;8006.0;;;;1843.0;2040.0;4608.0;;23737.0;285.0;24022.0;;-2193.0;754.0;;;1239.0;;991.0;;-639.0;-964.0;-316.0;;;312.0;348.0;;3338.0;;-74.0;-2619.0;-139.0;7638.0;7950.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;16340.0;5390.0;-542.0;-1560.0;-1707.0;-1505.0;3168.0;18007.0;25309.0;7460.0;16596.0;8394.0;3174.0;-473.0;-1654.0;970.0;2923.0;10949.0;32.99;6949.0;3766.0;;;;3183.0;17898.0;;;1165.0;-3.32;-9.54;-148.0;-10.45;-203.0;-9.21;-0.48;-0.48;3165.0;;2301.0;7857.0;10159.0;6326.0;1522.0;1.0;904.0;;1556.0;1556.0;;3765.0;1078.0;7302.0;;1234.0;1320.0;;;4906.0;3651.0;;;5485.0;9136.0;;;;2238.0;562.0;5592.0;1.0;24990.0;319.0;25309.0;;-1505.0;1165.0;;;3792.0;;317.0;;1791.0;-279.0;-251.0;-114.0;;;-109.0;;22.0;-21.0;-29.0;-1626.0;-75.0;10160.0;9189.0;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;19953.0;9239.0;4973.0;4375.0;4248.0;2876.0;3172.0;20696.0;27675.0;6911.0;15828.0;11688.0;3399.0;-724.0;-2201.0;506.0;3028.0;10715.0;46.3;4865.0;3154.0;;;;1711.0;15580.0;;;725.0;24.92;21.93;-127.0;21.29;1372.0;14.41;0.9;0.9;3166.0;;1845.0;9730.0;11575.0;7006.0;2117.0;-1.0;884.0;;1575.0;1575.0;;3298.0;1222.0;6979.0;;1661.0;118.0;;;5132.0;3000.0;;;5917.0;8917.0;;;;2439.0;298.0;8951.0;;27515.0;160.0;27675.0;;2876.0;725.0;;;-839.0;;-519.0;;203.0;637.0;-371.0;-234.0;;;-119.0;;2.0;;-44.0;-2159.0;32.0;11575.0;11069.0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;19101.0;8738.0;4894.0;4162.0;4194.0;3059.0;3169.0;19898.0;26274.0;10311.0;12997.0;13169.0;2097.0;130.0;-766.0;1425.0;1674.0;10363.0;45.75;4576.0;3076.0;;;;1499.0;14939.0;;;718.0;25.62;21.79;32.0;21.96;1116.0;16.02;0.96;0.96;3169.0;;5252.0;5004.0;10255.0;7227.0;2416.0;;876.0;;1819.0;1819.0;;2176.0;1504.0;6376.0;;1583.0;1357.0;;;7371.0;1784.0;;49.0;853.0;2686.0;;;;2029.0;8430.0;-88.0;2798.0;26167.0;107.0;26274.0;;3059.0;718.0;;;-2326.0;;-461.0;;;646.0;-423.0;;;802.0;-249.0;;15.0;;-520.0;-261.0;-36.0;5252.0;3826.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
