;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (JPY/USD)
1986.0;;;;;;;1971.0;;;;;;;;;;;;37.57;;;;;;;;;;;13.97;10.5;;10.5;;5.03;;;1971.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;;;;;;;1986.0;;;;;;;;;;;;32.12;;;;;;;;;;;9.77;5.91;;5.93;;2.92;;;1986.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;;;;;;;2026.0;;;;;;;;;;;;32.22;;;;;;;;;;;12.63;4.33;;6.26;;3.58;;;2026.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;;;;;;;1979.0;;;;;;;;;;;;30.84;;;;;;;;;;;8.85;5.07;;5.1;;2.79;;;1979.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;;;;;;;1967.0;;;;;;;;;;;;32.55;;;;;;;;;;;8.36;5.21;;4.07;;2.12;;;1967.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;;;;;;;1973.0;;;;;;;;;;;;31.59;;;;;;;;;;;7.69;3.41;;3.25;;1.77;;;1973.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;;;;;;;1955.0;;;;;;;;;;;;31.49;;;;;;;;;;;7.35;3.49;;3.01;;1.48;;;1955.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;;;;;;;1962.0;;;;;;;;;;;;31.91;;;;;;;;;;;6.39;2.63;;2.19;;0.93;;;1962.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;;;;;;;1967.0;;;;;;;;;;;;30.69;;;;;;;;;;;5.19;2.03;;1.49;;0.61;;;1967.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;;;;;;;1947.0;;;;;;;;;;;;30.39;;;;;;;;;;;5.84;2.72;;2.68;;1.55;;;1947.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;;;;;;;1958.0;;;;;;;;;;;;30.17;;;;;;;;;;;5.98;3.38;;3.04;;1.66;;;1958.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;;;;;;;1948.0;;;;;;;;;;;;32.81;;;;;;;;;;;10.42;7.58;;7.75;;4.18;;;1948.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;;;;;;;1949.0;;;;;;;;;;;;33.5;;;;;;;;;;;10.25;7.71;;7.7;;4.34;;;1949.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;1946.0;;;;;;;;;;;;35.13;;;;;;;;;;;11.43;8.81;;8.58;;4.9;;;1946.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;1883.0;;;;;;;;;;;;33.86;;;;;;;;;;;9.92;6.99;;7.1;;4.3;;;1883.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;1971.0;;;;;;;;;;;;29.49;;;;;;;;;;;8.99;6.3;;6.35;;3.59;;;1971.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;1949.0;;;;;;;;;;;;31.6;;;;;;;;;;;10.71;8.68;;8.07;;4.93;;;1938.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;1949.0;;;;;;;;;;;;32.13;;;;;;;;;;;11.2;8.65;;8.43;;5.35;;;1949.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;1949.0;;;;;;;;;;;;31.27;;;;;;;;;;;11.4;7.35;;7.86;;5.69;;;1902.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;1864.0;;;;;;;;;;;;30.2;;;;;;;;;;;11.31;7.29;;7.59;;5.62;;;1864.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;1845.0;;;;;;;;;;;;29.25;;;;;;;;;;;11.88;8.77;;8.22;;6.03;;;1845.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5369.11;323.54;63.15;38.53;249.29;2235.72;1845.0;0.1;0.0;117.3;9906780.0;8.8;262241.0;596987.0;38.9;6.0;636417.0;1878767.0;4125235.0;8.5;8.6;14.5;88.1;127.2;
2007.0;;;;;;;1829.0;;;;;;;;;;;;29.06;;;;;;;;;;;11.25;7.68;;7.15;;5.34;;;1829.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6062.74;323.92;167.69;80.92;326.95;2451.17;1829.0;0.1;0.0;228.3;11087835.0;7.7;371487.0;592401.0;35.8;5.3;964831.0;1905861.0;4482828.0;7.4;7.4;13.2;75.0;57.0;
