;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
2005.0;16052.0;11298.0;5431.0;4166.0;4448.0;3042.0;2112.0;10163.0;32794.0;10046.0;20956.0;11413.0;3109.0;-172.0;-3050.0;-114.0;2388.0;4755.0;70.38;11845.0;50.0;;;;11795.0;16599.0;182.0;642.0;559.0;33.83;25.95;282.0;27.71;1188.0;18.95;1.45;1.44;2095.0;;3081.0;165.0;3247.0;;3914.0;3002.0;4013.0;;13749.0;13749.0;3656.0;499.0;714.0;22631.0;;947.0;3791.0;644.0;;5309.0;8707.0;;477.0;1727.0;10910.0;;;;902.0;2153.0;-4452.0;12809.0;32369.0;425.0;32794.0;;3042.0;559.0;;;411.0;;-48.0;;;-904.0;-721.0;-207.0;;38.0;718.0;-1511.0;52.0;-945.0;-1566.0;921.0;;2864.0;2978.0;;1.72;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;19124.0;13541.0;6612.0;5136.0;5415.0;3714.0;2076.0;10561.0;34823.0;8723.0;21721.0;12657.0;3168.0;-114.0;-3814.0;-760.0;2222.0;5583.0;70.81;13235.0;71.0;;;;13164.0;18818.0;239.0;803.0;692.0;34.57;26.86;278.0;28.31;1403.0;19.42;1.8;1.79;2059.0;;2852.0;251.0;3103.0;;4028.0;3430.0;4324.0;;14645.0;14645.0;3926.0;535.0;833.0;24262.0;;1197.0;2073.0;572.0;;5454.0;10908.0;;580.0;1510.0;12998.0;;;;1013.0;3211.0;-4698.0;13131.0;34378.0;445.0;34823.0;;3714.0;692.0;;;-92.0;;41.0;;;-1146.0;-946.0;-78.0;-72.0;;983.0;-3407.0;55.0;-1130.0;-1975.0;2643.0;;2500.0;3260.0;;1.96;4.74;0.92;0.55;0.49;0.23;3.14;2059.0;28.1;1.6;1.9;9762.0;26.9;353.0;1896.0;25.9;19.4;938.0;5568.0;6461.0;17.1;17.2;29.3;46.8;137.3;1.959
2007.0;19885.0;14383.0;7185.0;5764.0;6108.0;4228.0;2039.0;10651.0;37245.0;9039.0;23174.0;13638.0;3924.0;320.0;-4434.0;-191.0;2967.0;5502.0;72.33;8616.0;85.0;;;;8531.0;14119.0;220.0;758.0;631.0;36.13;28.99;343.0;30.71;1568.0;21.26;2.09;2.07;2025.0;;2497.0;149.0;2646.0;;3940.0;4065.0;4720.0;;16088.0;16088.0;4492.0;524.0;770.0;26594.0;;1256.0;1709.0;451.0;;6074.0;12032.0;;667.0;1435.0;14134.0;;;;1004.0;3583.0;-4875.0;13926.0;36812.0;433.0;37245.0;;4228.0;631.0;;;298.0;;337.0;;;-1233.0;-957.0;220.0;;141.0;915.0;-848.0;54.0;-1570.0;-2378.0;308.0;;2342.0;2533.0;;1.98;4.95;1.05;0.74;0.59;0.24;3.39;2025.0;31.8;1.8;1.8;10018.0;29.0;318.0;2130.0;25.7;21.3;812.0;6062.0;6871.0;17.5;17.8;31.0;43.8;131.2;1.985
2008.0;17732.0;12881.0;6490.0;5225.0;5389.0;3594.0;2005.0;12783.0;40302.0;12987.0;29748.0;10158.0;4495.0;-3016.0;42.0;1521.0;3699.0;4851.0;72.64;13180.0;73.0;;;;13107.0;18030.0;192.0;783.0;614.0;36.6;29.47;164.0;30.39;1499.0;20.27;1.8;1.79;1993.0;;3378.0;116.0;3493.0;;4647.0;4643.0;4500.0;;18019.0;18019.0;3657.0;573.0;769.0;27518.0;;1182.0;3985.0;439.0;;7820.0;13804.0;;876.0;2080.0;16761.0;;;;740.0;2308.0;-4500.0;11609.0;39905.0;396.0;40302.0;;3594.0;614.0;;;551.0;;-537.0;;;-265.0;-796.0;-3009.0;;13.0;775.0;-1069.0;15.0;-755.0;-2038.0;3890.0;;3247.0;1726.0;;1.46;6.08;1.23;1.27;0.7;0.27;3.48;1993.0;27.6;1.3;2.1;12122.0;29.5;420.0;2457.0;27.8;20.3;-139.0;9437.0;6944.0;15.8;14.7;35.4;43.3;75.1;1.463
2009.0;22956.0;16464.0;7986.0;6626.0;6592.0;4383.0;1991.0;13097.0;43000.0;11174.0;30217.0;12300.0;4603.0;-425.0;-4568.0;-389.0;3708.0;6492.0;71.72;15819.0;82.0;;;;15737.0;22311.0;134.0;973.0;814.0;34.79;28.86;-34.0;28.72;1816.0;19.09;2.21;2.2;1980.0;;3492.0;92.0;3584.0;;5269.0;4244.0;4863.0;;19763.0;19763.0;4023.0;565.0;688.0;29903.0;;1050.0;2214.0;588.0;;7910.0;15692.0;;851.0;2499.0;19043.0;;;;818.0;3503.0;-5057.0;13037.0;42517.0;483.0;43000.0;;4383.0;814.0;;;239.0;;-202.0;;;-834.0;-895.0;-317.0;;60.0;727.0;-2994.0;11.0;-152.0;-2905.0;1472.0;;3197.0;3587.0;;1.62;7.18;1.37;1.16;0.91;0.28;3.84;1980.0;20.7;0.3;3.2;14208.0;28.9;504.0;2713.0;27.5;19.1;1190.0;9712.0;7613.0;16.6;16.9;35.6;33.7;82.1;1.616
2010.0;23219.0;17436.0;8134.0;6737.0;6846.0;4492.0;1994.0;13506.0;43464.0;11927.0;28569.0;14362.0;5429.0;12.0;-5123.0;318.0;4518.0;5783.0;75.09;15754.0;128.0;;;;15626.0;21537.0;90.0;910.0;786.0;35.03;29.01;109.0;29.48;1947.0;19.34;2.27;2.25;1983.0;;3633.0;90.0;3724.0;;5629.0;4153.0;4863.0;;19436.0;19436.0;4114.0;641.0;905.0;29959.0;;1111.0;2081.0;729.0;;8735.0;13910.0;;794.0;1938.0;16642.0;;;;789.0;4977.0;-5407.0;14003.0;42931.0;534.0;43464.0;;4492.0;786.0;;;780.0;;-437.0;;;-629.0;-911.0;19.0;-2.0;;906.0;-2468.0;11.0;-103.0;-3265.0;702.0;;3406.0;3087.0;;1.56;7.51;1.45;1.46;1.06;0.29;4.64;1983.0;23.8;1.1;3.1;14883.0;29.0;504.0;2879.0;28.4;19.3;1012.0;8916.0;9206.0;17.0;17.1;31.3;27.3;74.3;1.56
2011.0;23922.0;18600.0;8908.0;7334.0;7660.0;4808.0;1982.0;13197.0;42129.0;12190.0;28965.0;12687.0;5381.0;-370.0;-5386.0;-374.0;4423.0;5322.0;77.75;15398.0;126.0;;;;15272.0;20721.0;123.0;881.0;802.0;37.24;30.66;326.0;32.02;2417.0;20.1;2.44;2.43;1970.0;;3408.0;89.0;3497.0;;5434.0;4266.0;4734.0;;18630.0;18630.0;4033.0;533.0;1004.0;28932.0;;1038.0;2743.0;767.0;;8409.0;13220.0;;864.0;2691.0;16775.0;;;;786.0;4095.0;-5043.0;12849.0;41652.0;477.0;42129.0;;4808.0;802.0;;;691.0;;-73.0;;;-920.0;-959.0;-348.0;;5.0;932.0;-2026.0;8.0;-1364.0;-3663.0;1659.0;;3017.0;3391.0;;1.55;7.82;1.57;1.45;1.2;0.31;4.15;1970.0;27.4;1.7;2.8;15399.0;30.7;516.0;3095.0;31.6;20.1;648.0;8510.0;8167.0;18.8;19.5;37.9;23.8;113.5;1.554
2012.0;24685.0;19303.0;10436.0;8795.0;9179.0;6242.0;1949.0;14928.0;44409.0;13232.0;31767.0;12143.0;7194.0;-650.0;-6426.0;-167.0;5888.0;5382.0;78.2;10407.0;151.0;25.0;25.0;;10231.0;15789.0;132.0;943.0;772.0;42.28;35.63;384.0;37.18;2480.0;25.29;3.22;3.2;1939.0;;3136.0;42.0;3179.0;;6543.0;5207.0;5202.0;17540.0;1490.0;19030.0;3804.0;531.0;913.0;29481.0;;9469.0;2659.0;657.0;;1103.0;14761.0;;813.0;2963.0;18536.0;;;;824.0;3661.0;-5093.0;12751.0;43910.0;499.0;44409.0;;6242.0;772.0;;;-795.0;;-1227.0;;;975.0;-1307.0;406.0;;39.0;-16.0;-2959.0;8.0;-2241.0;-4125.0;2891.0;-286.0;2989.0;3156.0;;1.63;7.83;1.98;1.87;1.31;0.41;3.85;1939.0;25.5;1.7;2.6;15190.0;35.6;475.0;3841.0;27.0;25.3;1044.0;9083.0;7472.0;23.0;22.0;51.4;33.9;108.0;1.625
2013.0;25264.0;19895.0;10919.0;9149.0;9601.0;6463.0;1908.0;15758.0;44504.0;13967.0;33023.0;10983.0;7344.0;-555.0;-6568.0;-104.0;6151.0;5369.0;78.75;10672.0;151.0;25.0;25.0;;10497.0;16041.0;103.0;1017.0;790.0;43.22;36.21;452.0;38.0;2649.0;25.58;3.4;3.39;1901.0;;3225.0;89.0;3315.0;;6692.0;5752.0;5225.0;16968.0;1583.0;18551.0;3776.0;411.0;783.0;28746.0;;9505.0;3278.0;806.0;;1184.0;16086.0;;851.0;2119.0;19056.0;;;;839.0;3970.0;-4834.0;11008.0;44006.0;498.0;44504.0;;6463.0;790.0;;;-930.0;;-639.0;;;1022.0;-1194.0;286.0;-53.0;;162.0;-2353.0;7.0;-2621.0;-4323.0;2722.0;-326.0;2940.0;3045.0;;1.66;8.03;2.05;1.95;1.37;0.38;3.49;1901.0;25.9;1.5;2.6;15260.0;36.2;477.0;3904.0;27.6;25.6;1082.0;9716.0;6634.0;24.4;23.0;58.8;33.1;112.8;1.656
2014.0;21757.0;17038.0;8847.0;7079.0;7550.0;4851.0;1870.0;14221.0;40750.0;13656.0;31696.0;8581.0;5787.0;-732.0;-5399.0;-442.0;4709.0;4719.0;78.31;9792.0;115.0;23.0;23.0;;9654.0;14511.0;101.0;916.0;814.0;40.66;32.54;470.0;34.7;2266.0;22.3;2.6;2.59;1864.0;;2535.0;78.0;2613.0;;6436.0;5172.0;4678.0;15327.0;1498.0;16825.0;3716.0;484.0;825.0;26529.0;;8603.0;3861.0;670.0;;1193.0;15229.0;;771.0;2040.0;18040.0;;;;790.0;2457.0;-4568.0;9901.0;40276.0;473.0;40750.0;;4851.0;814.0;;;-754.0;;-631.0;;;875.0;-1078.0;146.0;-48.0;53.0;-59.0;-2024.0;8.0;-1322.0;-4223.0;2163.0;-98.0;2323.0;2766.0;;1.56;7.5;1.67;1.62;1.45;0.37;2.96;1864.0;33.7;1.9;2.6;13971.0;32.5;523.0;3115.0;30.0;22.3;363.0;9779.0;5510.0;21.1;19.9;56.5;12.9;117.6;1.557
