;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
1994.0;47.0;;22.0;;;10.0;19.0;;691.0;;375.0;316.0;24.0;-73.0;51.0;51.0;-49.0;;;;;1.0;1.0;;;-25.0;;;13.0;47.64;;;;;20.39;0.51;0.51;19.0;;;;;;;;620.0;;;;;;;;691.0;;;;;;300.0;;;;300.0;675.0;;;;-9.0;;325.0;691.0;;691.0;;10.0;13.0;;;1.0;-8.0;;8.0;;0.0;-73.0;;;;;-5.0;33.0;;-10.0;33.0;;;7.0;;
1995.0;107.0;;39.0;;;12.0;19.0;;754.0;;427.0;327.0;39.0;-84.0;45.0;45.0;-49.0;;;;;3.0;3.0;;;-61.0;;;27.0;36.62;;;;;11.55;0.63;0.63;19.0;;;;;;;;689.0;;;;;;;;754.0;;;;;;352.0;;;;352.0;779.0;;;;-33.0;;360.0;754.0;;754.0;;12.0;27.0;;;;-7.0;;1.0;;-1.0;-88.0;;;;4.0;-90.0;41.0;;-39.0;133.0;;;9.0;;
1996.0;140.0;;64.0;;;36.0;25.0;;1023.0;84.0;447.0;575.0;63.0;-241.0;177.0;-1.0;-195.0;;;75.0;;4.0;4.0;;71.0;75.0;;;28.0;45.49;;4.0;;;25.46;1.28;1.28;25.0;;8.0;;8.0;13.0;;;959.0;;;;;;;;1023.0;415.0;;;;-331.0;10.0;;;396.0;406.0;;;;0.0;-52.0;-91.0;718.0;1023.0;;1023.0;;36.0;28.0;;;-84.0;-6.0;;2.0;-84.0;83.0;-257.0;;-257.0;272.0;2.0;-1.0;261.0;;-52.0;-31.0;;8.0;9.0;;
1997.0;223.0;;92.0;;;52.0;32.0;;2272.0;238.0;1266.0;1006.0;103.0;-806.0;708.0;6.0;-725.0;;;108.0;;6.0;6.0;;102.0;108.0;;;40.0;41.03;;5.0;;;23.27;1.27;1.26;32.0;;13.0;;13.0;16.0;;;1873.0;;;;;;;;2272.0;581.0;;;;-343.0;649.0;;;531.0;1180.0;;;;0.0;-77.0;-121.0;1204.0;2272.0;;2272.0;;52.0;40.0;;;-154.0;-25.0;;20.0;-238.0;165.0;-828.0;;;38.0;-16.0;-771.0;204.0;;-80.0;1355.0;;13.0;8.0;;
1998.0;350.0;;141.0;;;76.0;38.0;;2554.0;308.0;1311.0;1244.0;149.0;-536.0;395.0;9.0;-476.0;;;277.0;;13.0;13.0;;264.0;277.0;;;66.0;40.42;;5.0;;;21.65;1.2;1.2;38.0;;22.0;;22.0;25.0;;;2407.0;;;;;;;;2554.0;316.0;;;;-8.0;949.0;;;243.0;1192.0;;;;0.0;-114.0;-176.0;1534.0;2554.0;;2554.0;;76.0;66.0;;;-70.0;-31.0;;33.0;-308.0;78.0;-625.0;;-8.0;100.0;-2.0;-828.0;39.0;;-122.0;1306.0;;22.0;13.0;;
1999.0;374.0;;193.0;;;125.0;38.0;;2527.0;320.0;1277.0;1250.0;177.0;-10.0;-186.0;-19.0;-57.0;;;279.0;;13.0;13.0;;266.0;279.0;;;68.0;51.64;;;;;33.34;2.42;2.41;38.0;;3.0;;3.0;27.0;;;2386.0;;;;;;;;2527.0;278.0;;;;42.0;949.0;;;199.0;1148.0;;;;0.0;-114.0;-211.0;1576.0;2527.0;;2527.0;;125.0;68.0;;;-12.0;-12.0;;5.0;-320.0;-4.0;-233.0;;;227.0;-4.0;-201.0;1.0;-0.0;-141.0;155.0;;3.0;22.0;;
2000.0;386.0;;188.0;;;118.0;39.0;;2618.0;339.0;1373.0;1245.0;160.0;-87.0;-68.0;5.0;-334.0;;;298.0;;17.0;17.0;;280.0;298.0;;;71.0;48.8;;;;;30.53;2.2;2.18;39.0;;8.0;;8.0;25.0;;;2458.0;;;;;;;;2618.0;366.0;;;;-27.0;949.0;;;273.0;1221.0;;;;0.0;-127.0;-220.0;1591.0;2618.0;;2618.0;;118.0;71.0;;;-19.0;-25.0;;5.0;-339.0;-10.0;-494.0;;-22.0;409.0;20.0;-217.0;;-12.0;-138.0;299.0;;8.0;3.0;;
2001.0;384.0;;204.0;;;122.0;39.0;;2621.0;307.0;1447.0;1174.0;147.0;-39.0;-116.0;-116.0;-253.0;;;316.0;;19.0;19.0;;298.0;316.0;;;81.0;53.0;;;;;31.83;2.35;2.34;39.0;;;;;27.0;;;2469.0;;;;;;;;2621.0;341.0;;;;-34.0;1048.0;;;270.0;1319.0;;;;0.0;-144.0;-277.0;1594.0;2621.0;;2621.0;;122.0;81.0;;;31.0;-24.0;;-6.0;-307.0;-88.0;-400.0;;-6.0;357.0;10.0;-501.0;19.0;-70.0;-160.0;596.0;;;8.0;;
2002.0;347.0;;202.0;;;120.0;39.0;;2630.0;306.0;1576.0;882.0;132.0;35.0;-166.0;-166.0;-206.0;;;203.0;;20.0;20.0;;183.0;203.0;;;83.0;58.42;;16.0;;;34.52;2.45;2.44;39.0;;;;;25.0;;;2396.0;;;;13.0;;;;2630.0;133.0;;;;173.0;1382.0;;;60.0;1442.0;;;0.0;0.0;-158.0;-11.0;1051.0;2458.0;172.0;2630.0;;120.0;83.0;;;2.0;-16.0;;-4.0;-306.0;-73.0;-337.0;;-17.0;368.0;20.0;-636.0;16.0;-129.0;-149.0;733.0;;;;;
2003.0;341.0;;206.0;;;114.0;39.0;;2648.0;305.0;1592.0;889.0;100.0;33.0;-131.0;-131.0;-213.0;;;221.0;;27.0;27.0;;194.0;221.0;;;92.0;60.2;;-1.0;;;33.33;2.43;2.42;39.0;;1.0;;1.0;23.0;;;2392.0;;;;13.0;;;;2648.0;123.0;;;;182.0;1408.0;;;46.0;1454.0;;;0.0;0.0;-173.0;-10.0;1072.0;2481.0;167.0;2648.0;;114.0;92.0;;;0.0;-24.0;;-6.0;-305.0;-106.0;-312.0;;-59.0;329.0;75.0;-277.0;15.0;-1.0;-146.0;278.0;;1.0;;;
