;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
2010.0;6723.0;892.0;422.0;241.0;199.0;131.0;49.0;1313.0;5203.0;2226.0;3785.0;1418.0;359.0;-189.0;-170.0;-170.0;168.0;5831.0;13.27;670.0;;670.0;670.0;;;6501.0;;40.0;183.0;6.28;3.58;-42.0;2.96;68.0;1.95;2.69;2.69;49.0;;;;;728.0;293.0;292.0;1997.0;1134.0;587.0;1721.0;;99.0;73.0;3890.0;;274.0;715.0;;;1237.0;105.0;;;1454.0;1559.0;;;;1933.0;;-515.0;;5203.0;;5203.0;;131.0;183.0;-21.0;;61.0;-190.0;5.0;;-913.0;5.0;-191.0;;;;2.0;-178.0;;;;8.0;;;;;
2011.0;6575.0;1024.0;294.0;110.0;6.0;-94.0;49.0;2268.0;6001.0;1372.0;5129.0;872.0;528.0;-197.0;584.0;584.0;331.0;5551.0;15.57;624.0;;624.0;624.0;;;6175.0;;104.0;184.0;4.47;1.67;-104.0;0.09;100.0;-1.43;-1.93;-1.93;49.0;;915.0;;915.0;711.0;380.0;262.0;2033.0;844.0;567.0;1411.0;;128.0;161.0;3733.0;;380.0;29.0;;;963.0;1830.0;;;1927.0;3757.0;;;;;-141.0;-849.0;1875.0;6001.0;;6001.0;;-94.0;184.0;;42.0;1809.0;17.0;-87.0;;896.0;-1413.0;-197.0;;;;;-976.0;;;-1429.0;2989.0;;915.0;;;
2012.0;6708.0;1079.0;542.0;358.0;241.0;146.0;50.0;2484.0;6392.0;1384.0;5725.0;667.0;332.0;-162.0;-28.0;142.0;170.0;5629.0;16.09;739.0;;739.0;739.0;;;6368.0;;117.0;184.0;8.08;5.34;-117.0;3.59;95.0;2.18;2.96;2.91;49.0;;1057.0;;1057.0;905.0;288.0;234.0;2034.0;881.0;548.0;1429.0;;329.0;116.0;3908.0;;377.0;51.0;;134.0;822.0;1779.0;;;2562.0;4341.0;;;;;;-1226.0;1893.0;6392.0;;6392.0;;146.0;184.0;79.0;41.0;204.0;-194.0;116.0;;1100.0;-322.0;-162.0;;;;;-29.0;;-1.0;-5.0;7.0;;1057.0;915.0;;
2013.0;6820.0;1237.0;738.0;512.0;394.0;261.0;50.0;2676.0;6225.0;1392.0;4704.0;1521.0;236.0;-81.0;-169.0;-14.0;97.0;5583.0;18.14;739.0;;739.0;739.0;;;6322.0;;118.0;226.0;10.82;7.51;-118.0;5.78;133.0;3.83;5.25;5.18;50.0;;1043.0;;1043.0;1123.0;311.0;199.0;1897.0;881.0;528.0;1409.0;;;243.0;3549.0;;337.0;79.0;;115.0;861.0;1700.0;;83.0;1529.0;3312.0;;;;1.0;236.0;-521.0;1805.0;6225.0;;6225.0;;261.0;226.0;-28.0;44.0;184.0;-218.0;51.0;;1284.0;-451.0;-139.0;;;;58.0;-51.0;;-119.0;-25.0;26.0;;1043.0;1057.0;;
2014.0;6957.0;1417.0;850.0;655.0;507.0;338.0;49.0;2546.0;6269.0;1312.0;4904.0;1365.0;716.0;-437.0;-332.0;-53.0;551.0;5540.0;20.37;726.0;;726.0;726.0;;;6266.0;;149.0;194.0;12.22;9.41;-148.0;7.29;169.0;4.86;6.93;6.86;49.0;;990.0;;990.0;1038.0;339.0;179.0;1792.0;1026.0;547.0;1573.0;;212.0;146.0;3723.0;;269.0;108.0;;74.0;861.0;1592.0;;;2000.0;3592.0;;;;1.0;525.0;-862.0;1701.0;6269.0;;6269.0;;338.0;194.0;-22.0;34.0;-50.0;140.0;53.0;;1234.0;222.0;-165.0;-272.0;;;;-710.0;;-138.0;-49.0;565.0;;990.0;1043.0;;
2015.0;7020.0;1503.0;949.0;769.0;632.0;404.0;48.0;2284.0;6024.0;1274.0;4534.0;1490.0;828.0;-141.0;-783.0;-96.0;640.0;5517.0;21.41;669.0;;669.0;669.0;;;6186.0;;137.0;180.0;13.52;10.95;-137.0;9.0;228.0;5.75;8.43;8.36;48.0;;894.0;;894.0;1074.0;285.0;31.0;1827.0;956.0;495.0;1451.0;;336.0;126.0;3740.0;;317.0;;;125.0;832.0;1273.0;;;1987.0;3260.0;;;;1.0;848.0;-845.0;1486.0;6024.0;;6024.0;;404.0;180.0;-15.0;43.0;-224.0;-41.0;54.0;;1010.0;440.0;-188.0;-6.0;;;53.0;-1028.0;;-232.0;-81.0;558.0;;894.0;990.0;;
2016.0;7068.0;1460.0;1044.0;858.0;784.0;573.0;47.0;2142.0;6352.0;1343.0;4699.0;1653.0;822.0;-653.0;-343.0;-174.0;537.0;5608.0;20.66;608.0;;623.0;623.0;;-15.0;6216.0;;74.0;186.0;14.77;12.14;-74.0;11.09;211.0;8.11;12.24;12.14;47.0;;720.0;;720.0;1164.0;210.0;48.0;1986.0;1234.0;548.0;1782.0;;314.0;128.0;4210.0;;316.0;;;166.0;861.0;1278.0;;;2078.0;3356.0;;;;1.0;1323.0;-951.0;1280.0;6352.0;;6352.0;;573.0;186.0;85.0;36.0;-211.0;-22.0;75.0;;799.0;153.0;-285.0;-372.0;;;4.0;;;-194.0;-98.0;-51.0;;720.0;894.0;;
2017.0;7441.0;1423.0;1071.0;865.0;772.0;479.0;46.0;2195.0;6374.0;1391.0;4616.0;1758.0;814.0;-349.0;-484.0;-19.0;432.0;6018.0;19.12;570.0;;570.0;570.0;;;6588.0;;94.0;205.0;14.39;11.62;-93.0;10.37;293.0;6.44;10.48;10.46;46.0;;701.0;;701.0;1188.0;183.0;123.0;2215.0;1217.0;508.0;1725.0;;114.0;125.0;4179.0;;375.0;;;146.0;870.0;1279.0;;;1946.0;3225.0;;;;1.0;1687.0;-900.0;970.0;6374.0;;6374.0;;479.0;205.0;184.0;34.0;5.0;-35.0;18.0;;804.0;-93.0;-382.0;3.0;;;-352.0;-615.0;;-286.0;-115.0;532.0;;701.0;720.0;;
2018.0;8176.0;1791.0;1232.0;951.0;971.0;836.0;44.0;1745.0;6383.0;1829.0;4867.0;1516.0;914.0;-476.0;-899.0;-461.0;451.0;6385.0;21.91;857.0;;871.0;871.0;;-14.0;7242.0;;58.0;203.0;15.07;11.63;20.0;11.88;135.0;10.23;19.09;19.09;44.0;;240.0;;240.0;1255.0;128.0;122.0;2517.0;1263.0;492.0;1755.0;;163.0;203.0;4638.0;;562.0;;;331.0;936.0;1283.0;;;1755.0;3038.0;;;;1.0;2609.0;-1288.0;194.0;6383.0;;6383.0;;836.0;203.0;10.0;36.0;-888.0;195.0;40.0;;-84.0;717.0;-463.0;-87.0;;;-389.0;-95.0;;-742.0;-132.0;70.0;;240.0;701.0;;
2019.0;8899.0;1531.0;980.0;736.0;683.0;549.0;41.0;1785.0;7031.0;1890.0;5443.0;1588.0;896.0;-627.0;-434.0;-165.0;366.0;7368.0;17.2;788.0;;788.0;788.0;;;8156.0;;70.0;227.0;11.01;8.27;-53.0;7.68;134.0;6.17;13.26;13.26;41.0;;75.0;;75.0;1455.0;136.0;119.0;3033.0;1373.0;492.0;1865.0;;108.0;240.0;5246.0;;497.0;;;373.0;1020.0;1286.0;;;2267.0;3553.0;;164.0;;1.0;3009.0;-1409.0;-13.0;7031.0;;7031.0;;549.0;227.0;97.0;30.0;-21.0;-51.0;-11.0;;-105.0;14.0;-530.0;-195.0;;;-432.0;-5119.0;;-262.0;-149.0;5096.0;;75.0;240.0;;
2020.0;9361.0;1670.0;1171.0;799.0;810.0;696.0;41.0;2444.0;8157.0;2226.0;6256.0;1901.0;1093.0;-759.0;103.0;437.0;740.0;7691.0;17.84;903.0;;904.0;904.0;;-1.0;8594.0;;114.0;247.0;12.51;8.54;11.0;8.65;114.0;7.44;17.14;17.14;41.0;;512.0;;512.0;1617.0;137.0;178.0;3170.0;1617.0;512.0;2129.0;;133.0;281.0;5713.0;;460.0;;;585.0;1181.0;1843.0;;;2187.0;4030.0;;157.0;;1.0;3533.0;-1547.0;-86.0;8157.0;;8157.0;;696.0;247.0;23.0;23.0;323.0;-70.0;11.0;;218.0;-219.0;-353.0;-417.0;;;-342.0;-1000.0;;-84.0;-172.0;1359.0;;512.0;75.0;;
2021.0;9524.0;1368.0;1004.0;513.0;622.0;544.0;40.0;2790.0;10627.0;2427.0;7819.0;2808.0;760.0;-1954.0;1309.0;115.0;429.0;8156.0;14.36;896.0;;898.0;898.0;;-2.0;9052.0;;89.0;293.0;10.54;5.39;109.0;6.53;78.0;5.71;13.5;13.5;40.0;;627.0;;627.0;1952.0;161.0;50.0;3348.0;2628.0;1159.0;3787.0;;;702.0;7837.0;;603.0;;;651.0;1173.0;3492.0;;313.0;1587.0;5392.0;;194.0;;1.0;3891.0;-923.0;;10627.0;;10627.0;;544.0;293.0;98.0;33.0;-214.0;58.0;-25.0;;-78.0;6.0;-331.0;-1665.0;;;-289.0;-25.0;;-101.0;-186.0;1621.0;;627.0;512.0;;
