;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
1995.0;;;;;2947.0;1752.0;1285.0;;229591.0;;222079.0;6527.0;4637.0;-2746.0;-132.0;270.0;4260.0;;;831.0;;;;;831.0;;;;451.0;;;;inf;996.0;inf;1.36;1.36;1285.0;;12044.0;;12044.0;;;;3651.0;;;;47676.0;;;;229591.0;;;;;;;;;;;222079.0;;;;;;6527.0;228607.0;985.0;229591.0;;1752.0;451.0;;;2052.0;;;;;381.0;-377.0;19.0;-2379.0;;-9.0;;45.0;;;-177.0;375.0;20419.0;20150.0;;1.55;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;;;;;4291.0;2698.0;1295.0;;252440.0;;243690.0;8692.0;389.0;5888.0;432.0;2181.0;55.0;;;834.0;;;;;834.0;;;;435.0;;;;inf;1346.0;inf;2.09;2.09;1295.0;;15629.0;;15629.0;;;;3361.0;;;;49065.0;;;;252440.0;;;;;;;;;;;243690.0;;;;;;8692.0;252381.0;58.0;252440.0;;2698.0;435.0;;;-3832.0;;;;;1088.0;-334.0;-2.0;-55513.0;61253.0;483.0;;55.0;;;377.0;-87.0;9891.0;7710.0;;1.71;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;;;;;5209.0;3847.0;1369.0;;260480.0;;250110.0;10303.0;-1077.0;3249.0;511.0;633.0;-1410.0;;;827.0;;;;;827.0;;;;407.0;;;;inf;1339.0;inf;2.81;2.75;1369.0;;16946.0;;16946.0;;;;2799.0;;;;47967.0;;;;260480.0;;;;;;;;;;;250110.0;;;;;;10303.0;260414.0;66.0;260480.0;;3847.0;407.0;;;-5550.0;;;;;219.0;-333.0;628.0;-47153.0;49927.0;180.0;;64.0;;;446.0;-18.0;1451.0;819.0;;1.65;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;;;;;4987.0;3507.0;1411.0;274840.0;277901.0;;265466.0;12365.0;-4268.0;2309.0;-346.0;-5462.0;-4648.0;;;756.0;;;;;756.0;;;;361.0;;;;inf;1459.0;inf;2.54;2.49;1384.0;;9968.0;;9968.0;;;264872.0;2703.0;;;357.0;52210.0;;-52210.0;3060.0;;;;;;;;;;;;265466.0;;;;;;12365.0;277831.0;69.0;277901.0;;3507.0;361.0;;;-9287.0;;;;;1151.0;-380.0;409.0;-68783.0;70955.0;109.0;;68.0;;;-414.0;2.0;1775.0;7237.0;;1.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;5921.0;;15480.0;;5859.0;4078.0;1422.0;480898.0;483970.0;;469851.0;14066.0;-95.0;-2814.0;2184.0;2184.0;-665.0;;;5458.0;;5081.0;5081.0;;377.0;;17013.0;9244.0;377.0;261.46;;;98.96;1782.0;68.87;2.92;2.86;1394.0;;2065.0;;2065.0;;;478833.0;2699.0;;374.0;374.0;;;;3073.0;;;;;;;;;;;;469851.0;;;2248.0;10943.0;;875.0;483917.0;53.0;483970.0;;4078.0;;;;;;;;;-4173.0;-570.0;-39.0;-37454.0;35470.0;-222.0;-374.0;175.0;;-2097.0;4481.0;;;;;1.62;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;5774.0;4048.0;1421.0;319340.0;327771.0;;311950.0;14995.0;11180.0;-6984.0;2208.0;2114.0;10539.0;;;872.0;;;;;872.0;;;;545.0;;;;inf;1653.0;inf;2.88;2.85;1406.0;;9623.0;;9623.0;;;309717.0;4543.0;;;3888.0;96840.0;;-96840.0;8431.0;;;;;;;;;;;;311950.0;;;;;;14995.0;326945.0;826.0;327771.0;;4048.0;545.0;;;5195.0;;;;;1393.0;-642.0;-7520.0;-35249.0;37173.0;-746.0;;111.0;;;2097.0;10.0;5716.0;3602.0;;1.5;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;13800.0;;15221.0;;5060.0;3645.0;1431.0;336157.0;344803.0;;327664.0;15685.0;14471.0;-12397.0;-2220.0;-146.0;12784.0;;;8626.0;;;;;8626.0;;16565.0;9359.0;802.0;110.29;;;36.67;1415.0;26.41;2.29;2.26;1418.0;;4233.0;;4233.0;;;331924.0;4905.0;;3741.0;3741.0;;;;8646.0;;;;;;;;;;;;327664.0;;;2057.0;11730.0;;1898.0;343349.0;1453.0;344803.0;;3645.0;802.0;;;8245.0;;;;;1779.0;-1687.0;-268.0;-9503.0;415.0;-1358.0;-220.0;282.0;;-2556.0;273.0;;1662.0;1808.0;;1.45;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;4201.0;2870.0;1434.0;250444.0;407269.0;;393246.0;12845.0;8691.0;-4120.0;3714.0;2852.0;8272.0;;;1418.0;;;;;1418.0;;;;1034.0;;;;inf;1231.0;inf;2.01;2.0;1427.0;;12471.0;;12471.0;;;237973.0;6600.0;;;4244.0;145981.0;;;156825.0;564094.0;;;;;;16384.0;;;;16384.0;409630.0;;;;;;;406091.0;1178.0;407269.0;;2870.0;1034.0;;;2119.0;;;;;2668.0;-419.0;-222.0;-75457.0;73325.0;-1347.0;;124.0;;;3590.0;6.0;8786.0;5934.0;;1.61;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;18958.0;;17602.0;;7631.0;5803.0;1435.0;386838.0;449434.0;;430975.0;17163.0;-1252.0;2914.0;-2531.0;-869.0;-2639.0;;;10973.0;;7993.0;7993.0;;2980.0;;18100.0;8728.0;1243.0;92.85;;;40.25;1828.0;30.61;4.06;4.05;1430.0;;4712.0;;4712.0;;;382126.0;6987.0;;4482.0;4482.0;51128.0;;;62596.0;512031.0;;;;;;18644.0;;;;18644.0;449618.0;;;2529.0;11997.0;-5830.0;8467.0;448137.0;1297.0;449434.0;;5803.0;1243.0;;;305.0;;;;;-8603.0;-1387.0;-1972.0;-63167.0;64703.0;4739.0;-136.0;57.0;;-3403.0;951.0;;1262.0;2131.0;;1.79;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;19775.0;;18283.0;;6569.0;4643.0;1441.0;475682.0;536666.0;;516389.0;19133.0;3901.0;-2564.0;-4027.0;-2691.0;1632.0;;;11286.0;;2632.0;2632.0;;8654.0;;19936.0;10500.0;1214.0;92.46;;;33.22;1926.0;23.48;3.2;3.18;1432.0;;4871.0;;4871.0;;;470810.0;8018.0;;4650.0;4650.0;48316.0;;;60984.0;597650.0;;;;;;19661.0;;;;19661.0;536050.0;;;2722.0;13559.0;-6422.0;9274.0;535523.0;1143.0;536666.0;;4643.0;1214.0;;;-514.0;;;;;-1442.0;-2269.0;-31.0;-19346.0;18663.0;1153.0;-1467.0;21.0;;-3669.0;1088.0;;2068.0;4758.0;;1.92;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;40648.0;;19473.0;;6468.0;4291.0;1445.0;417630.0;533088.0;;514794.0;17545.0;-569.0;-1106.0;-807.0;-2484.0;-1895.0;;;31836.0;;356.0;;356.0;31480.0;;21666.0;11906.0;1099.0;47.91;;;15.91;2177.0;10.56;3.0;2.97;1434.0;;1990.0;;1990.0;;;415640.0;7385.0;4085.0;4170.0;4170.0;103903.0;;;115458.0;648546.0;;;950.0;;;67715.0;;;;67715.0;582509.0;;;2444.0;12429.0;-5796.0;8468.0;532340.0;748.0;533088.0;;4291.0;1099.0;;;-11849.0;;;;;5889.0;-1326.0;-53.0;-17396.0;17668.0;1847.0;-403.0;45.0;;-3294.0;2845.0;;46042.0;48526.0;;1.72;;;;;;;;;;;;;;;;;;;;;;;;;
