;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (TWD/USD)
1999.0;;;;;;;1831.0;;;;;;;;;;;;26.4;;;;;;;;;;;53.13;12.1;;33.58;;31.12;;;1831.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;2594.0;;;;;;;;;;;;50.64;;;;;;;;;;;68.02;41.12;;43.85;;43.92;;;2594.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;2693.0;;;;;;;;;;;;13.25;;;;;;;;;;;46.69;-9.18;;-8.88;;-4.52;;;2693.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;2726.0;;;;;;;;;;;;16.62;;;;;;;;;;;62.4;0.15;;9.74;;9.38;;;2691.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;2746.0;;;;;;;;;;;;22.74;;;;;;;;;;;59.74;10.18;;15.36;;14.65;;;2684.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;2775.0;;;;;;;;;;;;28.48;;;;;;;;;;;62.55;16.88;;24.57;;24.65;;;2731.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;3058.0;295.0;1912.0;-246.0;171.0;214.0;2724.0;4415.0;10578.0;1126.0;2512.0;7872.0;1402.0;-232.0;-902.0;221.0;726.0;2763.0;9.64;541.0;294.0;;;;248.0;3304.0;32.0;33.0;1662.0;62.54;-8.06;417.0;5.59;2.0;7.0;0.08;0.08;2683.0;;3311.0;149.0;3460.0;488.0;327.0;141.0;4850.0;107.0;;107.0;;122.0;1083.0;6162.0;;168.0;187.0;;;772.0;1271.0;;2.0;114.0;1386.0;;;;6034.0;810.0;-10.0;1038.0;10385.0;193.0;10578.0;;214.0;1662.0;;;-108.0;;1.0;;18.0;-367.0;-675.0;;-174.0;510.0;108.0;;50.0;-499.0;-54.0;-399.0;-47.0;3311.0;3090.0;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;3438.0;656.0;2535.0;158.0;1123.0;1001.0;2722.0;4062.0;11285.0;1108.0;2156.0;8937.0;1445.0;-507.0;-1383.0;-453.0;425.0;2782.0;19.08;497.0;289.0;;;;208.0;3280.0;48.0;20.0;1414.0;73.75;4.61;965.0;32.67;100.0;29.12;0.38;0.37;2631.0;;2881.0;296.0;3177.0;468.0;334.0;83.0;4660.0;107.0;;107.0;;128.0;2327.0;7223.0;;149.0;289.0;;;670.0;933.0;;2.0;114.0;1048.0;;;;5873.0;1068.0;821.0;1176.0;11094.0;191.0;11285.0;;1001.0;1414.0;-0.0;;-135.0;;-39.0;;42.0;-836.0;-1020.0;;-349.0;862.0;1.0;;53.0;-838.0;-220.0;-379.0;-9.0;2881.0;3334.0;;0.03;42.57;12.4;5.26;2.72;12.63;110.66;2631.0;0.4;0.0;61.0;111987.0;4.6;46063.0;32614.0;8.9;29.1;96225.0;30378.0;291120.0;10.2;10.1;11.2;78.1;236.4;0.031
2007.0;3490.0;725.0;1818.0;188.0;606.0;522.0;3359.0;2498.0;9227.0;1395.0;1742.0;7284.0;1481.0;-671.0;-2239.0;-1422.0;609.0;2765.0;20.78;537.0;297.0;;;;240.0;3302.0;41.0;6.0;1204.0;52.1;5.4;417.0;17.36;87.0;14.97;0.16;0.16;3264.0;;1469.0;148.0;1617.0;488.0;366.0;28.0;4227.0;108.0;;108.0;;131.0;2263.0;6729.0;;175.0;716.0;;;504.0;231.0;;1.0;115.0;347.0;;;;4070.0;975.0;664.0;1575.0;9026.0;201.0;9227.0;;522.0;1204.0;51.0;;-23.0;;-42.0;;-22.0;-273.0;-872.0;;-224.0;397.0;27.0;;64.0;;-383.0;-1920.0;7.0;1469.0;2891.0;;0.03;34.72;5.2;6.06;3.81;8.67;72.45;3264.0;0.8;0.0;87.3;113317.0;5.4;39080.0;16963.0;14.3;15.0;35825.0;7496.0;236479.0;6.9;6.8;7.2;26.6;52.3;0.031
2008.0;2956.0;479.0;522.0;27.0;-671.0;-681.0;2634.0;2103.0;6606.0;392.0;755.0;5638.0;1381.0;-349.0;-1050.0;27.0;1030.0;2477.0;16.2;452.0;253.0;;;;200.0;2929.0;21.0;2.0;1171.0;17.66;0.9;-698.0;-22.71;30.0;-23.05;-0.26;-0.26;2622.0;;1483.0;64.0;1547.0;274.0;248.0;35.0;3310.0;0.0;;0.0;;109.0;1085.0;4503.0;;132.0;6.0;;;253.0;248.0;;0.0;115.0;363.0;;;;3965.0;-215.0;116.0;1772.0;6393.0;213.0;6606.0;;-681.0;1171.0;;;90.0;;21.0;;-10.0;802.0;-352.0;;-136.0;145.0;-7.0;;;-70.0;-286.0;-694.0;44.0;1483.0;1456.0;;0.03;36.96;-8.52;12.88;3.58;4.4;70.5;2622.0;-0.3;-0.0;134.0;96906.0;0.9;38383.0;-22341.0;-4.5;-23.1;56107.0;8138.0;184853.0;-11.3;-10.1;-12.1;142.0;;0.03
