;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ARS/USD)
1998.0;;;;;;;17.0;;;;;;;;;;;;52.98;;;;;;;;;;;26.43;28.46;;22.21;;21.28;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;21.0;;;;;;;;;;;;54.18;;;;;;;;;;;29.1;30.1;;24.13;;22.14;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;21.0;;;;;;;;;;;;62.76;;;;;;;;;;;15.45;27.13;;7.51;;3.52;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;21.0;;;;;;;;;;;;49.38;;;;;;;;;;;-9.35;22.66;;-16.15;;-17.64;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;17.0;;;;;;;;;;;;42.57;;;;;;;;;;;-214.14;-22.29;;-231.71;;-236.43;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;22.0;;;;;;;;;;;;32.87;;;;;;;;;;;170.86;9.45;;133.86;;134.52;;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;57.0;;;;;;;;;;;;43.48;;;;;;;;;;;69.82;40.15;;48.47;;33.69;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;128.0;70.0;84.0;49.0;62.0;36.0;46.0;135.0;874.0;108.0;286.0;434.0;32.0;-44.0;18.0;7.0;5.0;58.0;54.9;21.0;;;;;21.0;79.0;;4.0;26.0;65.87;38.16;13.0;48.56;18.0;27.91;1.26;0.79;28.0;;34.0;39.0;73.0;39.0;23.0;;498.0;;2.0;2.0;;;240.0;739.0;;23.0;33.0;;;52.0;135.0;;;44.0;179.0;;;;124.0;-26.0;102.0;234.0;720.0;154.0;874.0;;36.0;26.0;;;-12.0;;-3.0;;;-18.0;-27.0;-0.0;;;-16.0;;37.0;;-4.0;-15.0;;49.0;43.0;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;188.0;108.0;77.0;66.0;59.0;31.0;43.0;156.0;890.0;136.0;261.0;482.0;63.0;-44.0;-12.0;7.0;25.0;79.0;57.79;43.0;;;;;43.0;122.0;;;26.0;40.97;35.04;-6.0;31.6;19.0;16.72;0.8;0.74;39.0;;33.0;42.0;76.0;52.0;26.0;3.0;459.0;-6.0;1.0;-5.0;;;279.0;733.0;;41.0;42.0;;;53.0;96.0;;;29.0;125.0;;;;141.0;31.0;95.0;214.0;744.0;146.0;890.0;;31.0;26.0;;;-8.0;;8.0;;-1.0;13.0;-38.0;-1.0;-1.0;;-5.0;;14.0;;;-26.0;;53.0;46.0;;0.32;14.78;2.47;2.01;;2.97;38.01;39.0;5.2;0.3;;578.0;35.0;81.0;97.0;32.2;16.7;63.0;296.0;1487.0;5.6;6.8;6.5;100.0;-55.6;0.324
2007.0;233.0;135.0;114.0;63.0;72.0;34.0;54.0;372.0;1310.0;206.0;647.0;520.0;52.0;-161.0;282.0;172.0;-81.0;98.0;57.81;72.0;;;;;72.0;171.0;7.0;21.0;31.0;48.66;26.87;9.0;30.74;28.0;14.5;0.75;0.62;45.0;;69.0;202.0;271.0;83.0;11.0;7.0;641.0;-25.0;1.0;-24.0;;;322.0;938.0;;62.0;68.0;;;76.0;386.0;;;55.0;441.0;;;;147.0;34.0;123.0;216.0;1168.0;142.0;1310.0;;34.0;31.0;;;-36.0;;9.0;;-2.0;22.0;-133.0;-18.0;;;-11.0;;8.0;;;274.0;;224.0;52.0;;0.32;15.99;2.32;-5.55;;9.08;35.64;45.0;7.7;0.4;;722.0;26.9;96.0;105.0;38.5;14.5;512.0;1195.0;1609.0;5.3;7.1;6.5;100.0;10.1;0.323
