;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (JPY/USD)
2001.0;;;;;;;4675.0;;;;;;;;;;;;;;;;;;;;;;;72.21;-6.96;;-6.95;;-7.36;;;4675.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;5500.0;;;;;;;;;;;;;;;;;;;;;;;41.25;-18.23;;-18.23;;-12.17;;;5444.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;6550.0;;;;;;;;;;;;;;;;;;;;;;;47.35;;;13.04;;10.74;;;6005.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;6562.0;;;;;;;;;;;;;;;;;;;;;;;74.95;53.11;;51.26;;35.71;;;6392.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;6632.0;;;;;;;;;;;;;;;;;;;;;;;66.54;36.68;;36.69;;21.12;;;6607.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;8121000.0;;;;;;;;;;;;;;;;;;;;;;;67.54;21.4;;21.4;;14.69;;;8121000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.04;0.03;0.01;0.01;1.19;8121000.0;306.1;16.9;0.1;2475279.0;21.4;260825.0;363511.0;31.2;14.7;114262361.0;21098104.0;9668153.0;0.5;0.8;3.8;82.3;351.0;
2007.0;;;;;;;10053000.0;;;;;;;;;;;;;;;;;;;;;;;75.77;;;27.7;;14.19;;;10053000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.41;0.06;0.13;0.01;0.03;1.04;10053000.0;184.0;10.6;0.1;4096602.0;;383870.0;581288.0;48.7;14.2;111025400.0;14389930.0;10433312.0;0.8;1.5;5.6;82.3;26.3;
2008.0;;;;;;;10306.0;;;;;;;;;;;;;;;;;;;;;;;65.31;0.32;;0.32;;-14.0;;;10306.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;375.92;-52.63;-3.48;13.7;40.66;823.81;10306.0;-0.2;-0.0;163.8;3874228.0;0.3;432457.0;-542436.0;4476.3;-14.0;123235378.0;13675250.0;8490115.0;-50.2;1.1;-6.4;126.0;;
2009.0;;;;;;;10821.0;;;;;;;;;;;;;;;;;;;;;;;12.14;-74.42;;-74.42;;-63.23;;;10821.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;214.56;-135.66;-137.41;14.16;32.02;576.18;10821.0;-0.0;-0.0;252.8;2321805.0;-74.4;410362.0;-1468040.0;15.0;-63.2;113381608.0;13273288.0;6234895.0;-0.1;-0.1;-23.5;110.4;;
2010.0;4649741.0;;2553584.0;1371864.0;1371864.0;920006.0;12333.0;122297325.0;214090305.0;7607712.0;204350266.0;9487602.0;2471684.0;-11571442.0;8875947.0;-223340.0;2166055.0;;;;;1363534.0;1092205.0;271330.0;;;2771304.0;828608.0;369437.0;54.92;29.5;;29.5;435533.0;19.79;72.77;72.62;12324.0;;8583008.0;53940707.0;62523716.0;1855248.0;;57918361.0;1064829.0;408203.0;1194245.0;1602448.0;89125704.0;;;91792980.0;305883285.0;2129569.0;5478143.0;;;;15153794.0;;81552.0;;15235346.0;211977900.0;223558.0;473047.0;1758265.0;-19396.0;207726.0;7067961.0;213837868.0;252437.0;214090305.0;;920006.0;369437.0;338535.0;;528813.0;3555.0;;-7347.0;526440.0;314892.0;-305629.0;1380.0;-145864757.0;129397602.0;5016559.0;-2640252.0;1109729.0;-4944.0;-159950.0;10571365.0;471.0;3062900.0;3286240.0;;1.07;352.6;69.77;164.26;12.13;23.18;719.47;12324.0;0.1;0.0;243.6;4345552.0;29.5;345268.0;859819.0;31.7;19.8;107186554.0;14162424.0;8866918.0;0.7;1.0;9.7;82.6;-43.6;1.07
2011.0;4168053.0;;2274007.0;1006276.0;1006276.0;555033.0;14145.0;134475947.0;243818982.0;9293171.0;233397263.0;10028442.0;5093457.0;-9967216.0;5355558.0;442637.0;4792865.0;;;;;1430679.0;1175324.0;255356.0;;;2861095.0;806082.0;384177.0;54.56;24.14;;24.14;528716.0;13.32;37.5;37.36;14132.0;;13133481.0;65426189.0;78559670.0;2255976.0;;53660301.0;1156886.0;436761.0;1191709.0;1628470.0;106557679.0;;;109343035.0;353162017.0;2937483.0;6355688.0;;;;16053451.0;;145965.0;;16199416.0;240303507.0;210057.0;531360.0;1976082.0;305777.0;-458252.0;7673475.0;243425705.0;393277.0;243818982.0;;555033.0;384177.0;380553.0;;3168308.0;32229.0;;-21863.0;3149679.0;605387.0;-300593.0;55236.0;-140270450.0;130317689.0;48483.0;-3737886.0;393.0;-300578.0;-228720.0;9622350.0;-39163.0;3883103.0;3440466.0;;1.2;245.4;32.68;282.19;13.47;17.7;590.44;14132.0;0.1;0.0;284.7;3467887.0;24.1;319641.0;461796.0;52.5;13.3;104154069.0;13356728.0;8343824.0;0.4;0.8;5.5;58.8;11.0;1.202
