;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2005.0;723.0;161.0;37.0;21.0;15.0;8.0;36.0;517.0;820.0;398.0;404.0;331.0;30.0;-84.0;56.0;2.0;-34.0;561.0;22.34;141.0;15.0;;;;125.0;702.0;3.0;9.0;17.0;5.14;2.89;-6.0;2.01;3.0;1.17;0.23;0.23;36.0;;91.0;;91.0;166.0;203.0;57.0;236.0;26.0;;26.0;;8.0;33.0;303.0;;204.0;113.0;;;81.0;6.0;;;;6.0;;;;4.0;80.0;37.0;210.0;735.0;85.0;820.0;;8.0;17.0;-1.0;;-27.0;;-36.0;;;33.0;-64.0;;-20.0;;-0.0;;;;-15.0;71.0;-1.0;91.0;90.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1008.0;185.0;59.0;44.0;30.0;16.0;37.0;629.0;1159.0;563.0;661.0;397.0;92.0;-188.0;98.0;1.0;45.0;823.0;18.38;141.0;24.0;;;;116.0;963.0;7.0;17.0;21.0;5.81;4.4;-15.0;2.94;4.0;1.61;0.38;0.38;37.0;;109.0;;109.0;240.0;228.0;53.0;303.0;31.0;;31.0;;10.0;185.0;530.0;;322.0;147.0;;;93.0;98.0;;;;98.0;;;;5.0;95.0;51.0;246.0;1058.0;101.0;1159.0;;16.0;21.0;-3.0;;44.0;;15.0;;;14.0;-47.0;;-134.0;2.0;-8.0;;;;-4.0;102.0;-1.0;109.0;107.0;;0.13;211.1;3.39;9.47;0.88;9.88;83.23;37.0;2.1;0.1;12.4;7867.0;4.4;162.0;127.0;15.0;1.6;520.0;768.0;3102.0;6.5;3.6;4.1;74.0;9.3;0.128
2007.0;1398.0;285.0;138.0;123.0;115.0;77.0;37.0;833.0;1402.0;683.0;795.0;482.0;12.0;-25.0;-20.0;-33.0;-26.0;1114.0;20.35;161.0;22.0;;;;139.0;1275.0;8.0;18.0;33.0;9.86;8.81;-8.0;8.2;10.0;5.5;1.93;1.93;37.0;;76.0;;76.0;473.0;241.0;43.0;343.0;32.0;;32.0;;5.0;188.0;568.0;;367.0;120.0;;;196.0;112.0;;;;112.0;;;;5.0;168.0;62.0;248.0;1277.0;124.0;1402.0;;77.0;33.0;5.0;;-130.0;;-12.0;;;28.0;-39.0;;;13.0;1.0;;;;-4.0;-16.0;-1.0;76.0;109.0;;0.14;274.08;15.07;-5.18;0.81;7.61;94.49;37.0;0.6;0.0;8.5;10214.0;8.8;239.0;562.0;8.7;5.5;1100.0;821.0;3521.0;16.2;8.2;16.0;94.6;-15.7;0.137
2008.0;1522.0;267.0;114.0;89.0;68.0;37.0;37.0;891.0;1424.0;741.0;778.0;503.0;93.0;-38.0;-28.0;25.0;29.0;1255.0;17.55;179.0;26.0;;;;153.0;1434.0;;22.0;39.0;7.48;5.82;-21.0;4.46;16.0;2.43;0.99;0.99;37.0;;102.0;;102.0;426.0;330.0;34.0;352.0;31.0;;31.0;146.0;3.0;;532.0;;383.0;157.0;2.0;30.0;171.0;37.0;;;;37.0;;;;5.0;201.0;7.0;290.0;1281.0;143.0;1424.0;;37.0;39.0;0.0;;-16.0;79.0;-88.0;15.0;-2.0;32.0;-63.0;-0.0;;20.0;5.0;-188.0;;;-9.0;169.0;-1.0;102.0;76.0;;0.15;278.63;6.77;5.37;1.59;11.6;92.06;37.0;1.2;0.1;19.4;10384.0;5.8;267.0;252.0;23.8;2.4;1028.0;255.0;3431.0;10.5;5.8;7.4;76.5;29.6;0.147
2009.0;1930.0;373.0;167.0;125.0;142.0;92.0;37.0;1318.0;1949.0;1031.0;1157.0;593.0;582.0;-117.0;-49.0;415.0;467.0;1557.0;19.32;259.0;44.0;;;;216.0;1816.0;;11.0;42.0;8.64;6.48;16.0;7.34;22.0;4.77;2.47;2.47;37.0;;536.0;;536.0;395.0;312.0;76.0;461.0;31.0;;31.0;41.0;35.0;63.0;631.0;;907.0;66.0;;;57.0;92.0;26.0;5.0;4.0;126.0;;;0.0;253.0;353.0;-283.0;271.0;1750.0;199.0;1949.0;;92.0;42.0;;;415.0;;-7.0;;4.0;32.0;-114.0;-10.0;-0.0;;7.0;-184.0;;;-2.0;138.0;-0.0;536.0;121.0;;0.15;353.54;16.86;85.56;0.44;20.95;108.65;37.0;0.5;0.0;5.2;13176.0;6.5;285.0;628.0;15.2;4.8;1964.0;625.0;4049.0;14.7;7.1;15.5;97.4;0.5;0.146
2010.0;2459.0;608.0;281.0;296.0;268.0;169.0;37.0;1726.0;2465.0;1349.0;1435.0;773.0;222.0;-59.0;-101.0;61.0;125.0;1851.0;24.73;312.0;49.0;;;;263.0;2163.0;;20.0;42.0;11.42;12.03;-28.0;10.89;50.0;6.89;4.6;4.6;37.0;;616.0;;616.0;675.0;399.0;36.0;497.0;32.0;2.0;34.0;90.0;45.0;72.0;738.0;;1199.0;64.0;;;86.0;31.0;41.0;12.0;3.0;86.0;;;0.0;262.0;527.0;-321.0;306.0;2208.0;256.0;2465.0;;169.0;42.0;;;-86.0;;-62.0;;-20.0;97.0;-98.0;-28.0;;0.0;65.0;-141.0;;;-10.0;49.0;-1.0;616.0;555.0;;0.15;434.86;29.98;22.05;1.69;17.25;136.78;37.0;0.6;0.0;8.8;16208.0;12.0;275.0;1117.0;18.6;6.9;2488.0;202.0;5098.0;22.6;10.8;21.9;94.4;7.7;0.152
2011.0;2454.0;547.0;239.0;244.0;206.0;130.0;37.0;2210.0;3043.0;1785.0;1875.0;881.0;-280.0;-83.0;375.0;10.0;-410.0;1907.0;22.29;303.0;52.0;;;;251.0;2210.0;;25.0;48.0;9.73;9.94;-37.0;8.41;36.0;5.3;3.38;3.38;37.0;;655.0;;655.0;1137.0;384.0;33.0;596.0;34.0;4.0;38.0;81.0;57.0;62.0;833.0;;1150.0;564.0;;;71.0;23.0;51.0;16.0;0.0;90.0;;;0.0;;576.0;-367.0;;2756.0;287.0;3043.0;;130.0;48.0;;;-565.0;-389.0;36.0;;-2.0;107.0;-130.0;-5.0;;;50.0;-76.0;;;-58.0;509.0;-1.0;655.0;645.0;;0.16;414.5;21.97;-69.27;9.81;21.97;148.74;37.0;1.0;0.1;46.0;15444.0;9.9;302.0;819.0;17.5;5.3;2670.0;145.0;5542.0;16.2;6.9;14.8;55.3;-14.2;0.159
2012.0;2159.0;462.0;201.0;187.0;147.0;91.0;37.0;2003.0;2877.0;1540.0;1629.0;947.0;243.0;-81.0;-323.0;-160.0;121.0;1696.0;21.41;290.0;60.0;;;;230.0;1987.0;16.0;33.0;54.0;9.31;8.65;-40.0;6.79;23.0;4.22;2.43;2.43;37.0;;507.0;46.0;553.0;1095.0;331.0;23.0;700.0;34.0;22.0;56.0;61.0;57.0;;874.0;;736.0;375.0;;;428.0;18.0;52.0;19.0;;89.0;;;0.0;277.0;639.0;46.0;-15.0;2577.0;300.0;2877.0;;91.0;54.0;;;52.0;29.0;69.0;-53.0;7.0;46.0;-122.0;6.0;;1.0;16.0;-776.0;;;-34.0;487.0;1.0;502.0;662.0;;0.16;360.83;15.22;20.18;5.68;20.39;158.34;37.0;0.9;0.1;39.7;13449.0;8.7;335.0;567.0;15.6;4.2;2885.0;111.0;5902.0;12.0;5.7;9.6;62.7;28.2;0.161
2013.0;2627.0;539.0;241.0;232.0;192.0;116.0;37.0;2248.0;3187.0;1532.0;1794.0;1056.0;97.0;-91.0;-91.0;-88.0;14.0;2088.0;20.53;323.0;77.0;;;;245.0;2410.0;13.0;26.0;62.0;9.16;8.82;-40.0;7.31;37.0;4.4;3.07;3.07;37.0;;429.0;23.0;452.0;1279.0;392.0;125.0;733.0;35.0;24.0;59.0;83.0;64.0;;940.0;;840.0;203.0;11.0;33.0;455.0;170.0;51.0;23.0;18.0;262.0;;0.0;0.0;285.0;739.0;50.0;-18.0;2850.0;337.0;3187.0;;116.0;62.0;;;-152.0;-219.0;-49.0;131.0;-15.0;71.0;-83.0;-2.0;-53.0;8.0;38.0;-509.0;;;-34.0;451.0;-2.0;429.0;517.0;;0.17;426.6;18.79;2.27;5.57;13.55;171.46;37.0;1.0;0.1;29.8;15902.0;8.8;377.0;700.0;19.1;4.4;4334.0;1028.0;6392.0;10.9;6.3;11.0;70.3;245.4;0.165
2014.0;2648.0;530.0;233.0;208.0;194.0;118.0;38.0;2078.0;3024.0;1285.0;1550.0;1126.0;86.0;-84.0;-51.0;-49.0;-25.0;2118.0;20.02;332.0;80.0;;;;252.0;2450.0;7.0;19.0;67.0;8.79;7.86;-15.0;7.31;29.0;4.44;3.12;3.12;38.0;;369.0;35.0;404.0;1344.0;315.0;15.0;787.0;34.0;17.0;52.0;44.0;63.0;0.0;946.0;;679.0;195.0;6.0;36.0;376.0;174.0;50.0;22.0;19.0;265.0;;0.0;0.0;296.0;793.0;49.0;-13.0;2676.0;349.0;3024.0;;118.0;67.0;;1.0;-150.0;-14.0;70.0;-184.0;-22.0;50.0;-111.0;-3.0;-16.0;32.0;10.0;-312.0;;;-26.0;287.0;-1.0;369.0;418.0;;0.16;435.73;19.36;-4.11;4.2;18.31;185.27;38.0;1.0;0.1;20.7;16436.0;7.9;419.0;730.0;15.0;4.4;4926.0;1078.0;6988.0;10.1;6.2;10.4;78.3;-102.2;0.161
2015.0;2115.0;430.0;167.0;124.0;106.0;53.0;39.0;2020.0;2898.0;1348.0;1445.0;1115.0;260.0;-4.0;-75.0;182.0;198.0;1685.0;20.32;303.0;78.0;;;;224.0;1988.0;6.0;17.0;70.0;7.9;5.86;-18.0;5.0;27.0;2.48;1.36;1.36;39.0;;535.0;3.0;538.0;1158.0;267.0;57.0;727.0;33.0;13.0;45.0;51.0;53.0;1.0;877.0;;592.0;369.0;6.0;41.0;346.0;9.0;;20.0;69.0;98.0;;0.0;0.0;301.0;772.0;51.0;-9.0;2560.0;337.0;2898.0;;53.0;70.0;;2.0;63.0;113.0;26.0;-76.0;1.0;72.0;-61.0;23.0;-10.0;30.0;15.0;-427.0;;;-22.0;374.0;1.0;535.0;353.0;;0.15;354.7;8.81;33.29;3.67;10.27;186.98;39.0;1.9;0.1;22.4;13733.0;5.9;456.0;341.0;25.8;2.5;4366.0;57.0;7240.0;5.9;3.8;4.7;58.4;11.0;0.154
2016.0;1966.0;427.0;175.0;139.0;127.0;74.0;40.0;1914.0;2676.0;1155.0;1239.0;1106.0;328.0;-82.0;-224.0;26.0;277.0;1540.0;21.69;293.0;85.0;;;;208.0;1833.0;8.0;11.0;67.0;8.9;7.08;-12.0;6.47;23.0;3.77;1.85;1.85;40.0;;526.0;54.0;580.0;1065.0;243.0;26.0;649.0;31.0;12.0;42.0;26.0;44.0;1.0;762.0;;672.0;129.0;6.0;35.0;318.0;2.0;;17.0;65.0;84.0;;;0.0;296.0;764.0;48.0;-2.0;2345.0;331.0;2676.0;;74.0;67.0;;1.0;144.0;17.0;8.0;111.0;8.0;41.0;-51.0;-1.0;-42.0;1.0;10.0;-402.0;;;-17.0;195.0;4.0;526.0;500.0;;0.14;341.53;12.89;48.1;2.95;8.78;192.04;40.0;0.8;0.0;27.3;13665.0;7.1;465.0;516.0;18.1;3.8;5272.0;16.0;7684.0;7.4;4.6;6.7;77.1;6.1;0.144
2017.0;2493.0;540.0;262.0;264.0;250.0;147.0;41.0;2461.0;3230.0;1446.0;1542.0;1283.0;211.0;19.0;43.0;267.0;166.0;1953.0;21.67;369.0;93.0;;;;276.0;2322.0;16.0;15.0;66.0;10.49;10.58;-14.0;10.02;34.0;5.88;3.6;3.6;41.0;;828.0;83.0;911.0;1123.0;399.0;27.0;644.0;33.0;2.0;34.0;41.0;48.0;1.0;769.0;;796.0;246.0;8.0;18.0;386.0;4.0;1.0;18.0;74.0;97.0;;;0.0;320.0;924.0;51.0;-11.0;2826.0;404.0;3230.0;;147.0;66.0;;0.0;-2.0;;-138.0;;;-0.0;-44.0;68.0;;;-4.0;-169.0;1.0;;-36.0;248.0;-6.0;828.0;562.0;;0.15;397.94;23.4;26.51;5.79;7.1;204.77;41.0;0.8;0.0;29.8;16222.0;10.6;432.0;954.0;13.5;5.9;6604.0;26.0;8348.0;12.2;6.9;11.4;75.3;21.2;0.154
2018.0;2363.0;449.0;208.0;186.0;172.0;101.0;41.0;2386.0;3147.0;1389.0;1527.0;1220.0;97.0;-12.0;-65.0;25.0;12.0;1914.0;19.01;286.0;65.0;;;;221.0;2200.0;21.0;16.0;61.0;8.8;7.89;-15.0;7.26;30.0;4.28;2.47;2.47;41.0;;808.0;65.0;873.0;1113.0;369.0;31.0;597.0;31.0;30.0;61.0;43.0;52.0;7.0;761.0;;384.0;291.0;6.0;42.0;673.0;2.0;8.0;20.0;108.0;138.0;;0.0;;302.0;885.0;48.0;-16.0;2747.0;400.0;3147.0;;101.0;61.0;;;-99.0;;8.0;;;34.0;-85.0;;;;48.0;-234.0;;;-87.0;256.0;4.0;808.0;783.0;;0.15;398.12;17.02;2.01;14.63;14.4;205.53;41.0;1.2;0.0;73.3;16263.0;7.9;421.0;695.0;17.5;4.3;6862.0;15.0;8396.0;8.9;5.3;8.3;14.1;726.6;0.145
2019.0;2587.0;446.0;197.0;165.0;148.0;87.0;41.0;2496.0;3425.0;1610.0;1764.0;1259.0;227.0;-116.0;-85.0;28.0;46.0;2141.0;17.24;310.0;71.0;;;;240.0;2452.0;25.0;18.0;67.0;7.6;6.36;-16.0;5.74;25.0;3.36;2.13;2.13;41.0;;826.0;53.0;879.0;1166.0;408.0;44.0;664.0;31.0;106.0;137.0;47.0;61.0;21.0;929.0;;493.0;299.0;6.0;55.0;762.0;5.0;8.0;22.0;120.0;154.0;;9.0;;299.0;927.0;48.0;-15.0;3023.0;403.0;3425.0;;87.0;67.0;;;67.0;;-45.0;;;7.0;-182.0;-6.0;;22.0;-25.0;-294.0;;;-34.0;244.0;1.0;826.0;798.0;;0.14;441.08;14.81;7.81;5.85;30.95;214.65;41.0;1.0;0.0;39.2;18016.0;6.4;465.0;605.0;16.7;3.4;6173.0;31.0;8768.0;7.7;4.3;6.9;60.5;74.8;0.144
2020.0;3153.0;489.0;212.0;181.0;149.0;84.0;41.0;2951.0;4028.0;2000.0;2215.0;1381.0;217.0;-120.0;-71.0;19.0;51.0;2664.0;15.5;334.0;96.0;;;;238.0;2998.0;26.0;23.0;76.0;6.72;5.74;-32.0;4.72;29.0;2.67;2.06;2.06;41.0;;900.0;41.0;941.0;1286.0;688.0;37.0;711.0;33.0;195.0;227.0;57.0;61.0;20.0;1077.0;;558.0;269.0;10.0;133.0;1040.0;79.0;10.0;17.0;109.0;215.0;;6.0;;319.0;1035.0;52.0;-25.0;3596.0;432.0;4028.0;;84.0;76.0;;;48.0;;-259.0;;;9.0;-166.0;;-1.0;0.0;-30.0;-320.0;;;-38.0;287.0;-7.0;900.0;881.0;;0.15;503.56;13.43;8.09;6.02;26.54;220.56;41.0;1.1;0.0;41.9;20581.0;5.7;495.0;549.0;19.8;2.7;6209.0;517.0;9015.0;6.8;3.8;6.1;55.2;74.4;0.153
2021.0;3343.0;464.0;68.0;104.0;71.0;43.0;41.0;;;;;1393.0;79.0;-116.0;-132.0;-171.0;-56.0;2879.0;13.88;360.0;133.0;276.0;;;-50.0;3239.0;;18.0;;2.03;3.12;-33.0;2.12;7.0;1.28;1.05;1.05;41.0;;;;;;819.0;;;;;;;;;;;1157.0;;;;;;;;;;;;;;;;;;;;;71.0;90.0;;;-39.0;;-116.0;;;-42.0;-135.0;-3.0;-13.0;1.0;-12.0;-313.0;;;-71.0;251.0;-3.0;753.0;924.0;;0.16;520.2;6.67;-8.68;10.98;21.03;216.71;41.0;2.3;0.1;72.5;21266.0;3.1;;273.0;9.7;1.3;;;8859.0;inf;inf;3.1;0.7;-126.4;0.157
