;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2011.0;;;;;;;1561.0;;;;;;;;;;;;;;;;;;;;;;;105.82;;;40.68;;26.51;;;1539.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.95;26.76;28.77;4.18;3.79;225.09;1539.0;0.6;0.0;26.7;155404.0;;7697.0;41197.0;34.3;26.5;2000033.0;93287.0;346492.0;3.7;5.4;11.9;84.4;14.5;
2012.0;;;;;;;1575.0;;;;;;;;;;;;;;;;;;;;;;;130.0;;;41.25;;27.81;;;1554.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115.21;32.04;19.03;5.76;5.1;254.28;1554.0;0.5;0.0;33.3;178988.0;;7918.0;49783.0;32.3;27.8;2314343.0;178367.0;395055.0;4.6;6.3;12.6;82.0;30.3;
2013.0;;;;;;;1591.0;;;;;;;;;;;;;;;;;;;;;;;133.83;;;41.38;;27.81;;;1574.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141.2;39.28;39.09;7.49;6.35;297.64;1574.0;0.5;0.0;41.2;222254.0;;8991.0;61819.0;32.4;27.8;2860317.0;295220.0;468474.0;4.8;6.6;13.2;80.9;19.2;
2014.0;;;;;;;1605.0;;;;;;;;;;;;;;;;;;;;;;;136.59;;;46.22;;30.11;;;1594.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165.3;49.78;73.69;9.65;6.1;333.79;1594.0;0.4;0.0;43.6;263407.0;;8519.0;79320.0;34.7;30.1;3746259.0;395209.0;531907.0;4.7;6.9;14.9;80.6;13.1;
2015.0;5056.0;;6808.0;;2464.0;1588.0;1632.0;73360.0;100144.0;5352.0;88119.0;12004.0;1750.0;-18746.0;16463.0;-475.0;1607.0;;;;;1878.0;1878.0;;;;8013.0;4234.0;114.0;134.65;;;48.74;872.0;31.4;0.98;0.97;1616.0;;8246.0;24071.0;32316.0;1166.0;;39878.0;534.0;1199.0;0.0;1199.0;25051.0;;;26784.0;126928.0;1925.0;3427.0;;;;7327.0;207.0;;;7534.0;90301.0;;;80.0;3661.0;2063.0;6200.0;100123.0;21.0;100144.0;;1588.0;114.0;-6.0;146.0;-308.0;-83.0;;76.0;61.0;215.0;-143.0;;-22129.0;13231.0;-9706.0;-789.0;1556.0;;-309.0;16005.0;58.0;5458.0;5933.0;;0.02;195.56;61.42;62.16;11.94;5.52;464.31;1616.0;0.5;0.0;40.4;315998.0;;7125.0;99238.0;35.4;31.4;4250484.0;457934.0;750252.0;4.6;6.7;13.2;80.6;-77.6;0.016
2016.0;5877.0;;7942.0;;2802.0;1781.0;1697.0;85701.0;116825.0;6111.0;103676.0;13127.0;2568.0;-17287.0;15220.0;552.0;2417.0;;;;;2273.0;2273.0;;;;9444.0;5029.0;112.0;135.14;;;47.68;1020.0;30.3;1.06;1.05;1678.0;;8021.0;28368.0;36389.0;1402.0;;47910.0;539.0;1132.0;0.0;1132.0;29453.0;;;31124.0;147948.0;2282.0;3829.0;;;;7887.0;75.0;;;7961.0;105526.0;;;76.0;4387.0;2438.0;6225.0;116802.0;22.0;116825.0;;1781.0;112.0;-21.0;190.0;135.0;-187.0;;123.0;-141.0;372.0;-151.0;;-46479.0;40924.0;-11582.0;-1199.0;;;-368.0;16787.0;51.0;5703.0;5151.0;;0.02;231.9;70.26;95.39;14.52;5.95;517.97;1678.0;0.5;0.0;45.2;389195.0;;7435.0;117915.0;36.4;30.3;5270842.0;522314.0;869310.0;4.5;6.7;13.6;79.3;15.2;0.015
2017.0;7094.0;;9247.0;;3376.0;2157.0;1717.0;104477.0;139178.0;8923.0;123400.0;15750.0;5822.0;-24225.0;19249.0;814.0;5628.0;;;;;2568.0;2568.0;;;;11137.0;5737.0;136.0;130.35;;;47.6;1216.0;30.41;1.27;1.26;1696.0;;8699.0;32410.0;41109.0;1598.0;;61771.0;598.0;1150.0;0.0;1150.0;32953.0;;;34701.0;173879.0;3976.0;4947.0;;;;11220.0;;;;11220.0;125697.0;;;79.0;5595.0;3281.0;6796.0;139150.0;28.0;139178.0;;2157.0;136.0;-77.0;126.0;2873.0;-139.0;;50.0;541.0;607.0;-194.0;;-44363.0;41249.0;-20918.0;-1889.0;;;-449.0;21587.0;-31.0;6611.0;5797.0;;0.02;272.44;82.85;216.15;17.26;7.45;604.91;1696.0;0.5;0.0;40.2;462122.0;;8880.0;140530.0;36.0;30.4;6225027.0;730921.0;1026054.0;4.5;6.5;13.7;79.2;8.0;0.015
2018.0;8726.0;;10863.0;;4259.0;2744.0;1743.0;136227.0;174716.0;15884.0;156633.0;18047.0;1449.0;-31483.0;32231.0;2205.0;1308.0;;;;;2947.0;2947.0;;;;12964.0;6460.0;149.0;124.49;;;48.81;1510.0;31.44;1.59;1.57;1720.0;;11052.0;34163.0;45215.0;1831.0;;89182.0;599.0;1152.0;0.0;1152.0;36738.0;;;38489.0;213204.0;3908.0;11976.0;;;;14339.0;;;;14339.0;155088.0;;;80.0;7114.0;3528.0;7325.0;174680.0;36.0;174716.0;;2744.0;149.0;-160.0;101.0;-2361.0;-162.0;;323.0;-2026.0;976.0;-141.0;;-23333.0;21034.0;-29042.0;-3461.0;;;-530.0;36222.0;7.0;8825.0;6620.0;;0.02;330.02;103.77;49.46;20.05;5.34;682.51;1720.0;0.5;0.0;40.2;567758.0;;9680.0;178515.0;35.5;31.4;7829733.0;932906.0;1174164.0;4.4;6.1;15.2;80.7;40.5;0.015
2019.0;9614.0;;12758.0;;4895.0;3169.0;1805.0;147788.0;191233.0;12845.0;167680.0;23509.0;2639.0;-22133.0;21852.0;2314.0;2404.0;;;;;3076.0;3076.0;;;;15001.0;7693.0;176.0;132.7;;;50.92;1719.0;32.97;1.77;1.76;1787.0;;12318.0;37920.0;50238.0;2322.0;;95228.0;622.0;1079.0;;1079.0;41744.0;;;43445.0;234678.0;3427.0;9418.0;;;;15042.0;;;;15042.0;169876.0;;;78.0;8456.0;4322.0;10653.0;191189.0;44.0;191233.0;;3169.0;176.0;-117.0;77.0;-1818.0;-217.0;;198.0;-1390.0;1152.0;-236.0;;-25698.0;20028.0;-16227.0;-3227.0;;;-591.0;25669.0;-44.0;10582.0;8268.0;;0.01;373.67;123.19;93.42;22.96;9.15;913.74;1787.0;0.5;0.0;39.9;667628.0;;12249.0;220104.0;35.1;33.0;9371036.0;1044553.0;1632575.0;4.6;6.6;13.5;81.4;24.6;0.014
2020.0;10506.0;;13230.0;;4855.0;3454.0;1835.0;160124.0;211814.0;8449.0;186648.0;25121.0;2272.0;-28537.0;24494.0;-1631.0;2029.0;;;;;3503.0;3503.0;;;;16083.0;8207.0;170.0;125.92;;;46.21;1400.0;32.87;1.89;1.88;1823.0;;9644.0;45201.0;54845.0;5381.0;;99897.0;1448.0;994.0;;994.0;49248.0;;;51690.0;263505.0;3441.0;5008.0;;;;14493.0;;;;14493.0;192691.0;871.0;;73.0;9466.0;5419.0;10163.0;211769.0;45.0;211814.0;;3454.0;170.0;-1.0;99.0;-3061.0;-129.0;;7.0;-3019.0;1611.0;-243.0;;-34617.0;24788.0;-18465.0;-4183.0;;;-882.0;29558.0;141.0;8121.0;9752.0;;0.01;434.33;142.78;83.87;36.45;10.04;1038.48;1823.0;0.4;0.0;70.8;791746.0;;12800.0;260270.0;28.8;32.9;11429895.0;1092133.0;1893082.0;4.6;6.2;13.7;74.5;43.5;0.013
2021.0;12804.0;;14298.0;;6012.0;4456.0;1842.0;183344.0;245784.0;8001.0;216210.0;29522.0;12601.0;-34464.0;26224.0;4357.0;12357.0;;;;;4005.0;4005.0;;;;17442.0;8096.0;189.0;111.67;;;46.96;1556.0;34.8;2.37;2.36;1833.0;;14236.0;58445.0;72681.0;2794.0;;107869.0;1608.0;1024.0;;1024.0;59807.0;;;62440.0;308223.0;4730.0;3271.0;;;;17022.0;;;;17022.0;225230.0;963.0;;75.0;12274.0;6316.0;10857.0;245732.0;52.0;245784.0;;4456.0;189.0;-113.0;145.0;6457.0;-216.0;;-28.0;5311.0;1466.0;-243.0;;-43980.0;32719.0;-22959.0;-4460.0;;;-2.0;30687.0;-4.0;12723.0;8366.0;;0.01;511.1;177.87;493.26;0.09;9.72;1178.42;1833.0;0.4;0.0;0.1;936662.0;;13860.0;325977.0;25.9;34.8;12826829.0;1245180.0;2159628.0;4.4;5.7;15.1;99.9;0.0;0.014
