;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (COP/USD)
2008.0;;;;;;;197.0;;;;;;;;;;;;;;;;;;;;;;;87.46;;;31.94;;23.36;;;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28048.56;6552.77;-3923.53;2271.95;3887.32;31056.04;197.0;0.0;0.0;7347.8;5524486.0;;313732.0;1290643.0;26.9;23.4;45638847.0;9591411.0;6116845.0;5.9;7.3;21.1;65.3;-57.9;
2009.0;;;;;;;197.0;;;;;;;;;;;;;;;;;;;;;;;111.42;;;35.28;;25.79;;;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24739.61;6381.36;26959.58;2496.0;1848.79;35707.53;197.0;0.0;0.0;8082.9;4872626.0;;364607.0;1256850.0;26.9;25.8;45511471.0;8212772.0;7032829.0;6.5;8.2;17.9;60.9;9.3;
2010.0;2753.0;;1930.0;;972.0;718.0;197.0;28244.0;34048.0;2272.0;30039.0;3974.0;-1533.0;-547.0;1524.0;-609.0;-2107.0;;;;;1423.0;1423.0;;43.0;;2474.0;786.0;172.0;70.11;;;35.33;254.0;26.09;3.65;3.65;197.0;;3078.0;;3078.0;558.0;;24609.0;1090.0;375.0;;375.0;4338.0;;;5804.0;39851.0;996.0;1276.0;;;;6464.0;;;;6464.0;34230.0;;76.0;155.0;3417.0;15.0;311.0;34012.0;35.0;34048.0;;718.0;172.0;;;-2562.0;-2.0;;-42.0;1544.0;139.0;-574.0;;-1898.0;1675.0;200.0;-358.0;;;-251.0;2133.0;-53.0;3078.0;3686.0;;0.0;27950.45;7293.45;-21400.35;2547.2;5830.99;40349.67;197.0;0.0;0.0;4691.8;5505029.0;;343095.0;1436494.0;26.1;26.1;51943266.0;12927809.0;7947140.0;4.1;5.2;18.1;65.1;-11.9;0.001
2011.0;3132.0;;2286.0;;1067.0;832.0;197.0;35911.0;42732.0;2949.0;38198.0;4497.0;-1970.0;-260.0;2949.0;787.0;-2671.0;;;;;1760.0;1666.0;94.0;38.0;;2973.0;1021.0;197.0;72.98;;;34.08;235.0;26.57;4.22;4.22;197.0;;3864.0;;3864.0;728.0;;31319.0;1501.0;340.0;;340.0;4979.0;;;6820.0;49552.0;1285.0;1664.0;;;;9861.0;;;;9861.0;45110.0;;76.0;155.0;3943.0;5.0;319.0;42695.0;37.0;42732.0;;832.0;197.0;;;-3026.0;-181.0;;115.0;3763.0;27.0;-702.0;87.0;-1210.0;1477.0;23.0;-373.0;;;-263.0;3585.0;67.0;3864.0;3078.0;;0.0;31800.94;8448.02;-27126.91;2674.56;7127.12;45661.6;197.0;0.0;0.0;4361.6;6263409.0;;394689.0;1663894.0;22.0;26.6;65923924.0;19722461.0;8993360.0;4.1;4.9;18.5;68.3;-9.9;0.001
2012.0;4356.0;;3363.0;;1301.0;1021.0;213.0;48767.0;58750.0;;51786.0;6964.0;1084.0;-357.0;-302.0;264.0;348.0;;;;;2270.0;2270.0;;21.0;;4597.0;1737.0;324.0;77.2;;;29.88;280.0;23.44;4.8;4.8;213.0;;4378.0;;4378.0;6314.0;;38076.0;2098.0;343.0;;343.0;7542.0;;;9982.0;68732.0;1701.0;;;;;10398.0;157.0;108.0;;10663.0;62449.0;;110.0;186.0;6238.0;15.0;416.0;58750.0;;58750.0;;1021.0;324.0;;;-423.0;-293.0;;235.0;6214.0;161.0;-736.0;81.0;-1900.0;2089.0;52.0;-1519.0;;;-350.0;1567.0;-162.0;4901.0;4637.0;;0.0;34090.75;7992.45;2721.5;2739.62;5761.24;54503.81;213.0;0.0;0.0;4399.6;7259856.0;;540682.0;1702046.0;21.5;23.4;81278978.0;17330727.0;11606955.0;4.1;5.2;14.7;65.7;100.7;0.001
2013.0;3811.0;;2913.0;;966.0;758.0;213.0;54148.0;65408.0;;59162.0;6246.0;2633.0;-1664.0;2477.0;3620.0;1686.0;;;;;2060.0;2060.0;;19.0;;4065.0;1561.0;386.0;76.45;;;25.35;209.0;19.88;3.56;3.56;213.0;;5784.0;;5784.0;5997.0;;42366.0;2533.0;1795.0;;1795.0;6933.0;;;11260.0;76668.0;1611.0;;;;;12418.0;265.0;80.0;;12763.0;71925.0;;92.0;155.0;5606.0;-1022.0;1416.0;65408.0;;65408.0;;758.0;386.0;-37.0;;1149.0;-39.0;;115.0;6027.0;377.0;-947.0;;-2845.0;1967.0;135.0;-553.0;;;-316.0;3346.0;173.0;7704.0;4085.0;;0.0;35787.29;7114.72;15830.73;2967.76;8897.69;58663.77;213.0;0.0;0.0;4987.8;7621146.0;;771967.0;1515127.0;21.6;19.9;108296029.0;24836367.0;12492846.0;3.0;3.9;12.1;58.3;18.7;0.001
2014.0;3736.0;;2768.0;;987.0;751.0;240.0;50024.0;59490.0;;52763.0;6727.0;-2301.0;23.0;643.0;-787.0;-3060.0;;;;;1845.0;1845.0;;-24.0;;3738.0;1296.0;485.0;74.1;;;26.42;236.0;20.12;3.13;3.13;240.0;;4539.0;;4539.0;5601.0;;39884.0;2357.0;1588.0;;1588.0;5521.0;;;9466.0;68956.0;1297.0;;;;;11012.0;223.0;95.0;;11330.0;64093.0;;95.0;124.0;6134.0;-10.0;384.0;59490.0;;59490.0;;751.0;485.0;32.0;;-4010.0;-142.0;;-7.0;1211.0;440.0;-759.0;;-1961.0;2547.0;190.0;-1145.0;;;-285.0;2074.0;849.0;5377.0;6163.0;;0.0;38840.99;7813.13;-31817.6;2968.01;7891.51;69939.21;240.0;0.0;0.0;5402.3;9339578.0;;1212161.0;1878721.0;23.9;20.1;125060414.0;27529398.0;16817354.0;2.9;3.8;11.2;62.0;-9.3;0.0
2015.0;3238.0;;2306.0;;971.0;756.0;240.0;50332.0;57892.0;;51769.0;5784.0;557.0;43.0;-69.0;1602.0;268.0;;;;;1348.0;1348.0;;;;3312.0;1211.0;144.0;71.22;;;29.98;195.0;23.34;3.14;3.14;240.0;;4704.0;;4704.0;6359.0;;39269.0;985.0;1945.0;182.0;2128.0;4447.0;;;7560.0;65452.0;616.0;;58.0;;;11747.0;246.0;250.0;;12243.0;64013.0;;;144.0;1755.0;2427.0;1457.0;57553.0;339.0;57892.0;;756.0;144.0;243.0;;-1327.0;-204.0;;-108.0;3477.0;741.0;-289.0;235.0;-533.0;583.0;47.0;-4352.0;;-8.0;-236.0;4526.0;1071.0;5642.0;4040.0;;0.0;44889.82;10475.44;3721.66;3266.0;4000.0;80178.45;240.0;0.0;0.0;8556.5;10794060.0;;481558.0;2518890.0;20.1;23.3;167772477.0;39157049.0;19279449.0;3.0;3.8;13.1;68.8;90.9;0.0
2016.0;4441.0;;3438.0;;1290.0;931.0;240.0;55808.0;63785.0;;56480.0;6912.0;1170.0;-334.0;-112.0;538.0;819.0;;;;;1775.0;1775.0;;;;4942.0;1967.0;157.0;77.42;;;29.04;382.0;20.97;3.87;3.87;240.0;;5793.0;;5793.0;7207.0;;42808.0;1025.0;1992.0;183.0;2176.0;4776.0;;;7977.0;71762.0;938.0;;41.0;;;12223.0;236.0;431.0;;12890.0;69370.0;;;156.0;2074.0;3103.0;1579.0;63392.0;393.0;63785.0;;931.0;157.0;464.0;;-1013.0;86.0;;145.0;2232.0;632.0;-352.0;-71.0;-834.0;786.0;136.0;-5474.0;;;-273.0;5636.0;-187.0;6650.0;6112.0;;0.0;56824.56;11916.19;10475.46;3494.36;4501.94;88446.6;240.0;0.0;0.0;10105.1;13663850.0;;482902.0;2865328.0;29.7;21.0;171715658.0;37610652.0;21267583.0;3.6;5.2;13.5;70.7;33.4;0.0
2017.0;4925.0;;3493.0;;1326.0;868.0;240.0;58379.0;67698.0;;59587.0;7674.0;976.0;-633.0;-1202.0;-762.0;600.0;;;;;1916.0;1916.0;;;;5365.0;2069.0;144.0;70.91;;;26.91;411.0;17.63;3.61;3.61;240.0;;5738.0;;5738.0;7610.0;;45030.0;1051.0;2024.0;178.0;2202.0;6066.0;;;9319.0;77016.0;1027.0;;54.0;;;11112.0;198.0;478.0;;11789.0;71375.0;;;160.0;2053.0;3848.0;1613.0;67260.0;437.0;67698.0;;868.0;144.0;428.0;;-1466.0;112.0;;-209.0;2322.0;1002.0;-376.0;-1.0;-1138.0;722.0;159.0;-6312.0;;;-374.0;5484.0;98.0;6031.0;6793.0;;0.0;61697.24;10875.14;7517.25;4683.62;4707.77;96121.09;240.0;0.0;0.0;11329.5;14835519.0;;433033.0;2615000.0;31.0;17.6;175839540.0;33470866.0;23112964.0;3.4;5.0;11.3;56.9;62.3;0.0
2018.0;4461.0;;2965.0;;1114.0;819.0;240.0;58311.0;67795.0;;59585.0;7653.0;321.0;-426.0;-226.0;174.0;9.0;;;;;1857.0;1857.0;;;;4845.0;1746.0;144.0;66.47;;;24.97;255.0;18.36;3.41;3.41;240.0;;5482.0;;5482.0;7396.0;;45434.0;1055.0;2045.0;174.0;2218.0;6211.0;;;9484.0;77279.0;955.0;;51.0;;;11281.0;335.0;406.0;;12022.0;71607.0;;;148.0;1203.0;3987.0;2315.0;67239.0;556.0;67795.0;;819.0;144.0;255.0;;-2025.0;-131.0;;-84.0;2055.0;1127.0;-312.0;0.0;-1331.0;1161.0;57.0;-5039.0;;;-227.0;5040.0;504.0;5769.0;5595.0;;0.0;60229.41;11057.56;119.63;3060.0;4217.36;103340.5;240.0;0.0;0.0;7018.4;14482569.0;;467777.0;2658864.0;22.9;18.4;189322405.0;36625197.0;24848920.0;3.2;4.2;10.7;72.3;2558.0;0.0
2019.0;4778.0;;3416.0;;1361.0;948.0;240.0;61785.0;71771.0;;63014.0;8173.0;3744.0;-666.0;-1599.0;1522.0;3271.0;;;;;1957.0;1957.0;;;;5124.0;1879.0;206.0;71.5;;;28.49;384.0;19.84;3.94;3.94;240.0;;6299.0;;6299.0;7907.0;;47579.0;1701.0;2035.0;164.0;2199.0;6086.0;;;9986.0;81756.0;1059.0;;60.0;;;10857.0;298.0;463.0;;11617.0;74631.0;557.0;;146.0;1427.0;4175.0;2424.0;71187.0;584.0;71771.0;;948.0;206.0;384.0;;885.0;-56.0;;-297.0;5218.0;1321.0;-473.0;21.0;-2671.0;2421.0;36.0;-5184.0;;;-314.0;3898.0;44.0;7216.0;5694.0;;0.0;65357.12;12964.29;44748.83;4293.88;6468.74;111803.55;240.0;0.0;0.0;8695.6;15715561.0;;677253.0;3117351.0;28.2;19.8;203240989.0;35712443.0;26883919.0;3.2;4.5;11.6;66.9;9.6;0.0
2020.0;4590.0;;2006.0;;90.0;81.0;240.0;61058.0;74626.0;;66416.0;7751.0;3279.0;-2196.0;-1435.0;-11.0;2832.0;;;;;1806.0;1806.0;;;;4810.0;1712.0;215.0;43.7;;;1.96;-2.0;1.76;0.34;0.34;240.0;;6827.0;;6827.0;7594.0;;46637.0;1765.0;2047.0;145.0;2192.0;9611.0;;;13568.0;88194.0;920.0;;87.0;;;9387.0;235.0;308.0;;9930.0;76347.0;531.0;;140.0;1142.0;4970.0;1499.0;74168.0;458.0;74626.0;;81.0;215.0;-2.0;;1471.0;-119.0;;-233.0;4009.0;1515.0;-447.0;;-4753.0;2956.0;47.0;-5969.0;;;-454.0;4988.0;342.0;6921.0;6932.0;;0.0;65366.26;1147.79;40340.69;6470.27;6363.53;110395.03;240.0;0.0;0.0;19914.7;15717758.0;;736367.0;275994.0;-2.1;1.8;209101964.0;32147077.0;26545229.0;2.5;2.4;1.0;-463.7;16.0;0.0
2021.0;4271.0;;2513.0;;1472.0;1005.0;240.0;59635.0;71304.0;;62959.0;7930.0;1499.0;-160.0;-1675.0;-1675.0;962.0;;;;;1797.0;1797.0;;;;3854.0;1070.0;;58.84;;;34.47;437.0;23.54;4.18;4.18;240.0;;5694.0;;5694.0;404.0;;53537.0;1672.0;;;2123.0;7874.0;;;11669.0;82973.0;;;64.0;;;7740.0;;250.0;;7990.0;70949.0;447.0;;118.0;1811.0;4806.0;1195.0;70888.0;416.0;71304.0;;1035.0;210.0;437.0;;-605.0;-120.0;;313.0;5257.0;-2391.0;-538.0;-2.0;-3104.0;3383.0;-36.0;-2572.0;;;-115.0;;736.0;6231.0;5830.0;;0.0;72199.64;16995.97;16258.66;1943.04;9090.2;134054.66;240.0;0.0;0.0;5934.8;17360890.0;;;4086795.0;29.7;23.5;242419899.0;31464499.0;32234347.0;2.5;3.5;12.7;88.9;12.0;0.0
