;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
2005.0;254.0;;81.0;108.0;109.0;65.0;56.0;125.0;2384.0;23.0;28.0;2356.0;141.0;-58.0;-103.0;-19.0;84.0;;;146.0;;;;;146.0;146.0;9.0;;60.0;31.73;42.54;1.0;42.96;-44.0;25.42;1.15;1.15;56.0;;77.0;;77.0;37.0;;11.0;180.0;;;237.0;;69.0;1773.0;2258.0;;11.0;;6.0;;12.0;;;;5.0;5.0;;;;2208.0;105.0;11.0;31.0;2384.0;;2384.0;;65.0;60.0;;;3.0;;;;0.0;13.0;-57.0;;;;-1.0;;;;;-103.0;;77.0;96.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;272.0;;115.0;114.0;117.0;83.0;56.0;152.0;2363.0;25.0;31.0;2332.0;136.0;-59.0;0.0;8.0;78.0;;;0.0;;;;;0.0;0.0;7.0;;66.0;42.28;42.08;3.0;43.12;-34.0;30.47;1.48;1.48;56.0;;83.0;;83.0;58.0;;12.0;219.0;;;224.0;;64.0;1704.0;2210.0;;12.0;;6.0;;13.0;;;;6.0;6.0;;;;2173.0;143.0;16.0;;2363.0;;2363.0;;83.0;66.0;;;-23.0;;;;-22.0;10.0;-58.0;;;;-1.0;;;;;0.0;;83.0;75.0;;0.09;52.33;15.94;14.96;;11.24;448.9;56.0;2.1;0.1;;2936.0;42.1;717.0;894.0;-29.2;30.5;1379.0;;25183.0;2.7;2.1;3.6;100.0;;0.093
2007.0;319.0;230.0;188.0;-145.0;-154.0;128.0;56.0;212.0;2521.0;55.0;107.0;2415.0;185.0;-85.0;-54.0;45.0;100.0;88.0;72.25;375.0;;;;;375.0;464.0;2.0;16.0;69.0;59.02;-45.59;-9.0;-48.32;-25.0;40.34;2.29;2.29;56.0;;131.0;;131.0;59.0;;23.0;291.0;;;2.0;;;2016.0;2309.0;;31.0;8.0;3.0;;16.0;45.0;;;7.0;52.0;;;;2230.0;164.0;21.0;;2521.0;;2521.0;;128.0;69.0;;;-0.0;;;;;-12.0;-85.0;;;;-85.0;;;;-107.0;53.0;;131.0;85.0;;0.09;61.98;25.01;19.39;20.88;16.62;469.9;56.0;1.9;0.1;44.6;3477.0;-45.6;754.0;1403.0;16.5;40.3;1713.0;493.0;26362.0;4.0;4.7;5.3;16.5;107.7;0.092
2008.0;254.0;176.0;165.0;105.0;121.0;112.0;56.0;198.0;2046.0;49.0;102.0;1944.0;117.0;-38.0;-74.0;6.0;79.0;78.0;69.32;71.0;;;;;71.0;149.0;12.0;4.0;58.0;64.94;41.48;16.0;47.85;-9.0;44.14;2.0;2.0;56.0;;109.0;;109.0;69.0;;20.0;24.0;166.0;;166.0;;2.0;1655.0;1847.0;;27.0;10.0;3.0;;12.0;48.0;;;5.0;53.0;;;;1770.0;152.0;21.0;1.0;2046.0;;2046.0;;112.0;58.0;;;-21.0;;;;;-31.0;-38.0;;;;0.0;-9.0;;-3.0;-82.0;20.0;;109.0;104.0;;0.07;62.27;27.49;19.44;20.01;9.36;476.95;56.0;1.2;0.1;61.2;3491.0;41.5;798.0;1541.0;-7.8;44.1;2056.0;665.0;26738.0;5.8;5.2;5.8;27.2;107.0;0.073
2009.0;250.0;183.0;172.0;99.0;103.0;92.0;56.0;216.0;2171.0;47.0;123.0;2049.0;169.0;-41.0;-77.0;51.0;128.0;67.0;73.38;84.0;;;;;84.0;151.0;14.0;6.0;63.0;68.73;39.61;4.0;41.04;11.0;36.72;1.64;1.64;56.0;;139.0;21.0;161.0;55.0;;0.0;28.0;;1512.0;1512.0;;82.0;334.0;1956.0;;21.0;15.0;7.0;;11.0;65.0;;;10.0;76.0;;;;1862.0;92.0;28.0;66.0;2171.0;;2171.0;;92.0;63.0;;;21.0;;;;-2.0;-6.0;-41.0;;;;-0.0;-13.0;4.0;-1.0;-92.0;24.0;;166.0;115.0;;0.08;58.28;21.4;29.8;21.41;9.67;477.82;56.0;1.1;0.0;89.2;3266.0;39.6;829.0;1199.0;10.5;36.7;2205.0;856.0;26781.0;4.6;5.0;4.5;-0.0;69.2;0.076
2010.0;354.0;276.0;196.0;126.0;129.0;121.0;56.0;245.0;2337.0;73.0;179.0;2157.0;208.0;-76.0;-119.0;14.0;135.0;78.0;77.96;150.0;;;;;150.0;228.0;16.0;11.0;71.0;55.33;35.65;3.0;36.48;-8.0;34.3;2.17;2.17;56.0;;190.0;19.0;209.0;36.0;;0.0;372.0;;;;;124.0;1596.0;2092.0;;33.0;22.0;14.0;;19.0;84.0;;;22.0;106.0;;;;1969.0;122.0;116.0;-49.0;2337.0;;2337.0;;121.0;71.0;;;-4.0;;;;-27.0;20.0;-73.0;;;;-2.0;-20.0;;-49.0;-81.0;32.0;;190.0;176.0;;0.08;78.35;26.87;29.95;17.91;16.21;477.76;56.0;1.3;0.1;52.8;4374.0;35.7;880.0;1500.0;-6.0;34.3;2119.0;1043.0;26671.0;5.8;5.3;5.6;33.3;96.3;0.081
2011.0;354.0;209.0;196.0;118.0;122.0;106.0;54.0;205.0;2105.0;76.0;218.0;1887.0;164.0;-92.0;-87.0;-15.0;94.0;145.0;59.08;91.0;;;;;91.0;236.0;10.0;7.0;68.0;55.39;33.28;4.0;34.38;15.0;30.06;2.86;2.86;54.0;;152.0;20.0;171.0;34.0;;0.0;60.0;;144.0;144.0;;129.0;1566.0;1900.0;;34.0;29.0;5.0;;13.0;115.0;;;27.0;142.0;;;;1744.0;107.0;136.0;-99.0;2105.0;;2105.0;;106.0;68.0;;;5.0;;;;1.0;-15.0;-70.0;;;;-22.0;-22.0;;-56.0;-74.0;64.0;;153.0;168.0;;0.07;91.84;27.6;24.37;19.25;18.22;489.86;54.0;1.4;0.1;50.4;4939.0;33.3;944.0;1484.0;12.6;30.1;1804.0;1612.0;26343.0;5.5;6.1;5.6;30.3;138.3;0.072
2012.0;385.0;194.0;237.0;164.0;163.0;138.0;53.0;191.0;1909.0;88.0;240.0;1669.0;207.0;-77.0;-167.0;-37.0;131.0;191.0;50.3;29.0;;;;;29.0;220.0;10.0;9.0;64.0;61.64;42.74;-1.0;42.46;25.0;35.84;2.6;2.6;53.0;;129.0;34.0;163.0;28.0;;0.0;74.0;;1312.0;1312.0;;323.0;9.0;1718.0;;24.0;43.0;6.0;3.0;18.0;113.0;;;38.0;152.0;;;;1202.0;403.0;43.0;22.0;1909.0;;1909.0;;138.0;64.0;25.0;;10.0;3.0;;3.0;9.0;-31.0;-76.0;;;;-0.0;-48.0;;-68.0;-88.0;36.0;;129.0;166.0;;0.08;93.17;33.39;31.7;21.29;18.45;404.23;53.0;1.2;0.1;52.0;4945.0;42.7;827.0;1772.0;15.6;35.8;1326.0;1457.0;21453.0;8.0;9.1;8.3;36.2;118.9;0.078
2013.0;401.0;213.0;260.0;182.0;178.0;172.0;53.0;220.0;1935.0;93.0;232.0;1703.0;227.0;-52.0;-136.0;39.0;175.0;188.0;53.08;31.0;;;;;31.0;219.0;10.0;14.0;68.0;64.74;45.4;-4.0;44.42;6.0;42.97;3.25;3.25;53.0;;166.0;31.0;198.0;22.0;;0.0;67.0;;1280.0;1280.0;;358.0;9.0;1715.0;;19.0;49.0;9.0;3.0;23.0;93.0;;;45.0;139.0;;;;1185.0;442.0;204.0;-128.0;1935.0;;1935.0;;172.0;68.0;6.0;;18.0;2.0;;-1.0;7.0;-36.0;-53.0;;;;0.0;-50.0;;-21.0;-93.0;27.0;;166.0;128.0;;0.08;98.63;42.38;42.98;22.83;12.95;419.06;53.0;1.3;0.1;41.8;5228.0;45.4;883.0;2246.0;3.3;43.0;1660.0;1217.0;22213.0;10.1;9.9;10.1;46.1;65.3;0.077
2014.0;376.0;198.0;254.0;187.0;187.0;152.0;53.0;140.0;1646.0;107.0;203.0;1443.0;235.0;-43.0;-230.0;-39.0;192.0;178.0;52.58;13.0;;;;;13.0;191.0;4.0;4.0;63.0;67.58;49.86;-1.0;49.71;35.0;40.43;2.89;2.89;53.0;;108.0;;108.0;31.0;;0.0;55.0;;1117.0;1117.0;;329.0;5.0;1506.0;;16.0;66.0;12.0;2.0;23.0;50.0;;;46.0;96.0;;;;945.0;421.0;194.0;-117.0;1646.0;;1646.0;;152.0;63.0;35.0;;30.0;-10.0;;3.0;2.0;-45.0;-42.0;;;;-1.0;-103.0;;-5.0;-210.0;87.0;;108.0;147.0;;0.07;105.51;42.66;54.03;58.98;11.8;404.95;53.0;1.5;0.1;93.4;5546.0;49.9;925.0;2243.0;18.7;40.4;480.0;741.0;21286.0;10.1;11.6;10.5;-38.2;111.6;0.068
