;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
1994.0;938.0;223.0;-134.0;55.0;-87.0;-88.0;11.0;437.0;1362.0;293.0;956.0;406.0;82.0;-112.0;-71.0;-71.0;-18.0;715.0;23.75;168.0;;;;;168.0;883.0;;22.0;-69.0;-14.25;5.89;-142.0;-9.23;1.0;-9.34;-7.99;-7.99;11.0;;271.0;;271.0;157.0;;9.0;787.0;;39.0;39.0;;;98.0;925.0;;109.0;150.0;;;34.0;634.0;;;29.0;663.0;;;;;196.0;-76.0;286.0;1362.0;;1362.0;;-88.0;-69.0;;;-4.0;-17.0;-0.0;12.0;;242.0;-99.0;;-54.0;19.0;22.0;-72.0;17.0;-23.0;-17.0;24.0;-37.0;;409.0;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;750.0;185.0;11.0;67.0;53.0;52.0;11.0;426.0;1094.0;148.0;694.0;400.0;98.0;-22.0;-13.0;-13.0;62.0;564.0;24.72;119.0;;;;;119.0;683.0;;15.0;-57.0;1.47;8.87;-14.0;7.01;1.0;6.88;4.71;4.71;11.0;;261.0;;261.0;116.0;;49.0;558.0;;28.0;28.0;;;82.0;668.0;;92.0;26.0;;;29.0;522.0;;;24.0;546.0;;;;;210.0;-205.0;395.0;1094.0;;1094.0;;52.0;-57.0;;;-3.0;11.0;4.0;7.0;;106.0;-37.0;;-44.0;5.0;54.0;-38.0;24.0;-0.0;;1.0;-4.0;;202.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;717.0;153.0;1.0;40.0;46.0;43.0;11.0;647.0;1217.0;226.0;834.0;383.0;102.0;-14.0;119.0;205.0;57.0;564.0;21.33;113.0;;;;;113.0;677.0;;2.0;-47.0;0.11;5.55;6.0;6.39;3.0;5.99;3.74;3.74;11.0;;465.0;;465.0;120.0;;62.0;497.0;;26.0;26.0;;;47.0;570.0;;93.0;90.0;;;43.0;590.0;;;18.0;608.0;;;;;224.0;-211.0;369.0;1217.0;;1217.0;;43.0;-47.0;;;10.0;-12.0;14.0;10.0;;96.0;-45.0;;-70.0;68.0;32.0;-50.0;;-2.0;-24.0;195.0;-2.0;465.0;260.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;913.0;175.0;-57.0;44.0;-9.0;-11.0;11.0;356.0;1310.0;292.0;927.0;384.0;-74.0;-351.0;49.0;-377.0;-158.0;737.0;19.21;131.0;;;;;131.0;869.0;;;-48.0;-6.24;4.81;-53.0;-1.01;1.0;-1.16;-0.95;-0.95;11.0;;88.0;;88.0;223.0;;45.0;532.0;;80.0;80.0;;;343.0;955.0;;227.0;65.0;;;;628.0;;;7.0;635.0;;;;;199.0;-229.0;413.0;1310.0;;1310.0;;-11.0;-48.0;;;-111.0;-25.0;;62.0;;95.0;-84.0;;;;-268.0;-90.0;30.0;-0.0;;109.0;-0.0;88.0;465.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;895.0;199.0;-14.0;56.0;-36.0;-10.0;11.0;321.0;1328.0;338.0;957.0;371.0;-8.0;-33.0;8.0;-33.0;-64.0;695.0;22.27;143.0;;;;;143.0;839.0;;73.0;-51.0;-1.57;6.24;-92.0;-4.02;-26.0;-1.11;-0.9;-0.9;11.0;;55.0;44.0;99.0;205.0;;17.0;508.0;;66.0;66.0;;;433.0;1008.0;;62.0;94.0;;;182.0;572.0;;30.0;17.0;620.0;;;;;180.0;-253.0;443.0;1328.0;;1328.0;;-10.0;-51.0;-27.0;;-14.0;-19.0;;7.0;;94.0;-56.0;;-43.0;27.0;39.0;-21.0;;-15.0;;43.0;;55.0;88.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;328.0;105.0;-178.0;24.0;-21.0;-139.0;11.0;242.0;1152.0;525.0;931.0;221.0;23.0;56.0;-45.0;34.0;-11.0;222.0;32.15;81.0;;;;;81.0;304.0;;;-28.0;-54.24;7.33;-45.0;-6.31;-11.0;-42.34;-12.24;-12.24;11.0;;84.0;5.0;88.0;140.0;;13.0;169.0;;4.0;4.0;;;737.0;910.0;;48.0;218.0;;;259.0;375.0;;28.0;3.0;406.0;;;;106.0;41.0;-52.0;127.0;1152.0;;1152.0;;-139.0;-28.0;-12.0;;24.0;-18.0;;-11.0;;177.0;-34.0;;-2.0;40.0;52.0;-26.0;3.0;;-2.0;-20.0;;84.0;50.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;358.0;92.0;28.0;31.0;10.0;13.0;11.0;347.0;2642.0;278.0;1479.0;1164.0;22.0;147.0;-166.0;3.0;5.0;266.0;25.67;61.0;;;;;61.0;327.0;;51.0;-27.0;7.88;8.65;-22.0;2.65;-9.0;3.72;22.29;22.29;11.0;;87.0;5.0;92.0;211.0;;43.0;651.0;;0.0;0.0;;217.0;1428.0;2296.0;;74.0;72.0;;;131.0;1192.0;;2.0;6.0;1201.0;;;;106.0;40.0;-52.0;1070.0;2642.0;;2642.0;;13.0;-27.0;-10.0;;14.0;4.0;;-14.0;;31.0;-17.0;-20.0;-27.0;32.0;179.0;-161.0;1.0;;-0.0;-5.0;;87.0;84.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;994.0;327.0;-24.0;189.0;11.0;9.0;11.0;427.0;2802.0;520.0;1543.0;1259.0;101.0;-95.0;-10.0;-5.0;101.0;667.0;32.89;138.0;;;;;138.0;805.0;;124.0;-160.0;-2.45;19.0;-178.0;1.08;2.0;0.87;0.75;0.75;11.0;;87.0;;87.0;278.0;29.0;34.0;689.0;;1268.0;1268.0;;237.0;180.0;2374.0;;101.0;331.0;;;87.0;948.0;;;75.0;1023.0;;;;120.0;73.0;-244.0;1309.0;2802.0;;2802.0;;9.0;-160.0;;;-100.0;-84.0;1.0;3.0;;352.0;;-110.0;;3.0;12.0;-60.0;;;-6.0;55.0;;87.0;92.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1010.0;292.0;248.0;184.0;-26.0;-43.0;11.0;402.0;2731.0;504.0;1825.0;140.0;98.0;-303.0;181.0;-25.0;-9.0;718.0;28.89;826.0;;;;;826.0;1544.0;;164.0;108.0;24.59;18.24;-211.0;-2.6;20.0;-4.22;-3.75;-3.75;11.0;;61.0;;61.0;295.0;26.0;20.0;731.0;;;;22.0;221.0;1355.0;2330.0;;111.0;225.0;;;168.0;1209.0;;;112.0;1320.0;;;;121.0;37.0;-291.0;273.0;1965.0;767.0;2731.0;;-43.0;108.0;20.0;;-33.0;-16.0;3.0;6.0;-28.0;46.0;-107.0;-201.0;;;4.0;-778.0;;;-2.0;961.0;;61.0;86.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;934.0;444.0;228.0;104.0;-76.0;-86.0;11.0;378.0;2467.0;873.0;1738.0;53.0;72.0;41.0;-105.0;7.0;-9.0;490.0;47.54;893.0;;;;;893.0;1383.0;;173.0;100.0;24.44;11.12;-180.0;-8.14;41.0;-9.24;-7.57;-7.57;11.0;;68.0;;68.0;127.0;21.0;161.0;727.0;;1175.0;1175.0;22.0;145.0;19.0;2089.0;;131.0;565.0;;;177.0;745.0;;;120.0;866.0;;;;121.0;-50.0;-18.0;;1791.0;675.0;2467.0;;-86.0;100.0;41.0;;67.0;-13.0;3.0;97.0;-24.0;-50.0;-81.0;;;112.0;10.0;-97.0;;;-8.0;-1.0;;68.0;61.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
