;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (DKK/USD)
1985.0;;;;;;;2511.0;;;;;;;;;;;;50.14;;;;;;;;;;;25.89;17.63;;21.08;;14.62;;;2511.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;;;;;;;2536.0;;;;;;;;;;;;21.34;;;;;;;;;;;24.2;15.97;;18.83;;12.45;;;2536.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;;;;;;;2542.0;;;;;;;;;;;;48.49;;;;;;;;;;;19.17;12.88;;13.87;;9.55;;;2542.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;;;;;;;2578.0;;;;;;;;;;;;51.75;;;;;;;;;;;21.83;16.63;;16.08;;11.33;;;2578.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;1156.0;585.0;231.0;159.0;159.0;113.0;4032.0;970.0;1769.0;553.0;819.0;950.0;;;;;;571.0;50.59;425.0;;;;;425.0;997.0;;;72.0;19.96;13.78;-0.0;13.77;46.0;9.79;0.03;0.03;4032.0;;447.0;;447.0;321.0;201.0;;780.0;;8.0;8.0;;;11.0;799.0;;;275.0;;;279.0;237.0;;;29.0;266.0;;;;;616.0;-385.0;719.0;1769.0;;1769.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;1436.0;725.0;286.0;181.0;196.0;131.0;3133.0;1144.0;2154.0;718.0;943.0;1211.0;259.0;-295.0;72.0;;57.0;711.0;50.49;543.0;;;;;543.0;1254.0;;;90.0;19.9;12.63;15.0;13.66;65.0;9.12;0.04;0.04;3133.0;;747.0;;747.0;192.0;204.0;;984.0;;14.0;14.0;;;12.0;1010.0;;113.0;296.0;;;309.0;197.0;;;28.0;225.0;;;;;833.0;-429.0;806.0;2154.0;0.0;2154.0;;131.0;90.0;-5.0;;51.0;;24.0;;;-8.0;-202.0;;;;-93.0;;;;;72.0;;;711.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;1664.0;852.0;348.0;238.0;248.0;157.0;2913.0;1437.0;2586.0;653.0;977.0;1609.0;201.0;-301.0;386.0;;-28.0;812.0;51.22;615.0;;;;;615.0;1426.0;;;100.0;20.9;14.28;10.0;14.88;90.0;9.46;0.05;0.05;2913.0;;1022.0;;1022.0;179.0;236.0;;1105.0;;25.0;25.0;;;18.0;1149.0;;125.0;230.0;;;298.0;290.0;;;34.0;324.0;;;;;1037.0;-596.0;1167.0;2585.0;0.0;2586.0;;157.0;100.0;20.0;;-99.0;;-35.0;;;23.0;-229.0;;;;-72.0;;292.0;;;94.0;;;736.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;1700.0;1297.0;377.0;185.0;266.0;203.0;3757.0;1685.0;2672.0;545.0;991.0;1681.0;212.0;-380.0;139.0;;-99.0;402.0;76.32;1113.0;;;;;1113.0;1515.0;;;111.0;22.18;10.86;82.0;15.68;64.0;11.93;0.05;0.05;3757.0;;927.0;;927.0;493.0;266.0;;1293.0;;25.0;25.0;;;-331.0;987.0;;343.0;159.0;;;43.0;412.0;;;33.0;445.0;;;;;1141.0;-631.0;1171.0;2672.0;0.0;2672.0;;203.0;111.0;-23.0;;-104.0;;-44.0;;;25.0;-311.0;;;;-69.0;;3.0;;;136.0;;;957.0;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;1935.0;992.0;393.0;286.0;276.0;211.0;3759.0;1354.0;2832.0;543.0;1072.0;1760.0;281.0;-432.0;129.0;;-72.0;943.0;51.26;706.0;;;;;706.0;1649.0;;;118.0;20.32;14.79;-11.0;14.24;65.0;10.88;0.06;0.06;3759.0;;840.0;;840.0;212.0;303.0;;1417.0;;28.0;28.0;;;33.0;1478.0;;136.0;141.0;;;266.0;492.0;;;37.0;529.0;;;;;1257.0;-118.0;620.0;2832.0;0.0;2832.0;;211.0;118.0;8.0;;-80.0;;-56.0;;;25.0;-353.0;;;;-79.0;;30.0;;;99.0;;;862.0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;2221.0;1591.0;491.0;302.0;317.0;235.0;3737.0;2169.0;3472.0;752.0;1314.0;2158.0;438.0;-370.0;97.0;;152.0;630.0;71.64;1289.0;;;;;1289.0;1919.0;;;173.0;22.09;13.61;15.0;14.29;82.0;10.59;0.06;0.06;3737.0;;1098.0;;1098.0;664.0;407.0;;1665.0;;31.0;31.0;;;-394.0;1302.0;;169.0;239.0;;;344.0;511.0;;;51.0;561.0;;;;;1599.0;-858.0;1416.0;3471.0;0.0;3472.0;;235.0;173.0;-35.0;;7.0;;-21.0;;;56.0;-285.0;;;;-85.0;;;;;97.0;;;934.0;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
