;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
1986.0;4872.0;4872.0;279.0;;190.0;111.0;976.0;;;;;;;;;;;;100.0;4872.0;;;;;4872.0;4872.0;39.0;29.0;69.0;5.72;;;3.91;69.0;2.28;0.11;0.11;976.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;5550.0;;404.0;;272.0;184.0;990.0;;;;;;;;;;;;;5550.0;;;;;5550.0;5550.0;48.0;43.0;89.0;7.28;;;4.9;88.0;3.31;0.19;0.19;990.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;7306.0;7306.0;592.0;;400.0;267.0;752.0;;;;;;;;;;;;100.0;7306.0;;;;;7306.0;7306.0;64.0;84.0;108.0;8.11;;;5.48;133.0;3.65;0.36;0.36;752.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;8217.0;8217.0;722.0;;481.0;324.0;1191.0;;;;;;;;;;;;100.0;8217.0;;;;;8217.0;8217.0;72.0;121.0;121.0;8.79;;;5.85;156.0;3.95;0.27;0.27;1191.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;9055.0;9055.0;827.0;;606.0;425.0;1224.0;;;;;;;;;;;;100.0;9055.0;;;;;9055.0;9055.0;94.0;78.0;143.0;9.14;;;6.69;181.0;4.7;0.34;0.28;1224.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;12134.0;12134.0;1127.0;;834.0;579.0;1528.0;;;;;;646.0;-1385.0;1189.0;450.0;-1055.0;;100.0;12134.0;;;;;12134.0;12134.0;138.0;102.0;191.0;9.28;;;6.87;255.0;4.77;0.43;0.39;1528.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;579.0;191.0;;;66.0;;-36.0;;;-190.0;-1701.0;;;;316.0;;1130.0;-180.0;;239.0;;493.0;44.0;;1.91;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;12471.0;12471.0;1257.0;842.0;958.0;695.0;1528.0;;;;;;678.0;-1267.0;363.0;-227.0;-685.0;;100.0;11629.0;;;;;11629.0;11629.0;217.0;102.0;197.0;10.08;6.75;117.0;7.69;263.0;5.57;0.44;0.43;1528.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;695.0;197.0;;;147.0;;17.0;;;-362.0;-1363.0;;;;96.0;-72.0;16.0;;;419.0;;227.0;454.0;;1.76;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;10800.0;10800.0;1091.0;757.0;795.0;562.0;1607.0;;;;;;553.0;-754.0;102.0;-98.0;-309.0;;100.0;10043.0;;;;;10043.0;10043.0;127.0;82.0;214.0;10.1;7.01;38.0;7.36;233.0;5.21;0.37;0.36;1537.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;562.0;214.0;;;-57.0;;-26.0;;;-166.0;-862.0;-8.0;;;116.0;;30.0;;;72.0;;86.0;184.0;;1.42;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;12774.0;12774.0;1031.0;912.0;646.0;443.0;1619.0;;;;;;850.0;-1224.0;368.0;-6.0;-226.0;;100.0;11862.0;;;;;11862.0;11862.0;80.0;70.0;316.0;8.07;7.14;-266.0;5.06;202.0;3.47;0.29;0.28;1547.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;443.0;316.0;;;125.0;;-24.0;;;-34.0;-1075.0;-233.0;;;85.0;;13.0;;;355.0;;83.0;89.0;;1.49;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;15990.0;15990.0;1398.0;985.0;872.0;602.0;1716.0;;;;;;848.0;-1369.0;154.0;-367.0;-350.0;;100.0;15005.0;;;;;15005.0;15005.0;101.0;136.0;391.0;8.74;6.16;-112.0;5.45;269.0;3.76;0.38;0.37;1586.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;602.0;391.0;;;84.0;;-166.0;;;-228.0;-1198.0;-209.0;-2.0;;40.0;;40.0;;;114.0;;-279.0;89.0;;1.58;;;;;;;;;;;;;;;;;;;;;;;;;
