;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (TWD/USD)
1999.0;;;;;;;1118.0;;;;;;;;;;;;45.12;;;;;;;;;;;43.9;14.87;;25.31;;23.9;;;1118.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;1654.0;;;;;;;;;;;;48.1;;;;;;;;;;;31.55;19.41;;13.56;;11.47;;;1654.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;1719.0;;;;;;;;;;;;14.1;;;;;;;;;;;24.71;-1.2;;-5.73;;-5.58;;;1719.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;1632.0;;;;;;;;;;;;15.56;;;;;;;;;;;26.52;-1.5;;-2.14;;0.28;;;1632.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;1682.0;;;;;;;;;;;;18.92;;;;;;;;;;;26.26;5.71;;2.6;;4.79;;;1682.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;1800.0;;;;;;;;;;;;19.91;;;;;;;;;;;22.61;9.24;;4.32;;5.15;;;1750.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;2561.0;442.0;328.0;177.0;-173.0;-143.0;1812.0;1453.0;4000.0;943.0;2325.0;1435.0;623.0;-409.0;-3.0;222.0;145.0;2119.0;17.28;265.0;85.0;180.0;;;;2384.0;;;474.0;12.79;6.92;-350.0;-6.75;-4.0;-5.58;-0.08;-0.08;1812.0;;404.0;133.0;537.0;593.0;236.0;87.0;2074.0;87.0;23.0;109.0;;123.0;241.0;2547.0;;332.0;323.0;;;288.0;1306.0;;;75.0;1381.0;;6.0;;1389.0;-84.0;30.0;99.0;3760.0;241.0;4000.0;;-143.0;474.0;-15.0;;34.0;;3.0;;-0.0;272.0;-479.0;;-36.0;2.0;104.0;;10.0;;-12.0;-1.0;10.0;404.0;182.0;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;3083.0;883.0;1043.0;628.0;683.0;535.0;1907.0;1497.0;4207.0;860.0;1839.0;2026.0;1145.0;-679.0;-386.0;76.0;594.0;2199.0;28.66;256.0;81.0;175.0;;;0.0;2455.0;;;445.0;33.85;20.36;55.0;22.16;64.0;17.34;0.29;0.28;1820.0;;483.0;335.0;818.0;380.0;174.0;125.0;2257.0;87.0;19.0;105.0;;77.0;270.0;2710.0;;;485.0;;;375.0;902.0;;1.0;76.0;979.0;;2.0;;1410.0;521.0;65.0;31.0;3866.0;341.0;4207.0;;535.0;445.0;15.0;;164.0;;42.0;;73.0;-14.0;-551.0;;-521.0;231.0;163.0;;26.0;;;-412.0;-5.0;483.0;407.0;;0.03;55.18;9.57;10.63;;9.86;36.28;1820.0;0.4;0.0;;100408.0;20.4;14486.0;17413.0;9.4;17.3;20749.0;29394.0;66010.0;18.0;15.5;26.4;100.0;-4.4;0.031
2007.0;3116.0;896.0;990.0;594.0;534.0;375.0;1955.0;1753.0;4693.0;1101.0;1929.0;2315.0;872.0;-558.0;-261.0;44.0;322.0;2220.0;28.75;302.0;101.0;200.0;;;;2522.0;;;512.0;31.78;19.08;-60.0;17.15;103.0;12.03;0.2;0.19;1658.0;;528.0;341.0;869.0;606.0;172.0;105.0;2519.0;98.0;48.0;146.0;;45.0;231.0;2941.0;;5.0;766.0;;;331.0;737.0;;5.0;86.0;828.0;;1.0;;1678.0;428.0;94.0;115.0;4245.0;449.0;4693.0;;375.0;512.0;63.0;;-180.0;;-10.0;;-11.0;102.0;-550.0;-26.0;-362.0;364.0;17.0;;32.0;;-214.0;-79.0;-9.0;528.0;485.0;;0.03;61.0;7.34;6.3;4.19;10.77;45.33;1658.0;0.7;0.0;81.0;101168.0;19.1;16627.0;12166.0;19.3;12.0;21152.0;23937.0;75177.0;12.3;11.3;16.2;42.9;56.7;0.031
2008.0;2880.0;687.0;870.0;360.0;289.0;220.0;1907.0;1414.0;4642.0;771.0;2447.0;2125.0;937.0;-1109.0;423.0;274.0;367.0;2193.0;23.86;327.0;118.0;209.0;174.0;35.0;;2520.0;10.0;55.0;526.0;30.22;12.5;-71.0;10.03;69.0;7.63;0.1;0.1;1907.0;;797.0;39.0;836.0;366.0;152.0;60.0;2585.0;288.0;96.0;384.0;132.0;50.0;77.0;3228.0;;158.0;350.0;39.0;;263.0;1563.0;;5.0;109.0;1676.0;;1.0;;1736.0;281.0;128.0;-20.0;4572.0;70.0;4642.0;;220.0;526.0;21.0;;137.0;228.0;4.0;-133.0;;33.0;-570.0;-808.0;-251.0;512.0;5.0;-587.0;;-34.0;-269.0;1313.0;23.0;797.0;523.0;;0.03;49.52;3.78;6.32;4.63;9.8;36.53;1907.0;1.0;0.0;124.1;94431.0;12.5;17245.0;7207.0;23.9;7.6;21096.0;51230.0;69672.0;6.9;7.5;10.3;-22.5;82.4;0.03
