;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (JPY/USD)
1998.0;;;;;;;155.0;;;;;;;;;;;;;;;;;;;;;;;319.25;;;46.66;;28.83;;;155.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;155.0;;;;;;;;;;;;;;;;;;;;;;;56.22;;;6.08;;5.7;;;155.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;157.0;;;;;;;;;;;;;;;;;;;;;;;51.99;;;10.4;;6.12;;;154.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;173.0;;;;;;;;;;;;;;;;;;;;;;;56.83;;;12.36;;7.14;;;166.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;171.0;;;;;;;;;;;;;;;;;;;;;;;49.37;;;12.85;;7.08;;;164.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;175.0;;;;;;;;;;;;;;;;;;;;;;;38.98;;;7.47;;4.89;;;165.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;177.0;;;;;;;;;;;;;;;;;;;;;;;42.48;;;15.08;;7.98;;;167.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;182.0;;;;;;;;;;;;;;;;;;;;;;;39.5;;;17.46;;10.35;;;168.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;187.0;;;;;;;;;;;;;;;;;;;;;;;50.33;;;27.05;;18.08;;;177.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5198.6;939.65;-5651.83;19.91;6420.27;5387.06;177.0;0.1;0.0;14.7;922081.0;;136888.0;166667.0;39.3;18.1;-1339101.0;3242467.0;955508.0;3.4;4.5;17.4;97.9;-0.4;
2007.0;;;;;;;187.0;;;;;;;;;;;;;;;;;;;;;;;50.96;;;28.43;;17.95;;;181.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6050.77;1086.2;-4451.15;45.01;5701.09;6599.41;181.0;0.1;0.0;36.9;1092783.0;;153284.0;196171.0;40.6;18.0;-1172077.0;3855552.0;1191870.0;3.4;5.0;16.5;95.9;-1.0;
2008.0;;;;;;;184.0;;;;;;;;;;;;;;;;;;;;;;;48.94;;;22.18;;15.22;;;180.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6123.03;931.96;-5147.91;65.3;6011.24;7003.52;180.0;0.1;0.0;96.5;1103201.0;;167913.0;167913.0;40.3;15.2;-1323761.0;4440822.0;1261841.0;2.9;4.2;13.3;93.0;-1.3;
2009.0;;;;;;;191.0;;;;;;;;;;;;;;;;;;;;;;;32.35;;;1.04;;2.26;;;178.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5452.36;123.29;-3083.72;132.32;4820.19;6565.8;178.0;0.2;0.0;468.4;969539.0;;189215.0;21924.0;-19.8;2.3;-1168477.0;4453845.0;1167530.0;2.1;1.5;1.9;-7.3;-9.6;
2010.0;929576.0;;332641.0;;59501.0;40400.0;247.0;;8281586.0;946605.0;6872973.0;1389592.0;223963.0;463083.0;-499609.0;191656.0;-192709.0;;;;;387518.0;337488.0;50030.0;-18711.0;;198252.0;88278.0;178975.0;35.78;;;6.4;24988.0;4.35;198.23;169.01;204.0;;684409.0;1298149.0;1982558.0;225257.0;;;103609.0;;;;3727423.0;;;;8281586.0;332891.0;613715.0;;;;4104809.0;;;;4104809.0;10031176.0;;;154015.0;1182114.0;-85021.0;138485.0;8262565.0;19021.0;8281586.0;;40400.0;178975.0;-29761.0;;5888.0;;;;27953.0;28461.0;-416672.0;104508.0;-556152.0;425500.0;905898.0;-1940389.0;88918.0;-3.0;-6699.0;1358565.0;4219.0;683823.0;492167.0;;1.07;4262.78;185.26;-883.71;30.72;1910.74;6372.28;204.0;0.2;0.0;75.7;868763.0;;167266.0;37757.0;42.0;4.3;-884678.0;3836270.0;1298684.0;1.2;1.9;2.9;83.4;42.7;1.07
2011.0;1017537.0;;464939.0;;110533.0;80858.0;264.0;;10314203.0;941072.0;8661675.0;1585716.0;255260.0;302396.0;-436999.0;111825.0;-420111.0;;;;;653725.0;582897.0;70828.0;-1441.0;;265774.0;148438.0;202450.0;45.69;;;10.86;33193.0;7.95;330.22;279.77;215.0;;886131.0;1526768.0;2412898.0;218761.0;;;123078.0;;;;4386821.0;;;;10314203.0;365803.0;575269.0;26421.0;;;5446131.0;;192927.0;;5639058.0;13359661.0;;;173068.0;1372040.0;-115599.0;156207.0;10247391.0;66812.0;10314203.0;;80858.0;202450.0;-20657.0;;-30243.0;;;;;22852.0;-675370.0;9252.0;-951128.0;813496.0;1106146.0;-2393413.0;118.0;-84.0;-9689.0;1966069.0;-8832.0;879943.0;768119.0;;1.2;3938.11;312.94;-1625.93;37.5;2613.84;6137.1;215.0;0.1;0.0;80.0;846607.0;;168442.0;67275.0;30.0;7.9;-782987.0;4531268.0;1319341.0;2.0;2.6;5.1;88.0;-2.3;1.202
2012.0;1040304.0;;494769.0;;157507.0;103992.0;264.0;;10085168.0;903440.0;8306501.0;1685277.0;401957.0;50405.0;-384434.0;66107.0;-325997.0;;;;;647118.0;575254.0;71863.0;-4004.0;;599016.0;133829.0;203074.0;47.56;;;15.14;53874.0;10.0;471.88;395.01;215.0;;978912.0;1581299.0;2560211.0;227065.0;;;148881.0;;;;4454188.0;;;;10085168.0;350620.0;552819.0;9475.0;;;5151275.0;;117515.0;;5268790.0;12671851.0;;;173854.0;1470068.0;-115949.0;157304.0;9991777.0;93391.0;10085168.0;;103992.0;203074.0;19200.0;;118299.0;;;27474.0;74229.0;-42608.0;-727954.0;22904.0;-844619.0;804025.0;796049.0;-2235368.0;66.0;;-11682.0;1862550.0;-1822.0;949857.0;883751.0;;1.21;4008.13;400.66;-1256.02;45.01;2804.7;6493.12;215.0;0.1;0.0;93.8;861821.0;;168233.0;86150.0;34.2;10.0;-748438.0;4267480.0;1396137.0;2.1;2.9;6.2;88.8;-3.6;1.207
2013.0;853210.0;;472866.0;;183042.0;118735.0;259.0;;8954532.0;778401.0;7164017.0;1743855.0;415174.0;112102.0;-495692.0;41808.0;-366118.0;;;;;601401.0;569732.0;31670.0;;;223148.0;107453.0;189749.0;55.42;;;21.45;56929.0;13.92;546.73;464.35;218.0;;885566.0;;885566.0;208620.0;;;2645784.0;;;;1507044.0;;;;8954532.0;332010.0;446390.0;12362.0;;;4309288.0;;139422.0;;4448709.0;10834326.0;;;205875.0;1384652.0;-38475.0;191803.0;8907873.0;46660.0;8954532.0;;118735.0;189749.0;;;128612.0;;;-9247.0;5014.0;-21923.0;-781292.0;-46041.0;-824925.0;886053.0;878307.0;-1899844.0;;;-10266.0;1414418.0;10224.0;876700.0;834892.0;;1.06;3695.97;514.34;-1585.97;44.47;3384.43;7554.1;218.0;0.1;0.0;62.1;804156.0;;178840.0;111909.0;31.1;13.9;-733648.0;4061534.0;1643596.0;2.4;3.2;6.8;91.4;-2.8;1.061
2014.0;1149603.0;;555520.0;;274817.0;180929.0;262.0;;8784613.0;729282.0;6755224.0;1858492.0;456204.0;-195818.0;-265957.0;972.0;-375987.0;;;;;614450.0;571910.0;42540.0;;;182255.0;80257.0;200152.0;48.32;;;23.91;94183.0;15.74;685.53;664.46;254.0;;808596.0;;808596.0;232423.0;;;2514637.0;;;;1480869.0;;;;8784613.0;429412.0;299870.0;21640.0;;;3737705.0;;268464.0;;4006169.0;10032111.0;;;212652.0;1421519.0;2.0;224318.0;8613715.0;170898.0;8784613.0;;180929.0;200152.0;;;161838.0;;;45611.0;48168.0;-86714.0;-832191.0;-91431.0;-946776.0;807570.0;867009.0;-1450662.0;;;-15379.0;1200084.0;6543.0;801322.0;800350.0;;0.97;4679.79;736.52;-1530.56;62.61;3387.67;7565.53;254.0;0.1;0.0;84.6;1186871.0;;206640.0;186794.0;34.3;15.7;-752924.0;3858874.0;1918740.0;3.0;4.1;9.7;91.5;-4.1;0.969
