;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ZAR/USD)
1997.0;61.0;5.0;-1.0;-7.0;-3.0;-2.0;1.0;7.0;97.0;17.0;22.0;75.0;2.0;-40.0;28.0;28.0;-36.0;56.0;8.13;12.0;;;;;12.0;68.0;;0.0;2.0;-1.63;-10.73;3.0;-5.2;-1.0;-3.25;-1.7;-1.7;1.0;;1.0;;1.0;4.0;1.0;;80.0;;;;;;11.0;90.0;;14.0;3.0;;;-0.0;;;;6.0;6.0;;;;;-4.0;-31.0;110.0;97.0;;97.0;;-2.0;2.0;;;6.0;;-0.0;;;-4.0;-38.0;;-5.0;;3.0;;27.0;;-1.0;3.0;;;10.0;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;127.0;6.0;-6.0;-17.0;-15.0;-22.0;4.0;21.0;140.0;23.0;46.0;94.0;-14.0;17.0;7.0;7.0;-19.0;121.0;4.51;15.0;;;;;15.0;136.0;;;9.0;-4.82;-13.69;2.0;-12.21;7.0;-17.5;-6.02;-6.02;4.0;;11.0;;11.0;4.0;6.0;;116.0;;;;;;2.0;118.0;;22.0;;;;0.0;;;9.0;15.0;23.0;;;;;-27.0;-228.0;349.0;140.0;;140.0;;-22.0;9.0;;;-12.0;;-3.0;;;11.0;-5.0;;-0.0;1.0;21.0;;9.0;;-0.0;-1.0;;;1.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;178.0;19.0;7.0;-8.0;-7.0;-8.0;6.0;31.0;178.0;35.0;62.0;117.0;-1.0;-23.0;16.0;-8.0;-20.0;160.0;10.42;27.0;;;;;27.0;187.0;;;15.0;4.11;-4.28;0.0;-4.11;0.0;-4.28;-1.3;-1.3;6.0;;14.0;;14.0;10.0;7.0;0.0;136.0;;;;;;11.0;147.0;;30.0;2.0;;;3.0;6.0;;9.0;12.0;27.0;;;;;-34.0;-49.0;199.0;178.0;;178.0;;-8.0;15.0;;;-4.0;;-0.0;;;-4.0;-19.0;;;;-4.0;;16.0;;;1.0;;12.0;20.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;299.0;15.0;-109.0;-125.0;-129.0;-128.0;12.0;62.0;208.0;102.0;143.0;65.0;0.0;-54.0;53.0;-1.0;-19.0;285.0;4.88;53.0;;;;;53.0;338.0;;;19.0;-36.46;-41.69;-4.0;-42.93;-1.0;-42.69;-12.3;-12.3;10.0;;15.0;;15.0;20.0;12.0;15.0;142.0;;;;;;4.0;146.0;;68.0;2.0;;;32.0;;;10.0;31.0;41.0;;;;;-158.0;-123.0;347.0;208.0;;208.0;;-128.0;19.0;;;17.0;;5.0;;;92.0;-20.0;-30.0;-31.0;25.0;2.0;;31.0;;;22.0;;13.0;14.0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;266.0;28.0;-17.0;-36.0;-36.0;-29.0;16.0;51.0;175.0;86.0;120.0;55.0;-8.0;-2.0;13.0;3.0;-14.0;238.0;10.61;29.0;;;;;29.0;267.0;1.0;5.0;14.0;-6.42;-13.49;-0.0;-13.65;-7.0;-10.97;-2.17;-2.17;13.0;;14.0;;14.0;16.0;9.0;12.0;105.0;;;;;;18.0;123.0;;44.0;3.0;;;38.0;7.0;;4.0;23.0;34.0;;;;;-160.0;-132.0;347.0;175.0;;175.0;;-29.0;14.0;;;6.0;;1.0;;;1.0;-6.0;-0.0;-1.0;;6.0;;24.0;;;-11.0;;14.0;11.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;306.0;87.0;-79.0;-97.0;-96.0;-53.0;16.0;53.0;203.0;63.0;214.0;-11.0;-65.0;3.0;68.0;10.0;-73.0;219.0;28.4;181.0;;;;;181.0;400.0;3.0;2.0;15.0;-25.71;-31.61;0.0;-31.48;-43.0;-17.37;-3.32;-3.32;16.0;;24.0;;24.0;12.0;8.0;9.0;77.0;;;;;58.0;14.0;149.0;;37.0;17.0;;;10.0;26.0;;27.0;99.0;151.0;;;;354.0;-344.0;-112.0;91.0;203.0;;203.0;;-53.0;15.0;-42.0;;-3.0;;1.0;;;19.0;-8.0;;-2.0;11.0;2.0;;51.0;;;17.0;4.0;24.0;14.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;266.0;23.0;64.0;50.0;63.0;11.0;19.0;92.0;228.0;89.0;223.0;5.0;-24.0;-10.0;55.0;21.0;-37.0;242.0;8.77;-21.0;;;;;-21.0;221.0;;;11.0;24.05;18.7;13.0;23.6;42.0;4.28;0.6;0.4;19.0;;44.0;;44.0;23.0;8.0;16.0;83.0;;;;;25.0;28.0;137.0;;50.0;23.0;;;16.0;63.0;;29.0;42.0;134.0;;;;360.0;-340.0;-52.0;38.0;228.0;;228.0;;11.0;11.0;42.0;;-24.0;;0.0;;;-64.0;-13.0;;-9.0;0.0;12.0;;9.0;-0.0;;47.0;-1.0;44.0;24.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;317.0;33.0;-3.0;-36.0;-33.0;-56.0;21.0;64.0;326.0;86.0;241.0;84.0;-25.0;-94.0;88.0;-22.0;-52.0;284.0;10.5;66.0;;;;;66.0;350.0;1.0;8.0;30.0;-1.09;-11.49;4.0;-10.29;14.0;-17.55;-2.59;-2.59;21.0;;22.0;;22.0;19.0;16.0;5.0;157.0;;;;;28.0;77.0;262.0;;61.0;11.0;;;14.0;60.0;;44.0;51.0;155.0;;;0.0;484.0;-395.0;-45.0;40.0;325.0;1.0;326.0;;-56.0;30.0;7.0;;1.0;;5.0;;;-7.0;-27.0;-60.0;-11.0;0.0;3.0;;108.0;-1.0;;-19.0;9.0;22.0;44.0;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;173.0;46.0;-45.0;11.0;-28.0;-75.0;24.0;59.0;234.0;49.0;141.0;92.0;-15.0;-36.0;65.0;15.0;-38.0;127.0;26.43;35.0;;;;;35.0;162.0;;8.0;18.0;-25.95;6.25;-39.0;-16.21;4.0;-43.62;-3.19;-3.19;24.0;;36.0;;36.0;7.0;15.0;-0.0;120.0;;;;;;55.0;175.0;;27.0;1.0;;;21.0;54.0;;14.0;23.0;91.0;;;0.0;535.0;-468.0;26.0;0.0;233.0;1.0;234.0;;-75.0;18.0;;;-5.0;;0.0;;;47.0;-23.0;-7.0;-1.0;;-4.0;;63.0;-4.0;;6.0;2.0;35.0;19.0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;245.0;32.0;17.0;-3.0;-3.0;-24.0;30.0;113.0;405.0;158.0;272.0;103.0;-2.0;-30.0;52.0;19.0;-43.0;213.0;12.99;35.0;;;;;35.0;248.0;2.0;11.0;26.0;7.03;-1.4;1.0;-1.05;3.0;-9.72;-0.8;-0.8;30.0;;55.0;;55.0;11.0;29.0;19.0;253.0;;;;;;39.0;292.0;;42.0;76.0;;;40.0;50.0;;13.0;50.0;113.0;;;0.0;;-501.0;-43.0;;374.0;31.0;405.0;;-24.0;26.0;2.0;;-6.0;;-1.0;;;-0.0;-41.0;11.0;-1.0;;1.0;;32.0;;;21.0;-1.0;55.0;36.0;;0.14;58.85;-5.72;-10.41;;9.83;24.71;30.0;-2.5;-0.1;;1753.0;-1.4;188.0;-170.0;-127.5;-9.7;-325.0;359.0;736.0;-9.5;-2.4;-23.1;100.0;;0.14
