;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
2010.0;44871.0;;34280.0;;10139.0;6668.0;9962.0;312020.0;449814.0;76575.0;395770.0;46167.0;-22233.0;-68234.0;73885.0;-16583.0;-23846.0;;;;;17346.0;17346.0;;;;47217.0;20981.0;3656.0;76.4;;;22.6;2975.0;14.86;0.81;0.81;9962.0;;89727.0;;89727.0;57148.0;;165145.0;3103.0;8835.0;10934.0;19769.0;114922.0;;;137795.0;587609.0;2443.0;74132.0;;;;51073.0;361.0;;;51434.0;370628.0;;14585.0;27113.0;11487.0;-144.0;-6875.0;441936.0;7878.0;449814.0;;6668.0;3656.0;527.0;119.0;-40560.0;;;;-40560.0;7357.0;-1612.0;42.0;-11087.0;10949.0;-66853.0;-7819.0;83.0;;-2600.0;84220.0;-379.0;22855.0;39437.0;;0.6;7.48;1.11;-3.97;0.43;0.27;7.69;9962.0;8.0;0.4;4.9;74475.0;;6068.0;11067.0;29.3;14.9;390779.0;84768.0;76625.0;5.9;6.9;14.4;61.0;-10.6;0.603
2011.0;39857.0;;40376.0;;9793.0;7425.0;9971.0;318453.0;439012.0;36041.0;398586.0;39677.0;-3992.0;-703.0;-494.0;-4027.0;-6072.0;;;;;17979.0;17979.0;;;;52239.0;29834.0;1163.0;101.3;;;24.57;1954.0;18.63;0.75;0.75;9947.0;;73268.0;;73268.0;1794.0;;243391.0;2875.0;;2052.0;2052.0;115631.0;;;120558.0;559570.0;;36041.0;1658.0;;;41929.0;;2318.0;;44247.0;406792.0;;;;;16026.0;;438263.0;749.0;439012.0;;7425.0;1163.0;-1779.0;;-27164.0;;;;5138.0;16362.0;-2079.0;;-18062.0;19200.0;-820.0;-4601.0;;-699.0;-2462.0;7268.0;1163.0;20447.0;24474.0;;0.54;7.47;1.39;-1.14;0.46;0.39;7.43;9947.0;6.1;0.4;5.4;74276.0;;2168.0;13837.0;19.9;18.6;526299.0;78139.0;73941.0;7.8;8.9;18.7;66.8;-52.1;0.537
2012.0;37252.0;;32746.0;;8497.0;6164.0;9946.0;321795.0;466995.0;32554.0;429916.0;37033.0;23729.0;-18337.0;-2397.0;3750.0;21947.0;;;;;14776.0;14776.0;;-358.0;;47016.0;23452.0;1069.0;87.9;;;22.81;2061.0;16.55;0.62;0.62;9922.0;;49519.0;44335.0;93854.0;1967.0;;225974.0;2746.0;;2279.0;2279.0;140176.0;;;145201.0;612196.0;;32012.0;2181.0;542.0;;50492.0;542.0;1482.0;;52516.0;449878.0;;;22389.0;;15387.0;-743.0;466949.0;47.0;466995.0;;6164.0;1069.0;-1703.0;99.0;2997.0;;;;27998.0;15104.0;-1782.0;;-25669.0;8830.0;-564.0;-6839.0;;-60.0;-2540.0;7041.0;754.0;22341.0;18591.0;;0.49;7.7;1.27;4.53;0.52;0.37;7.65;9922.0;5.4;0.4;7.6;76352.0;;2190.0;12634.0;24.3;16.5;592829.0;103489.0;75902.0;5.5;6.8;16.6;58.8;11.8;0.488
2013.0;32243.0;;29403.0;;8832.0;6952.0;9949.0;298653.0;434855.0;28942.0;399216.0;35228.0;13770.0;-6138.0;-4490.0;4239.0;12705.0;;;;;13689.0;13689.0;;-412.0;;39844.0;19625.0;988.0;91.19;;;27.39;1838.0;21.56;0.7;0.7;9914.0;;50477.0;40902.0;91379.0;1209.0;;206065.0;2779.0;806.0;2454.0;3260.0;130163.0;;;136202.0;571057.0;;28477.0;1554.0;465.0;;49170.0;465.0;139.0;;49774.0;420048.0;;;25815.0;;10199.0;-785.0;434445.0;410.0;434855.0;;6952.0;988.0;339.0;90.0;-3564.0;;;;12128.0;8965.0;-1065.0;-1217.0;-16806.0;12698.0;252.0;-2187.0;;-280.0;-2273.0;250.0;1096.0;23616.0;19377.0;;0.42;7.68;1.66;3.03;0.54;0.25;8.39;9914.0;4.0;0.2;8.2;76170.0;;2333.0;16424.0;20.8;21.6;637163.0;116158.0;83223.0;5.5;6.5;19.7;67.3;20.1;0.423
2014.0;32679.0;;39133.0;;10838.0;8109.0;9972.0;303288.0;424054.0;29064.0;386202.0;37342.0;33755.0;1007.0;-8159.0;26156.0;31799.0;;;;;13029.0;13029.0;;-451.0;;45187.0;27454.0;957.0;119.75;;;33.16;2613.0;24.81;0.82;0.81;9927.0;;39017.0;29479.0;68496.0;1548.0;;233244.0;3277.0;738.0;2308.0;3045.0;114444.0;;;120766.0;544820.0;;28543.0;1689.0;521.0;;45127.0;521.0;76.0;;45724.0;402862.0;;;28782.0;;9059.0;-500.0;423543.0;511.0;424054.0;;8109.0;957.0;-99.0;207.0;14753.0;;;;11212.0;9827.0;-1955.0;521.0;-21636.0;23864.0;-251.0;-6079.0;;-13.0;-2377.0;310.0;-446.0;47145.0;20988.0;;0.38;8.75;2.17;8.51;0.64;0.52;10.0;9927.0;3.2;0.2;9.0;86866.0;;2544.0;21555.0;24.1;24.8;728929.0;119956.0;99260.0;7.3;9.0;21.7;70.7;7.5;0.376
2015.0;22040.0;;24165.0;;4610.0;6497.0;9928.0;229289.0;322167.0;24815.0;293379.0;28332.0;-8697.0;-91.0;-2153.0;-8498.0;-9360.0;;;;;9445.0;9445.0;;-364.0;;37302.0;18946.0;714.0;109.64;;;20.92;-1992.0;29.48;0.66;0.65;9871.0;;29184.0;21718.0;50902.0;1185.0;;177202.0;2156.0;519.0;1589.0;2108.0;88615.0;;;92878.0;415046.0;;24333.0;1222.0;482.0;;38970.0;482.0;93.0;;39545.0;308109.0;;;21929.0;;7502.0;-1099.0;321711.0;456.0;322167.0;;6497.0;714.0;-472.0;45.0;-21418.0;;;;1079.0;5936.0;-662.0;;-3445.0;3880.0;-156.0;-1323.0;;-839.0;-1769.0;1778.0;2443.0;23132.0;31630.0;;0.25;8.85;2.61;-3.76;0.71;0.27;11.37;9871.0;1.9;0.1;14.5;87320.0;;2828.0;25740.0;-43.2;29.5;810119.0;154398.0;112252.0;11.3;7.3;22.9;72.8;-27.9;0.252
2016.0;35069.0;;41837.0;;11729.0;7144.0;9852.0;286998.0;415580.0;29598.0;374179.0;37645.0;9309.0;4431.0;-6857.0;1373.0;8674.0;;;;;12445.0;12445.0;;-664.0;;49595.0;29213.0;993.0;119.3;;;33.44;4487.0;20.37;0.73;0.72;9784.0;;38981.0;27110.0;66091.0;2113.0;;218794.0;2470.0;2971.0;2267.0;5238.0;120875.0;;;128582.0;544163.0;;28992.0;1595.0;607.0;;42170.0;607.0;197.0;;42974.0;387555.0;;;30382.0;;7841.0;-578.0;411824.0;3756.0;415580.0;;7144.0;993.0;1281.0;21.0;-18663.0;;;;-13823.0;18533.0;-635.0;1583.0;-3594.0;6849.0;-103.0;-5589.0;;-291.0;-2356.0;1379.0;-5510.0;29518.0;28145.0;;0.31;11.67;2.38;2.89;0.78;0.21;12.53;9784.0;2.0;0.1;16.7;114195.0;;3233.0;23263.0;38.3;20.4;838162.0;137317.0;122582.0;6.6;9.9;19.0;67.0;30.5;0.307
2017.0;31899.0;;34217.0;;9725.0;7216.0;9818.0;297115.0;433217.0;30723.0;388534.0;40708.0;2609.0;-1159.0;-5109.0;-3866.0;1524.0;;;;;12398.0;12398.0;;-1022.0;;43682.0;23646.0;957.0;107.27;;;30.49;2398.0;22.62;0.74;0.73;9756.0;;44270.0;30880.0;75150.0;13425.0;;208540.0;2222.0;3235.0;2617.0;5852.0;128029.0;;;136103.0;569320.0;;30021.0;2332.0;702.0;;38843.0;702.0;133.0;;39678.0;397489.0;1.0;;29912.0;;11625.0;-828.0;429242.0;3975.0;433217.0;;7216.0;957.0;1540.0;24.0;-21195.0;;;;-9328.0;14067.0;-1085.0;-74.0;-7189.0;6930.0;-541.0;-4098.0;;-933.0;-3134.0;3056.0;-207.0;25152.0;29018.0;;0.3;10.83;2.45;0.52;1.06;0.37;13.82;9756.0;2.8;0.1;15.7;105661.0;;3169.0;23903.0;24.7;22.6;882383.0;128662.0;134840.0;6.3;7.7;17.7;56.6;266.9;0.302
2018.0;25926.0;;26805.0;;7885.0;6416.0;9774.0;264315.0;400001.0;21698.0;361240.0;35235.0;5850.0;5185.0;-8136.0;3154.0;5112.0;;;;;11156.0;11156.0;;-1357.0;;34306.0;18190.0;919.0;103.39;;;30.41;1280.0;24.75;0.66;0.66;9718.0;;40630.0;12706.0;53336.0;2589.0;;208390.0;1881.0;2946.0;2033.0;4979.0;128826.0;;;135686.0;535686.0;;21046.0;1369.0;652.0;;37902.0;652.0;115.0;;38669.0;378212.0;;;25571.0;;10132.0;-469.0;396476.0;3525.0;400001.0;;6416.0;919.0;2650.0;-25.0;-7536.0;;;;13315.0;3426.0;-738.0;;-2517.0;8212.0;-128.0;-3876.0;306.0;-131.0;-5176.0;742.0;255.0;24616.0;21462.0;;0.26;10.36;2.56;2.04;2.07;0.29;14.07;9718.0;2.8;0.1;28.6;100644.0;;3567.0;24907.0;16.2;24.7;941836.0;147136.0;136782.0;5.8;6.5;18.2;19.3;97.8;0.258
2019.0;27896.0;;27383.0;;7773.0;6746.0;9785.0;264873.0;407405.0;31483.0;370218.0;34067.0;8764.0;-9634.0;-5300.0;-6157.0;7691.0;;;;;11351.0;11351.0;;-564.0;;34902.0;18898.0;886.0;98.16;;;27.87;853.0;24.18;0.69;0.69;9740.0;;38862.0;19073.0;57935.0;14096.0;;192842.0;2730.0;2776.0;2130.0;4906.0;134896.0;;;142533.0;549938.0;;30814.0;1783.0;668.0;;39705.0;668.0;263.0;;40637.0;379372.0;1028.0;;24712.0;;9672.0;-317.0;404285.0;3120.0;407405.0;;6746.0;886.0;622.0;-35.0;-5099.0;;;;-13107.0;5644.0;-1073.0;;-13100.0;4286.0;-417.0;-705.0;185.0;;-6448.0;1668.0;13.0;17618.0;23775.0;;0.25;11.51;2.78;3.17;2.66;0.44;14.06;9740.0;2.7;0.1;36.0;112121.0;;3561.0;27113.0;11.0;24.2;938063.0;159586.0;136925.0;6.3;6.6;19.8;4.4;81.4;0.249
2020.0;18050.0;;16622.0;;1007.0;3637.0;9802.0;261993.0;388706.0;21995.0;358960.0;27526.0;11452.0;145.0;-2609.0;6740.0;10430.0;;;;;8181.0;7971.0;211.0;-671.0;;24828.0;14160.0;718.0;92.09;;;5.58;-1893.0;20.15;0.37;0.37;9760.0;;36954.0;21164.0;58118.0;10957.0;;192918.0;2280.0;1576.0;1760.0;3336.0;121096.0;;;126713.0;515418.0;;21995.0;1083.0;;;35669.0;616.0;81.0;;36367.0;373331.0;976.0;;19186.0;;8515.0;-175.0;386486.0;2220.0;388706.0;;3637.0;718.0;-46.0;42.0;2574.0;;;;36358.0;4527.0;-1022.0;;-9750.0;10700.0;-474.0;-2037.0;95.0;;-2224.0;1556.0;-2248.0;20371.0;13631.0;;0.19;9.61;1.94;5.55;1.18;0.54;14.65;9760.0;2.3;0.1;27.0;93766.0;;3729.0;18896.0;-188.0;20.2;1246744.0;185295.0;142993.0;12.6;4.1;13.2;38.9;20.4;0.193
2021.0;21869.0;;20489.0;;7580.0;4803.0;9831.0;255512.0;371422.0;18813.0;341899.0;27439.0;10789.0;-869.0;-5647.0;694.0;9159.0;;;;;8244.0;8244.0;;;;23201.0;12440.0;760.0;93.69;;;34.66;2486.0;21.96;0.49;0.49;9777.0;;39319.0;18959.0;58278.0;11900.0;;185334.0;2156.0;1404.0;2385.0;3789.0;109966.0;;;115911.0;487333.0;;18813.0;1153.0;;;38846.0;588.0;50.0;;39484.0;362570.0;956.0;;16286.0;;11248.0;-95.0;369338.0;2084.0;371422.0;;4803.0;760.0;1799.0;-4.0;-4902.0;;;;7689.0;8332.0;-1630.0;-2.0;-6.0;112.0;-719.0;-5814.0;92.0;;-1125.0;1200.0;-3579.0;19689.0;18995.0;;0.18;12.46;2.74;5.22;0.64;0.93;15.64;9777.0;1.6;0.1;14.6;121833.0;;4233.0;26760.0;32.8;22.0;1318655.0;216410.0;152864.0;3.8;5.3;17.5;76.6;11.3;0.179
