;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
2006.0;12409.0;8215.0;3811.0;3386.0;3530.0;2470.0;1232.0;8347.0;12542.0;3660.0;4431.0;8098.0;2437.0;-177.0;-1815.0;442.0;1953.0;4194.0;66.2;4828.0;1762.0;;;;3066.0;9022.0;;;283.0;30.71;27.29;144.0;28.45;1058.0;19.9;2.02;2.0;1224.0;;3166.0;1229.0;4395.0;3221.0;5.0;726.0;1592.0;1303.0;347.0;1650.0;;90.0;863.0;4195.0;;805.0;32.0;;535.0;2288.0;2.0;;22.0;747.0;771.0;;;;;8704.0;-445.0;;12529.0;12.0;12542.0;;2470.0;283.0;-3.0;;-312.0;;;;44.0;-0.0;-484.0;-666.0;-2713.0;3650.0;36.0;;359.0;-1587.0;-590.0;4.0;-5.0;3166.0;2724.0;;1.32;7.68;1.53;1.21;0.37;0.3;5.01;1224.0;33.1;1.8;0.7;9401.0;27.3;214.0;1871.0;30.0;19.9;3551.0;2.0;6135.0;27.9;28.2;30.5;76.1;93.1;1.32
2007.0;14967.0;9998.0;4532.0;3994.0;4176.0;2805.0;1206.0;9364.0;15148.0;4675.0;5644.0;9503.0;2833.0;-2035.0;-1880.0;-1155.0;2247.0;4969.0;66.8;6004.0;2130.0;;;;3874.0;10974.0;;;381.0;30.28;26.68;182.0;27.9;1346.0;18.74;2.33;2.33;1206.0;;2350.0;874.0;3223.0;4727.0;7.0;1407.0;1923.0;2079.0;589.0;2669.0;;213.0;979.0;5784.0;;1045.0;37.0;;697.0;2896.0;3.0;;107.0;859.0;969.0;;;;;10461.0;-753.0;;15147.0;1.0;15148.0;;2805.0;381.0;12.0;;-433.0;;;;328.0;68.0;-586.0;-1052.0;-1152.0;1520.0;-766.0;;292.0;-1469.0;-813.0;109.0;-72.0;2350.0;3504.0;;1.46;8.51;1.59;1.28;0.46;0.33;5.4;1206.0;31.9;1.8;0.9;10259.0;26.7;261.0;1922.0;32.2;18.7;3214.0;2.0;6514.0;26.9;27.4;29.5;71.0;88.6;1.459
2008.0;16165.0;10655.0;4530.0;3970.0;3848.0;2611.0;1191.0;8082.0;19845.0;8154.0;9733.0;10109.0;3017.0;-5268.0;1791.0;-463.0;2543.0;5510.0;65.91;6685.0;2280.0;;;;4406.0;12195.0;;;766.0;28.02;24.56;-122.0;23.81;1153.0;16.15;2.19;2.19;1190.0;;1785.0;534.0;2319.0;5029.0;13.0;721.0;1964.0;7002.0;1576.0;8577.0;;261.0;960.0;11763.0;;752.0;3598.0;;854.0;2950.0;50.0;;220.0;1309.0;1579.0;;;;;10775.0;-923.0;;19842.0;3.0;19845.0;;2611.0;766.0;-93.0;;-498.0;;;;-428.0;231.0;-474.0;-5903.0;-553.0;832.0;831.0;;137.0;-681.0;-831.0;3165.0;-1.0;1785.0;2247.0;;1.4;9.72;1.57;1.53;0.5;0.28;6.08;1190.0;30.7;1.4;1.0;11563.0;24.6;548.0;1868.0;30.0;16.2;-52.0;36.0;7231.0;22.6;19.0;25.8;68.2;54.1;1.398
2009.0;15280.0;10176.0;4343.0;3705.0;3486.0;2503.0;1188.0;7524.0;19149.0;4891.0;6991.0;12137.0;4317.0;-428.0;-3101.0;865.0;3995.0;5104.0;66.59;6187.0;2278.0;3956.0;808.0;3149.0;-47.0;11291.0;46.0;145.0;714.0;28.42;24.25;-219.0;22.82;981.0;16.38;2.15;2.15;1188.0;;2698.0;696.0;3393.0;3645.0;16.0;470.0;1963.0;7150.0;1280.0;8430.0;152.0;570.0;510.0;11625.0;;913.0;6.0;179.0;856.0;3116.0;1001.0;92.0;272.0;736.0;2100.0;;;;;12272.0;-789.0;;19129.0;20.0;19149.0;;2503.0;714.0;-56.0;13.0;1045.0;916.0;;;362.0;97.0;-322.0;-105.0;-1536.0;1470.0;64.0;-3297.0;43.0;;-850.0;1004.0;77.0;2698.0;1833.0;;1.43;8.98;1.47;2.35;0.5;0.19;7.14;1188.0;28.8;0.4;1.2;10672.0;24.3;499.0;1748.0;28.1;16.4;1839.0;699.0;8477.0;18.3;19.0;20.6;66.0;20.2;1.432
2010.0;16676.0;11466.0;4027.0;3466.0;3128.0;2423.0;1188.0;9557.0;27883.0;6889.0;14740.0;13121.0;3923.0;-5344.0;3358.0;2186.0;3476.0;5210.0;68.76;6691.0;2313.0;4390.0;851.0;3539.0;-12.0;11901.0;98.0;187.0;714.0;24.15;20.79;-338.0;18.76;702.0;14.53;2.05;2.05;1188.0;;4707.0;211.0;4918.0;4146.0;16.0;476.0;1939.0;11280.0;3179.0;14459.0;636.0;985.0;309.0;18327.0;;1234.0;1.0;219.0;1219.0;4435.0;1469.0;84.0;773.0;5524.0;7851.0;;;;;13067.0;-1726.0;;27860.0;23.0;27883.0;;2423.0;714.0;;;1267.0;;;;-62.0;-482.0;-447.0;-5611.0;-1127.0;1782.0;59.0;-2938.0;201.0;-294.0;-795.0;7185.0;249.0;4707.0;2521.0;;1.34;10.49;1.52;2.19;0.5;0.28;8.26;1188.0;31.0;1.5;1.1;12464.0;20.8;534.0;1811.0;22.5;14.5;1994.0;1098.0;9807.0;12.2;11.9;18.5;67.2;25.6;1.338
2011.0;18425.0;12787.0;7317.0;6318.0;6172.0;4450.0;1190.0;12517.0;30065.0;8111.0;13616.0;16439.0;4887.0;-1587.0;-1522.0;1873.0;4311.0;5638.0;69.4;7424.0;2510.0;4914.0;926.0;3988.0;;13062.0;159.0;208.0;937.0;39.71;34.29;-146.0;33.5;1720.0;24.16;3.74;3.74;1189.0;;6427.0;1285.0;7713.0;4522.0;14.0;268.0;2008.0;11274.0;2620.0;13894.0;747.0;602.0;298.0;17548.0;;1213.0;1723.0;529.0;1354.0;3821.0;2066.0;57.0;614.0;2768.0;5504.0;;;;;16137.0;-1770.0;;30054.0;10.0;30065.0;;4450.0;937.0;;;-963.0;-551.0;;-492.0;80.0;462.0;-576.0;-243.0;-2649.0;1810.0;71.0;-1301.0;384.0;-318.0;-923.0;636.0;96.0;6427.0;4554.0;;1.29;11.97;2.89;2.8;0.6;0.37;10.68;1189.0;20.1;1.2;1.0;14233.0;34.3;724.0;3438.0;27.9;24.2;3403.0;1596.0;12699.0;21.0;21.2;27.1;79.3;19.9;1.294
2012.0;21405.0;14722.0;6414.0;5363.0;5045.0;3725.0;1192.0;9233.0;35405.0;8762.0;16709.0;18687.0;5043.0;-7869.0;-256.0;-3283.0;4329.0;6683.0;68.78;9340.0;2973.0;6404.0;1249.0;5155.0;-37.0;16023.0;141.0;231.0;1139.0;29.96;25.06;-318.0;23.57;1319.0;17.4;3.13;3.13;1191.0;;3268.0;20.0;3288.0;5518.0;78.0;350.0;2254.0;17514.0;4267.0;21781.0;344.0;871.0;922.0;26172.0;;902.0;792.0;1249.0;1936.0;5132.0;5772.0;82.0;757.0;1335.0;7947.0;;;;1622.0;18436.0;-1852.0;482.0;35396.0;9.0;35405.0;;3725.0;1139.0;1319.0;;303.0;-392.0;;538.0;203.0;-1443.0;-714.0;-8040.0;-1348.0;2182.0;-662.0;-6220.0;139.0;-70.0;-1728.0;7623.0;-201.0;3268.0;6551.0;;1.32;13.62;2.37;2.75;1.1;0.45;11.89;1191.0;28.0;1.9;1.7;16223.0;25.1;863.0;2823.0;26.2;17.4;357.0;4375.0;14163.0;14.6;14.9;19.9;53.6;38.3;1.319
2013.0;23112.0;16241.0;7600.0;6156.0;6042.0;4572.0;1195.0;10105.0;37239.0;8724.0;15183.0;22047.0;5267.0;-2448.0;-2184.0;372.0;4489.0;6871.0;70.27;9987.0;3137.0;6868.0;1190.0;5678.0;-18.0;16858.0;158.0;249.0;1307.0;32.88;26.64;-114.0;26.14;1472.0;19.78;3.83;3.82;1193.0;;3777.0;52.0;3829.0;5758.0;;518.0;2502.0;18814.0;4063.0;22877.0;492.0;404.0;859.0;27134.0;;880.0;805.0;1266.0;2045.0;4994.0;5061.0;102.0;158.0;1138.0;6459.0;;;;1689.0;22347.0;-2114.0;125.0;37230.0;10.0;37239.0;;4572.0;1307.0;1472.0;;-401.0;;;-242.0;172.0;-1682.0;-778.0;-1594.0;-2104.0;1953.0;-702.0;-2234.0;67.0;;-1392.0;1375.0;-263.0;3777.0;3405.0;;1.37;14.09;2.79;2.74;0.85;0.47;13.45;1193.0;27.9;1.6;1.1;16815.0;26.6;951.0;3326.0;24.4;19.8;1005.0;3682.0;16040.0;16.7;16.9;20.7;69.5;29.5;1.375
2014.0;21244.0;14866.0;6674.0;5239.0;5268.0;3968.0;1198.0;10863.0;46582.0;10336.0;22874.0;23594.0;4233.0;-8758.0;5199.0;702.0;3341.0;6378.0;69.98;9101.0;2820.0;6286.0;1079.0;5207.0;-5.0;15478.0;154.0;184.0;1222.0;31.42;24.66;29.0;24.8;1300.0;18.68;3.31;3.31;1195.0;;4026.0;50.0;4075.0;5828.0;;959.0;2543.0;25337.0;5574.0;30911.0;780.0;429.0;1055.0;35719.0;;915.0;2606.0;1062.0;2169.0;4646.0;10803.0;94.0;621.0;1021.0;12539.0;;;;1487.0;22158.0;;-51.0;46468.0;114.0;46582.0;;3968.0;1222.0;1300.0;;-50.0;;;693.0;19.0;-2208.0;-892.0;-7694.0;-1235.0;1008.0;-837.0;-2494.0;62.0;;-1444.0;9076.0;28.0;4026.0;3324.0;;1.21;14.7;2.74;2.31;1.0;0.62;16.32;1195.0;27.6;1.5;1.3;17561.0;24.7;1010.0;3280.0;24.7;18.7;436.0;8930.0;19504.0;11.4;11.7;16.8;63.6;41.4;1.21
2015.0;22581.0;15385.0;6010.0;4618.0;4334.0;3328.0;1198.0;10577.0;44950.0;8544.0;19651.0;25268.0;3951.0;-363.0;-3645.0;90.0;3260.0;7196.0;68.13;10092.0;3090.0;7004.0;1138.0;5865.0;-1.0;17288.0;262.0;267.0;1400.0;26.61;20.45;-283.0;19.19;1015.0;14.74;2.78;2.78;1197.0;;3704.0;29.0;3734.0;6318.0;;525.0;2381.0;24640.0;4648.0;29288.0;1020.0;492.0;1192.0;34373.0;;970.0;616.0;898.0;2293.0;4665.0;9370.0;115.0;487.0;1136.0;11108.0;;;;1335.0;21768.0;;2165.0;44919.0;30.0;44950.0;;3328.0;1400.0;1015.0;;-198.0;;;822.0;237.0;-1594.0;-691.0;-42.0;-2032.0;2331.0;-619.0;-4183.0;70.0;;-1429.0;1898.0;147.0;3704.0;3614.0;;1.09;17.37;2.56;2.51;1.1;0.53;19.44;1197.0;28.0;1.4;1.5;20793.0;20.4;1289.0;3064.0;23.4;14.7;1872.0;8628.0;23267.0;9.7;10.3;13.2;57.0;41.7;1.086
