;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
1993.0;2185.0;;503.0;394.0;398.0;291.0;561.0;;;;;;-100.0;89.0;9.0;-2.0;-100.0;;;1814.0;;;;;1814.0;1814.0;39.0;58.0;46.0;23.01;18.04;4.0;18.24;107.0;13.34;0.52;0.52;561.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;291.0;46.0;;;0.0;;;;;-438.0;;;;;89.0;-2.0;11.0;;;;;0.0;2.0;;1.48;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;2515.0;;622.0;491.0;492.0;365.0;562.0;;;;;;8.0;63.0;-70.0;;8.0;;;2066.0;;;;;2066.0;2066.0;30.0;71.0;59.0;24.72;19.52;1.0;19.56;127.0;14.51;0.65;0.65;562.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;365.0;59.0;;;;;;;;-416.0;;;;;63.0;-2.0;8.0;;;-77.0;;0.0;0.0;;1.57;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;2994.0;;771.0;645.0;578.0;430.0;564.0;;;;;;14.0;56.0;-70.0;-70.0;14.0;;;2359.0;;;;;2359.0;2359.0;26.0;104.0;89.0;25.75;21.56;-67.0;19.32;149.0;14.35;0.76;0.76;564.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;430.0;89.0;;;;;;;;-504.0;;;;;56.0;-3.0;17.0;;;-84.0;;;;;1.55;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;3064.0;;879.0;735.0;699.0;517.0;567.0;;;;;;-12.0;;12.0;12.0;-12.0;;;2330.0;;;;;2330.0;2330.0;63.0;99.0;81.0;28.68;23.98;-36.0;22.81;182.0;16.89;0.91;0.91;567.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;517.0;81.0;;;;;;;;-610.0;;;;;;;26.0;;;-14.0;;;;;1.71;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;5630.0;3517.0;893.0;631.0;570.0;343.0;2256.0;;;;;;1166.0;-1239.0;-1196.0;-1196.0;932.0;2112.0;62.48;2104.0;;2104.0;2104.0;;;4216.0;63.0;165.0;158.0;15.86;11.21;-61.0;10.13;227.0;6.09;0.15;0.15;2256.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;343.0;158.0;;;5.0;;8.0;;;661.0;-234.0;;-2.0;;-1003.0;-643.0;35.0;-5.0;-554.0;-30.0;;;;;1.65;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;5279.0;3472.0;2592.0;1128.0;1727.0;1277.0;2265.0;;;;;;829.0;-791.0;-177.0;-177.0;579.0;1806.0;65.78;2691.0;;4314.0;2157.0;2157.0;-1623.0;4498.0;106.0;172.0;695.0;49.11;21.37;599.0;32.72;448.0;24.19;0.56;0.56;2262.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1277.0;695.0;;;81.0;;;;;-1224.0;-250.0;;-2.0;;-539.0;-5.0;30.0;;-599.0;397.0;;;;;1.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;5485.0;3568.0;1139.0;286.0;170.0;-102.0;2318.0;;;;;;945.0;-463.0;-68.0;-68.0;723.0;1917.0;65.04;597.0;;;;;597.0;2515.0;52.0;184.0;786.0;20.77;5.22;-117.0;3.1;270.0;-1.86;-0.04;-0.04;2316.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-102.0;786.0;;;-2.0;;-15.0;;;262.0;-222.0;;-36.0;5.0;-210.0;-285.0;15.0;-6.0;-549.0;757.0;;;;;1.62;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;5637.0;3644.0;1352.0;295.0;287.0;49.0;2347.0;;;;;;905.0;-1345.0;-1994.0;-1994.0;694.0;1993.0;64.65;3177.0;;2482.0;1159.0;1322.0;696.0;5170.0;39.0;193.0;872.0;23.99;5.23;-7.0;5.1;238.0;0.88;-0.14;-0.14;2339.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.0;872.0;;;19.0;;-4.0;;;-36.0;-211.0;;-79.0;;-1055.0;-1701.0;1925.0;;-293.0;-1925.0;;;;;1.5;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;6633.0;4289.0;1677.0;551.0;400.0;183.0;2574.0;8296.0;18786.0;8296.0;;;1348.0;-1744.0;2110.0;2110.0;1094.0;2343.0;64.67;3596.0;;2871.0;1376.0;1495.0;724.0;5939.0;156.0;362.0;916.0;25.29;8.31;-151.0;6.03;215.0;2.76;-0.08;-0.08;2553.0;;633.0;633.0;1265.0;;710.0;6321.0;711.0;;;9779.0;;;;10490.0;;;2256.0;;;6041.0;;;;;;;;;;;;;18786.0;;18786.0;;183.0;916.0;;;81.0;;-70.0;;;167.0;-255.0;;-86.0;1700.0;-3104.0;-783.0;16.0;;-371.0;3248.0;;;;;1.45;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;8089.0;5198.0;1898.0;790.0;466.0;292.0;2572.0;3729.0;14102.0;5847.0;9806.0;4284.0;1142.0;-393.0;-633.0;;880.0;2891.0;64.26;4249.0;;3405.0;1605.0;1800.0;844.0;7140.0;39.0;371.0;1063.0;23.47;9.76;-324.0;5.76;172.0;3.61;0.11;0.11;2560.0;;272.0;646.0;918.0;;806.0;2004.0;780.0;4528.0;4840.0;9368.0;-421.0;;646.0;10374.0;;404.0;2203.0;529.0;;3240.0;3118.0;82.0;;759.0;3959.0;;35.0;;301.0;;-1192.0;5175.0;14091.0;11.0;14102.0;;292.0;1063.0;;;-153.0;;-82.0;;;-60.0;-263.0;;-15.0;190.0;-306.0;-487.0;48.0;;-440.0;245.0;;;;;1.61;;;;;;;;;;;;;;;;;;;;;;;;;
