;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CLP/USD)
2008.0;1957.0;;2573.0;;632.0;525.0;430.0;28888.0;33819.0;2280.0;31255.0;2525.0;1242.0;-4257.0;2440.0;-570.0;1212.0;;;;;594.0;594.0;;;;3298.0;1863.0;83.0;131.45;;-555.0;32.27;102.0;26.83;1.11;1.11;430.0;;1368.0;;1368.0;;;27520.0;416.0;;117.0;117.0;4398.0;;;4931.0;38751.0;;2280.0;0.0;;;4242.0;;30.0;;4272.0;33247.0;;;1426.0;1028.0;-12.0;82.0;33780.0;39.0;33819.0;;525.0;83.0;;;-86.0;;;-86.0;;719.0;-30.0;;-1172.0;27.0;-3083.0;-433.0;;;-344.0;3217.0;5.0;1676.0;2247.0;;0.0;2844.62;763.13;1761.96;499.68;43.42;3669.87;430.0;0.0;0.0;2963.7;1223188.0;;51944.0;328146.0;16.1;26.8;16630014.0;2651372.0;1578045.0;6.6;7.4;20.8;34.5;28.4;0.002
2009.0;2731.0;;1837.0;;1051.0;863.0;471.0;35751.0;41546.0;4094.0;38166.0;3320.0;2647.0;-56.0;-344.0;2376.0;2556.0;;;;;846.0;722.0;124.0;;;2416.0;703.0;93.0;67.26;;-1242.0;38.49;178.0;31.61;0.58;0.58;471.0;;4087.0;;4087.0;;;31664.0;368.0;;155.0;155.0;5272.0;;;5795.0;47341.0;;4094.0;128.0;;;5849.0;;7.0;;5856.0;39928.0;;;1783.0;1488.0;-54.0;103.0;41486.0;60.0;41546.0;;863.0;93.0;-37.0;;3094.0;;;;3324.0;-1366.0;-91.0;-0.0;;0.0;-33.0;;;;-437.0;93.0;129.0;4472.0;2097.0;;0.0;2898.25;916.01;2712.38;463.9;97.04;3523.71;471.0;0.0;0.0;2617.9;1365435.0;;46623.0;431557.0;16.9;31.6;15828657.0;2924676.0;1660104.0;3.9;4.2;26.0;49.4;17.1;0.002
2010.0;2868.0;;2378.0;;1266.0;1080.0;471.0;42713.0;47186.0;3384.0;43046.0;4072.0;-137.0;-43.0;-553.0;-854.0;-238.0;;;;;849.0;849.0;;-3.0;;3018.0;1011.0;106.0;82.91;;74.0;44.14;182.0;37.63;2.16;2.16;471.0;;3764.0;;3764.0;;;38949.0;331.0;;167.0;167.0;3975.0;;;4473.0;51658.0;;3384.0;3.0;;;8952.0;;;;8952.0;48614.0;;;1904.0;2069.0;-11.0;110.0;47118.0;68.0;47186.0;;1080.0;106.0;-40.0;;543.0;;;;2018.0;-1824.0;-101.0;-0.0;;;-2.0;;;;-553.0;;-121.0;3923.0;4776.0;;0.0;2850.46;1072.76;-236.39;549.24;100.47;4046.08;471.0;0.0;0.0;1851.8;1342897.0;;49403.0;505393.0;14.4;37.6;18412757.0;4190888.0;1906168.0;4.4;4.8;26.5;48.8;-232.3;0.002
2011.0;2787.0;;2557.0;;931.0;773.0;471.0;43012.0;47463.0;3694.0;43433.0;3965.0;2995.0;-100.0;-557.0;2201.0;2879.0;;;;;1025.0;861.0;164.0;-329.0;;3403.0;1532.0;103.0;91.75;;;33.41;149.0;27.74;1.78;1.78;471.0;;5907.0;;5907.0;;;37105.0;294.0;;155.0;155.0;4002.0;;;4451.0;51915.0;;3694.0;3.0;;;8895.0;;10.0;;8905.0;48644.0;;;1715.0;2145.0;5.0;99.0;47398.0;65.0;47463.0;;773.0;103.0;-73.0;;3764.0;;;;1812.0;-1571.0;-117.0;;;;-49.0;;;;-557.0;;-137.0;5735.0;3533.0;;0.0;3074.17;852.73;3175.76;614.32;128.93;4374.12;471.0;0.0;0.0;1921.0;1448287.0;;53466.0;401733.0;16.0;27.7;20435301.0;4623239.0;2060717.0;4.7;5.2;19.5;28.0;19.3;0.002
2012.0;2889.0;;2725.0;;846.0;744.0;471.0;46523.0;51674.0;;47088.0;4514.0;-2408.0;-150.0;-554.0;-3120.0;-2573.0;;;;;1003.0;967.0;35.0;1.0;;3946.0;1770.0;118.0;94.29;;-79.0;29.29;93.0;25.75;1.72;1.72;471.0;;4232.0;3811.0;8044.0;3134.0;;35346.0;339.0;;182.0;182.0;4630.0;;;5150.0;56824.0;186.0;;1.0;;;12541.0;1.0;20.0;;12562.0;59650.0;595.0;;1860.0;624.0;2030.0;;51602.0;72.0;51674.0;;744.0;118.0;-82.0;;-4067.0;1332.0;;-1818.0;-1476.0;879.0;-165.0;1.0;-0.0;1.0;-75.0;-284.0;;;-545.0;275.0;-8.0;3101.0;6221.0;;0.0;2938.73;756.7;-2617.05;554.11;167.69;4591.48;471.0;0.0;0.0;1875.8;1384480.0;;56369.0;356493.0;10.9;25.7;22292042.0;6009292.0;2163118.0;4.5;5.1;16.5;26.8;-21.2;0.002
2013.0;2866.0;;2650.0;;1026.0;842.0;471.0;47251.0;51614.0;;47099.0;4461.0;1228.0;57.0;-458.0;787.0;1115.0;;;;;940.0;910.0;30.0;151.0;;3561.0;1512.0;116.0;92.46;;152.0;35.79;180.0;29.37;1.79;1.79;471.0;;4486.0;3237.0;7723.0;2952.0;;36577.0;343.0;;127.0;127.0;3892.0;;;4362.0;55976.0;161.0;;98.0;;;13095.0;1.0;51.0;;13146.0;60245.0;;;1696.0;623.0;2141.0;;51559.0;54.0;51614.0;;842.0;116.0;-53.0;;-1919.0;;;;2084.0;2241.0;-113.0;169.0;-3.0;172.0;-203.0;;;;-443.0;-15.0;-39.0;3615.0;2827.0;;0.0;3196.46;938.82;1243.81;494.1;125.64;4975.33;471.0;0.0;0.0;1937.7;1505903.0;;61074.0;442294.0;17.5;29.4;24829919.0;6881035.0;2343952.0;4.1;4.9;18.9;47.4;39.7;0.002
2014.0;2716.0;;2592.0;;1032.0;938.0;471.0;46435.0;50985.0;;46582.0;4349.0;465.0;-153.0;-436.0;-67.0;322.0;;;;;893.0;866.0;27.0;4.0;;3666.0;1498.0;73.0;95.44;;45.0;37.99;84.0;34.54;1.92;1.92;471.0;;4242.0;2719.0;6961.0;2729.0;;36745.0;348.0;;67.0;67.0;4135.0;;;4550.0;55536.0;149.0;;5.0;;;11595.0;1.0;13.0;;11609.0;58191.0;;;1467.0;687.0;2195.0;;50931.0;54.0;50985.0;;938.0;73.0;-119.0;;-2448.0;3680.0;;-1504.0;197.0;2021.0;-142.0;-10.0;-10.0;;-34.0;-15.0;;;-436.0;15.0;57.0;3060.0;3127.0;;0.0;3502.82;1209.7;415.82;562.83;183.66;5607.94;471.0;0.0;0.0;2440.7;1650232.0;;44127.0;569910.0;8.1;34.5;28210778.0;7044464.0;2641985.0;4.5;4.9;21.6;53.5;135.4;0.002
2015.0;2307.0;;1987.0;;745.0;632.0;471.0;45006.0;48839.0;;44887.0;3909.0;970.0;-131.0;-466.0;660.0;839.0;;;;;856.0;830.0;26.0;4.0;;2941.0;1171.0;76.0;86.15;;5.0;32.28;108.0;27.41;1.34;1.34;471.0;;4849.0;2883.0;7732.0;2377.0;;34897.0;339.0;;72.0;72.0;3422.0;;;3833.0;52672.0;183.0;;27.0;;;10272.0;1.0;6.0;;10279.0;55166.0;;;1257.0;496.0;2156.0;;48797.0;43.0;48839.0;;632.0;76.0;-64.0;;-1426.0;2951.0;;-1180.0;1616.0;1752.0;-131.0;-0.0;-0.0;;-38.0;-15.0;;;-466.0;15.0;287.0;3281.0;2621.0;;0.0;3472.29;951.92;1263.2;700.89;196.73;5884.7;471.0;0.0;0.0;3532.7;1635847.0;;53614.0;448466.0;14.5;27.4;31919140.0;7285433.0;2772374.0;3.4;3.9;16.2;26.4;55.5;0.001
2016.0;2496.0;;2247.0;;876.0;710.0;471.0;49018.0;55249.0;;50865.0;4340.0;1098.0;-135.0;-502.0;237.0;965.0;;;;;936.0;910.0;27.0;4.0;;3188.0;1277.0;98.0;90.02;;13.0;35.11;163.0;28.45;1.5;1.5;471.0;;4732.0;5056.0;9788.0;2467.0;;36763.0;384.0;;87.0;87.0;5760.0;;;6231.0;61479.0;230.0;;47.0;;;13832.0;1.0;11.0;;13844.0;64709.0;;;1330.0;553.0;2457.0;;55205.0;44.0;55249.0;;710.0;98.0;-56.0;;-1790.0;3188.0;;-1277.0;1026.0;2136.0;-134.0;-2.0;-2.0;;-38.0;-18.0;;;-502.0;18.0;-224.0;3709.0;3472.0;;0.0;3551.55;1010.51;1372.31;714.6;190.27;6174.41;471.0;0.0;0.0;3601.8;1673188.0;;65359.0;476067.0;18.6;28.5;32854008.0;9270485.0;2908858.0;3.2;3.9;16.4;29.3;52.1;0.001
2017.0;2860.0;;2463.0;;1169.0;913.0;471.0;52549.0;58142.0;;53033.0;5041.0;-676.0;-119.0;-537.0;-1383.0;-824.0;;;;;1035.0;1004.0;31.0;6.0;;3341.0;1188.0;126.0;86.12;;;40.88;235.0;31.94;1.95;1.95;471.0;;3969.0;4178.0;8147.0;2684.0;;41717.0;394.0;;103.0;103.0;5097.0;;;5593.0;63735.0;320.0;;14.0;;;14298.0;1.0;16.0;;14315.0;67348.0;;;1447.0;706.0;2888.0;;58074.0;68.0;58142.0;;913.0;126.0;-11.0;;-1803.0;3341.0;;-1188.0;-966.0;98.0;-148.0;-0.0;-0.0;;-24.0;-24.0;;;-537.0;24.0;-51.0;2653.0;4035.0;;0.0;3740.03;1194.61;-1077.77;701.83;194.0;6592.94;471.0;0.0;0.0;2662.5;1761986.0;;77823.0;562801.0;20.1;31.9;32377638.0;8809809.0;3106037.0;3.2;4.0;18.1;41.3;-65.1;0.002
2018.0;2608.0;;2406.0;;1103.0;857.0;471.0;52169.0;56312.0;;51641.0;4604.0;1471.0;-132.0;-610.0;895.0;1331.0;;;;;919.0;891.0;28.0;;;3230.0;1194.0;114.0;92.25;;;42.32;241.0;32.85;1.81;1.81;471.0;;3727.0;3557.0;7284.0;274.0;;44611.0;365.0;;96.0;96.0;3681.0;;;4142.0;60454.0;235.0;;15.0;;;14325.0;1.0;22.0;;14348.0;65989.0;235.0;;1283.0;538.0;2784.0;;56245.0;66.0;56312.0;;857.0;114.0;-37.0;;-1272.0;;;;2405.0;1810.0;-141.0;;;;-33.0;;;;-610.0;;165.0;3247.0;2352.0;;0.0;3846.55;1263.67;1962.64;899.17;207.79;6790.9;471.0;0.0;0.0;2815.2;1812168.0;;79280.0;595333.0;21.8;32.9;36253819.0;9954666.0;3199297.0;3.2;4.1;18.6;28.8;45.8;0.001
2019.0;2538.0;;2398.0;;1056.0;823.0;471.0;60777.0;67214.0;;62591.0;4517.0;2458.0;-180.0;-512.0;1934.0;2346.0;;;;;852.0;824.0;28.0;;;3085.0;1202.0;141.0;94.51;;;41.62;233.0;32.42;1.75;1.75;471.0;;5615.0;5689.0;11304.0;360.0;;49113.0;543.0;;98.0;98.0;5797.0;;;6437.0;73651.0;297.0;;11.0;;;18071.0;1.0;132.0;;18204.0;80794.0;211.0;;1185.0;523.0;2809.0;;67108.0;106.0;67214.0;;823.0;141.0;50.0;;-695.0;;;;2563.0;2139.0;-111.0;;-83.0;3.0;-32.0;-40.0;;;-472.0;;168.0;4932.0;2998.0;;0.0;4053.12;1314.1;3747.14;753.83;177.94;7214.52;471.0;0.0;0.0;2662.8;1909489.0;;106092.0;619091.0;22.0;32.4;45731143.0;13597375.0;3398870.0;2.6;3.4;18.2;42.6;20.1;0.001
2020.0;2869.0;;2022.0;;978.0;770.0;471.0;67289.0;78319.0;;73110.0;5090.0;-1153.0;-99.0;144.0;-1148.0;-1274.0;;;;;936.0;913.0;24.0;;;3139.0;898.0;154.0;70.47;;;34.07;200.0;26.84;1.63;1.63;471.0;;5435.0;10259.0;15694.0;286.0;;51309.0;547.0;;116.0;116.0;10367.0;;;11030.0;89348.0;339.0;;38.0;;;20661.0;1.0;182.0;;20844.0;93954.0;210.0;;1253.0;577.0;3260.0;;78200.0;119.0;78319.0;;770.0;154.0;-40.0;;-981.0;;;;1366.0;-1055.0;-121.0;;;;-27.0;-59.0;;;-466.0;668.0;-40.0;4070.0;5218.0;;0.0;4331.45;1162.38;-1922.62;703.13;182.08;7684.09;471.0;0.0;0.0;4136.1;2040611.0;;109426.0;547614.0;20.5;26.8;47858473.0;14694865.0;3620091.0;1.9;2.4;15.1;39.5;-36.6;0.001
2021.0;2665.0;;2691.0;;1259.0;987.0;471.0;61780.0;74823.0;;69634.0;5079.0;-688.0;-108.0;280.0;-3.0;-790.0;;;;;824.0;793.0;31.0;;;3424.0;1301.0;143.0;100.98;;;47.24;260.0;37.05;2.1;2.1;471.0;;6166.0;6887.0;13053.0;397.0;;48330.0;439.0;;112.0;112.0;12492.0;;;13043.0;87866.0;318.0;;26.0;;;20406.0;1.0;501.0;;20908.0;90542.0;164.0;;1045.0;758.0;2575.0;701.0;74712.0;111.0;74823.0;;987.0;143.0;266.0;;-3884.0;;;;-1282.0;1800.0;-102.0;;-9.0;;-31.0;-54.0;;;-364.0;698.0;513.0;3389.0;3392.0;;0.0;4826.26;1788.24;-1430.54;659.01;184.18;9197.78;471.0;0.0;0.0;3189.8;2273723.0;;122055.0;842467.0;20.6;37.1;52713140.0;17411359.0;4333213.0;2.7;3.4;19.4;63.1;-46.1;0.001
