;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (COP/USD)
2008.0;;;;;;;697.0;;;;;;;;;;;;;;;;;;;;;;;85.65;34.61;;36.8;;13.23;;;697.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8206.7;1085.92;1848.89;506.82;248.88;;697.0;;;;5721703.0;34.6;225923.0;757101.0;32.2;13.2;;;;;;;53.3;26.3;
2009.0;;;;;;;697.0;;;;;;;;;;;;;;;;;;;;;;;70.94;41.07;;42.03;;15.02;;;697.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10174.28;1528.08;-1325.75;723.09;624.86;5858.13;697.0;;;;7093498.0;41.1;248654.0;1065377.0;29.0;15.0;52289222.0;10030732.0;4084286.0;5.1;7.1;26.1;52.7;-53.5;
2010.0;3516.0;;1973.0;1243.0;1331.0;478.0;697.0;36230.0;48155.0;;43640.0;2277.0;1225.0;-6446.0;4737.0;1156.0;1021.0;;;;;1530.0;1530.0;;88.0;;3271.0;957.0;122.0;56.1;35.34;88.0;37.86;415.0;13.61;0.69;0.69;697.0;;4841.0;;4841.0;893.0;;30496.0;822.0;1516.0;;1516.0;9587.0;;;11925.0;60080.0;1245.0;;;;;9460.0;;;;9460.0;53100.0;;;7.0;1207.0;-695.0;1759.0;45917.0;2238.0;48155.0;;478.0;122.0;;;499.0;;;;499.0;126.0;-204.0;-1806.0;-2180.0;1280.0;-3537.0;;;;-239.0;4976.0;;4841.0;3685.0;;0.0;10086.12;1372.42;2930.08;684.17;584.0;6532.65;697.0;;;;7032031.0;35.3;243410.0;956850.0;31.2;13.6;72459222.0;18920983.0;4554555.0;2.8;4.0;21.0;50.1;23.4;0.001
2011.0;4331.0;;2740.0;;1754.0;646.0;928.0;43666.0;55751.0;;49208.0;4080.0;2370.0;-6887.0;5525.0;1008.0;1964.0;;;;;1705.0;1705.0;;98.0;;4075.0;1341.0;185.0;63.26;;;40.5;568.0;14.91;0.7;0.7;928.0;;5849.0;;5849.0;1098.0;;36718.0;1042.0;1555.0;;1555.0;9488.0;;;12085.0;67836.0;1703.0;;;;;10615.0;;;;10615.0;59822.0;;2.0;7.0;1501.0;734.0;1836.0;53287.0;2464.0;55751.0;;646.0;185.0;;;1037.0;;;;1037.0;503.0;-406.0;-74.0;-4107.0;3326.0;-5626.0;;1040.0;;-303.0;4788.0;;5849.0;4841.0;;0.0;9337.39;1392.02;4235.01;654.09;874.59;8796.06;928.0;;;;8661256.0;;369304.0;1291226.0;32.4;14.9;87331335.0;21229131.0;8159126.0;3.2;4.8;15.8;53.0;-37.5;0.001
2012.0;5534.0;;4323.0;2017.0;2286.0;916.0;928.0;59838.0;76598.0;;71148.0;5450.0;3082.0;-11539.0;9478.0;1020.0;2655.0;;;;;2151.0;2151.0;;340.0;;6123.0;2337.0;248.0;78.13;36.44;269.0;41.3;823.0;16.55;0.99;0.99;928.0;;8039.0;8207.0;16247.0;1549.0;;42042.0;1077.0;1706.0;;1706.0;13977.0;;;16760.0;93358.0;912.0;;481.0;;;15184.0;38.0;130.0;;15353.0;86501.0;;3.0;11.0;2230.0;1006.0;2200.0;76598.0;;76598.0;;916.0;248.0;;;1371.0;;;;1371.0;547.0;-427.0;-21.0;-8128.0;4144.0;-7106.0;-260.0;0.0;;-486.0;10224.0;;8039.0;7019.0;;0.0;9942.84;1645.55;4769.77;873.41;767.37;9792.23;928.0;;;;9222803.0;36.4;412829.0;1526388.0;36.0;16.6;99729700.0;25306408.0;9083103.0;3.4;5.3;16.8;46.9;18.3;0.001
2013.0;5346.0;;3643.0;1895.0;2013.0;800.0;930.0;58454.0;77929.0;564.0;69509.0;5132.0;3474.0;-9957.0;7258.0;1349.0;3057.0;;;;;2082.0;2082.0;;259.0;;5392.0;1901.0;234.0;68.14;35.45;118.0;37.66;707.0;14.97;0.86;0.86;930.0;;7300.0;7408.0;14708.0;923.0;;42824.0;2473.0;2565.0;986.0;3551.0;13451.0;;;19475.0;97404.0;267.0;296.0;447.0;;;15489.0;108.0;570.0;;16167.0;85113.0;14.0;3.0;10.0;2170.0;60.0;2890.0;74641.0;3288.0;77929.0;;800.0;234.0;;;1649.0;;;;1649.0;791.0;-417.0;-1392.0;-6688.0;3837.0;-5298.0;-25.0;1057.0;;-463.0;6688.0;;8048.0;6699.0;;0.0;11493.12;1720.28;6572.54;995.01;895.53;11032.18;930.0;;;;10692908.0;35.4;468087.0;1600503.0;35.1;15.0;115781233.0;30978504.0;10264062.0;3.0;4.6;15.6;42.2;-19.4;0.001
2014.0;4621.0;;3215.0;1492.0;1597.0;667.0;1045.0;56184.0;71046.0;2778.0;65007.0;6039.0;5545.0;-7389.0;2883.0;1039.0;5124.0;;;;;1920.0;1820.0;99.0;201.0;;4755.0;1731.0;236.0;69.57;32.29;105.0;34.56;580.0;14.44;0.64;0.64;1045.0;;7477.0;8193.0;15671.0;1229.0;;39284.0;1175.0;2251.0;892.0;2251.0;11436.0;;;14862.0;85908.0;792.0;1986.0;159.0;;;12674.0;29.0;115.0;;12818.0;75048.0;;3.0;6.0;1927.0;149.0;3954.0;71046.0;;71046.0;;667.0;236.0;;;3844.0;2169.0;;-1268.0;3844.0;797.0;-421.0;;-7178.0;4171.0;-3960.0;-248.0;1089.0;;-451.0;2493.0;-84.0;7477.0;6439.0;;0.0;11056.08;1597.02;12258.79;1079.49;1008.31;14448.37;1045.0;0.0;0.0;8513.4;11552138.0;32.3;590948.0;1668672.0;36.3;14.4;133514201.0;31685568.0;15096638.0;2.8;4.2;11.1;32.4;-12.4;0.0
2015.0;3783.0;;3134.0;1567.0;1567.0;612.0;1114.0;51420.0;65004.0;612.0;58132.0;4370.0;3128.0;-2058.0;-530.0;1505.0;2503.0;;;;;1636.0;1552.0;85.0;224.0;;4223.0;1725.0;233.0;82.86;41.43;0.0;41.43;564.0;16.19;0.55;0.55;1114.0;;6685.0;5905.0;12591.0;1130.0;;37699.0;1721.0;2117.0;901.0;3018.0;8845.0;;;13583.0;78587.0;377.0;236.0;353.0;;;14195.0;;367.0;;14562.0;72081.0;5.0;2.0;7.0;1710.0;161.0;2490.0;62502.0;2502.0;65004.0;;612.0;233.0;;;412.0;-280.0;;;6179.0;1870.0;-625.0;-276.0;-2327.0;848.0;-26.0;-576.0;34.0;;-383.0;395.0;964.0;6685.0;5181.0;;0.0;11318.46;1832.38;7489.61;1145.86;1869.69;13076.26;1114.0;0.0;0.0;13006.3;12609335.0;41.4;776017.0;2041364.0;36.0;16.2;169359874.0;47317109.0;14567621.0;3.0;4.6;14.0;37.5;14.0;0.0
2016.0;3769.0;;4345.0;-916.0;1811.0;695.0;1114.0;58348.0;72824.0;781.0;64810.0;5071.0;808.0;-310.0;22.0;-30.0;283.0;;;;;2073.0;1961.0;112.0;847.0;;5703.0;2728.0;253.0;115.26;-24.3;2728.0;48.06;668.0;18.45;0.62;0.62;1114.0;;7212.0;5978.0;13189.0;1335.0;;43824.0;1918.0;2218.0;1151.0;3369.0;9189.0;;;14476.0;87300.0;520.0;261.0;330.0;;;14795.0;;405.0;;15201.0;79229.0;3.0;2.0;7.0;2120.0;244.0;2698.0;69880.0;2944.0;72824.0;;695.0;253.0;;;-456.0;-135.0;;-2411.0;4169.0;314.0;-524.0;-1.0;-867.0;864.0;-41.0;-1212.0;-0.0;-0.0;-410.0;1643.0;-550.0;7213.0;7243.0;;0.0;10411.04;1920.8;783.0;1131.79;1447.63;14004.35;1114.0;0.0;0.0;14814.1;11598431.0;-24.3;779528.0;2139866.0;36.9;18.4;177130326.0;45524335.0;15601553.0;3.7;5.9;13.7;41.1;144.6;0.0
2017.0;5781.0;;4264.0;1632.0;1632.0;652.0;1114.0;63157.0;78531.0;835.0;69942.0;5407.0;1696.0;-1199.0;-480.0;48.0;1247.0;;;;;1993.0;1889.0;104.0;146.0;;6222.0;2732.0;299.0;73.77;28.23;0.0;28.23;582.0;11.27;0.58;0.58;1114.0;;7294.0;6180.0;13473.0;1709.0;;47975.0;1927.0;2291.0;1316.0;3607.0;9840.0;;;15374.0;93905.0;604.0;232.0;298.0;;;15035.0;;563.0;;15599.0;84705.0;4.0;5.0;7.0;2382.0;261.0;2752.0;75349.0;3182.0;78531.0;;652.0;299.0;;;-720.0;-267.0;;;4521.0;1465.0;-449.0;13.0;-1971.0;1117.0;-201.0;-1299.0;;;-434.0;1253.0;30.0;7416.0;7368.0;;0.0;15629.93;1761.51;3370.49;1173.67;1214.86;14619.62;1114.0;0.0;0.0;14005.6;17412541.0;28.2;901714.0;1962414.0;35.7;11.3;187716365.0;45286948.0;16286996.0;3.4;5.3;12.0;33.4;34.8;0.0
