;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
1987.0;481.0;382.0;35.0;36.0;23.0;12.0;9.0;896.0;1052.0;1002.0;1176.0;-124.0;;;;;;99.0;79.47;346.0;;334.0;334.0;;12.0;444.0;;;12.0;7.29;7.56;-13.0;4.88;11.0;2.49;1.36;1.36;9.0;;137.0;;137.0;;72.0;687.0;150.0;;;;;;7.0;156.0;;;860.0;;;141.0;173.0;;;2.0;175.0;;;;;-1.0;-11.0;;1052.0;;1052.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;978.0;811.0;126.0;92.0;72.0;38.0;8.0;740.0;1223.0;857.0;1114.0;108.0;;;;;;168.0;82.88;719.0;;698.0;698.0;;21.0;887.0;;34.0;21.0;12.92;9.4;-20.0;7.32;34.0;3.86;4.92;4.92;8.0;;168.0;;168.0;;62.0;509.0;157.0;;318.0;318.0;;;9.0;483.0;;;794.0;;;63.0;256.0;;;2.0;258.0;;;;;1.0;-33.0;141.0;1223.0;;1223.0;;38.0;21.0;;;;;;;;-59.0;;;;;;;;;;;;;;;1.81;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;1657.0;1422.0;224.0;167.0;120.0;63.0;8.0;1615.0;2483.0;1895.0;3082.0;-600.0;;;;;;235.0;85.82;1255.0;;1222.0;1222.0;;33.0;1490.0;;72.0;33.0;13.53;10.07;-47.0;7.24;57.0;3.8;6.01;5.88;8.0;;385.0;;385.0;;150.0;1080.0;258.0;;577.0;577.0;;;33.0;868.0;;;194.0;;;1701.0;728.0;;69.0;391.0;1187.0;;;;;67.0;-64.0;;2483.0;;2483.0;;63.0;33.0;;;;;;;;-96.0;;;;;;;;;;;;;;;1.61;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;2445.0;2130.0;328.0;254.0;168.0;98.0;9.0;1753.0;2718.0;1907.0;3224.0;-505.0;;;;;;316.0;87.1;1876.0;;1826.0;1826.0;;49.0;2191.0;;111.0;49.0;13.42;10.4;-86.0;6.88;70.0;4.0;7.55;6.9;8.0;;444.0;;444.0;;120.0;1190.0;264.0;;677.0;677.0;;;24.0;965.0;;;123.0;;;1784.0;888.0;;67.0;362.0;1317.0;;;;;143.0;-116.0;;2718.0;;2718.0;;98.0;49.0;;;;;;;;-147.0;;;;;;;;;;;;;;;1.93;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;2247.0;1944.0;253.0;147.0;102.0;58.0;10.0;1682.0;2611.0;1810.0;3093.0;-482.0;120.0;-13.0;197.0;;81.0;303.0;86.52;1797.0;;1749.0;1749.0;;48.0;2100.0;;103.0;48.0;11.27;6.55;-45.0;4.53;44.0;2.58;2.59;2.59;10.0;;383.0;;383.0;;117.0;1181.0;248.0;;653.0;653.0;;;28.0;929.0;;;62.0;;;1748.0;1049.0;;65.0;169.0;1283.0;;;;;164.0;-141.0;;2611.0;;2611.0;;58.0;48.0;;;6.0;;-3.0;;;8.0;-40.0;;;4.0;23.0;;22.0;;;175.0;;;79.0;;1.87;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;1921.0;1648.0;110.0;123.0;31.0;-18.0;10.0;1615.0;2395.0;1707.0;2760.0;-365.0;64.0;-48.0;45.0;;32.0;273.0;85.79;1525.0;;1490.0;1490.0;;35.0;1798.0;;68.0;35.0;5.74;6.4;-92.0;1.63;26.0;-0.93;1.02;1.02;10.0;;378.0;;378.0;;99.0;1137.0;223.0;;528.0;528.0;;;30.0;780.0;;1078.0;;;;628.0;874.0;;54.0;125.0;1053.0;;;;;145.0;-142.0;;2395.0;;2395.0;;-18.0;35.0;;;15.0;;9.0;;;32.0;-32.0;;-0.0;;-16.0;;;;;45.0;57.0;;260.0;;1.51;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;2114.0;1824.0;175.0;148.0;77.0;34.0;24.0;1589.0;2334.0;1809.0;2572.0;-238.0;76.0;-44.0;-80.0;;40.0;289.0;86.32;1677.0;;1638.0;1638.0;;38.0;1966.0;;60.0;38.0;8.28;7.0;-71.0;3.65;43.0;1.6;1.81;1.26;17.0;;468.0;;468.0;;114.0;1007.0;196.0;;517.0;517.0;;;33.0;745.0;;1119.0;;;;691.0;475.0;;31.0;257.0;762.0;;;;;165.0;-150.0;;2334.0;;2334.0;;34.0;38.0;;;114.0;;-24.0;;;-110.0;-35.0;;-3.0;;-5.0;;125.0;;;-205.0;-4.0;;520.0;;1.48;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;2238.0;1930.0;228.0;176.0;130.0;74.0;28.0;1782.0;2571.0;2009.0;2736.0;-166.0;242.0;-75.0;-181.0;;195.0;308.0;86.23;1754.0;;1712.0;1712.0;;42.0;2062.0;;56.0;42.0;10.19;7.85;-45.0;5.83;56.0;3.32;3.1;2.56;23.0;;421.0;;421.0;;163.0;1198.0;203.0;;549.0;549.0;;;36.0;789.0;;1351.0;;;;659.0;608.0;;12.0;107.0;727.0;;;;;163.0;-190.0;;2571.0;;2571.0;;74.0;42.0;;;47.0;;-45.0;;;79.0;-47.0;;-5.0;;-23.0;;;;-15.0;-165.0;-17.0;;451.0;;1.57;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;2420.0;2108.0;271.0;217.0;174.0;107.0;150.0;2059.0;2876.0;2316.0;2966.0;-90.0;345.0;-80.0;-156.0;;290.0;312.0;87.09;1891.0;;1850.0;1850.0;;41.0;2204.0;;57.0;41.0;11.22;8.95;-42.0;7.2;67.0;4.42;0.74;0.71;144.0;;533.0;;533.0;;144.0;1383.0;217.0;;545.0;545.0;;;55.0;816.0;;1570.0;;;;746.0;512.0;;11.0;128.0;650.0;;;;;92.0;-226.0;44.0;2876.0;;2876.0;;107.0;41.0;;;93.0;;20.0;;;104.0;-54.0;;;;-26.0;;;;-16.0;-141.0;7.0;;418.0;;1.55;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;2897.0;2509.0;358.0;313.0;258.0;171.0;150.0;2330.0;3246.0;2583.0;3200.0;46.0;407.0;-70.0;-205.0;;346.0;388.0;86.61;2197.0;;2148.0;2148.0;;49.0;2585.0;;51.0;49.0;12.34;10.79;-55.0;8.9;87.0;5.91;1.18;1.14;145.0;;642.0;;642.0;;161.0;1528.0;237.0;;600.0;600.0;;;78.0;915.0;;1632.0;147.0;;;804.0;483.0;;17.0;117.0;616.0;;;;;202.0;-254.0;98.0;3246.0;;3246.0;;171.0;49.0;;;82.0;;-15.0;;;106.0;-61.0;;;;-9.0;;6.0;;-18.0;-193.0;-77.0;;586.0;;1.71;;;;;;;;;;;;;;;;;;;;;;;;;
