;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
2006.0;2456.0;;2563.0;;470.0;376.0;2468.0;;47759.0;;44025.0;3733.0;-225.0;109.0;633.0;516.0;-460.0;;;;;680.0;680.0;;-13.0;;3532.0;2065.0;96.0;104.34;;;19.15;25.0;15.31;0.15;0.15;2468.0;;552.0;;552.0;7315.0;;;320.0;;;;7687.0;;;;47759.0;;;;;;1174.0;;;;1174.0;45199.0;;;3198.0;48.0;427.0;62.0;47759.0;0.0;47759.0;;376.0;96.0;;;-1127.0;;;;2256.0;429.0;-234.0;6.0;-3.0;;195.0;;;;-43.0;676.0;;552.0;36.0;;0.47;2.13;0.33;-0.4;0.04;0.2;3.23;2468.0;;;;5248.0;;206.0;804.0;5.3;15.3;;2507.0;7976.0;4.9;5.2;10.1;88.4;-9.5;0.468
2007.0;5644.0;;6184.0;;1365.0;1037.0;2468.0;;65190.0;;59985.0;5205.0;46.0;276.0;-61.0;260.0;-317.0;;;;;1613.0;1613.0;;278.0;;8104.0;4818.0;234.0;109.57;;;24.18;96.0;18.37;0.42;0.42;2468.0;;922.0;;922.0;11872.0;;;397.0;;;;14330.0;;;;65190.0;;;;;;6552.0;;;;6552.0;66537.0;;;4681.0;-21.0;353.0;192.0;65189.0;0.0;65190.0;;1037.0;234.0;;;-2200.0;;;;4111.0;975.0;-362.0;568.0;-14.0;;-157.0;;341.0;;-506.0;103.0;;922.0;662.0;;0.56;4.07;0.75;-0.23;0.36;0.26;3.75;2468.0;;;;10047.0;;416.0;1845.0;7.0;18.4;;11663.0;9265.0;8.5;9.1;19.9;51.2;-52.0;0.562
2008.0;6025.0;;11004.0;;546.0;691.0;2845.0;117132.0;147155.0;;125746.0;20890.0;2399.0;16.0;354.0;2769.0;1178.0;;;;;2340.0;2340.0;;5.0;;13113.0;10130.0;603.0;182.65;;;9.07;-420.0;11.46;0.28;0.28;2845.0;;2198.0;;2198.0;34278.0;;80656.0;1577.0;11376.0;914.0;12290.0;16155.0;;;30023.0;177177.0;;;;;;11029.0;;;;11029.0;136775.0;;;20370.0;1.0;698.0;-179.0;146636.0;519.0;147155.0;;691.0;603.0;-460.0;;-299.0;;;;16987.0;1864.0;-1221.0;;-3.0;67.0;861.0;;346.0;;-649.0;657.0;;12209.0;9440.0;;0.43;4.9;0.56;0.96;0.53;0.99;17.0;2845.0;;;;13946.0;;1396.0;1599.0;-77.0;11.5;271139.0;25530.0;48356.0;12.6;7.1;3.3;6.0;25.8;0.432
2009.0;12041.0;;15238.0;;4668.0;3160.0;6246.0;113258.0;181273.0;;141535.0;39738.0;-7007.0;1480.0;6662.0;1136.0;-8890.0;;;;;6280.0;6280.0;;1951.0;;22571.0;9854.0;716.0;126.55;;;38.77;1508.0;26.24;0.48;0.48;6246.0;;15644.0;;15644.0;1240.0;;96374.0;2124.0;16243.0;1896.0;18139.0;47752.0;;;68015.0;249289.0;;;3206.0;;;6563.0;;2219.0;;8782.0;150317.0;;;35921.0;4400.0;321.0;-904.0;181273.0;1.0;181273.0;;3160.0;716.0;-586.0;;-16412.0;;;;-16290.0;6115.0;-1883.0;2545.0;;;-23.0;-9225.0;7450.0;-1.0;-884.0;9322.0;;10746.0;9610.0;;0.57;3.36;0.88;-2.48;0.25;0.53;11.09;6246.0;14.8;0.2;1.9;20988.0;;1249.0;5508.0;32.3;26.2;197418.0;11439.0;69265.0;5.4;8.0;8.0;72.0;73.9;0.574
2010.0;14595.0;;16899.0;;6023.0;4448.0;7255.0;149326.0;225734.0;;181533.0;44197.0;-6222.0;-1426.0;1994.0;-5654.0;-7671.0;;;;;6766.0;6766.0;;84.0;;24648.0;10131.0;746.0;115.78;;;41.27;1575.0;30.47;0.6;0.6;7255.0;;34222.0;;34222.0;733.0;;114371.0;2722.0;17058.0;2199.0;19257.0;54428.0;;;76408.0;302142.0;;;3765.0;;;12102.0;;2579.0;;14681.0;196214.0;;;37737.0;4448.0;4144.0;-2133.0;225729.0;5.0;225734.0;;4448.0;746.0;68.0;;-16919.0;;;;24097.0;5436.0;-1450.0;;;;-631.0;-9257.0;;;-1648.0;12899.0;;5632.0;11285.0;;0.6;3.34;1.02;-1.75;0.38;0.33;10.11;7255.0;12.3;0.6;3.0;24224.0;;1237.0;7382.0;26.1;30.5;247844.0;20087.0;73355.0;5.3;7.2;10.1;63.0;-21.5;0.603
2011.0;13547.0;;18351.0;;4781.0;4158.0;7255.0;154458.0;214579.0;;172707.0;41862.0;-5962.0;113.0;5672.0;-177.0;-7332.0;;;;;6639.0;6639.0;;243.0;;27762.0;12789.0;785.0;135.47;;;35.3;620.0;30.69;0.55;0.55;7255.0;;25934.0;;25934.0;1115.0;;127409.0;2687.0;14605.0;2263.0;16868.0;40566.0;;;60121.0;274700.0;;;4361.0;;;26561.0;;2011.0;;28572.0;201279.0;;;33610.0;9497.0;520.0;-1764.0;214569.0;10.0;214579.0;;4158.0;785.0;-823.0;;-15481.0;;;;9601.0;5400.0;-1370.0;1471.0;-3.0;;-778.0;;;-61.0;-2107.0;7839.0;;4839.0;5016.0;;0.54;3.48;1.07;-1.88;0.54;0.35;10.75;7255.0;9.6;0.6;5.3;25245.0;;1462.0;7748.0;13.0;30.7;287845.0;49499.0;78013.0;7.1;8.2;9.9;49.3;-29.6;0.537
2012.0;11170.0;;13808.0;;2689.0;2658.0;3862.0;148990.0;205447.0;;165651.0;39674.0;2235.0;-1335.0;4271.0;5172.0;690.0;;;;;5839.0;5595.0;243.0;-305.0;;25693.0;10231.0;893.0;123.62;;;24.07;25.0;23.8;0.35;0.35;3860.0;;27096.0;21540.0;48636.0;2328.0;;98026.0;2897.0;13279.0;2343.0;15623.0;37938.0;;;56458.0;261905.0;;;4986.0;;;32168.0;;1740.0;;33907.0;199559.0;;;30559.0;1356.0;7843.0;-83.0;205326.0;122.0;205447.0;;2658.0;893.0;-1352.0;;-7825.0;;;;2096.0;7860.0;-1546.0;;;;-628.0;;181.0;-28.0;-1217.0;5336.0;;9571.0;4400.0;;0.49;5.93;1.41;0.37;0.65;0.82;21.07;3860.0;5.8;0.4;8.0;22893.0;;1831.0;5449.0;0.9;23.8;305370.0;65931.0;81317.0;6.2;6.3;6.7;54.2;154.4;0.488
2013.0;9291.0;;12676.0;;1701.0;2423.0;7237.0;142592.0;191777.0;;157213.0;34442.0;9196.0;-980.0;-439.0;7776.0;8194.0;;;;;5297.0;5102.0;195.0;-188.0;;21680.0;9625.0;530.0;136.44;;;18.31;99.0;26.08;0.34;0.33;7234.0;;21891.0;19593.0;41484.0;1846.0;;99262.0;2915.0;11521.0;1365.0;12886.0;33385.0;;;49185.0;240963.0;;;4263.0;;;31412.0;;687.0;;32099.0;189311.0;;;26513.0;1407.0;6646.0;-123.0;191655.0;122.0;191777.0;;2423.0;530.0;-1074.0;;770.0;;;;10696.0;6548.0;-1001.0;18.0;-87.0;;-161.0;-1618.0;;-51.0;-866.0;2097.0;;16080.0;8304.0;;0.42;3.03;0.79;2.68;0.28;0.33;11.25;7234.0;8.6;0.5;4.2;21948.0;;1252.0;5723.0;5.8;26.1;336857.0;74207.0;81366.0;6.0;6.3;7.0;64.2;11.2;0.423
2014.0;9050.0;;14831.0;;2424.0;2118.0;3853.0;131216.0;195711.0;;166110.0;29458.0;-1540.0;-1187.0;-2760.0;-5488.0;-2450.0;;;;;4760.0;4585.0;176.0;-177.0;;22167.0;11924.0;512.0;163.87;;;26.78;277.0;23.4;0.27;0.27;3851.0;;21031.0;28277.0;49308.0;1891.0;;80017.0;2660.0;10636.0;1090.0;11725.0;50109.0;;;64495.0;260205.0;;;4556.0;;;31760.0;;118.0;;31877.0;197988.0;;;21371.0;1542.0;7070.0;-525.0;195568.0;143.0;195711.0;;2118.0;512.0;-773.0;;-8108.0;;;;4902.0;4711.0;-910.0;-387.0;;;-108.0;-939.0;;-173.0;-826.0;-823.0;;8803.0;14291.0;;0.38;6.25;1.46;-1.69;0.57;0.63;20.33;3851.0;4.1;0.2;9.5;24058.0;;1362.0;5630.0;11.4;23.4;348794.0;84423.0;78303.0;6.5;7.3;7.2;61.0;-40.8;0.376
2015.0;4395.0;;9278.0;;-812.0;2469.0;3843.0;107144.0;152802.0;;132651.0;20041.0;1016.0;-192.0;1100.0;2456.0;567.0;;;;;3311.0;3179.0;132.0;-88.0;;17635.0;9726.0;376.0;211.11;;;-18.47;-3294.0;56.19;0.31;0.31;3839.0;;22500.0;17230.0;39730.0;1414.0;;66000.0;1768.0;7151.0;430.0;7581.0;36309.0;;;45658.0;198459.0;;;1120.0;;;28449.0;;206.0;;28655.0;161307.0;;;14387.0;905.0;5113.0;-364.0;152692.0;110.0;152802.0;;2469.0;376.0;-2626.0;;-778.0;;;;16193.0;1575.0;-449.0;217.0;;;-138.0;-208.0;;-62.0;-1008.0;2379.0;532.0;8362.0;5906.0;;0.25;4.54;2.55;0.58;1.04;0.46;20.68;3839.0;1.8;0.1;23.0;17411.0;;1490.0;9784.0;405.8;56.2;424500.0;112715.0;79400.0;-17.8;5.8;12.3;59.2;188.8;0.252
