;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (RUB/USD)
2011.0;12442.0;4289.0;2192.0;1816.0;1154.0;722.0;208.0;6022.0;19145.0;4700.0;13825.0;4949.0;881.0;-2599.0;2062.0;300.0;-933.0;8153.0;34.47;2462.0;;2360.0;650.0;1710.0;102.0;10614.0;17.0;557.0;556.0;17.62;14.6;-663.0;9.27;357.0;5.8;3.09;3.09;208.0;;638.0;;638.0;2122.0;2577.0;685.0;7017.0;1142.0;4694.0;5836.0;22.0;28.0;221.0;13123.0;;968.0;2725.0;277.0;204.0;802.0;7061.0;;1501.0;562.0;9125.0;;468.0;25.0;132.0;4306.0;-353.0;839.0;18774.0;371.0;19145.0;;722.0;556.0;7.0;;-649.0;-317.0;-759.0;;388.0;245.0;-1814.0;;-1081.0;351.0;-77.0;-3672.0;;;-208.0;5942.0;-44.0;638.0;338.0;;0.03;1928.26;111.87;-144.68;32.31;281.19;767.04;208.0;0.4;0.0;72.5;401340.0;14.6;17949.0;23284.0;30.9;5.8;42655.0;227785.0;159648.0;8.0;8.7;14.6;71.1;-22.3;0.031
2012.0;11200.0;3229.0;-375.0;-892.0;-1368.0;-1653.0;208.0;4150.0;17577.0;3731.0;14061.0;3156.0;1303.0;-834.0;-787.0;-345.0;281.0;7971.0;28.83;3378.0;;2216.0;466.0;1750.0;1162.0;11348.0;70.0;665.0;436.0;-3.35;-7.96;-476.0;-12.22;178.0;-14.76;-8.32;-8.32;208.0;;293.0;5.0;298.0;1527.0;2059.0;266.0;12374.0;794.0;18.0;811.0;22.0;55.0;165.0;13427.0;;1046.0;1582.0;312.0;154.0;949.0;8222.0;;1490.0;618.0;10330.0;;477.0;25.0;133.0;2484.0;-325.0;840.0;17217.0;360.0;17577.0;;-1653.0;436.0;-66.0;;684.0;;630.0;72.0;-261.0;1902.0;-1022.0;;-4.0;;193.0;-4525.0;;;-185.0;3923.0;-28.0;293.0;638.0;;0.03;1645.54;-242.94;41.23;27.21;150.15;463.73;208.0;-0.1;-0.0;176.5;342495.0;-8.0;13325.0;-50564.0;-13.0;-14.8;12792.0;251436.0;96518.0;-6.8;-4.7;-52.4;111.2;;0.033
2013.0;8574.0;2613.0;-1738.0;-529.0;-1510.0;-2927.0;208.0;2852.0;13830.0;3592.0;13018.0;517.0;323.0;-180.0;-162.0;-23.0;-234.0;5961.0;30.48;3064.0;;2108.0;383.0;1725.0;956.0;9025.0;7.0;742.0;394.0;-20.27;-6.17;-981.0;-17.62;54.0;-34.14;-14.06;-14.06;208.0;;268.0;7.0;276.0;869.0;1377.0;330.0;10104.0;688.0;13.0;700.0;22.0;5.0;146.0;10978.0;;922.0;1607.0;278.0;92.0;972.0;7815.0;;1082.0;529.0;9426.0;;420.0;25.0;133.0;-428.0;-48.0;834.0;13536.0;294.0;13830.0;;-2927.0;394.0;-55.0;;318.0;;507.0;92.0;-522.0;2594.0;-558.0;;-2.0;1.0;379.0;-3085.0;;;-0.0;2924.0;-5.0;274.0;298.0;;0.03;1355.02;-462.61;-37.06;0.04;88.18;81.76;208.0;-0.0;-0.0;0.5;282027.0;-6.2;12946.0;-96285.0;-3.6;-34.1;-24362.0;257057.0;17017.0;-22.2;-15.7;-565.8;100.0;;0.03
2014.0;6124.0;2270.0;-3254.0;121.0;-2935.0;-4145.0;208.0;1465.0;6419.0;8436.0;8947.0;-2675.0;712.0;-452.0;-419.0;-193.0;288.0;3855.0;37.06;2009.0;;1690.0;294.0;1396.0;319.0;5864.0;2.0;758.0;309.0;-53.13;1.97;-3056.0;-47.92;-176.0;-67.68;-19.92;-19.92;208.0;;68.0;1.0;69.0;428.0;613.0;356.0;4460.0;386.0;9.0;394.0;10.0;70.0;21.0;4954.0;;513.0;6644.0;206.0;78.0;1200.0;162.0;;172.0;177.0;511.0;1022.0;262.0;24.0;128.0;-4554.0;930.0;798.0;6272.0;147.0;6419.0;;-4145.0;309.0;-309.0;;876.0;;383.0;3.0;-47.0;3981.0;-424.0;;-2.0;15.0;-40.0;-2132.0;;;-0.0;1713.0;-34.0;69.0;262.0;;0.02;1710.78;-1157.86;80.38;0.03;118.49;-747.28;208.0;-0.0;-0.0;0.9;356074.0;2.0;17940.0;-240991.0;6.0;-67.7;-405297.0;9413.0;-155535.0;154.8;-56.8;154.9;100.0;;0.017
2015.0;3468.0;1395.0;-736.0;330.0;-1468.0;-1578.0;208.0;865.0;4686.0;7953.0;8274.0;-3669.0;137.0;-138.0;-10.0;-6.0;66.0;2073.0;40.22;1019.0;;867.0;166.0;700.0;152.0;3092.0;2.0;558.0;170.0;-21.22;9.51;-1797.0;-42.32;114.0;-45.49;-7.58;-7.58;208.0;;42.0;1.0;43.0;269.0;482.0;71.0;3485.0;293.0;528.0;293.0;7.0;20.0;17.0;3822.0;;360.0;6921.0;186.0;48.0;624.0;66.0;;152.0;103.0;320.0;;192.0;11.0;57.0;-4131.0;6.0;388.0;4605.0;81.0;4686.0;;-1578.0;170.0;109.0;;-38.0;;26.0;-109.0;-13.0;1474.0;-71.0;;;2.0;-69.0;-200.0;;;-0.0;190.0;5.0;12.0;18.0;;0.01;1216.23;-553.31;23.23;0.02;24.73;-1286.67;208.0;-0.0;-0.0;0.9;253141.0;9.5;12397.0;-115163.0;-7.8;-45.5;-517416.0;4789.0;-267802.0;29.1;-19.7;43.0;100.0;;0.014
2016.0;4499.0;2114.0;1143.0;696.0;231.0;116.0;208.0;1039.0;5305.0;8237.0;9422.0;-4242.0;867.0;-81.0;-748.0;9.0;790.0;2385.0;46.99;1304.0;;1143.0;226.0;917.0;161.0;3689.0;3.0;754.0;193.0;25.4;15.47;-465.0;5.13;80.0;2.58;0.56;0.56;208.0;;28.0;3.0;30.0;371.0;574.0;64.0;3919.0;299.0;588.0;299.0;8.0;24.0;15.0;4266.0;;348.0;7243.0;191.0;62.0;584.0;197.0;;265.0;723.0;1185.0;;173.0;14.0;68.0;-4799.0;14.0;462.0;5180.0;125.0;5305.0;;116.0;193.0;83.0;;-143.0;;-17.0;-69.0;10.0;619.0;-77.0;;-0.0;;-4.0;-743.0;559.0;;-0.0;-564.0;-29.0;24.0;15.0;;0.02;1326.1;34.24;232.85;0.02;22.78;-1250.5;208.0;0.1;0.0;0.9;276009.0;15.5;11813.0;7126.0;34.6;2.6;-441581.0;12065.0;-260274.0;-20.3;18.3;-2.7;99.9;-70.8;0.016
2017.0;5187.0;2406.0;1204.0;991.0;273.0;200.0;208.0;1170.0;5534.0;8395.0;9767.0;-4388.0;1097.0;-124.0;-966.0;-4.0;972.0;2781.0;46.39;1301.0;;1139.0;174.0;966.0;161.0;4081.0;3.0;731.0;218.0;23.21;19.11;-719.0;5.26;55.0;3.86;0.96;0.96;208.0;;43.0;10.0;52.0;386.0;659.0;72.0;4008.0;318.0;15.0;333.0;8.0;2.0;13.0;4364.0;;329.0;7456.0;195.0;76.0;533.0;334.0;;199.0;839.0;1372.0;;162.0;14.0;72.0;-4920.0;23.0;423.0;5379.0;155.0;5534.0;;200.0;218.0;-59.0;;-77.0;;-78.0;-60.0;11.0;816.0;-125.0;;;;-12.0;-668.0;;;-15.0;-283.0;-11.0;21.0;25.0;;0.02;1437.11;55.53;269.3;4.11;34.74;-1215.87;208.0;0.1;0.0;78.5;299113.0;19.1;12555.0;11557.0;20.0;3.9;-416686.0;19238.0;-253066.0;-26.1;18.3;-4.6;92.6;1.5;0.017
2018.0;4482.0;1933.0;952.0;714.0;233.0;181.0;208.0;1034.0;4555.0;6829.0;7899.0;-3485.0;977.0;-81.0;-908.0;-12.0;896.0;2549.0;43.13;1107.0;;977.0;189.0;789.0;130.0;3656.0;3.0;534.0;199.0;21.25;15.93;-481.0;5.19;38.0;4.04;0.87;0.87;208.0;;26.0;7.0;33.0;308.0;623.0;70.0;3183.0;230.0;12.0;242.0;8.0;79.0;9.0;3520.0;;348.0;5997.0;180.0;72.0;412.0;128.0;;194.0;748.0;1070.0;;119.0;12.0;60.0;-3932.0;25.0;350.0;4414.0;141.0;4555.0;;181.0;199.0;-37.0;;-29.0;;-113.0;60.0;7.0;663.0;-81.0;;;;-3.0;-1435.0;;;-20.0;547.0;1.0;5.0;18.0;;0.01;1501.78;60.67;300.27;6.66;27.01;-1167.71;208.0;0.1;0.0;188.6;312574.0;15.9;13859.0;12628.0;16.5;4.0;-404055.0;8951.0;-243041.0;-26.0;17.1;-5.2;89.0;2.2;0.014
2019.0;4787.0;1755.0;958.0;508.0;198.0;39.0;208.0;1066.0;5044.0;7415.0;8814.0;-3958.0;931.0;-96.0;-780.0;40.0;829.0;3032.0;36.66;1194.0;;1060.0;184.0;877.0;134.0;4226.0;3.0;545.0;245.0;20.02;10.62;-310.0;4.14;129.0;0.81;0.19;0.19;208.0;;57.0;6.0;62.0;313.0;642.0;49.0;3681.0;207.0;13.0;220.0;9.0;59.0;9.0;3978.0;;449.0;6322.0;297.0;94.0;551.0;229.0;;224.0;945.0;1399.0;;280.0;14.0;67.0;-4418.0;-14.0;393.0;4856.0;188.0;5044.0;;39.0;245.0;37.0;;179.0;;-24.0;65.0;10.0;431.0;-101.0;;;;6.0;-372.0;;;-24.0;-384.0;-14.0;46.0;6.0;;0.02;1424.92;11.57;246.85;7.28;30.18;-1178.25;208.0;0.2;0.0;362.1;296567.0;10.6;15176.0;2409.0;65.1;0.8;-393407.0;14207.0;-245228.0;-9.7;14.7;-1.0;37.1;2.9;0.016
2020.0;3576.0;1278.0;564.0;268.0;-507.0;11.0;206.0;927.0;2611.0;5379.0;5718.0;-3291.0;511.0;1137.0;-1699.0;-51.0;446.0;2298.0;35.73;950.0;;835.0;162.0;673.0;114.0;3248.0;2.0;319.0;200.0;15.77;7.51;-775.0;-14.17;34.0;0.3;0.05;0.05;206.0;;23.0;2.0;25.0;274.0;568.0;61.0;1517.0;129.0;10.0;140.0;11.0;8.0;8.0;1684.0;;435.0;4342.0;253.0;82.0;520.0;83.0;;91.0;165.0;339.0;;155.0;11.0;56.0;-3680.0;19.0;303.0;2428.0;183.0;2611.0;;11.0;200.0;35.0;;-4.0;;-71.0;15.0;13.0;270.0;-65.0;;;;1202.0;-2418.0;;-11.0;-4.0;735.0;-1.0;-13.0;39.0;;0.01;1286.77;3.92;160.56;1.42;23.39;-1184.17;206.0;0.5;0.0;74.1;265454.0;7.5;14818.0;808.0;-6.7;0.3;-330487.0;6159.0;-244289.0;-13.2;15.0;-0.3;63.9;3.4;0.013
2021.0;5360.0;2374.0;1650.0;1369.0;1188.0;1074.0;206.0;1532.0;3166.0;4845.0;5129.0;-2172.0;980.0;-73.0;-656.0;248.0;898.0;2986.0;44.29;967.0;;950.0;220.0;729.0;17.0;3952.0;9.0;312.0;178.0;30.79;25.53;-180.0;22.17;87.0;20.04;5.21;5.21;206.0;;236.0;1.0;237.0;324.0;832.0;138.0;1408.0;;;142.0;14.0;67.0;3.0;1634.0;;484.0;3878.0;218.0;189.0;294.0;53.0;;101.0;131.0;285.0;;152.0;11.0;55.0;-2569.0;30.0;300.0;2957.0;209.0;3166.0;;1074.0;178.0;-49.0;;-298.0;;-321.0;-82.0;109.0;75.0;-83.0;-0.0;;;10.0;-612.0;;;-1.0;-42.0;-3.0;236.0;-13.0;;0.01;1949.02;390.56;326.38;0.48;30.09;-789.85;206.0;0.0;0.0;18.0;402074.0;25.5;13357.0;80570.0;7.3;20.0;-248502.0;3986.0;-162943.0;-72.3;49.8;-49.4;99.9;0.1;0.013
