;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
1992.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;355.0;127.0;90.0;67.0;52.0;22.0;167.0;263.0;1112.0;62.0;373.0;739.0;104.0;-158.0;83.0;29.0;-36.0;228.0;35.74;59.0;;;;;59.0;287.0;;;38.0;25.25;19.02;-16.0;14.54;30.0;6.23;0.13;0.13;167.0;;191.0;;191.0;12.0;40.0;20.0;573.0;;;;;;275.0;849.0;;40.0;;;;22.0;183.0;;128.0;;311.0;;;;;302.0;-283.0;720.0;1112.0;;1112.0;;22.0;38.0;3.0;;;;;;;41.0;-140.0;;-4.0;7.0;-21.0;;93.0;;-13.0;2.0;;191.0;163.0;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;388.0;132.0;114.0;67.0;74.0;49.0;179.0;162.0;1289.0;63.0;550.0;739.0;98.0;-304.0;118.0;-87.0;-12.0;256.0;34.1;66.0;;;;;66.0;322.0;;;39.0;29.25;17.15;8.0;19.16;25.0;12.74;0.28;0.28;179.0;;94.0;;94.0;13.0;32.0;22.0;640.0;;;;;;487.0;1127.0;;50.0;;;;13.0;341.0;;132.0;15.0;487.0;;;;;323.0;-300.0;716.0;1289.0;;1289.0;;49.0;39.0;6.0;;11.0;;3.0;;;-8.0;-110.0;;-195.0;1.0;0.0;;4.0;;-13.0;128.0;;94.0;181.0;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;512.0;177.0;151.0;85.0;93.0;66.0;185.0;201.0;1458.0;75.0;532.0;927.0;103.0;-158.0;55.0;0.0;37.0;335.0;34.56;92.0;;;;;92.0;427.0;;;59.0;29.55;16.6;8.0;18.12;27.0;12.82;0.36;0.36;185.0;;97.0;;97.0;43.0;33.0;28.0;631.0;;;;;;627.0;1257.0;;58.0;;;;17.0;294.0;;139.0;24.0;456.0;;;;;382.0;-370.0;914.0;1458.0;;1458.0;;66.0;59.0;3.0;;-11.0;;1.0;;;-14.0;-66.0;;-99.0;7.0;0.0;;118.0;;-14.0;-49.0;;97.0;97.0;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;512.0;165.0;344.0;272.0;279.0;186.0;202.0;394.0;1882.0;80.0;766.0;1116.0;109.0;-68.0;141.0;182.0;-3.0;347.0;32.24;102.0;;;;;102.0;450.0;;;65.0;67.15;53.14;7.0;54.42;93.0;36.28;0.97;0.92;192.0;;278.0;;278.0;43.0;44.0;28.0;662.0;;;;;;826.0;1488.0;;67.0;;;;13.0;437.0;;211.0;38.0;686.0;;;;;552.0;-428.0;991.0;1882.0;;1882.0;;186.0;65.0;73.0;;-6.0;;-12.0;;;-208.0;-112.0;;-44.0;35.0;53.0;;4.0;;-14.0;150.0;;278.0;96.0;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;481.0;140.0;-113.0;-187.0;-178.0;-123.0;194.0;301.0;1650.0;74.0;710.0;940.0;98.0;-179.0;-0.0;-81.0;-44.0;341.0;29.13;102.0;;;;;102.0;444.0;;;66.0;-23.39;-38.9;9.0;-37.02;-55.0;-25.52;-0.63;-0.63;194.0;;186.0;;186.0;51.0;36.0;28.0;605.0;;;;;;744.0;1349.0;;72.0;;;;2.0;465.0;;130.0;42.0;636.0;;;;;393.0;-483.0;1029.0;1650.0;;1650.0;;-123.0;66.0;;;-0.0;;6.0;;;155.0;-141.0;;-49.0;12.0;;;7.0;;-14.0;7.0;;186.0;267.0;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;454.0;126.0;17.0;-27.0;-46.0;-32.0;193.0;246.0;1554.0;71.0;696.0;859.0;79.0;-96.0;-29.0;-46.0;25.0;328.0;27.83;92.0;;;;;92.0;420.0;;;63.0;3.74;-5.95;-19.0;-10.11;-14.0;-7.06;-0.17;-0.17;193.0;;128.0;;128.0;50.0;42.0;26.0;681.0;;;;628.0;99.0;-99.0;1309.0;;;;;;71.0;457.0;;;168.0;625.0;;;;476.0;323.0;51.0;8.0;1554.0;;1554.0;;-32.0;63.0;-4.0;;-4.0;;-8.0;;;56.0;-54.0;;-13.0;13.0;-42.0;;;-0.0;-13.0;-16.0;;128.0;173.0;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;430.0;118.0;87.0;-8.0;20.0;31.0;120.0;243.0;1841.0;71.0;725.0;1115.0;92.0;-270.0;186.0;2.0;-72.0;312.0;27.44;98.0;;;;;98.0;410.0;;;67.0;20.16;-1.91;28.0;4.69;-11.0;7.27;0.64;0.64;120.0;;138.0;;138.0;39.0;40.0;26.0;792.0;;;;806.0;102.0;-102.0;1598.0;;;5.0;;;65.0;465.0;;;189.0;655.0;;;;606.0;357.0;234.0;;1841.0;;1841.0;;31.0;67.0;-10.0;;16.0;;4.0;;;-12.0;-164.0;;;26.0;-132.0;;108.0;;-15.0;93.0;-6.0;137.0;135.0;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;805.0;249.0;168.0;114.0;84.0;57.0;224.0;798.0;3404.0;291.0;2273.0;1131.0;169.0;-35.0;-89.0;45.0;29.0;556.0;30.93;135.0;;;;;135.0;691.0;;;84.0;20.9;14.18;-30.0;10.45;27.0;7.05;0.26;0.26;221.0;;177.0;;177.0;195.0;311.0;115.0;2190.0;;;;303.0;330.0;-217.0;2606.0;;;;;;291.0;749.0;;;1233.0;1982.0;;;;584.0;382.0;264.0;;3404.0;;3404.0;;57.0;84.0;-1.0;;10.0;;3.0;;;20.0;-141.0;;;;106.0;;;-20.0;-18.0;-51.0;-1.0;177.0;133.0;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1494.0;394.0;164.0;63.0;22.0;-13.0;233.0;656.0;3237.0;273.0;1629.0;1608.0;188.0;-418.0;126.0;-104.0;-30.0;1100.0;26.4;225.0;;;;;225.0;1325.0;;;142.0;10.97;4.25;-41.0;1.47;35.0;-0.88;-0.05;-0.05;217.0;;63.0;;63.0;152.0;339.0;101.0;2071.0;;;;381.0;320.0;-191.0;2581.0;;;;;;273.0;787.0;;;568.0;1355.0;;;;1122.0;315.0;279.0;;3237.0;;3237.0;;-13.0;142.0;30.0;;-75.0;;-53.0;;;104.0;-217.0;;-23.0;;-178.0;;12.0;-13.0;-22.0;148.0;1.0;63.0;167.0;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
