;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ARS/USD)
1998.0;;;;;;;197.0;;;;;;;;;;;;74.53;;;;;;;;;;;49.64;25.75;;18.34;;11.79;;;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;199.0;;;;;;;;;;;;75.65;;;;;;;;;;;47.28;23.43;;15.86;;11.25;;;199.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;197.0;;;;;;;;;;;;72.23;;;;;;;;;;;46.16;19.56;;11.04;;8.4;;;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;197.0;;;;;;;;;;;;51.18;;;;;;;;;;;37.98;13.53;;3.22;;1.54;;;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;197.0;;;;;;;;;;;;27.85;;;;;;;;;;;-68.19;-5.06;;-141.86;;-109.37;;;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;197.0;;;;;;;;;;;;29.65;;;;;;;;;;;76.96;2.88;;9.73;;9.42;;;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1523.0;523.0;594.0;136.0;-218.0;-226.0;198.0;1503.0;4181.0;3467.0;3993.0;178.0;734.0;-288.0;-200.0;246.0;734.0;1000.0;34.34;458.0;;;;;458.0;1458.0;;253.0;558.0;39.0;8.93;-354.0;-14.31;9.0;-14.84;-1.14;-1.14;198.0;;11.0;1231.0;1242.0;233.0;27.0;1.0;2337.0;;262.0;262.0;;;79.0;2678.0;;186.0;3198.0;;;83.0;413.0;;;113.0;526.0;;;;334.0;-1289.0;102.0;1031.0;4171.0;10.0;4181.0;;-226.0;558.0;;;-71.0;;;;;473.0;;-160.0;;;-128.0;;;;;-200.0;;997.0;751.0;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1885.0;664.0;1196.0;166.0;482.0;440.0;197.0;508.0;2821.0;727.0;2192.0;615.0;648.0;29.0;-1447.0;-770.0;457.0;1221.0;35.24;968.0;;;;;968.0;2189.0;;222.0;494.0;63.43;8.8;317.0;25.6;40.0;23.32;2.24;2.24;196.0;;15.0;197.0;212.0;261.0;34.0;2.0;1964.0;;252.0;252.0;;;97.0;2313.0;;275.0;299.0;;;154.0;1318.0;;;147.0;1464.0;;;;325.0;-814.0;101.0;1004.0;2807.0;14.0;2821.0;;440.0;494.0;;;21.0;;;;21.0;-307.0;-192.0;;;;221.0;;;;;-1447.0;;199.0;969.0;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;2427.0;955.0;642.0;297.0;81.0;80.0;197.0;577.0;2845.0;1102.0;2127.0;695.0;783.0;-262.0;-502.0;20.0;501.0;1472.0;39.36;658.0;;592.0;518.0;74.0;66.0;2130.0;;114.0;454.0;26.44;12.25;-216.0;3.34;-6.0;3.3;0.41;0.41;196.0;;10.0;206.0;216.0;286.0;57.0;17.0;1875.0;;255.0;255.0;;;138.0;2268.0;;461.0;456.0;;29.0;156.0;882.0;;21.0;122.0;1025.0;;;;321.0;-520.0;16.0;877.0;2822.0;23.0;2845.0;;80.0;454.0;;;-36.0;;;;-36.0;285.0;-282.0;;;15.0;5.0;;;;;-502.0;;216.0;196.0;;0.33;37.84;1.25;7.81;;4.4;10.83;196.0;10.8;0.6;;7426.0;12.3;1388.0;245.0;-7.4;3.3;-1605.0;2699.0;2126.0;11.8;6.7;11.5;100.0;;0.327
2007.0;2882.0;1306.0;908.0;519.0;348.0;280.0;197.0;757.0;2913.0;1158.0;1926.0;962.0;935.0;-499.0;-500.0;-65.0;540.0;1577.0;45.3;759.0;;;;;759.0;2336.0;;86.0;449.0;31.52;18.01;-171.0;12.08;93.0;9.72;1.43;1.43;196.0;;14.0;301.0;315.0;390.0;50.0;2.0;1823.0;;241.0;241.0;;;92.0;2156.0;;521.0;468.0;;;168.0;547.0;;;221.0;768.0;;;;;;962.0;;2888.0;25.0;2913.0;;280.0;449.0;;;-120.0;;-16.0;;;326.0;-395.0;;;58.0;-162.0;;;;-12.0;-488.0;;145.0;210.0;;0.32;46.32;4.5;8.68;0.19;6.35;15.47;196.0;5.2;0.3;0.8;9078.0;18.0;1415.0;882.0;26.7;9.7;-1260.0;1724.0;3031.0;19.4;15.9;29.1;95.7;2.2;0.318
2008.0;3071.0;1436.0;806.0;591.0;437.0;278.0;197.0;750.0;2793.0;1176.0;1606.0;1164.0;961.0;-381.0;-451.0;129.0;509.0;1635.0;46.76;845.0;;845.0;107.0;739.0;;2480.0;;;373.0;26.25;19.24;-154.0;14.22;155.0;9.06;1.42;1.42;197.0;;10.0;315.0;326.0;350.0;73.0;2.0;1791.0;;223.0;223.0;2.0;;26.0;2043.0;;512.0;392.0;179.0;;272.0;207.0;;;223.0;430.0;;;;1063.0;101.0;-6.0;6.0;2770.0;23.0;2793.0;;278.0;373.0;154.0;;-100.0;;;;;255.0;-452.0;-28.0;;95.0;-1.0;-472.0;;;-6.0;26.0;;261.0;133.0;;0.29;53.88;4.88;8.93;0.1;7.93;20.42;197.0;3.1;0.1;0.7;10608.0;19.2;1289.0;961.0;35.5;9.1;-1471.0;715.0;4020.0;17.5;15.6;23.9;97.9;1.1;0.289
2009.0;3217.0;1612.0;924.0;727.0;583.0;370.0;197.0;774.0;2798.0;1097.0;1343.0;1430.0;865.0;-324.0;-444.0;98.0;473.0;1605.0;50.11;885.0;;885.0;118.0;767.0;;2490.0;33.0;46.0;299.0;28.73;22.59;-143.0;18.13;210.0;11.49;1.88;1.88;197.0;;16.0;323.0;339.0;369.0;64.0;2.0;1799.0;;203.0;203.0;0.0;;20.0;2023.0;;582.0;201.0;202.0;;314.0;22.0;;;225.0;246.0;;;;966.0;436.0;28.0;;2773.0;24.0;2798.0;;370.0;299.0;44.0;;-54.0;-74.0;-10.0;51.0;-7.0;206.0;-392.0;;;64.0;-1.0;-531.0;;;-5.0;93.0;;335.0;237.0;;0.26;62.1;7.14;9.13;0.1;7.57;27.61;197.0;1.7;0.0;0.8;12226.0;22.6;1138.0;1405.0;35.9;11.5;-1226.0;82.0;5436.0;23.9;22.5;25.8;98.6;1.1;0.263
2010.0;3693.0;3042.0;1236.0;797.0;762.0;487.0;197.0;913.0;3104.0;1136.0;1464.0;1613.0;1069.0;-586.0;-461.0;26.0;477.0;651.0;82.37;2188.0;;1360.0;1073.0;287.0;828.0;2839.0;40.0;46.0;431.0;33.47;21.57;-35.0;20.64;271.0;13.2;2.33;2.33;197.0;;349.0;1.0;349.0;450.0;114.0;;1855.0;;311.0;311.0;0.0;;25.0;2191.0;;733.0;10.0;257.0;10.0;383.0;30.0;47.0;62.0;189.0;328.0;;;;925.0;591.0;97.0;;3077.0;27.0;3104.0;;487.0;431.0;1.0;;-8.0;-120.0;-59.0;136.0;-7.0;157.0;-592.0;;;4.0;-147.0;-221.0;;;-265.0;25.0;5.0;347.0;321.0;;0.25;74.46;9.83;9.61;5.35;11.95;32.53;197.0;2.0;0.1;26.9;14659.0;21.6;1712.0;1935.0;35.6;13.2;-886.0;121.0;6404.0;26.7;26.2;30.2;45.6;55.7;0.252
2011.0;4311.0;3576.0;1302.0;896.0;915.0;584.0;197.0;1266.0;3559.0;1282.0;1662.0;1864.0;1254.0;-702.0;-224.0;335.0;538.0;734.0;82.97;2618.0;;1639.0;1148.0;491.0;979.0;3352.0;54.0;33.0;362.0;30.21;20.79;19.0;21.22;324.0;13.54;2.86;2.86;197.0;;655.0;;655.0;487.0;125.0;;1916.0;;346.0;346.0;0.0;;31.0;2293.0;;792.0;4.0;247.0;68.0;419.0;27.0;71.0;49.0;233.0;380.0;;;;853.0;895.0;115.0;;3526.0;33.0;3559.0;;584.0;362.0;;;4.0;-120.0;-23.0;87.0;33.0;305.0;-715.0;;;;-195.0;-26.0;;;-213.0;15.0;7.0;655.0;320.0;;0.23;94.24;12.76;11.77;4.65;15.64;40.74;197.0;1.8;0.1;20.4;18553.0;20.8;1556.0;2513.0;35.4;13.5;-69.0;115.0;8021.0;27.1;26.7;31.3;63.6;39.5;0.232
