;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
1993.0;41111.0;;4316.0;2858.0;2843.0;1912.0;3018.0;13116.0;24701.0;10588.0;17396.0;6803.0;2355.0;-2684.0;-128.0;-544.0;326.0;;;37660.0;764.0;;;;36896.0;37660.0;311.0;552.0;996.0;10.5;6.95;-15.0;6.92;856.0;4.65;0.64;0.64;3018.0;;884.0;845.0;1729.0;;5089.0;6297.0;11268.0;;;;179.0;884.0;-745.0;11585.0;;4028.0;1959.0;;;4601.0;2173.0;;1337.0;3298.0;6808.0;;;;139.0;6331.0;;333.0;24199.0;502.0;24701.0;;1912.0;996.0;;;-252.0;;-186.0;;;-301.0;-2029.0;-791.0;;121.0;15.0;-1439.0;60.0;;;1250.0;-87.0;450.0;994.0;;1.11;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;46403.0;;5329.0;3951.0;3727.0;2439.0;3021.0;15326.0;28383.0;11215.0;19788.0;7991.0;2595.0;-2812.0;347.0;465.0;361.0;;;42380.0;849.0;;;;41530.0;42380.0;211.0;554.0;1145.0;11.48;8.51;-224.0;8.03;1192.0;5.26;0.81;0.81;3021.0;;1509.0;818.0;2327.0;;5856.0;7142.0;12760.0;;;;153.0;1509.0;-1366.0;13058.0;;4672.0;1855.0;;;4688.0;3230.0;;1298.0;4045.0;8573.0;;;;147.0;7672.0;;172.0;27780.0;604.0;28383.0;;2439.0;1145.0;;;78.0;;-267.0;;;-1067.0;-2234.0;-773.0;-3.0;;197.0;-1796.0;48.0;-441.0;;2536.0;335.0;942.0;477.0;;1.23;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;48528.0;;5300.0;3890.0;3571.0;2268.0;3024.0;16176.0;29812.0;11570.0;20604.0;8490.0;2571.0;-2364.0;-119.0;89.0;702.0;;;44303.0;901.0;;;;43402.0;44303.0;211.0;604.0;1226.0;10.92;8.01;-319.0;7.36;1203.0;4.67;0.75;0.75;3024.0;;1708.0;585.0;2293.0;;6609.0;7274.0;13413.0;;;;55.0;1708.0;-1540.0;13636.0;;4858.0;1825.0;;;4887.0;3378.0;;1378.0;4278.0;9034.0;;;;145.0;8202.0;-9051.0;9194.0;29094.0;718.0;29812.0;;2268.0;1226.0;;;-377.0;;-594.0;;;-545.0;-1869.0;-962.0;-63.0;2.0;530.0;-2984.0;26.0;;;2839.0;;-117.0;-206.0;;1.28;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;57831.0;;6580.0;4306.0;4584.0;2778.0;3025.0;17547.0;31463.0;12271.0;21934.0;8783.0;3713.0;-3861.0;507.0;121.0;1696.0;;;53133.0;1035.0;;;;52098.0;53133.0;238.0;671.0;1465.0;11.38;7.45;278.0;7.93;1667.0;4.8;0.92;0.92;3025.0;;2265.0;647.0;2912.0;;6738.0;7896.0;13687.0;;;;35.0;2265.0;-2070.0;13917.0;;4865.0;2127.0;;;5279.0;3706.0;;1513.0;4444.0;9663.0;;;;162.0;8545.0;-9538.0;9614.0;30716.0;747.0;31463.0;;2778.0;1465.0;;;-114.0;;88.0;;;-416.0;-2017.0;-1497.0;-72.0;;-274.0;-2774.0;24.0;;;3257.0;-238.0;138.0;17.0;;1.25;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;49166.0;;9413.0;3660.0;7795.0;5502.0;3060.0;22409.0;32497.0;10730.0;19732.0;12117.0;2745.0;-2012.0;-786.0;-150.0;1164.0;;;48510.0;902.0;;;;47609.0;48510.0;443.0;563.0;1216.0;19.15;7.44;4134.0;15.85;2132.0;11.19;1.84;1.8;2987.0;;5520.0;4148.0;9668.0;;5139.0;7603.0;9925.0;;;;21.0;5520.0;-5380.0;10087.0;;3934.0;1554.0;;;5241.0;2856.0;;2213.0;3933.0;9002.0;;;;155.0;11962.0;-7689.0;7689.0;31849.0;647.0;32497.0;;5502.0;1216.0;;;330.0;;129.0;;;-4303.0;-1581.0;6764.0;-38.0;12.0;-7169.0;-1756.0;50.0;;;920.0;-97.0;8113.0;8264.0;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;44954.0;;6421.0;4903.0;5119.0;3274.0;3065.0;25609.0;35706.0;21052.0;29666.0;5421.0;2527.0;-3408.0;46.0;-767.0;1047.0;;;40180.0;923.0;;;;39258.0;40180.0;602.0;428.0;1035.0;14.28;10.91;216.0;11.39;1684.0;7.28;1.09;1.07;2990.0;;6383.0;5777.0;12160.0;;5560.0;7889.0;9590.0;;332.0;332.0;37.0;6383.0;-6245.0;10096.0;;4085.0;2723.0;;;14244.0;2670.0;;1593.0;4352.0;8614.0;;;;156.0;5411.0;-8145.0;7999.0;35087.0;619.0;35706.0;;3274.0;1035.0;;;-458.0;;-475.0;;;-1324.0;-1480.0;375.0;-164.0;;-2139.0;-582.0;20.0;;;609.0;68.0;9437.0;10204.0;;1.17;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;43723.0;;6095.0;4592.0;4632.0;2956.0;3215.0;18406.0;28079.0;12218.0;19681.0;7684.0;-3105.0;4067.0;-155.0;960.0;-4506.0;;;38825.0;998.0;;;;37827.0;38825.0;463.0;478.0;1200.0;13.94;10.5;40.0;10.59;1461.0;6.76;0.94;0.91;3136.0;;4023.0;1487.0;5510.0;;5159.0;7737.0;8883.0;;648.0;648.0;34.0;4023.0;-3915.0;9673.0;;4082.0;2956.0;;;5180.0;1866.0;;1280.0;4318.0;7464.0;;;;152.0;6587.0;-7391.0;8335.0;27365.0;714.0;28079.0;;2956.0;1200.0;;;339.0;;19.0;;;-7600.0;-1401.0;-389.0;-282.0;11.0;6127.0;-429.0;5.0;;;269.0;154.0;2554.0;1594.0;;1.01;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;70801.0;10659.0;8155.0;4915.0;4051.0;1645.0;3043.0;30024.0;85766.0;42205.0;72692.0;11730.0;4280.0;-38642.0;34078.0;-637.0;2256.0;60142.0;15.06;2125.0;1767.0;;;;358.0;62266.0;575.0;1517.0;2907.0;11.52;6.94;-863.0;5.72;2087.0;2.32;0.52;0.51;2968.0;;3889.0;982.0;4872.0;;8065.0;17088.0;14639.0;;39381.0;39381.0;1216.0;3889.0;-3384.0;55742.0;;8015.0;24812.0;;;9379.0;19442.0;;1564.0;9481.0;30487.0;;;;529.0;10633.0;-13883.0;14451.0;84421.0;1345.0;85766.0;;1645.0;2907.0;;;1428.0;;618.0;;;-1700.0;-2025.0;-40731.0;-274.0;19.0;4369.0;-4125.0;;-26.0;;38230.0;-353.0;-17460.0;-16823.0;;0.94;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;46510.0;5226.0;7017.0;;3229.0;1637.0;3030.0;118.0;234.0;710.0;;;3107.0;2873.0;-5807.0;173.0;1897.0;41284.0;11.24;;;;;;;41284.0;;1466.0;2535.0;15.09;;-1997.0;6.94;1378.0;3.52;0.53;0.53;2949.0;;118.0;;118.0;;;;;117.0;;117.0;;;;117.0;;;10048.0;;;-9338.0;;;;;;;;;;;;;234.0;;234.0;;1637.0;2535.0;;;199.0;;-158.0;;;-1264.0;-1210.0;3098.0;;;-225.0;;;;-1265.0;-4542.0;;1659.0;1486.0;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;50734.0;27710.0;7646.0;5387.0;3854.0;2238.0;3080.0;17036.0;46874.0;21653.0;40047.0;6167.0;5007.0;51.0;-5007.0;51.0;3646.0;23024.0;54.62;20090.0;;20179.0;20179.0;;-89.0;43115.0;;1078.0;2714.0;15.07;10.62;-1533.0;7.6;1616.0;4.41;0.72;0.7;2930.0;;2367.0;1289.0;3656.0;;4729.0;8651.0;7816.0;;21309.0;21309.0;;;714.0;29838.0;;4639.0;9996.0;;;7018.0;11491.0;;529.0;6373.0;18393.0;;;137.0;538.0;6072.0;;-580.0;46214.0;660.0;46874.0;;2238.0;2714.0;;;475.0;;-103.0;;;-420.0;-1361.0;-60.0;-71.0;;1543.0;;9.0;;-1660.0;-3355.0;351.0;2367.0;2316.0;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;
