;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (COP/USD)
2005.0;;;;;;;849.0;;;;;;;;;;;;34.92;;;;;;;;;;;27.64;29.0;;27.64;;20.97;;;849.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;849.0;;;;;;;;;;;;30.63;;;;;;;;;;;26.6;25.21;;26.6;;18.44;;;849.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21660.83;3994.57;5289.49;2355.72;2194.28;24541.62;849.0;;;;18389965.0;25.2;;3391373.0;30.7;18.4;3301304.0;;20835746.0;8.9;11.6;16.3;41.0;44.5;
2007.0;;;;;;;1535.0;;;;;;;;;;;;46.0;;;;;;;;;;;31.64;40.0;;31.64;;23.19;;;1535.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14547.72;3374.22;4429.65;2915.36;1978.34;17463.57;1535.0;;;;22332320.0;40.0;;5179792.0;26.7;23.2;9708338.0;;26808467.0;12.3;14.7;19.3;13.6;65.8;
2008.0;;;;;;;2024.0;;;;;;;;;;;;43.88;;;;;;;;;;;52.16;37.33;;47.24;;34.31;;;2024.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16750.46;5746.95;5101.36;2300.0;726.25;17107.77;2024.0;0.0;0.0;11313.3;33896669.0;37.3;1648089.0;11629677.0;27.4;34.3;9005128.0;1250281.0;34619717.0;27.9;33.1;33.6;60.0;45.1;
2009.0;;;;;;;2024.0;;;;;;;;;;;;34.53;;;;;;;;;;;35.45;25.9;;23.85;;16.88;;;2024.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15024.71;2536.07;-1702.4;4399.33;6350.32;16094.85;2024.0;0.0;0.0;19337.7;30404390.0;25.9;3392461.0;5132054.0;29.2;16.9;4647575.0;6711141.0;32569957.0;11.1;13.5;15.8;-73.5;-257.2;
2010.0;20984.0;8005.0;6672.0;6439.0;5746.0;4073.0;2024.0;6315.0;34385.0;5021.0;13478.0;20664.0;7178.0;-6354.0;-742.0;82.0;3956.0;12980.0;38.15;1565.0;;1565.0;302.0;1263.0;;14545.0;78.0;73.0;907.0;31.8;30.69;-693.0;27.38;1619.0;19.41;2.01;2.01;2024.0;;1863.0;164.0;2027.0;1368.0;1096.0;1823.0;11133.0;5534.0;;5534.0;2589.0;1020.0;7794.0;28070.0;;2031.0;540.0;1795.0;;2450.0;3917.0;;;4539.0;8456.0;;;;5059.0;4073.0;-11466.0;22998.0;34142.0;243.0;34385.0;;4073.0;907.0;19.0;;698.0;397.0;-65.0;624.0;50.0;1482.0;-3223.0;-582.0;-5904.0;5289.0;-1935.0;1381.0;;;-1895.0;-227.0;;1863.0;1781.0;;0.0;20739.17;4025.68;3909.65;1872.79;3184.95;20422.84;2024.0;0.0;0.0;5580.4;41968311.0;30.7;1813270.0;8146471.0;28.2;19.4;2587060.0;7833715.0;41328181.0;14.2;16.9;19.7;53.5;47.9;0.001
2011.0;32876.0;14544.0;13039.0;12845.0;11821.0;7726.0;2056.0;9519.0;46139.0;7876.0;17668.0;27344.0;11498.0;-8694.0;-1375.0;1429.0;6403.0;18333.0;44.24;1698.0;;230.0;163.0;67.0;1468.0;20031.0;97.0;208.0;1128.0;39.66;39.07;-1025.0;35.96;3978.0;23.5;3.76;3.76;2056.0;;3293.0;766.0;4059.0;2318.0;1381.0;1761.0;15017.0;;;;2737.0;;18866.0;36620.0;;987.0;416.0;4309.0;;6473.0;3985.0;;894.0;4913.0;9792.0;;;;5140.0;7563.0;11248.0;3394.0;45012.0;1126.0;46139.0;;7726.0;1128.0;197.0;;730.0;;-281.0;-61.0;280.0;1717.0;-5095.0;-434.0;-7998.0;4834.0;;-123.0;;;-2948.0;1696.0;;3293.0;1863.0;;0.0;31983.24;7516.33;6229.48;2868.37;4956.39;26601.77;2056.0;0.0;0.0;6790.6;65752268.0;39.1;2255677.0;15452334.0;33.7;23.5;3284876.0;7969978.0;54688855.0;21.3;26.5;28.3;61.8;46.0;0.001
2012.0;41311.0;16990.0;16498.0;14524.0;13399.0;8867.0;2056.0;13730.0;68328.0;13880.0;27922.0;38845.0;12319.0;-9614.0;-2008.0;696.0;3038.0;24321.0;41.13;3521.0;;3035.0;1094.0;1941.0;486.0;27842.0;230.0;349.0;3001.0;39.94;35.16;-1125.0;32.43;4280.0;21.46;4.31;4.31;2056.0;;4764.0;823.0;5587.0;3157.0;1684.0;3302.0;33396.0;1706.0;342.0;2047.0;3528.0;;15627.0;54598.0;;6543.0;1343.0;4716.0;;5994.0;6880.0;222.0;1074.0;5866.0;14042.0;;;;6168.0;8674.0;7376.0;16627.0;66766.0;1561.0;68328.0;;8867.0;3001.0;23.0;;-704.0;-1510.0;-235.0;1391.0;-64.0;1132.0;-9281.0;;-9169.0;8835.0;;;;;-5032.0;3024.0;;4764.0;4068.0;;0.0;33491.02;7188.78;2462.93;4079.51;7523.88;31491.28;2056.0;0.0;0.0;7045.8;68852002.0;35.2;5002497.0;14778947.0;31.9;21.5;-250099.0;11466686.0;64740881.0;17.4;20.2;22.8;43.3;165.6;0.001
2013.0;35214.0;13937.0;13491.0;10917.0;10941.0;6553.0;2056.0;14364.0;66214.0;11151.0;28368.0;35560.0;8761.0;-4831.0;-3539.0;450.0;1647.0;21277.0;39.58;3059.0;;1201.0;1192.0;9.0;1859.0;24337.0;231.0;296.0;2597.0;38.31;31.0;24.0;31.07;4044.0;18.61;3.19;3.19;2056.0;;4421.0;830.0;5250.0;3088.0;1630.0;4395.0;46035.0;1088.0;147.0;1234.0;1472.0;;3109.0;51850.0;;2730.0;387.0;4810.0;741.0;7293.0;10712.0;168.0;1089.0;5248.0;17216.0;;;;5140.0;6295.0;7650.0;16475.0;63927.0;2287.0;66214.0;;6553.0;2597.0;-101.0;;-1705.0;-3045.0;-233.0;338.0;-458.0;1418.0;-7114.0;;-3784.0;5967.0;100.0;;;;-7285.0;3746.0;59.0;4421.0;3970.0;;0.0;34257.96;6375.27;1602.75;7087.37;6920.68;34593.83;2056.0;0.0;0.0;14592.1;70428714.0;31.0;5193352.0;13106503.0;37.0;18.6;6424535.0;21423992.0;71119203.0;13.0;17.0;18.4;-11.2;442.2;0.001
2014.0;27570.0;9549.0;8779.0;6641.0;6168.0;3004.0;2056.0;9901.0;56873.0;8155.0;27776.0;27418.0;7002.0;-5640.0;-2162.0;-356.0;729.0;18022.0;34.63;3016.0;;1191.0;1185.0;6.0;1826.0;21038.0;187.0;327.0;2593.0;31.84;24.09;-472.0;22.37;2854.0;10.9;1.46;1.46;2056.0;;3180.0;435.0;3615.0;1644.0;1209.0;3432.0;32927.0;699.0;105.0;804.0;675.0;;12567.0;46972.0;;2522.0;716.0;2998.0;572.0;4346.0;13544.0;133.0;1110.0;4834.0;19620.0;;;;4112.0;2699.0;7185.0;13422.0;55194.0;1678.0;56873.0;;3004.0;2593.0;161.0;;-25.0;706.0;227.0;38.0;19.0;1268.0;-6273.0;-2274.0;-2274.0;2843.0;2338.0;;;;-5023.0;2861.0;444.0;3180.0;3537.0;;0.0;33526.69;3653.15;886.58;6108.59;7628.24;33342.16;2056.0;0.0;0.0;18640.8;68925338.0;24.1;6483366.0;7510270.0;46.3;10.9;4364021.0;33859657.0;68545972.0;7.1;11.2;11.0;-67.2;689.0;0.0
2015.0;15704.0;4606.0;-1175.0;639.0;-1674.0;-2158.0;2056.0;6034.0;37076.0;5233.0;24146.0;12368.0;3123.0;-3464.0;-418.0;-320.0;-1152.0;11098.0;29.33;1670.0;;358.0;358.0;;1312.0;12768.0;88.0;719.0;51.0;-7.48;4.07;-2313.0;-10.66;213.0;-13.74;-0.58;-0.58;2056.0;;1965.0;373.0;2338.0;2379.0;917.0;400.0;26745.0;348.0;116.0;464.0;956.0;2472.0;405.0;31042.0;;2327.0;1372.0;841.0;;1534.0;14595.0;;1808.0;2510.0;18913.0;;;;7512.0;-2329.0;5203.0;1982.0;36514.0;563.0;37076.0;;-2158.0;51.0;213.0;;-1011.0;225.0;-55.0;-661.0;-62.0;6028.0;-4275.0;184.0;;363.0;231.0;-1471.0;;;-1648.0;2701.0;437.0;1965.0;2285.0;;0.0;25462.78;-3499.24;-1867.87;2672.1;6932.23;20053.12;2056.0;-0.0;-0.0;20974.1;52347271.0;4.1;170640.0;-7193859.0;-12.7;-13.7;2669731.0;48649718.0;41225908.0;-4.4;-3.4;-17.4;176.4;;0.0
