;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
2005.0;1192.0;438.0;499.0;281.0;277.0;214.0;302.0;1034.0;3131.0;615.0;1801.0;1330.0;248.0;-591.0;349.0;-2.0;-136.0;754.0;36.71;170.0;;155.0;82.0;73.0;16.0;925.0;54.0;99.0;123.0;41.9;23.6;-5.0;23.21;63.0;17.93;0.71;0.71;302.0;;463.0;;463.0;;198.0;373.0;1747.0;;;;;60.0;290.0;2097.0;;99.0;432.0;9.0;;84.0;1089.0;10.0;;87.0;1186.0;;;;633.0;;;697.0;3131.0;;3131.0;;214.0;123.0;;;-110.0;;;;;21.0;-385.0;;-213.0;;6.0;-464.0;1.0;;-43.0;855.0;-8.0;463.0;465.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1451.0;538.0;589.0;279.0;280.0;208.0;302.0;1395.0;4756.0;466.0;2877.0;1879.0;412.0;-1190.0;994.0;196.0;-629.0;913.0;37.06;233.0;;190.0;101.0;89.0;43.0;1146.0;59.0;127.0;182.0;40.6;19.26;0.0;19.28;72.0;14.32;0.69;0.69;302.0;;702.0;;702.0;;270.0;423.0;2782.0;;;;;74.0;505.0;3361.0;;119.0;274.0;22.0;;74.0;2274.0;15.0;;122.0;2411.0;;;;962.0;;-1310.0;2227.0;4756.0;;4756.0;;208.0;182.0;;;-99.0;;;;;121.0;-1041.0;;-170.0;;20.0;-612.0;269.0;;-85.0;1423.0;-20.0;702.0;506.0;;0.47;10.27;1.47;-4.45;0.6;7.37;13.29;302.0;;;;3099.0;19.3;389.0;444.0;25.8;14.3;1984.0;4858.0;4013.0;7.0;8.6;11.1;58.9;29.2;0.468
2007.0;1916.0;666.0;901.0;530.0;459.0;303.0;437.0;1749.0;6437.0;755.0;3969.0;2467.0;584.0;-702.0;69.0;-98.0;-142.0;1250.0;34.77;276.0;;226.0;117.0;110.0;50.0;1526.0;78.0;189.0;254.0;47.04;27.69;-72.0;23.94;156.0;15.82;0.69;0.69;437.0;;745.0;;745.0;;391.0;614.0;3827.0;;;24.0;;267.0;570.0;4687.0;;225.0;414.0;30.0;;115.0;2753.0;335.0;;126.0;3214.0;;;;1154.0;;-1702.0;3015.0;6437.0;;6437.0;;303.0;254.0;;;-150.0;;;;;177.0;-726.0;;-24.0;;49.0;-439.0;0.0;;-83.0;591.0;-28.0;745.0;843.0;;0.56;7.81;1.24;-0.58;0.34;2.96;10.06;437.0;34.9;2.0;0.8;3410.0;27.7;452.0;539.0;33.9;15.8;1769.0;4900.0;4392.0;7.5;10.1;12.3;72.7;-58.2;0.562
2008.0;1755.0;612.0;135.0;-275.0;-275.0;-195.0;383.0;1904.0;5598.0;1018.0;3984.0;1614.0;348.0;-180.0;160.0;361.0;-112.0;1144.0;34.85;206.0;;176.0;89.0;87.0;31.0;1350.0;94.0;180.0;229.0;7.7;-15.65;;-15.65;-80.0;-11.11;-0.51;-0.51;383.0;;940.0;;940.0;;381.0;583.0;2971.0;;;217.0;;279.0;228.0;3694.0;;241.0;750.0;26.0;;26.0;2548.0;;;418.0;2966.0;;;;888.0;636.0;-1467.0;1557.0;5598.0;;5598.0;;-195.0;229.0;;;-225.0;;-99.0;;;538.0;-460.0;;;;280.0;-941.0;;-129.0;-28.0;1257.0;33.0;940.0;579.0;;0.43;10.61;-1.18;-0.68;0.17;2.78;9.75;383.0;-33.0;-1.5;0.4;4064.0;-15.6;531.0;-451.0;29.0;-11.1;2050.0;5898.0;3737.0;-1.5;-1.7;-12.1;114.3;;0.432
2009.0;2268.0;522.0;985.0;354.0;707.0;504.0;382.0;2380.0;7320.0;1228.0;4805.0;2515.0;680.0;-342.0;-99.0;205.0;302.0;1746.0;23.01;567.0;;209.0;118.0;91.0;358.0;2313.0;;;278.0;43.44;15.63;352.0;31.17;203.0;22.21;1.18;1.18;382.0;;1453.0;;1453.0;;347.0;579.0;3994.0;;;288.0;;288.0;371.0;4940.0;;181.0;839.0;26.0;;207.0;3019.0;359.0;;199.0;3577.0;;;;1179.0;;-2128.0;3464.0;7320.0;;7320.0;;504.0;278.0;;5.0;322.0;;158.0;;;-430.0;-378.0;;-3.0;;39.0;-1376.0;;;-20.0;1298.0;-34.0;1453.0;1249.0;;0.57;10.34;2.3;1.38;0.09;1.72;11.46;382.0;2.7;0.0;1.5;3953.0;15.6;485.0;878.0;28.7;22.2;2008.0;5262.0;4384.0;8.3;9.7;20.0;96.0;6.7;0.574
2010.0;2720.0;823.0;859.0;542.0;542.0;463.0;365.0;3268.0;11395.0;1250.0;6189.0;5206.0;710.0;-212.0;232.0;724.0;346.0;1897.0;30.25;129.0;;311.0;174.0;137.0;-182.0;2026.0;;;317.0;31.57;19.92;;19.92;78.0;17.04;1.31;1.31;365.0;;2251.0;;2251.0;;397.0;620.0;6590.0;;;102.0;;;1435.0;8128.0;;208.0;833.0;27.0;;209.0;3479.0;;;1460.0;4939.0;;;;1618.0;;-2447.0;6035.0;11395.0;;11395.0;;463.0;317.0;;3.0;35.0;;-20.0;;;-109.0;-363.0;;-83.0;;234.0;-1635.0;;-26.0;-150.0;2044.0;-5.0;2251.0;1526.0;;0.6;12.38;2.11;1.58;0.68;1.65;23.7;365.0;4.5;0.2;7.2;4514.0;19.9;526.0;769.0;14.5;17.0;3349.0;5774.0;8641.0;4.6;4.8;8.9;67.6;50.7;0.603
2011.0;2601.0;577.0;285.0;-53.0;-53.0;16.0;471.0;2883.0;11621.0;1655.0;6430.0;5191.0;506.0;-1733.0;964.0;-248.0;-821.0;2024.0;22.2;214.0;;312.0;179.0;133.0;-98.0;2238.0;;;338.0;10.96;-2.03;;-2.03;-69.0;0.62;0.03;0.03;398.0;;1757.0;;1757.0;;388.0;738.0;7014.0;;;107.0;;0.0;1617.0;8738.0;;263.0;1149.0;24.0;;243.0;3083.0;;;1692.0;4775.0;;;;1849.0;;-2115.0;5457.0;11621.0;;11621.0;;16.0;338.0;;;142.0;;1.0;;;9.0;-1327.0;;-0.0;;-418.0;-1807.0;;;-83.0;2854.0;15.0;1757.0;2004.0;;0.54;12.18;0.08;-3.85;0.39;6.21;24.31;398.0;93.6;5.7;5.5;4848.0;-2.0;630.0;30.0;130.4;0.6;2288.0;5746.0;9674.0;0.2;-0.5;0.3;-416.1;-10.1;0.537
2012.0;2533.0;564.0;482.0;266.0;-152.0;-89.0;722.0;3263.0;12370.0;1393.0;7002.0;5368.0;327.0;-1324.0;1492.0;519.0;-1031.0;1969.0;22.26;317.0;;318.0;197.0;121.0;-1.0;2287.0;144.0;279.0;355.0;19.02;10.48;-417.0;-5.99;-63.0;-3.51;-0.12;-0.12;722.0;;2116.0;;2116.0;699.0;334.0;114.0;7391.0;17.0;87.0;104.0;;0.0;1613.0;9107.0;;496.0;794.0;22.0;6.0;98.0;4522.0;;822.0;265.0;5609.0;;30.0;;3045.0;;1102.0;1221.0;12370.0;;12370.0;;-89.0;355.0;-64.0;6.0;72.0;-29.0;-20.0;115.0;-31.0;47.0;-1358.0;;;;-214.0;-948.0;714.0;-17.0;-41.0;1783.0;25.0;2116.0;1597.0;;0.49;7.19;-0.25;-2.93;0.12;3.86;15.24;722.0;-12.8;-0.9;3.6;5192.0;10.5;727.0;-182.0;41.4;-3.5;3831.0;9268.0;11002.0;0.7;1.0;-1.7;145.7;;0.488
2013.0;2408.0;634.0;567.0;413.0;-119.0;-93.0;1089.0;2739.0;11492.0;966.0;6968.0;4524.0;17.0;-815.0;464.0;-274.0;-938.0;1774.0;26.34;248.0;;277.0;170.0;106.0;-29.0;2022.0;104.0;289.0;397.0;23.53;17.15;-531.0;-4.92;-25.0;-3.88;-0.08;-0.08;1085.0;;1562.0;;1562.0;772.0;383.0;23.0;7006.0;14.0;81.0;95.0;;0.0;1651.0;8753.0;;449.0;430.0;23.0;3.0;83.0;5096.0;;692.0;215.0;6003.0;;14.0;;2642.0;;826.0;1056.0;11492.0;;11492.0;;-93.0;397.0;-29.0;11.0;-331.0;-126.0;-103.0;-138.0;-13.0;63.0;-956.0;;;133.0;-244.0;-1206.0;;-22.0;-42.0;1734.0;59.0;1562.0;1836.0;;0.42;5.24;-0.2;-2.04;0.09;2.08;9.85;1085.0;-18.3;-1.1;2.5;5689.0;17.1;937.0;-220.0;21.3;-3.9;4190.0;12039.0;10687.0;1.3;1.5;-2.1;145.3;;0.423
2014.0;2733.0;718.0;715.0;463.0;-137.0;-98.0;1090.0;2486.0;10579.0;1154.0;6698.0;3881.0;551.0;-526.0;-70.0;-1.0;40.0;2015.0;26.28;257.0;;255.0;141.0;113.0;3.0;2272.0;;395.0;458.0;26.18;16.93;-599.0;-5.01;-39.0;-3.6;-0.08;-0.08;1086.0;;1387.0;;1387.0;669.0;405.0;25.0;6275.0;30.0;80.0;110.0;;0.0;1706.0;8092.0;;362.0;705.0;21.0;3.0;84.0;4740.0;;556.0;247.0;5544.0;;10.0;;2348.0;;615.0;918.0;10579.0;;10579.0;;-98.0;458.0;-45.0;8.0;16.0;98.0;-68.0;-150.0;29.0;213.0;-511.0;;-17.0;;-281.0;-1027.0;3.0;;-46.0;1000.0;44.0;1387.0;1388.0;;0.38;6.69;-0.24;0.1;0.11;1.25;9.49;1086.0;-16.0;-0.9;2.9;7265.0;16.9;1216.0;-262.0;28.1;-3.6;3542.0;12601.0;10315.0;2.0;2.4;-2.5;146.7;;0.376
