;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CLP/USD)
1998.0;;;;;;;157.0;;;;;;;;;;;;65.15;;;;;;;;;;;29.45;15.54;;15.69;;14.03;;;157.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;159.0;;;;;;;;;;;;63.89;;;;;;;;;;;28.63;;;16.66;;14.18;;;159.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;160.0;;;;;;;;;;;;64.01;;;;;;;;;;;24.59;12.48;;9.76;;8.14;;;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;160.0;;;;;;;;;;;;50.94;;;;;;;;;;;27.56;12.71;;13.25;;11.17;;;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;160.0;;;;;;;;;;;;50.67;;;;;;;;;;;22.7;10.87;;8.53;;6.38;;;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;160.0;;;;;;;;;;;;50.74;;;;;;;;;;;27.98;11.94;;15.49;;14.08;;;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;160.0;;;;;;;;;;;;51.83;;;;;;;;;;;23.59;13.96;;12.5;;10.79;;;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;160.0;;;;;;;;;;;;52.1;;;;;;;;;;;22.02;13.51;;11.63;;9.79;;;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;160.0;;;;;;;;;;;;52.38;;;;;;;;;;;22.59;14.6;;12.79;;10.23;;;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3420.17;349.87;205.33;197.16;408.68;2188.39;160.0;0.0;0.0;1936.7;546088.0;14.6;45626.0;55863.0;20.4;10.2;117352.0;117414.0;349414.0;12.0;11.8;16.0;43.6;96.0;
2007.0;;;;;;;160.0;;;;;;;;;;;;53.0;;;;;;;;;;;24.3;16.14;;15.61;;12.61;;;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3934.97;496.03;345.21;245.9;403.72;2516.46;160.0;0.0;0.0;1775.4;628284.0;16.1;48076.0;79199.0;17.0;12.6;183690.0;163084.0;401796.0;14.0;13.5;19.7;50.4;57.5;
2008.0;1251.0;659.0;269.0;194.0;160.0;132.0;160.0;601.0;1717.0;437.0;773.0;794.0;191.0;-257.0;-48.0;-124.0;90.0;592.0;52.71;466.0;;;;;466.0;1057.0;1.0;20.0;95.0;21.5;15.49;-34.0;12.78;23.0;10.57;0.93;0.93;160.0;;58.0;;58.0;250.0;214.0;79.0;831.0;101.0;51.0;152.0;93.0;;39.0;1116.0;;148.0;140.0;41.0;;149.0;259.0;;37.0;39.0;335.0;;;;;419.0;-827.0;;1567.0;150.0;1717.0;;132.0;95.0;14.0;;-64.0;;-61.0;;;14.0;-101.0;-155.0;-9.0;;-93.0;-16.0;;;-84.0;51.0;-10.0;80.0;203.0;;0.0;4896.38;517.52;352.48;328.76;396.55;3108.01;160.0;0.0;0.0;2570.4;781789.0;15.5;59115.0;82631.0;14.1;10.6;102343.0;161740.0;496246.0;13.3;11.1;16.7;36.5;93.3;0.002
2009.0;1553.0;823.0;304.0;275.0;306.0;256.0;160.0;815.0;2208.0;491.0;1061.0;924.0;302.0;-61.0;-74.0;164.0;186.0;730.0;52.98;553.0;;547.0;156.0;391.0;6.0;1283.0;4.0;25.0;;19.6;17.73;31.0;19.71;23.0;16.49;1.6;1.6;160.0;;275.0;3.0;277.0;303.0;216.0;19.0;982.0;140.0;67.0;207.0;87.0;48.0;69.0;1392.0;;251.0;40.0;16.0;;201.0;419.0;;101.0;50.0;570.0;;;;;513.0;-50.0;;1986.0;222.0;2208.0;;256.0;;;;;;;;;46.0;-116.0;58.0;-24.0;20.0;-115.0;-201.0;;;-101.0;228.0;-2.0;275.0;111.0;;0.0;4840.77;798.15;579.44;316.11;360.89;2881.42;160.0;0.0;0.0;2407.5;776544.0;17.7;;128037.0;7.7;16.5;162251.0;209747.0;462230.0;18.8;15.3;27.7;60.4;54.6;0.002
