;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
1985.0;810.0;41.0;-8.0;-0.0;8.0;-18.0;3.0;220.0;323.0;176.0;240.0;82.0;;;;;;769.0;5.11;42.0;;35.0;;;6.0;810.0;;1.0;6.0;-0.93;-0.01;8.0;1.01;4.0;-2.21;-5.64;-5.64;3.0;;37.0;;37.0;146.0;17.0;19.0;26.0;;2.0;2.0;;;75.0;103.0;;;;;;176.0;38.0;;19.0;8.0;64.0;;;;;90.0;-55.0;47.0;323.0;;323.0;;-18.0;6.0;;;;;;;47.0;12.0;;;;;;;;;;;;;;;
1986.0;802.0;58.0;19.0;14.0;14.0;5.0;3.0;212.0;325.0;165.0;239.0;86.0;;;;;;744.0;7.19;44.0;;38.0;;;6.0;788.0;;1.0;6.0;2.36;1.71;1.0;1.77;7.0;0.64;1.56;1.56;3.0;;27.0;;27.0;165.0;2.0;17.0;24.0;;2.0;2.0;;;87.0;114.0;;;;;;165.0;44.0;;23.0;7.0;74.0;;;;;93.0;-52.0;46.0;325.0;;325.0;;5.0;6.0;;;-4.0;;;;43.0;-8.0;;;;;;;;;;;;;;;
1987.0;741.0;64.0;25.0;18.0;20.0;11.0;4.0;216.0;362.0;173.0;244.0;118.0;;;;;;677.0;8.67;47.0;;42.0;;;5.0;724.0;;;5.0;3.39;2.4;3.0;2.74;9.0;1.52;3.12;3.12;4.0;;36.0;;36.0;150.0;2.0;28.0;22.0;;2.0;2.0;;;122.0;146.0;;;;;;173.0;40.0;;26.0;6.0;71.0;;;;;100.0;-38.0;56.0;362.0;;362.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;849.0;64.0;13.0;15.0;5.0;4.0;3.0;208.0;374.0;164.0;256.0;119.0;;;;;;785.0;7.48;49.0;;43.0;;;6.0;834.0;;2.0;6.0;1.47;1.76;-10.0;0.53;0.0;0.52;0.71;0.71;3.0;;31.0;;31.0;134.0;7.0;36.0;26.0;;2.0;2.0;;;139.0;167.0;;;;;;164.0;56.0;;30.0;6.0;92.0;;;;;100.0;-38.0;57.0;374.0;;374.0;;4.0;6.0;;;1.0;;;;44.0;-11.0;;;;;;;;;;;;;;;
1989.0;898.0;77.0;33.0;21.0;23.0;13.0;4.0;235.0;456.0;194.0;313.0;143.0;;;;;;820.0;8.62;57.0;;51.0;;;6.0;877.0;;4.0;6.0;3.65;2.3;2.0;2.52;9.0;1.47;3.11;3.11;4.0;;59.0;;59.0;142.0;3.0;31.0;28.0;;2.0;2.0;;;192.0;221.0;;;;;;194.0;83.0;;28.0;8.0;119.0;;;;;108.0;-41.0;76.0;456.0;;456.0;;13.0;6.0;;;-4.0;;;;40.0;-16.0;;;;;;;;;;;;;;;
1990.0;1011.0;47.0;7.0;-7.0;-6.0;-3.0;4.0;248.0;510.0;214.0;365.0;137.0;36.0;-71.0;28.0;28.0;25.0;965.0;4.62;54.0;;47.0;;;7.0;1018.0;;6.0;7.0;0.68;-0.7;1.0;-0.62;-4.0;-0.26;-1.2;-1.2;4.0;;52.0;;52.0;152.0;10.0;34.0;30.0;;2.0;2.0;;;231.0;262.0;;;;;;214.0;101.0;;50.0;;151.0;;;;;101.0;-41.0;77.0;502.0;8.0;510.0;;-3.0;7.0;8.0;;-6.0;;;;34.0;29.0;-11.0;;;;-60.0;;;;-5.0;33.0;;;59.0;;
1991.0;992.0;68.0;21.0;12.0;5.0;3.0;4.0;228.0;499.0;197.0;351.0;139.0;70.0;-50.0;-24.0;-24.0;55.0;924.0;6.86;56.0;;49.0;;;7.0;980.0;;9.0;7.0;2.09;1.24;-8.0;0.45;1.0;0.32;0.27;0.27;4.0;;48.0;;48.0;141.0;;39.0;28.0;;2.0;2.0;;;241.0;271.0;;100.0;;;;97.0;96.0;;57.0;0.0;154.0;;;;;102.0;-45.0;82.0;489.0;9.0;499.0;;3.0;7.0;6.0;;-3.0;;;;31.0;57.0;-15.0;;;;-35.0;;0.0;;-2.0;-22.0;;;52.0;;
1992.0;1071.0;29.0;-12.0;-19.0;-26.0;-17.0;4.0;252.0;479.0;221.0;346.0;122.0;55.0;-16.0;-7.0;-7.0;41.0;1042.0;2.66;48.0;;41.0;;;6.0;1090.0;;8.0;6.0;-1.16;-1.78;-7.0;-2.47;-9.0;-1.59;-4.69;-4.69;4.0;;80.0;;80.0;132.0;;40.0;25.0;;2.0;2.0;;;200.0;227.0;;135.0;;;;86.0;86.0;;15.0;24.0;125.0;;;;;83.0;-44.0;83.0;467.0;11.0;479.0;;-17.0;6.0;-13.0;;0.0;;;;31.0;79.0;-14.0;;;;-1.0;;3.0;;-2.0;-8.0;-1.0;;48.0;;
1993.0;1100.0;56.0;17.0;9.0;8.0;3.0;4.0;258.0;476.0;221.0;342.0;131.0;-2.0;-39.0;-3.0;-3.0;-6.0;1044.0;5.12;48.0;;44.0;;;4.0;1092.0;;6.0;4.0;1.58;0.78;-0.0;0.75;5.0;0.29;0.24;0.24;4.0;;36.0;;36.0;138.0;12.0;72.0;16.0;;2.0;2.0;;;201.0;219.0;;136.0;;;;85.0;82.0;;39.0;-0.0;121.0;;;;;84.0;-29.0;77.0;473.0;3.0;476.0;;3.0;4.0;11.0;;6.0;;;;37.0;-25.0;-4.0;;;;-35.0;;3.0;;-2.0;-4.0;;;80.0;;
1994.0;1012.0;55.0;11.0;9.0;1.0;0.0;4.0;267.0;483.0;237.0;347.0;132.0;-5.0;-16.0;-7.0;-7.0;-8.0;957.0;5.41;46.0;;43.0;43.0;;3.0;1003.0;;8.0;3.0;1.08;0.87;-8.0;0.05;0.0;0.03;-0.42;-0.42;4.0;;8.0;;8.0;152.0;12.0;96.0;14.0;;2.0;2.0;;;201.0;216.0;;141.0;5.0;;;91.0;77.0;;34.0;-0.0;110.0;;;;;82.0;-29.0;79.0;479.0;3.0;483.0;;0.0;3.0;-5.0;;-7.0;;;;30.0;4.0;-3.0;;;;-13.0;;;2.0;-2.0;-7.0;;;36.0;;
