;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2002.0;;;;;;;267.0;;;;;;;;;;;;18.84;;;;;;;;;;;1.66;-0.95;;-4.77;;-4.45;;;267.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;334.0;;;;;;;;;;;;22.66;;;;;;;;;;;4.87;;;4.83;;2.89;;;334.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;379.0;;;;;;;;;;;;22.57;;;;;;;;;;;15.01;10.18;;10.04;;6.37;;;343.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;406.0;;;;;;;;;;;;20.91;;;;;;;;;;;13.25;9.47;;9.27;;6.68;;;376.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;417.0;;;;;;;;;;;;21.32;;;;;;;;;;;12.55;8.33;;8.51;;6.24;;;390.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;618.74;38.59;-13.02;13.23;27.6;208.34;390.0;0.4;0.0;84.3;241044.0;8.3;5855.0;15034.0;27.4;6.2;9215.0;27252.0;81165.0;15.0;12.2;18.5;65.7;-88.4;
2007.0;;;;;;;425.0;;;;;;;;;;;;20.53;;;;;;;;;;;9.9;;;7.96;;5.46;;;401.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;828.01;45.24;-19.45;14.19;63.13;228.2;401.0;0.4;0.0;87.8;332311.0;;6623.0;18158.0;30.7;5.5;-6865.0;40329.0;91584.0;12.4;9.8;19.8;68.6;-70.8;
2008.0;;;;;;;425.0;;;;;;;;;;;;21.17;;;;;;;;;;;10.51;6.49;;5.84;;3.89;;;402.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;907.46;35.31;-17.94;16.8;106.11;261.54;402.0;0.3;0.0;159.9;365048.0;6.5;7780.0;14204.0;27.7;3.9;-59444.0;58764.0;105212.0;12.3;8.4;13.5;52.4;470.1;
2009.0;;;;;;;445.0;;;;;;;;;;;;32.38;;;;;;;;;;;0.41;;;-8.29;;-8.32;;;445.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1623.53;-135.09;-144.87;15.2;201.46;77.59;445.0;-0.1;-0.0;175.9;722806.0;;28040.0;-60142.0;-1.4;-8.3;-285339.0;116186.0;34545.0;-13.0;-3.2;-174.1;111.3;;
2010.0;;;;;;;469.0;;;;;;;;;;;;33.2;;;;;;;;;;;14.02;;;5.65;;4.11;;;469.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1976.19;81.13;99.5;7.76;174.37;213.73;469.0;0.2;0.0;38.4;926263.0;;36637.0;38029.0;28.2;4.1;-175385.0;204397.0;100178.0;18.7;10.3;38.0;90.4;-31.5;
2011.0;;;;;;;524.0;;;;;;;;;;;;32.31;;;;;;;;;;;13.51;;;7.02;;5.96;;;523.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2354.49;140.26;114.42;19.55;156.88;399.13;523.0;0.2;0.0;92.8;1232134.0;;43446.0;73402.0;14.8;6.0;-111002.0;201471.0;208869.0;21.8;12.0;35.1;86.1;-37.3;
