;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
1997.0;14675.0;7352.0;1899.0;1575.0;1099.0;608.0;2931.0;;;;;;1452.0;-272.0;-1098.0;-1098.0;585.0;7323.0;50.1;5778.0;126.0;4852.0;4852.0;;800.0;13100.0;;;800.0;12.94;10.73;-476.0;7.49;491.0;4.14;0.21;0.21;2829.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;608.0;800.0;;;131.0;;18.0;;;-88.0;-867.0;;;;595.0;;52.0;-170.0;-237.0;-743.0;16.0;;402.0;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;15147.0;7999.0;2030.0;1763.0;1208.0;700.0;2919.0;;;;;;1590.0;-1122.0;-552.0;-103.0;758.0;7149.0;52.81;6235.0;141.0;5273.0;5273.0;;822.0;13384.0;;;822.0;13.4;11.64;-556.0;7.97;508.0;4.62;0.25;0.24;2802.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700.0;822.0;;;44.0;;21.0;;;24.0;-832.0;;;;-290.0;;124.0;-419.0;-296.0;39.0;-19.0;435.0;538.0;;1.17;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;13432.0;7349.0;1959.0;1406.0;1193.0;689.0;2973.0;;;;;;1339.0;-355.0;-922.0;94.0;629.0;6083.0;54.71;5943.0;123.0;5054.0;5054.0;;766.0;12026.0;;;766.0;14.59;10.47;-212.0;8.89;505.0;5.13;0.25;0.24;2791.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;689.0;766.0;;;-98.0;;-23.0;;;-18.0;-710.0;;;;354.0;;615.0;-1742.0;-353.0;559.0;33.0;469.0;374.0;;1.01;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;13501.0;6689.0;1928.0;1465.0;1212.0;681.0;2827.0;;;;;;1344.0;-2773.0;1498.0;79.0;589.0;6812.0;49.54;5224.0;118.0;5106.0;5106.0;;-1.0;12036.0;;;715.0;14.28;10.85;-253.0;8.98;531.0;5.05;0.24;0.24;2813.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;681.0;715.0;;;-128.0;;-30.0;;;75.0;-755.0;;;;-2019.0;;524.0;-160.0;-346.0;1480.0;11.0;518.0;438.0;;0.94;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;12914.0;6295.0;1184.0;1436.0;490.0;118.0;2854.0;;;;;;2000.0;-1419.0;-423.0;147.0;1342.0;6619.0;48.75;4859.0;112.0;4747.0;4747.0;;;11478.0;;;694.0;9.16;11.12;-946.0;3.79;371.0;0.91;0.04;0.04;2787.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118.0;694.0;;;561.0;;-19.0;;;627.0;-658.0;;;;-761.0;;41.0;-822.0;-350.0;709.0;-10.0;636.0;489.0;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;14247.0;7476.0;2622.0;1671.0;1864.0;1349.0;2745.0;6200.0;16281.0;5064.0;10167.0;5347.0;1725.0;2430.0;-4220.0;-152.0;1092.0;6771.0;52.48;5805.0;140.0;5396.0;5396.0;;269.0;12576.0;;;758.0;18.4;11.73;193.0;13.09;515.0;9.47;0.51;0.5;2637.0;;597.0;2944.0;3542.0;;622.0;2036.0;3144.0;;4869.0;4869.0;;;2066.0;10080.0;;1389.0;1829.0;;;1845.0;4301.0;;;803.0;5104.0;;;;144.0;6903.0;;-1700.0;15514.0;767.0;16281.0;;1349.0;758.0;;;67.0;;12.0;;;-448.0;-633.0;-520.0;;;3584.0;;49.0;-827.0;-424.0;-3018.0;-87.0;597.0;750.0;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;16500.0;8982.0;2421.0;2016.0;1668.0;1054.0;2632.0;5432.0;17975.0;5009.0;11029.0;6062.0;2077.0;-1812.0;-321.0;-147.0;28.0;7518.0;54.43;6966.0;163.0;6475.0;6475.0;;328.0;14484.0;;;753.0;14.67;12.22;-348.0;10.11;614.0;6.39;0.42;0.41;2546.0;;567.0;2215.0;2782.0;;718.0;1933.0;3435.0;2693.0;1914.0;4607.0;;;4501.0;12543.0;;1767.0;1312.0;;;1929.0;5242.0;;98.0;681.0;6020.0;;;;170.0;8938.0;;-3046.0;17091.0;885.0;17975.0;;1054.0;753.0;;;243.0;;-19.0;;;27.0;-2049.0;;;;237.0;;40.0;-463.0;-543.0;645.0;-92.0;567.0;714.0;;1.26;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;18561.0;9932.0;1805.0;2310.0;2068.0;429.0;2579.0;6269.0;17885.0;4895.0;10713.0;6201.0;2419.0;214.0;-2585.0;20.0;1574.0;8628.0;53.51;7622.0;177.0;7168.0;7168.0;;277.0;16250.0;;;757.0;9.73;12.45;-242.0;11.14;619.0;2.31;0.17;0.17;2507.0;;631.0;3034.0;3666.0;;817.0;1786.0;3634.0;;4359.0;4359.0;;;3624.0;11616.0;;2081.0;759.0;;;2054.0;4897.0;;47.0;874.0;5818.0;;;;182.0;9648.0;;-3630.0;16913.0;971.0;17885.0;;429.0;757.0;;;215.0;;-92.0;;;1018.0;-845.0;;;;1059.0;;51.0;-289.0;-618.0;-1729.0;-28.0;631.0;611.0;;1.36;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;15413.0;7550.0;3103.0;2019.0;1889.0;1977.0;2503.0;7240.0;19792.0;5397.0;13140.0;6248.0;2186.0;369.0;-2488.0;130.0;1468.0;7862.0;48.99;5532.0;146.0;5146.0;5146.0;;240.0;13394.0;;;566.0;20.13;13.1;-130.0;12.26;560.0;12.83;0.7;0.69;2460.0;;682.0;2856.0;3538.0;;744.0;2959.0;3484.0;;6249.0;6249.0;;296.0;2523.0;12552.0;;2032.0;115.0;;;3250.0;6735.0;;347.0;661.0;7743.0;;;;156.0;6778.0;;-686.0;19388.0;404.0;19792.0;;1977.0;566.0;;;156.0;;-20.0;;;-513.0;-718.0;-753.0;;;1840.0;;72.0;-660.0;-579.0;-1321.0;63.0;682.0;552.0;;1.18;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;18575.0;9053.0;3198.0;2473.0;2384.0;1786.0;2447.0;8123.0;22248.0;5607.0;14238.0;7686.0;2863.0;-661.0;-2050.0;104.0;1949.0;9522.0;48.74;6485.0;166.0;6140.0;1382.0;4758.0;178.0;16006.0;240.0;289.0;648.0;17.22;13.32;-90.0;12.83;475.0;9.61;0.74;0.73;2427.0;;865.0;3384.0;4249.0;;829.0;3045.0;3986.0;5471.0;1501.0;6972.0;-850.0;453.0;3565.0;14126.0;;2456.0;549.0;;;2602.0;7530.0;;391.0;710.0;8631.0;;;;172.0;8527.0;;-1012.0;21924.0;325.0;22248.0;;1786.0;648.0;;;367.0;;-37.0;;;62.0;-913.0;-191.0;;;443.0;-310.0;69.0;-775.0;-805.0;-228.0;-48.0;865.0;760.0;;1.32;5.8;0.56;0.61;0.25;0.29;2.4;2427.0;24.4;1.4;1.8;14073.0;13.3;491.0;1353.0;19.9;9.6;1906.0;5705.0;5823.0;12.5;11.6;23.2;54.9;77.5;1.32
2007.0;18640.0;9332.0;7758.0;2256.0;1997.0;6099.0;2399.0;6411.0;40233.0;9940.0;26956.0;13157.0;2350.0;-11815.0;9332.0;-156.0;1291.0;9308.0;50.06;7076.0;177.0;6479.0;1376.0;5104.0;420.0;16385.0;193.0;448.0;613.0;41.62;12.1;-258.0;10.72;598.0;32.72;2.56;2.54;2382.0;;800.0;719.0;1519.0;;1256.0;3636.0;4428.0;18776.0;6364.0;25140.0;2250.0;889.0;1116.0;33823.0;;3364.0;3570.0;;;3006.0;14378.0;;1688.0;950.0;17016.0;;;;187.0;13998.0;;-1027.0;40114.0;120.0;40233.0;;6099.0;613.0;;;264.0;;-74.0;;;-4625.0;-1059.0;-10798.0;;249.0;-1266.0;;96.0;-641.0;-907.0;10783.0;-23.0;800.0;956.0;;1.46;5.36;1.75;0.37;0.26;0.3;3.79;2382.0;9.4;0.5;1.6;12776.0;12.1;420.0;4180.0;29.9;32.7;-2419.0;9855.0;9018.0;16.6;17.8;46.4;85.1;112.4;1.459
2008.0;21278.0;11251.0;3884.0;3057.0;2241.0;1836.0;2393.0;6826.0;37557.0;6847.0;25395.0;12084.0;2452.0;-795.0;-1553.0;60.0;1465.0;10026.0;52.88;8194.0;277.0;7681.0;1813.0;5867.0;236.0;18220.0;81.0;695.0;734.0;18.25;14.37;-816.0;10.53;619.0;8.63;0.77;0.77;2386.0;;826.0;617.0;1443.0;;1111.0;4272.0;4310.0;17223.0;5908.0;23131.0;1486.0;893.0;910.0;30731.0;;3060.0;911.0;;;2876.0;15986.0;;1550.0;1011.0;18547.0;;;;179.0;14538.0;;-2632.0;37479.0;78.0;37557.0;;1836.0;734.0;;;77.0;;4.0;;;-194.0;-987.0;-362.0;;554.0;-987.0;-2658.0;131.0;;-986.0;1959.0;-43.0;826.0;766.0;;1.4;6.38;0.55;0.44;0.3;0.3;3.62;2386.0;26.9;1.3;2.0;15220.0;14.4;525.0;1313.0;27.6;8.6;-15.0;11435.0;8644.0;7.4;8.4;15.2;46.3;58.3;1.398
2009.0;21451.0;11788.0;3720.0;3595.0;2895.0;1949.0;2744.0;6310.0;38477.0;8385.0;19421.0;18979.0;2864.0;306.0;-3106.0;76.0;1863.0;9663.0;54.95;8503.0;295.0;7972.0;1942.0;6031.0;236.0;18167.0;;378.0;786.0;17.34;16.76;-700.0;13.5;607.0;9.08;0.74;0.71;2744.0;;922.0;650.0;1572.0;;1095.0;3642.0;4553.0;18509.0;6097.0;24605.0;1430.0;889.0;689.0;32167.0;;2836.0;2437.0;;;3111.0;8531.0;;1342.0;1164.0;11036.0;;;;232.0;15946.0;;2801.0;38399.0;77.0;38477.0;;1949.0;786.0;;;-132.0;;53.0;;;261.0;-1001.0;1256.0;;;-949.0;-6559.0;4406.0;;-220.0;-732.0;11.0;922.0;846.0;;1.43;5.46;0.5;0.47;0.06;0.25;4.83;2744.0;21.7;0.3;0.5;14982.0;16.8;549.0;1361.0;21.0;9.1;-1449.0;5958.0;13255.0;7.7;7.6;10.3;88.7;-224.7;1.432
2010.0;22758.0;12109.0;4375.0;;3330.0;2502.0;3080.0;7887.0;37594.0;9637.0;21556.0;15975.0;3313.0;-739.0;-2122.0;549.0;2200.0;10648.0;53.21;8660.0;280.0;8237.0;1999.0;6239.0;143.0;19309.0;116.0;308.0;795.0;19.22;;-119.0;14.63;771.0;10.99;0.81;0.81;3072.0;;1410.0;1486.0;2897.0;;1304.0;3686.0;5394.0;15002.0;6449.0;21451.0;448.0;871.0;1543.0;29707.0;;3234.0;3384.0;;;3020.0;9293.0;;1568.0;1058.0;11919.0;;;;217.0;12501.0;;3256.0;37531.0;63.0;37594.0;;2502.0;795.0;;;103.0;;-84.0;;;-87.0;-1113.0;314.0;;;-1053.0;-381.0;48.0;-312.0;-986.0;-491.0;96.0;1410.0;862.0;;1.34;5.54;0.61;0.54;0.24;0.27;3.89;3072.0;19.1;0.9;2.1;17010.0;;594.0;1870.0;23.1;11.0;-1308.0;6946.0;11940.0;9.9;9.5;15.7;60.6;56.8;1.338
2011.0;25007.0;12656.0;2914.0;3533.0;3152.0;2163.0;3020.0;7912.0;36797.0;9012.0;21007.0;15790.0;3372.0;-993.0;-2413.0;-35.0;2227.0;12351.0;50.61;9124.0;302.0;6592.0;;6592.0;2230.0;21474.0;;;-60.0;11.65;14.13;-381.0;12.6;810.0;8.65;0.72;0.72;3011.0;;1329.0;1442.0;2772.0;;1373.0;3767.0;5069.0;14614.0;6199.0;20813.0;106.0;894.0;2003.0;28885.0;;3503.0;2414.0;;;3095.0;4441.0;;146.0;7407.0;11995.0;;;;208.0;13194.0;;2388.0;36797.0;;36797.0;;2163.0;-60.0;;;210.0;;-119.0;;;1059.0;-1146.0;;-78.0;30.0;-945.0;-205.0;;;-1014.0;-1195.0;;1329.0;1364.0;;1.29;6.42;0.55;0.57;0.26;0.29;4.05;3011.0;24.1;1.5;1.9;19318.0;14.1;-46.0;1671.0;25.7;8.6;-850.0;3431.0;12198.0;8.0;8.1;13.7;53.1;45.5;1.294
