;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
1995.0;2824.0;1162.0;432.0;237.0;137.0;40.0;154.0;;;;;;236.0;408.0;242.0;70.0;236.0;1663.0;41.13;925.0;;925.0;267.0;658.0;;2587.0;77.0;140.0;199.0;15.28;8.39;-100.0;4.85;53.0;1.41;0.26;0.26;154.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.0;199.0;;;-47.0;-0.0;-54.0;;19.0;44.0;;51.0;;;357.0;;;;-14.0;256.0;;191.0;121.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;3366.0;1382.0;690.0;322.0;439.0;182.0;154.0;784.0;3528.0;847.0;1625.0;1903.0;601.0;340.0;-264.0;-4.0;601.0;1984.0;41.07;1060.0;;1060.0;281.0;780.0;;3044.0;52.0;192.0;256.0;20.49;9.56;117.0;13.05;59.0;5.4;1.14;1.14;154.0;;180.0;;180.0;226.0;344.0;34.0;2436.0;170.0;;170.0;;;137.0;2743.0;;75.0;481.0;;;291.0;673.0;;;105.0;778.0;;;;;994.0;-1238.0;2147.0;3528.0;;3528.0;;182.0;256.0;;;-35.0;28.0;-80.0;;15.0;198.0;;19.0;;;322.0;;147.0;;-13.0;-398.0;;219.0;223.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;3045.0;1380.0;665.0;435.0;379.0;208.0;154.0;784.0;3592.0;582.0;1647.0;1946.0;462.0;525.0;36.0;-28.0;462.0;1666.0;45.3;944.0;;944.0;238.0;706.0;;2610.0;32.0;124.0;230.0;21.82;14.29;-56.0;12.43;104.0;6.81;1.35;1.35;154.0;;148.0;;148.0;261.0;332.0;43.0;2430.0;199.0;;199.0;;;179.0;2808.0;;75.0;208.0;;;299.0;969.0;;;95.0;1064.0;;;;;1185.0;-1269.0;2030.0;3592.0;;3592.0;;208.0;230.0;;;-43.0;-30.0;-37.0;;28.0;67.0;;113.0;;;413.0;;;;-21.0;57.0;;148.0;176.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;3387.0;1531.0;572.0;472.0;294.0;137.0;262.0;826.0;3696.0;666.0;1512.0;2184.0;473.0;421.0;4.0;56.0;473.0;1855.0;45.21;1059.0;;1059.0;262.0;797.0;;2915.0;35.0;111.0;235.0;16.88;13.93;-178.0;8.67;88.0;4.06;0.47;0.47;262.0;;223.0;;223.0;255.0;317.0;31.0;2448.0;212.0;;212.0;;;211.0;2870.0;;73.0;269.0;;;324.0;754.0;;;92.0;845.0;;;;;510.0;-1301.0;2975.0;3696.0;;3696.0;;137.0;235.0;;;32.0;25.0;-32.0;;46.0;68.0;-313.0;38.0;;;383.0;;115.0;;-47.0;-65.0;;223.0;167.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;4064.0;1984.0;917.0;631.0;606.0;308.0;421.0;1023.0;4258.0;784.0;1573.0;2685.0;744.0;370.0;-360.0;14.0;744.0;2080.0;48.82;1353.0;;1353.0;345.0;1009.0;;3433.0;42.0;105.0;309.0;22.57;15.52;-25.0;14.91;195.0;7.59;0.86;0.86;320.0;;273.0;;273.0;310.0;404.0;35.0;2756.0;202.0;;202.0;;;277.0;3236.0;;99.0;241.0;;;444.0;706.0;;;83.0;789.0;;;;;712.0;-1537.0;3510.0;4258.0;;4258.0;;308.0;309.0;;;24.0;8.0;-67.0;;56.0;103.0;;;;;370.0;;;;-96.0;-263.0;;273.0;259.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;4714.0;2358.0;970.0;732.0;609.0;263.0;320.0;1307.0;4685.0;828.0;2074.0;2611.0;730.0;-386.0;-195.0;149.0;453.0;2355.0;50.03;1626.0;;1626.0;429.0;1197.0;;3981.0;42.0;107.0;361.0;20.58;15.53;-124.0;12.91;240.0;5.58;0.73;0.73;320.0;;440.0;;440.0;376.0;437.0;54.0;2860.0;191.0;;191.0;;;328.0;3378.0;;145.0;170.0;;;514.0;726.0;;414.0;105.0;1245.0;;;;;693.0;-1670.0;3588.0;4685.0;;4685.0;;263.0;361.0;;;0.0;15.0;-41.0;;89.0;106.0;-276.0;;;;-386.0;-89.0;;-24.0;-68.0;-14.0;;440.0;291.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;5415.0;2759.0;1142.0;888.0;838.0;357.0;1594.0;1650.0;5239.0;887.0;2134.0;3105.0;996.0;-484.0;-182.0;330.0;698.0;2656.0;50.95;1871.0;;;;;1871.0;4527.0;;97.0;382.0;21.09;16.39;-50.0;15.48;306.0;6.59;0.22;0.22;1594.0;;784.0;;784.0;352.0;455.0;59.0;2950.0;;;;;;638.0;3589.0;;143.0;38.0;;;706.0;732.0;;408.0;108.0;1248.0;;;;420.0;1327.0;-1768.0;3126.0;5239.0;;5239.0;;357.0;382.0;;;84.0;;-2.0;;;173.0;-298.0;-17.0;;;-169.0;;;-7.0;-65.0;-110.0;;784.0;454.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;5104.0;2562.0;1157.0;907.0;794.0;273.0;38.0;2266.0;5785.0;1137.0;2621.0;2219.0;885.0;-562.0;346.0;669.0;588.0;2542.0;50.2;1655.0;;1655.0;449.0;1206.0;-1.0;4197.0;;87.0;447.0;22.66;17.78;-113.0;15.56;350.0;5.36;7.12;7.12;38.0;;1403.0;;1403.0;302.0;470.0;90.0;2868.0;;57.0;57.0;;;594.0;3519.0;;173.0;386.0;75.0;;578.0;945.0;;385.0;154.0;1484.0;;;;394.0;1472.0;-606.0;959.0;4841.0;944.0;5785.0;;273.0;447.0;;;-6.0;40.0;-66.0;;;171.0;-297.0;;;;-264.0;;;;-110.0;456.0;;1403.0;734.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;6754.0;3250.0;1257.0;1075.0;715.0;275.0;318.0;1794.0;9286.0;1488.0;5183.0;2528.0;788.0;-3249.0;1800.0;-660.0;184.0;3504.0;48.12;2175.0;;2175.0;511.0;1664.0;;5679.0;62.0;226.0;455.0;18.6;15.92;-360.0;10.59;301.0;4.08;0.77;0.77;318.0;;688.0;;688.0;438.0;612.0;56.0;3897.0;17.0;3088.0;3105.0;84.0;;406.0;7491.0;;879.0;446.0;126.0;;162.0;2968.0;;342.0;386.0;3695.0;;;;;1375.0;-574.0;;7711.0;1575.0;9286.0;;275.0;455.0;42.0;;-193.0;32.0;-81.0;;-99.0;210.0;-604.0;-2639.0;;;-252.0;;;;-95.0;1896.0;;688.0;1348.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;8437.0;3950.0;1638.0;1234.0;1046.0;524.0;318.0;1875.0;10837.0;2110.0;6163.0;3172.0;1372.0;-1929.0;430.0;-126.0;753.0;4487.0;46.82;2716.0;;2716.0;595.0;2122.0;;7204.0;49.0;338.0;561.0;19.42;14.62;-188.0;12.39;215.0;6.21;1.47;1.47;318.0;;613.0;;613.0;493.0;705.0;64.0;4169.0;;4207.0;4207.0;68.0;121.0;397.0;8962.0;;989.0;855.0;230.0;;265.0;3258.0;;373.0;422.0;4053.0;;;;;1706.0;-597.0;;9335.0;1502.0;10837.0;;524.0;561.0;-90.0;;27.0;-10.0;-112.0;;77.0;351.0;-620.0;-1325.0;;;-300.0;-1568.0;;;-76.0;2074.0;;613.0;739.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
