;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ARS/USD)
1998.0;;;;;;;353.0;;;;;;;;;;;;51.27;;;;;;;;;;;39.54;20.84;;15.51;;10.71;;;353.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;353.0;;;;;;;;;;;;48.88;;;;;;;;;;;28.39;18.87;;13.08;;7.29;;;353.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;353.0;;;;;;;;;;;;42.44;;;;;;;;;;;38.47;32.0;;24.76;;14.19;;;353.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;393.0;;;;;;;;;;;;40.36;;;;;;;;;;;34.84;27.0;;18.68;;10.03;;;393.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;394.0;;;;;;;;;;;;43.58;;;;;;;;;;;33.07;34.8;;19.18;;17.06;;;394.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;395.0;;;;;;;;;;;;46.52;;;;;;;;;;;49.55;37.71;;37.42;;21.86;;;395.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;6757.0;3634.0;3536.0;2872.0;2628.0;1653.0;396.0;2825.0;10483.0;1622.0;2996.0;7487.0;2887.0;-876.0;-2132.0;-121.0;1915.0;3123.0;53.78;762.0;;;;;762.0;3885.0;56.0;75.0;785.0;52.33;42.5;-244.0;38.89;1023.0;24.46;4.17;4.17;396.0;;167.0;138.0;305.0;2007.0;384.0;129.0;6968.0;;5.0;5.0;;;685.0;7658.0;;686.0;83.0;;;853.0;571.0;;;803.0;1374.0;;;;1333.0;3033.0;3121.0;;10483.0;;10483.0;;1653.0;785.0;;;61.0;;-121.0;;;388.0;-972.0;;;5.0;91.0;;;;-1800.0;-332.0;;301.0;422.0;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;7549.0;3838.0;3926.0;3020.0;2884.0;1759.0;393.0;2799.0;10623.0;1842.0;3191.0;7432.0;2720.0;-1075.0;-1767.0;-123.0;1493.0;3711.0;50.84;818.0;;;;;818.0;4529.0;73.0;151.0;892.0;52.0;40.0;-136.0;38.2;1124.0;23.3;4.48;4.48;393.0;;40.0;135.0;175.0;2191.0;434.0;;7238.0;;2.0;2.0;;;583.0;7824.0;;967.0;114.0;;;761.0;365.0;;;984.0;1349.0;;;;1297.0;3020.0;3116.0;;10623.0;;10623.0;;1759.0;892.0;;;-197.0;;-60.0;;-318.0;266.0;-1227.0;;;153.0;-1.0;;;;-1608.0;-159.0;;170.0;293.0;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;8369.0;3005.0;3652.0;2247.0;2369.0;1455.0;393.0;3653.0;11554.0;2052.0;3607.0;7947.0;2618.0;-1668.0;-763.0;186.0;984.0;5364.0;35.91;934.0;;637.0;591.0;46.0;297.0;6298.0;110.0;69.0;1214.0;43.64;26.85;122.0;28.31;914.0;17.39;3.7;3.7;393.0;;38.0;317.0;356.0;2332.0;554.0;412.0;7349.0;;3.0;3.0;;166.0;383.0;7901.0;;1141.0;298.0;;;613.0;166.0;;;1389.0;1555.0;;;;1284.0;2647.0;1431.0;2586.0;11554.0;;11554.0;;1455.0;1214.0;;;-447.0;;-125.0;;-199.0;396.0;-1633.0;;-45.0;10.0;;;;;-770.0;7.0;;355.0;168.0;;0.33;65.1;11.32;7.66;5.99;12.71;61.82;393.0;4.2;0.2;12.6;25601.0;26.9;3713.0;4451.0;38.6;17.4;4898.0;509.0;24311.0;15.8;21.1;18.3;47.1;78.2;0.327
2007.0;9245.0;3044.0;3582.0;2115.0;2174.0;1298.0;393.0;3501.0;12102.0;2204.0;3825.0;8278.0;2781.0;-1965.0;-892.0;-76.0;823.0;6201.0;32.93;1116.0;;;;;1116.0;7317.0;88.0;93.0;1315.0;38.74;22.88;59.0;23.51;876.0;14.04;3.3;3.3;393.0;;62.0;208.0;270.0;2377.0;817.0;36.0;8079.0;;3.0;3.0;;;520.0;8602.0;;1379.0;150.0;;;675.0;166.0;;;1455.0;1621.0;;;;1250.0;2457.0;2055.0;2516.0;12102.0;;12102.0;;1298.0;1315.0;;;-400.0;;-278.0;;-293.0;569.0;-1958.0;;-9.0;2.0;;;;;-749.0;-143.0;;269.0;345.0;;0.32;74.05;10.39;6.59;6.0;15.68;66.3;393.0;4.1;0.2;14.1;29118.0;22.9;4140.0;4087.0;40.3;14.0;4084.0;523.0;26071.0;13.7;18.7;15.7;42.3;91.0;0.318
