;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ARS/USD)
2002.0;;;;;;;42.0;;;;;;;;;;;;;;;;;;;;;;;-54.37;12.07;;-54.37;;-54.37;;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;42.0;;;;;;;;;;;;53.36;;;;;;;;;;;22.35;7.18;;22.35;;22.35;;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;375.0;;-30.0;;;-30.0;42.0;158.0;1179.0;641.0;665.0;514.0;;;;;;;;;;;;;;;;;;-8.12;;;;;-8.12;-0.74;-0.74;42.0;;3.0;82.0;84.0;66.0;5.0;3.0;990.0;;;;0.0;;31.0;1021.0;;;513.0;25.0;;128.0;;;;24.0;24.0;;;;;;;;1179.0;0.0;1179.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;416.0;166.0;-69.0;-0.0;-49.0;-49.0;42.0;190.0;1178.0;699.0;724.0;454.0;60.0;-41.0;;19.0;19.0;250.0;39.97;166.0;;;;;166.0;416.0;4.0;39.0;-59.0;-16.52;-0.03;-49.0;-11.85;;-11.85;-1.19;-1.19;42.0;;4.0;98.0;101.0;84.0;5.0;;952.0;;;;;;37.0;988.0;;68.0;534.0;;;98.0;;;;26.0;26.0;;;;;-148.0;-673.0;;1178.0;;1178.0;;-49.0;-59.0;;;4.0;-12.0;-2.0;18.0;-7.0;164.0;-41.0;;;;;;;;;;;101.0;83.0;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;451.0;189.0;146.0;12.0;41.0;96.0;42.0;114.0;1155.0;142.0;609.0;546.0;70.0;-59.0;-102.0;-90.0;12.0;261.0;42.05;497.0;;59.0;30.0;29.0;438.0;759.0;5.0;46.0;59.0;32.32;2.61;29.0;9.13;-55.0;21.26;2.29;2.29;42.0;;0.0;11.0;11.0;98.0;4.0;;956.0;;;;0.0;;85.0;1042.0;;87.0;1.0;20.0;;54.0;358.0;;;109.0;467.0;;;;;-52.0;-726.0;;1155.0;;1155.0;;96.0;59.0;;;42.0;-20.0;0.0;22.0;38.0;-126.0;-59.0;;;;;-102.0;;;;;;11.0;101.0;;0.33;32.92;7.0;0.84;;4.29;39.9;42.0;;;;1378.0;2.6;179.0;293.0;-132.8;21.3;-88.0;1095.0;1670.0;20.0;7.5;17.5;100.0;;0.327
2007.0;629.0;347.0;158.0;136.0;79.0;39.0;45.0;158.0;1222.0;171.0;595.0;627.0;136.0;-107.0;-7.0;22.0;29.0;283.0;55.1;210.0;;78.0;38.0;40.0;133.0;493.0;4.0;24.0;55.0;25.04;21.66;-58.0;12.48;40.0;6.18;0.89;0.89;44.0;;1.0;31.0;32.0;118.0;7.0;;982.0;;;;0.0;;82.0;1064.0;;100.0;9.0;46.0;;62.0;301.0;;;122.0;423.0;;;;;;-760.0;;1222.0;;1222.0;;39.0;55.0;;;19.0;-12.0;-6.0;17.0;6.0;23.0;-107.0;;;;;-65.0;;;;58.0;;32.0;10.0;;0.32;45.32;2.8;2.07;;7.7;45.15;44.0;7.5;0.4;;1982.0;21.7;174.0;122.0;50.5;6.2;-43.0;949.0;1975.0;4.8;8.4;6.2;100.0;;0.318
2008.0;579.0;308.0;160.0;88.0;53.0;36.0;45.0;183.0;1197.0;194.0;591.0;606.0;159.0;-94.0;-57.0;7.0;64.0;271.0;53.27;221.0;;75.0;39.0;36.0;145.0;491.0;3.0;57.0;49.0;27.58;15.14;-34.0;9.21;18.0;6.16;0.79;0.79;45.0;;2.0;35.0;37.0;142.0;5.0;;943.0;;;;20.0;;52.0;1014.0;;98.0;8.0;60.0;;88.0;276.0;;;;276.0;674.0;;;545.0;49.0;-742.0;753.0;1197.0;;1197.0;;36.0;49.0;18.0;;75.0;26.0;2.0;8.0;23.0;-19.0;-94.0;;;;;-36.0;;-2.0;;-20.0;;37.0;29.0;;0.29;44.6;2.74;4.95;;7.25;46.63;45.0;4.7;0.2;;2000.0;15.1;170.0;123.0;33.2;6.2;-36.0;953.0;2092.0;7.4;9.2;5.9;100.0;2.8;0.289
2009.0;547.0;283.0;114.0;50.0;45.0;24.0;45.0;182.0;1150.0;200.0;576.0;574.0;176.0;-106.0;-43.0;27.0;69.0;264.0;51.71;233.0;;182.0;145.0;36.0;51.0;497.0;4.0;23.0;46.0;20.84;9.16;-5.0;8.18;21.0;4.36;0.53;0.53;45.0;;2.0;58.0;60.0;106.0;4.0;12.0;916.0;;;;0.0;23.0;28.0;967.0;;92.0;22.0;37.0;;87.0;186.0;;;190.0;376.0;;;;495.0;69.0;-719.0;729.0;1150.0;;1150.0;;24.0;46.0;21.0;;75.0;13.0;-1.0;4.0;48.0;10.0;-106.0;;;;;-46.0;;;;4.0;;60.0;33.0;;0.26;46.33;2.02;5.88;;9.01;48.65;45.0;2.8;0.0;;2078.0;9.2;175.0;91.0;46.7;4.4;-67.0;707.0;2182.0;3.8;5.9;4.2;100.0;;0.263
2010.0;548.0;278.0;29.0;24.0;-19.0;-19.0;45.0;291.0;1267.0;198.0;736.0;531.0;133.0;-96.0;76.0;113.0;35.0;269.0;50.79;254.0;;254.0;205.0;49.0;;524.0;16.0;3.0;45.0;5.32;4.35;-43.0;-3.46;-0.0;-3.41;-0.41;-0.41;45.0;;2.0;168.0;170.0;117.0;3.0;;929.0;;;;0.0;;47.0;977.0;;95.0;14.0;28.0;;89.0;261.0;;;278.0;538.0;;;;474.0;47.0;-732.0;742.0;1267.0;;1267.0;;-19.0;45.0;-0.0;;105.0;0.0;-1.0;9.0;82.0;1.0;-98.0;;;;2.0;;;;;76.0;;170.0;58.0;;0.25;47.96;-1.63;3.05;;8.58;46.51;45.0;-5.1;-0.2;;2174.0;4.3;178.0;-74.0;1.5;-3.4;367.0;1035.0;2108.0;-1.5;-1.2;-3.5;100.0;;0.252
2011.0;828.0;458.0;4.0;7.0;-92.0;-101.0;45.0;268.0;1335.0;309.0;1016.0;305.0;119.0;-227.0;-19.0;-126.0;-33.0;370.0;55.29;451.0;;451.0;351.0;100.0;;822.0;6.0;44.0;56.0;0.5;0.81;-98.0;-11.07;5.0;-12.21;-2.25;-2.25;45.0;;5.0;25.0;31.0;180.0;5.0;51.0;1101.0;-67.0;;-67.0;0.0;;33.0;1067.0;;153.0;14.0;39.0;6.0;136.0;276.0;;;431.0;707.0;;;;208.0;-156.0;15.0;238.0;1321.0;13.0;1335.0;;-101.0;56.0;;;76.0;-37.0;-4.0;66.0;161.0;88.0;-152.0;-104.0;-132.0;29.0;132.0;;;;-9.0;-10.0;;31.0;157.0;;0.23;79.48;-9.71;-3.16;0.85;14.57;29.31;45.0;-0.9;-0.1;9.2;3565.0;0.8;240.0;-435.0;-5.7;-12.2;-177.0;1190.0;1315.0;-5.4;-3.9;-33.1;108.7;;0.232
