;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
2009.0;9125.0;2086.0;1035.0;201.0;192.0;69.0;914.0;5993.0;14752.0;3371.0;7214.0;7535.0;268.0;-702.0;899.0;381.0;-130.0;7040.0;22.85;1885.0;;1885.0;132.0;1752.0;;8924.0;652.0;514.0;339.0;11.34;2.2;-9.0;2.1;113.0;0.76;0.13;0.13;914.0;;1089.0;1346.0;2435.0;1453.0;1779.0;326.0;5321.0;1733.0;44.0;1777.0;398.0;542.0;721.0;8759.0;;1093.0;1672.0;105.0;;607.0;3376.0;;148.0;319.0;3843.0;;;;;416.0;-1889.0;;14750.0;3.0;14752.0;;69.0;339.0;105.0;;119.0;68.0;140.0;-17.0;-56.0;-363.0;-398.0;293.0;-5558.0;5049.0;-88.0;-3563.0;3035.0;-92.0;-25.0;1544.0;-84.0;1089.0;708.0;;0.57;17.4;0.13;-0.25;0.05;0.76;14.37;914.0;73.1;1.0;0.5;15906.0;2.2;591.0;120.0;59.0;0.8;4570.0;5884.0;13135.0;2.5;4.7;0.9;64.1;2249.8;0.574
2010.0;13665.0;3452.0;1931.0;894.0;603.0;484.0;920.0;5936.0;16720.0;3426.0;8504.0;8212.0;1947.0;-663.0;-954.0;248.0;1488.0;10213.0;25.26;2558.0;;2591.0;469.0;2123.0;-33.0;12771.0;530.0;821.0;506.0;14.13;6.55;-291.0;4.42;118.0;3.55;0.53;0.53;915.0;;1392.0;520.0;1913.0;1545.0;1256.0;1222.0;5463.0;1707.0;852.0;2559.0;238.0;1499.0;1026.0;10784.0;;1241.0;1342.0;127.0;;843.0;2998.0;;986.0;1095.0;5078.0;;;;;;21.0;;16716.0;5.0;16720.0;;484.0;506.0;40.0;;-459.0;-242.0;101.0;93.0;-357.0;1376.0;-459.0;;;;-243.0;-2625.0;;;-92.0;1764.0;-82.0;1392.0;1144.0;;0.6;24.79;0.88;2.7;0.17;0.83;14.9;915.0;15.7;0.8;1.2;22681.0;6.5;840.0;804.0;19.6;3.5;4166.0;4975.0;13629.0;8.6;8.5;5.9;80.9;6.2;0.603
2011.0;13794.0;3573.0;2004.0;1074.0;816.0;734.0;915.0;5969.0;16089.0;4286.0;8518.0;7550.0;613.0;-1007.0;-175.0;-506.0;-22.0;10221.0;25.91;2500.0;;2288.0;229.0;2059.0;211.0;12720.0;454.0;711.0;476.0;14.53;7.78;-257.0;5.92;84.0;5.32;0.8;0.8;914.0;;733.0;737.0;1470.0;1721.0;1438.0;1340.0;5258.0;1596.0;758.0;2354.0;93.0;1810.0;605.0;10120.0;;1439.0;1853.0;121.0;;995.0;2469.0;;962.0;801.0;4231.0;;;;;986.0;-87.0;;16068.0;21.0;16089.0;;734.0;476.0;63.0;;-1206.0;-344.0;-289.0;304.0;-877.0;547.0;-635.0;;-3.0;16.0;-416.0;-1523.0;;-39.0;-269.0;1656.0;62.0;733.0;1240.0;;0.54;28.11;1.5;-0.05;0.55;1.29;15.39;914.0;12.4;0.8;3.0;25706.0;7.8;886.0;1367.0;10.3;5.3;3136.0;4601.0;14070.0;11.6;9.5;9.7;63.3;-1385.6;0.537
2012.0;13914.0;3149.0;1142.0;678.0;399.0;397.0;914.0;5655.0;15014.0;3642.0;7902.0;7093.0;1192.0;-1158.0;220.0;275.0;266.0;10765.0;22.63;2483.0;;2355.0;248.0;2106.0;129.0;13248.0;121.0;274.0;472.0;8.21;4.87;-278.0;2.87;-1.0;2.85;0.43;0.43;913.0;;942.0;320.0;1262.0;1998.0;2142.0;253.0;5206.0;1504.0;814.0;2318.0;54.0;354.0;1427.0;9359.0;;1650.0;1191.0;111.0;;801.0;3453.0;;385.0;422.0;4260.0;;;;6079.0;-25.0;1039.0;0.0;14996.0;18.0;15014.0;;397.0;472.0;54.0;;172.0;44.0;-177.0;327.0;388.0;98.0;-927.0;-5.0;-49.0;46.0;-230.0;-2121.0;7.0;;;2334.0;21.0;942.0;667.0;;0.49;31.22;0.89;0.6;;2.08;15.92;913.0;20.2;1.4;;28517.0;4.9;967.0;813.0;-0.3;2.9;4126.0;7078.0;14539.0;5.9;4.5;5.6;100.0;-2.5;0.488
2013.0;12920.0;3204.0;1322.0;829.0;513.0;450.0;915.0;5606.0;13704.0;3571.0;7483.0;6204.0;1405.0;-640.0;-321.0;507.0;845.0;9716.0;24.8;2343.0;;2225.0;268.0;1957.0;118.0;12059.0;98.0;313.0;498.0;10.23;6.42;-316.0;3.97;62.0;3.48;0.49;0.49;915.0;;1324.0;199.0;1523.0;1965.0;1828.0;290.0;4581.0;1313.0;701.0;2014.0;69.0;282.0;1153.0;8099.0;;1556.0;1141.0;107.0;;874.0;3168.0;9.0;337.0;398.0;3912.0;;;;5275.0;1063.0;962.0;-1096.0;13687.0;17.0;13704.0;;450.0;498.0;182.0;;161.0;-80.0;23.0;170.0;49.0;113.0;-560.0;-31.0;-195.0;248.0;-126.0;-1650.0;23.0;-33.0;;1340.0;63.0;1324.0;817.0;;0.42;33.37;1.16;2.18;;1.45;16.02;915.0;19.5;1.1;;30521.0;6.4;1176.0;1062.0;12.0;3.5;4807.0;7485.0;14655.0;7.2;6.0;7.2;100.0;1.3;0.423
2014.0;10912.0;3201.0;1801.0;1309.0;936.0;837.0;915.0;6579.0;13582.0;3600.0;7680.0;5865.0;1882.0;-720.0;-214.0;1083.0;1479.0;7711.0;29.34;1940.0;;1847.0;260.0;1586.0;94.0;9651.0;154.0;368.0;463.0;16.5;11.99;-373.0;8.58;133.0;7.67;0.92;0.91;914.0;;2260.0;237.0;2497.0;1526.0;1532.0;1024.0;3784.0;950.0;678.0;1628.0;188.0;269.0;1133.0;7003.0;;1496.0;1030.0;113.0;;1073.0;3330.0;;389.0;362.0;4080.0;;;;4688.0;;1292.0;-115.0;13545.0;37.0;13582.0;;837.0;463.0;204.0;;322.0;173.0;167.0;76.0;-93.0;56.0;-403.0;-161.0;-17.0;16.0;-175.0;-1771.0;38.0;-132.0;;1652.0;135.0;2260.0;1177.0;;0.38;31.72;2.43;4.3;;1.17;17.05;914.0;9.3;0.5;;29007.0;12.0;1230.0;2225.0;14.2;7.7;7919.0;8850.0;15590.0;11.5;9.9;14.3;100.0;6.4;0.376
2015.0;8126.0;2546.0;1268.0;1067.0;646.0;785.0;885.0;4841.0;10194.0;2933.0;6702.0;3412.0;1044.0;-426.0;-1084.0;-163.0;665.0;5580.0;31.34;1457.0;;1413.0;200.0;1213.0;44.0;7037.0;131.0;249.0;332.0;15.6;13.13;-422.0;7.95;-98.0;9.66;0.89;0.89;885.0;;1354.0;218.0;1572.0;1366.0;1354.0;550.0;2755.0;701.0;564.0;1265.0;162.0;317.0;854.0;5353.0;;1198.0;663.0;89.0;;1072.0;3168.0;;293.0;307.0;3769.0;;;;3145.0;;1263.0;-996.0;10113.0;81.0;10194.0;;785.0;332.0;-78.0;;-543.0;-281.0;-319.0;223.0;-347.0;547.0;-379.0;-38.0;-15.0;33.0;-78.0;-1522.0;21.0;-950.0;;1368.0;303.0;1354.0;1516.0;;0.25;36.4;3.52;2.98;;1.7;15.28;885.0;5.5;0.3;;32197.0;13.1;1317.0;3111.0;-15.2;9.7;7559.0;12551.0;13517.0;15.0;9.2;23.0;100.0;139.8;0.252
2016.0;10359.0;2311.0;959.0;557.0;-97.0;-114.0;842.0;5802.0;13188.0;3882.0;9436.0;3636.0;559.0;-1278.0;1143.0;305.0;-31.0;8048.0;22.31;1793.0;;1681.0;156.0;1525.0;112.0;9841.0;204.0;566.0;492.0;9.26;5.38;-655.0;-0.94;15.0;-1.1;-0.13;-0.13;842.0;;1952.0;252.0;2204.0;1372.0;1977.0;249.0;3607.0;1334.0;715.0;2049.0;180.0;339.0;1211.0;7386.0;;1793.0;997.0;98.0;;1092.0;4827.0;;388.0;339.0;5554.0;;;;3827.0;;31.0;-222.0;13072.0;117.0;13188.0;;-114.0;492.0;95.0;;497.0;383.0;-229.0;261.0;33.0;-411.0;-590.0;-882.0;-74.0;28.0;221.0;-1079.0;2.0;-167.0;;2386.0;-119.0;1952.0;1647.0;;0.31;40.04;-0.44;-0.12;;2.28;14.05;842.0;-33.3;-1.5;;33733.0;5.4;1603.0;-372.0;-15.7;-1.1;6253.0;15717.0;11840.0;5.9;3.6;-3.1;100.0;;0.307
2017.0;10104.0;2084.0;854.0;222.0;-406.0;-340.0;844.0;5792.0;13654.0;4501.0;10118.0;3381.0;197.0;-691.0;364.0;-104.0;-86.0;8020.0;20.63;1799.0;;1575.0;147.0;1428.0;224.0;9819.0;202.0;689.0;579.0;8.45;2.2;-628.0;-4.02;-74.0;-3.36;-0.39;-0.39;844.0;;1815.0;69.0;1884.0;1590.0;1950.0;369.0;3680.0;1266.0;907.0;2173.0;192.0;413.0;1403.0;7862.0;;1946.0;1519.0;129.0;0.0;1036.0;4653.0;;420.0;544.0;5618.0;;;;3762.0;;-359.0;-22.0;13500.0;155.0;13654.0;;-340.0;579.0;-31.0;;-190.0;-175.0;10.0;50.0;112.0;179.0;-283.0;-338.0;-29.0;108.0;-163.0;-2717.0;154.0;;;2928.0;25.0;1815.0;1919.0;;0.3;39.65;-1.33;-0.34;;1.11;13.27;844.0;-9.7;-0.4;;33469.0;2.2;1918.0;-1126.0;18.3;-3.4;4278.0;15413.0;11200.0;2.5;2.0;-10.0;100.0;;0.302
2018.0;7777.0;1254.0;-317.0;-53.0;-631.0;-1146.0;852.0;4902.0;10918.0;3732.0;8978.0;1794.0;76.0;-365.0;19.0;-251.0;-78.0;6523.0;16.12;1289.0;;1288.0;125.0;1163.0;1.0;7812.0;195.0;465.0;450.0;-4.07;-0.68;-577.0;-8.11;-86.0;-14.73;-1.34;-1.34;852.0;;1254.0;131.0;1385.0;977.0;1389.0;1151.0;2756.0;694.0;599.0;1293.0;97.0;391.0;1478.0;6015.0;;1430.0;1171.0;104.0;;1131.0;4538.0;;237.0;470.0;5245.0;;;;3210.0;-1102.0;-299.0;-15.0;10772.0;146.0;10918.0;;-1146.0;450.0;-32.0;;-144.0;256.0;-71.0;-271.0;-102.0;948.0;-154.0;1.0;-56.0;83.0;-243.0;-1630.0;;;;1649.0;18.0;1297.0;1548.0;;0.26;35.42;-5.22;-0.36;;0.7;8.17;852.0;-1.3;-0.1;;30188.0;-0.7;1747.0;-4448.0;13.6;-14.7;4542.0;17618.0;6965.0;-9.4;-7.1;-63.9;100.0;;0.258
2019.0;8322.0;2010.0;1270.0;684.0;192.0;40.0;855.0;3743.0;10392.0;3366.0;8399.0;1931.0;627.0;359.0;-1198.0;-199.0;507.0;6312.0;24.15;1332.0;;1441.0;219.0;1222.0;-109.0;7644.0;296.0;706.0;573.0;15.27;8.22;-492.0;2.31;-49.0;0.49;0.09;0.09;853.0;;1054.0;104.0;1158.0;925.0;1366.0;294.0;3054.0;675.0;546.0;1221.0;80.0;477.0;1817.0;6649.0;;1439.0;873.0;129.0;;1054.0;4365.0;;198.0;470.0;5033.0;;605.0;;3100.0;-1028.0;-132.0;-10.0;10330.0;63.0;10392.0;;40.0;573.0;-167.0;;-231.0;-45.0;-56.0;-98.0;-24.0;412.0;-120.0;-1.0;-4.0;90.0;378.0;-2496.0;;;;1298.0;14.0;1054.0;1253.0;;0.25;39.23;0.19;2.39;;0.56;9.1;853.0;40.5;1.7;;33447.0;8.2;2301.0;163.0;-25.3;0.5;1517.0;17543.0;7761.0;12.6;6.8;2.1;100.0;;0.249
2020.0;7598.0;1823.0;1150.0;587.0;260.0;292.0;852.0;4411.0;9560.0;2972.0;7864.0;1653.0;850.0;-275.0;-113.0;643.0;677.0;5775.0;24.0;1208.0;;1267.0;191.0;1076.0;-58.0;6983.0;71.0;431.0;461.0;15.14;7.73;-327.0;3.43;-33.0;3.85;0.31;0.31;850.0;;1459.0;60.0;1519.0;978.0;1719.0;194.0;2351.0;565.0;440.0;1005.0;68.0;406.0;1320.0;5150.0;;1732.0;278.0;76.0;;963.0;4523.0;;166.0;202.0;4892.0;;488.0;;2399.0;-499.0;-223.0;-24.0;9517.0;44.0;9560.0;;292.0;461.0;-60.0;;-160.0;-93.0;-606.0;415.0;5.0;316.0;-173.0;7.0;;5.0;-133.0;-2079.0;;-20.0;;1987.0;181.0;1459.0;816.0;;0.19;46.44;1.79;4.14;;1.06;10.1;850.0;2.5;0.1;;39470.0;7.7;2394.0;1518.0;-12.8;3.8;7472.0;23498.0;8586.0;11.9;7.2;17.7;100.0;3.0;0.193
2021.0;8678.0;1825.0;983.0;540.0;-6.0;75.0;850.0;4711.0;10035.0;3810.0;8450.0;1519.0;704.0;-637.0;-103.0;-9.0;393.0;6853.0;21.03;1306.0;;1322.0;150.0;1172.0;-16.0;8159.0;88.0;513.0;493.0;11.32;6.23;-547.0;-0.07;-99.0;0.87;0.09;0.09;849.0;;1351.0;62.0;1414.0;925.0;2254.0;118.0;2341.0;615.0;489.0;1104.0;82.0;528.0;1270.0;5324.0;;2101.0;660.0;81.0;;1050.0;4355.0;;105.0;181.0;4641.0;;445.0;;2237.0;-383.0;-300.0;-35.0;9969.0;65.0;10035.0;;75.0;493.0;-144.0;;-314.0;69.0;-663.0;255.0;-117.0;594.0;-311.0;-153.0;-3.0;45.0;-247.0;-377.0;;-5.0;;279.0;27.0;1351.0;1360.0;;0.18;56.96;0.49;2.58;;2.04;9.97;849.0;9.0;0.3;;48343.0;6.2;2746.0;419.0;1587.0;0.9;5018.0;24260.0;8463.0;-118.2;4.9;5.0;100.0;1.3;0.179
