;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
1994.0;208.0;85.0;-84.0;17.0;-96.0;-99.0;22.0;;;;;;-96.0;-78.0;213.0;213.0;-153.0;123.0;40.9;68.0;;;;;68.0;191.0;;;12.0;-40.19;8.06;-113.0;-46.0;4.0;-47.61;-34.49;-34.49;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-99.0;12.0;-0.0;;-9.0;;-9.0;;;-0.0;-56.0;;;;-21.0;;29.0;;;184.0;;;21.0;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;215.0;83.0;-8.0;29.0;-19.0;-21.0;22.0;;;;;;-5.0;-23.0;-12.0;-12.0;-18.0;132.0;38.57;53.0;;;;;53.0;185.0;;;12.0;-3.59;13.71;-49.0;-9.0;2.0;-9.75;-6.68;-6.68;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-21.0;12.0;;;4.0;;2.0;;;-0.0;-13.0;;;;-10.0;;;;;-12.0;;;44.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;276.0;101.0;83.0;32.0;67.0;52.0;21.0;;;;;;78.0;-18.0;-60.0;-60.0;72.0;175.0;36.5;69.0;;;;;69.0;244.0;;;16.0;30.07;11.67;35.0;24.43;16.0;18.68;16.57;16.57;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.0;16.0;-0.0;;9.0;;-2.0;;;2.0;-6.0;;;;-12.0;;;;;-60.0;;;4.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;275.0;99.0;42.0;33.0;28.0;25.0;21.0;;;;;;30.0;-14.0;-3.0;-3.0;27.0;175.0;36.15;66.0;;;;;66.0;242.0;;;15.0;15.38;11.96;-4.0;10.33;2.0;9.24;8.12;8.12;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.0;15.0;-0.0;;-11.0;;4.0;;;0.0;-3.0;;;;-11.0;;;;;-3.0;;;6.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;253.0;98.0;5.0;33.0;-13.0;-11.0;206.0;;;;;;9.0;6.0;-11.0;3.0;5.0;156.0;38.56;65.0;;;;;65.0;220.0;3.0;;15.0;1.85;13.09;-46.0;-5.21;1.0;-4.34;-0.13;-0.13;206.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11.0;15.0;;;8.0;;4.0;;;-3.0;-4.0;;;;10.0;;;;;-11.0;;21.0;18.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;226.0;100.0;83.0;37.0;67.0;47.0;62.0;;;;;;76.0;-12.0;-51.0;13.0;68.0;126.0;44.43;64.0;;;;;64.0;189.0;;;16.0;36.53;16.25;30.0;29.61;20.0;20.75;0.73;0.73;62.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.0;16.0;-0.0;;12.0;;6.0;;;1.0;-9.0;;;;-3.0;;;;;-51.0;;38.0;25.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;229.0;78.0;14.0;27.0;-1.0;-4.0;62.0;;;;;;25.0;1.0;-51.0;-25.0;21.0;151.0;33.93;51.0;;;;;51.0;202.0;3.0;;15.0;5.91;11.78;-28.0;-0.47;3.0;-1.63;-0.72;-0.72;62.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4.0;15.0;5.0;;6.0;;3.0;;;2.0;-4.0;;;;5.0;;;;;-51.0;;12.0;37.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;207.0;68.0;25.0;20.0;25.0;25.0;8.0;;;;;;;;;;;139.0;32.86;2.0;;;;;2.0;140.0;;;;12.08;9.44;5.0;12.08;0.0;12.04;0.15;0.15;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;204.0;67.0;24.0;25.0;9.0;11.0;296.0;81.0;503.0;82.0;157.0;347.0;31.0;-4.0;-22.0;4.0;29.0;136.0;33.09;43.0;;;;;43.0;179.0;;;15.0;11.9;12.08;-15.0;4.52;-2.0;5.59;0.11;0.11;100.0;;11.0;;11.0;44.0;26.0;1.0;385.0;;;;;;37.0;422.0;;20.0;33.0;;;29.0;0.0;;74.0;0.0;75.0;;;;254.0;123.0;-88.0;58.0;503.0;0.0;503.0;;11.0;15.0;-5.0;;7.0;;2.0;;;3.0;-2.0;-1.0;;;-1.0;;27.0;;;-49.0;;11.0;6.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;247.0;85.0;55.0;44.0;39.0;26.0;357.0;112.0;533.0;29.0;122.0;410.0;35.0;-2.0;3.0;36.0;30.0;162.0;34.3;41.0;;;;;41.0;203.0;;;16.0;22.09;17.66;-5.0;15.72;12.0;10.52;0.22;0.22;119.0;;46.0;;46.0;39.0;26.0;2.0;392.0;;;;;;29.0;421.0;;18.0;2.0;;;8.0;;;93.0;1.0;94.0;;;;274.0;144.0;-63.0;55.0;533.0;0.0;533.0;;26.0;16.0;11.0;;-20.0;;-1.0;;;2.0;-5.0;;;;3.0;;32.0;;;-29.0;;46.0;10.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;509.0;213.0;175.0;162.0;155.0;126.0;399.0;251.0;801.0;81.0;212.0;589.0;79.0;-117.0;35.0;-3.0;-32.0;296.0;41.88;51.0;;;;;51.0;347.0;1.0;;19.0;34.32;31.84;-7.0;30.56;30.0;24.75;0.95;0.95;133.0;;45.0;;45.0;102.0;101.0;2.0;517.0;;;;;;33.0;550.0;;53.0;14.0;;;15.0;;;128.0;2.0;130.0;;;;293.0;279.0;-42.0;59.0;801.0;0.0;801.0;;126.0;19.0;28.0;;-95.0;;-74.0;;;1.0;-111.0;;;;-6.0;;22.0;;;13.0;;45.0;49.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1213.0;243.0;162.0;148.0;139.0;120.0;414.0;634.0;1365.0;254.0;464.0;732.0;164.0;-171.0;-23.0;-30.0;117.0;970.0;20.02;95.0;;;;;95.0;1066.0;;;24.0;13.33;12.17;-8.0;11.48;18.0;9.87;0.87;0.87;138.0;;20.0;;20.0;245.0;342.0;27.0;666.0;;;;;;65.0;731.0;;132.0;2.0;;;120.0;37.0;;142.0;32.0;210.0;;;;325.0;423.0;-95.0;79.0;1196.0;169.0;1365.0;;120.0;24.0;10.0;;7.0;;58.0;;9.0;2.0;-47.0;-135.0;;;11.0;;0.0;;;-23.0;;20.0;49.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;2099.0;391.0;289.0;271.0;269.0;195.0;140.0;881.0;1611.0;260.0;454.0;956.0;213.0;1.0;-37.0;177.0;176.0;1708.0;18.64;121.0;;;;;121.0;1829.0;4.0;;40.0;13.77;12.89;-2.0;12.79;54.0;9.27;1.38;1.38;140.0;;197.0;;197.0;224.0;451.0;10.0;678.0;;17.0;17.0;;;34.0;730.0;;165.0;0.0;;;94.0;;;186.0;8.0;194.0;;;;336.0;627.0;-96.0;89.0;1410.0;201.0;1611.0;;195.0;40.0;-2.0;;-40.0;;-109.0;;-4.0;20.0;-37.0;;;;38.0;;12.0;;;-49.0;;197.0;20.0;;0.09;161.81;14.99;13.53;;2.87;73.68;140.0;0.6;0.0;;22672.0;12.9;434.0;2101.0;20.2;9.3;6714.0;;10324.0;17.3;17.7;20.3;100.0;-6.7;0.093
2007.0;2204.0;330.0;247.0;200.0;205.0;140.0;158.0;1321.0;2088.0;261.0;511.0;1359.0;215.0;-44.0;212.0;383.0;171.0;1874.0;14.96;130.0;;;;;130.0;2004.0;25.0;;50.0;11.2;9.06;6.0;9.32;57.0;6.34;0.9;0.9;156.0;;585.0;;585.0;279.0;451.0;7.0;722.0;;16.0;16.0;;;29.0;767.0;;192.0;0.0;;;69.0;;;244.0;5.0;249.0;;;;368.0;782.0;-80.0;288.0;1870.0;219.0;2088.0;;140.0;50.0;47.0;;-31.0;;11.0;;-3.0;9.0;-44.0;;;;0.0;;221.0;;;-9.0;;585.0;201.0;;0.09;154.15;9.78;11.93;;3.11;95.04;156.0;1.1;0.1;;24059.0;9.1;548.0;1526.0;27.6;6.3;11571.0;;14833.0;8.8;10.5;10.3;100.0;-129.7;0.092
2008.0;2558.0;392.0;279.0;226.0;213.0;138.0;162.0;948.0;2240.0;382.0;691.0;1322.0;133.0;-654.0;97.0;-423.0;98.0;2166.0;15.32;165.0;;;;;165.0;2331.0;;;65.0;10.89;8.85;-13.0;8.35;75.0;5.4;0.81;0.81;162.0;;42.0;;42.0;244.0;643.0;19.0;748.0;303.0;213.0;515.0;;;28.0;1292.0;;247.0;1.0;22.0;;134.0;;;303.0;6.0;309.0;;;;301.0;691.0;24.0;306.0;2013.0;227.0;2240.0;;138.0;65.0;;;-142.0;12.0;-148.0;39.0;;72.0;-35.0;;-614.0;;-5.0;-96.0;8.0;;;185.0;2.0;42.0;465.0;;0.07;217.68;11.76;8.31;;2.97;112.5;162.0;0.9;0.0;;35185.0;8.9;895.0;1900.0;35.3;5.4;7790.0;;18183.0;8.5;10.6;10.5;100.0;-8.4;0.073
2009.0;1471.0;116.0;-94.0;274.0;-246.0;-25.0;166.0;941.0;2043.0;298.0;515.0;1361.0;89.0;-17.0;34.0;105.0;69.0;1355.0;7.88;176.0;;;;;176.0;1531.0;6.0;7.0;80.0;-6.37;18.63;-520.0;-16.75;-156.0;-1.68;7.66;7.66;166.0;;149.0;;149.0;271.0;506.0;15.0;749.0;139.0;195.0;334.0;;;19.0;1102.0;;145.0;0.0;26.0;;153.0;;;209.0;7.0;217.0;;;;317.0;694.0;28.0;322.0;1876.0;168.0;2043.0;;-25.0;80.0;;;70.0;64.0;156.0;-130.0;;-36.0;-20.0;;;;3.0;-55.0;;;;88.0;-0.0;149.0;44.0;;0.08;115.92;-1.95;5.4;;1.59;107.23;166.0;-3.1;-0.0;;19232.0;18.6;1048.0;-323.0;63.5;-1.7;8410.0;;17791.0;-4.0;-9.3;-1.8;100.0;;0.076
2010.0;1988.0;327.0;186.0;88.0;56.0;73.0;166.0;967.0;2194.0;315.0;539.0;1510.0;180.0;-56.0;-10.0;116.0;140.0;1660.0;16.47;240.0;;;;;240.0;1900.0;;17.0;89.0;9.34;4.41;-32.0;2.81;7.0;3.68;0.44;0.44;166.0;;274.0;;274.0;269.0;417.0;8.0;765.0;147.0;176.0;323.0;;;138.0;1226.0;;175.0;0.0;35.0;;140.0;;;216.0;8.0;224.0;;;;335.0;807.0;33.0;335.0;2049.0;144.0;2194.0;;73.0;89.0;;;34.0;-27.0;-7.0;27.0;27.0;-16.0;-40.0;;-15.0;;-1.0;-1.0;;;;-10.0;2.0;274.0;158.0;;0.08;148.14;5.45;10.43;;2.99;112.56;166.0;1.3;0.1;;24576.0;4.4;1098.0;904.0;12.5;3.7;8062.0;;18673.0;4.9;4.7;4.8;100.0;;0.081
