;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
1994.0;765.0;383.0;109.0;91.0;95.0;60.0;160.0;;;;;;63.0;-87.0;42.0;42.0;-22.0;382.0;50.11;292.0;;;;;292.0;674.0;;;13.0;14.19;11.94;4.0;12.47;35.0;7.85;0.38;0.38;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.0;13.0;;;-14.0;;-1.0;;;4.0;-86.0;;;;-2.0;;;;-7.0;49.0;;;6.0;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;797.0;355.0;87.0;49.0;60.0;46.0;155.0;;;;;;79.0;-155.0;79.0;79.0;-19.0;442.0;44.57;307.0;;;;;307.0;749.0;;;27.0;10.88;6.09;11.0;7.53;14.0;5.83;0.3;0.3;155.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.0;27.0;;;-8.0;;-11.0;;;14.0;-98.0;;;;-57.0;;;;-5.0;83.0;;;18.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;968.0;433.0;111.0;81.0;85.0;67.0;155.0;;;;;;167.0;-179.0;60.0;60.0;45.0;535.0;44.73;352.0;;;;;352.0;887.0;;;26.0;11.45;8.41;4.0;8.82;19.0;6.88;0.43;0.43;155.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.0;26.0;;;27.0;;24.0;;;48.0;-122.0;;;;-57.0;;;;-6.0;67.0;;;23.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1153.0;581.0;176.0;147.0;112.0;88.0;143.0;;;;;;160.0;-248.0;35.0;-53.0;45.0;572.0;50.37;434.0;;;;;434.0;1006.0;;;64.0;15.27;12.74;-35.0;9.75;24.0;7.62;0.6;0.6;143.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88.0;64.0;;;-21.0;;-16.0;;;29.0;-114.0;;;;-134.0;;;;-13.0;49.0;;26.0;79.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1286.0;628.0;173.0;166.0;104.0;65.0;143.0;;;;;;140.0;-130.0;-14.0;-4.0;17.0;658.0;48.82;462.0;;;;;462.0;1120.0;;;69.0;13.44;12.88;-61.0;8.11;39.0;5.09;0.5;0.5;143.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65.0;69.0;;;-8.0;;6.0;;;14.0;-122.0;;;;-8.0;;;;-17.0;2.0;;19.0;24.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1489.0;782.0;271.0;215.0;179.0;102.0;143.0;;;;;;283.0;-90.0;-155.0;38.0;205.0;707.0;52.5;566.0;;;;;566.0;1274.0;;;91.0;18.18;14.47;-36.0;12.04;77.0;6.87;0.7;0.7;143.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102.0;91.0;;;67.0;;-4.0;;;22.0;-78.0;;;;-12.0;;;;-18.0;-136.0;;58.0;20.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1725.0;959.0;372.0;306.0;235.0;134.0;143.0;;;;;;260.0;-93.0;-28.0;139.0;182.0;766.0;55.6;653.0;;;;;653.0;1419.0;;35.0;102.0;21.58;17.73;-71.0;13.64;101.0;7.79;0.9;0.9;143.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134.0;102.0;;;-3.0;;-2.0;;;27.0;-79.0;;;;-15.0;;;;-25.0;-3.0;;200.0;60.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1900.0;1004.0;495.0;412.0;400.0;244.0;143.0;;;;;;371.0;-86.0;-10.0;275.0;294.0;896.0;52.84;592.0;;;;;592.0;1488.0;;;98.0;26.07;21.69;-12.0;21.07;154.0;12.82;1.7;1.7;143.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244.0;98.0;;;8.0;;-15.0;;;21.0;-76.0;;;;-9.0;;;;-33.0;23.0;;466.0;191.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1687.0;909.0;542.0;425.0;422.0;246.0;143.0;765.0;1549.0;243.0;675.0;874.0;364.0;-128.0;-78.0;158.0;281.0;779.0;53.86;484.0;;;;;484.0;1262.0;;;120.0;32.09;25.2;-3.0;25.01;176.0;14.55;1.72;1.72;143.0;;591.0;;591.0;73.0;72.0;30.0;667.0;;25.0;25.0;;;91.0;784.0;;39.0;8.0;;;196.0;304.0;;75.0;53.0;432.0;;;;227.0;883.0;-396.0;160.0;1549.0;-0.0;1549.0;;246.0;120.0;;;-19.0;;-20.0;;;18.0;-83.0;;;;-45.0;;;;-56.0;-22.0;;591.0;433.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;3170.0;1575.0;645.0;595.0;354.0;207.0;170.0;716.0;5449.0;834.0;3425.0;2010.0;223.0;-2800.0;2253.0;-323.0;85.0;1595.0;49.68;979.0;;;;;979.0;2574.0;;138.0;153.0;20.34;18.78;-241.0;11.17;147.0;6.53;1.21;1.21;170.0;;247.0;;247.0;161.0;194.0;114.0;1577.0;;2992.0;2992.0;;;164.0;4733.0;;121.0;296.0;;;417.0;2310.0;;33.0;247.0;2590.0;;;;236.0;838.0;-72.0;1008.0;5434.0;15.0;5449.0;;207.0;153.0;;;-161.0;;-33.0;;;24.0;-138.0;-2630.0;;;-32.0;;871.0;;;1382.0;;247.0;570.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
