;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2000.0;1.0;1.0;-4.0;-4.0;-4.0;-3.0;69.0;;14.0;1.0;12.0;2.0;;;;;;0.0;69.78;4.0;1.0;3.0;1.0;2.0;0.0;4.0;;;;-481.4;-491.86;0.0;-481.4;-1.0;-371.56;-0.04;-0.04;69.0;;10.0;;10.0;;;;;;;;;;;;14.0;;;;;1.0;;;;11.0;11.0;;;;;;;2.0;14.0;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;5.0;4.0;-2.0;-2.0;-2.0;-2.0;73.0;;13.0;1.0;14.0;-1.0;;;;;;1.0;81.95;6.0;1.0;5.0;2.0;3.0;0.0;7.0;;;;-40.02;-44.68;0.0;-40.02;-0.0;-34.7;-0.02;-0.02;73.0;;;;;;;;;;;;;;;;13.0;;;;;1.0;;;;12.0;12.0;;;;;;;;13.0;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;12.0;10.0;3.0;3.0;3.0;2.0;152.0;7.0;12.0;2.0;17.0;-5.0;3.0;0.0;-4.0;-0.0;1.0;2.0;86.33;8.0;2.0;;;;6.0;9.0;;;0.0;27.81;23.26;0.0;24.22;1.0;14.19;0.01;0.01;152.0;;5.0;;5.0;2.0;;0.0;2.0;;1.0;1.0;;;1.0;5.0;;0.0;;;;1.0;;;;15.0;15.0;30.0;;0.0;0.0;-5.0;-0.0;0.0;12.0;0.0;12.0;;2.0;0.0;;;1.0;;;;;0.0;-2.0;-0.0;;;2.0;;;;-3.0;-0.0;0.0;5.0;5.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;21.0;18.0;8.0;7.0;8.0;7.0;115.0;62.0;67.0;8.0;8.0;60.0;9.0;-1.0;45.0;52.0;8.0;3.0;85.18;11.0;2.0;;;;8.0;14.0;0.0;;1.0;40.19;33.54;1.0;36.71;1.0;31.08;0.0;0.0;85.0;;57.0;;57.0;4.0;;1.0;3.0;;1.0;1.0;;;2.0;6.0;;2.0;;;;6.0;;;;;;;;;0.0;-1.0;0.0;60.0;67.0;0.0;67.0;;7.0;1.0;0.0;;2.0;;;;;0.0;-1.0;;;;-0.0;;55.0;-10.0;;0.0;0.0;57.0;5.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;40.0;34.0;18.0;16.0;18.0;16.0;252.0;81.0;89.0;17.0;17.0;73.0;20.0;-2.0;-1.0;17.0;18.0;6.0;85.48;18.0;5.0;;;;13.0;24.0;;;1.0;45.66;40.64;1.0;43.64;2.0;39.88;0.07;0.06;246.0;;74.0;;74.0;4.0;;2.0;4.0;;1.0;1.0;;;3.0;8.0;;4.0;;;;13.0;;;;;;;;;0.0;8.0;2.0;62.0;89.0;0.0;89.0;;16.0;1.0;-0.0;;2.0;;;;;0.0;-2.0;;;;0.0;;1.0;-1.0;;0.0;0.0;74.0;57.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;65.0;54.0;33.0;27.0;32.0;28.0;260.0;106.0;128.0;34.0;34.0;95.0;29.0;-9.0;-4.0;15.0;20.0;11.0;83.0;26.0;7.0;;;;19.0;37.0;2.0;;1.0;50.58;42.11;4.0;48.94;4.0;43.02;0.11;0.11;254.0;;91.0;;91.0;8.0;;6.0;7.0;1.0;0.0;1.0;;;15.0;23.0;;9.0;;;0.0;25.0;;;;;;;;;0.0;25.0;4.0;65.0;128.0;0.0;128.0;;28.0;1.0;-0.0;;-0.0;;;;-3.0;0.0;-9.0;;;;0.0;;1.0;;-5.0;;-1.0;91.0;76.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;107.0;87.0;38.0;33.0;36.0;31.0;266.0;135.0;186.0;54.0;54.0;132.0;45.0;-26.0;-3.0;14.0;28.0;20.0;81.64;48.0;14.0;;;;34.0;67.0;2.0;;2.0;35.5;30.6;3.0;33.82;5.0;28.84;0.12;0.12;259.0;;108.0;;108.0;20.0;;7.0;20.0;2.0;9.0;11.0;;;21.0;51.0;;19.0;;;;35.0;;;;0.0;0.0;;;;0.0;46.0;5.0;80.0;186.0;0.0;186.0;;31.0;2.0;-0.0;;5.0;;;;-3.0;7.0;-16.0;;-10.0;;-0.0;;5.0;;-9.0;-0.0;-1.0;108.0;94.0;;0.13;3.22;0.93;0.86;0.26;0.49;3.97;259.0;6.2;0.3;4.5;833.0;30.6;14.0;240.0;14.6;28.8;632.0;;1027.0;23.4;19.4;23.4;72.0;12.2;0.128
2007.0;176.0;144.0;66.0;6.0;63.0;55.0;273.0;212.0;291.0;92.0;92.0;199.0;67.0;-37.0;2.0;30.0;49.0;32.0;81.65;126.0;24.0;;;;102.0;159.0;;;4.0;37.49;3.14;57.0;35.45;8.0;30.94;0.21;0.2;263.0;;146.0;19.0;165.0;37.0;;9.0;37.0;2.0;9.0;11.0;;;31.0;79.0;;32.0;;;;60.0;;;;0.0;0.0;;;;0.0;87.0;3.0;108.0;291.0;0.0;291.0;;55.0;4.0;-1.0;;-3.0;;;;-9.0;13.0;-17.0;;-19.0;;-0.0;;12.0;;-10.0;0.0;-2.0;146.0;116.0;;0.14;4.89;1.51;1.36;0.27;0.48;5.51;263.0;6.9;0.4;2.6;1289.0;3.1;26.0;399.0;12.7;30.9;877.0;;1452.0;27.4;21.5;27.5;81.9;-4.4;0.137
2008.0;233.0;185.0;81.0;68.0;80.0;65.0;275.0;239.0;375.0;92.0;92.0;283.0;87.0;-73.0;-11.0;1.0;62.0;48.0;79.44;102.0;35.0;67.0;25.0;42.0;;150.0;5.0;;0.0;34.61;29.04;13.0;34.45;15.0;27.96;0.24;0.24;267.0;;157.0;26.0;183.0;41.0;;16.0;51.0;9.0;20.0;29.0;56.0;;;136.0;;20.0;27.0;8.0;;44.0;0.0;;;0.0;1.0;;;;0.0;155.0;-26.0;153.0;375.0;;375.0;;65.0;0.0;0.0;19.0;-1.0;-1.0;;-14.0;0.0;3.0;-24.0;;-49.0;;-0.0;;;;-16.0;6.0;-2.0;157.0;156.0;;0.15;5.95;1.66;1.6;0.42;0.62;7.24;267.0;6.8;0.3;3.7;1588.0;29.0;3.0;444.0;18.8;28.0;1005.0;1.0;1931.0;23.0;21.4;23.0;74.7;26.4;0.147
2009.0;311.0;245.0;117.0;101.0;112.0;97.0;282.0;338.0;609.0;170.0;171.0;429.0;151.0;-112.0;14.0;53.0;124.0;66.0;78.77;125.0;45.0;79.0;29.0;51.0;;191.0;3.0;;1.0;37.63;32.38;11.0;36.07;19.0;31.05;0.36;0.34;269.0;;210.0;26.0;237.0;62.0;;39.0;81.0;47.0;26.0;73.0;117.0;;;271.0;;43.0;;21.0;41.0;87.0;;;2.0;;2.0;;;;0.0;250.0;-11.0;189.0;600.0;9.0;609.0;;97.0;1.0;-2.0;19.0;32.0;-21.0;;16.0;1.0;4.0;-26.0;-26.0;-52.0;1.0;-9.0;;;;;14.0;0.0;210.0;157.0;;0.15;7.9;2.45;3.16;;0.66;10.88;269.0;4.4;0.1;;2123.0;32.4;8.0;659.0;17.2;31.0;1148.0;;2925.0;22.3;19.3;22.5;100.0;;0.146
