;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
1991.0;5.0;5.0;1.0;1.0;1.0;1.0;8.0;;;;;;1.0;-5.0;7.0;7.0;1.0;1.0;90.74;4.0;;4.0;;;0.0;4.0;;;0.0;22.22;20.37;;20.37;0.0;18.52;0.13;0.13;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;;-0.0;;;;;0.0;-0.0;;-4.0;;-0.0;;8.0;;;-1.0;;;0.0;;
1992.0;10.0;9.0;2.0;1.0;2.0;1.0;11.0;;;;;;1.0;-2.0;0.0;0.0;-0.0;1.0;88.0;7.0;;7.0;;;0.0;9.0;;;0.0;24.0;14.0;1.0;20.0;1.0;13.0;0.12;0.12;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;-1.0;;-1.0;;;0.0;-1.0;;-3.0;2.0;-0.0;;0.0;;;;;;4.0;;
1993.0;17.0;15.0;4.0;3.0;3.0;3.0;11.0;;;;;;0.0;-4.0;2.0;2.0;-2.0;2.0;88.17;12.0;;12.0;;;1.0;14.0;;;1.0;24.26;15.98;1.0;20.12;1.0;14.79;0.22;0.22;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;1.0;0.0;;-3.0;;;;;0.0;-3.0;;-0.0;;-1.0;;2.0;;;-0.0;;;3.0;;
1994.0;21.0;18.0;0.0;;-1.0;-1.0;13.0;;;;;;4.0;-4.0;0.0;0.0;1.0;4.0;83.64;18.0;;17.0;;;1.0;21.0;;;1.0;0.47;;-1.0;-5.61;0.0;-6.54;-0.11;-0.11;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;1.0;;;4.0;;0.0;;;;-3.0;;;1.0;-2.0;;1.0;;;-0.0;;;1.0;;
1995.0;25.0;21.0;1.0;-0.0;-0.0;-0.0;13.0;;;;;;1.0;-3.0;2.0;2.0;-1.0;5.0;82.28;21.0;;20.0;;;1.0;26.0;;;1.0;4.33;-1.18;0.0;-0.39;0.0;-1.57;-0.03;-0.03;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;1.0;;;-0.0;;-0.0;;;0.0;-1.0;;;;-2.0;;;;;2.0;;;1.0;;
1996.0;36.0;27.0;4.0;3.0;2.0;1.0;14.0;;;;;;2.0;-4.0;4.0;4.0;-0.0;9.0;74.45;25.0;3.0;20.0;;;2.0;34.0;;;2.0;10.44;6.87;-1.0;5.22;1.0;3.85;0.1;0.1;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;-0.0;;-2.0;;-0.0;;;0.0;-2.0;;-0.0;0.0;-2.0;;5.0;;;-1.0;;;1.0;;
1997.0;37.0;25.0;-7.0;-4.0;-10.0;-11.0;15.0;;;;;;1.0;-4.0;3.0;3.0;-0.0;12.0;67.65;30.0;3.0;24.0;;;3.0;42.0;;;3.0;-19.79;-11.23;-6.0;-26.74;1.0;-28.07;-0.72;-0.72;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11.0;3.0;0.0;;7.0;;0.0;;;2.0;-1.0;;-0.0;;-3.0;;0.0;;;2.0;-0.0;;2.0;;
1998.0;39.0;26.0;-3.0;-3.0;-6.0;-6.0;14.0;;;;;;-2.0;-3.0;9.0;4.0;-2.0;13.0;67.78;30.0;3.0;24.0;;;3.0;42.0;;;3.0;-8.76;-8.25;-3.0;-15.98;0.0;-16.24;-0.38;-0.38;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6.0;3.0;;;1.0;;0.0;;-0.0;1.0;-1.0;;;;-3.0;;12.0;;;-3.0;;6.0;1.0;;
1999.0;64.0;49.0;14.0;11.0;11.0;11.0;25.0;;;;;;10.0;-13.0;5.0;2.0;6.0;15.0;76.14;38.0;3.0;31.0;;;4.0;53.0;;;4.0;22.54;17.31;-0.0;17.05;0.0;17.04;0.45;0.43;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.0;4.0;;;-4.0;;0.0;;;0.0;-4.0;;;;-8.0;;5.0;;;0.0;-0.0;8.0;6.0;;
2000.0;90.0;56.0;8.0;1.0;1.0;1.0;30.0;;;;;;-7.0;-29.0;71.0;34.0;-9.0;34.0;62.49;53.0;6.0;47.0;;;;87.0;2.0;;6.0;8.71;0.59;1.0;1.6;1.0;1.02;0.03;0.03;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;6.0;;;-17.0;;-0.0;;;2.0;-2.0;;;;-27.0;;80.0;-5.0;;-4.0;0.0;43.0;8.0;;
2001.0;77.0;40.0;-35.0;-41.0;-43.0;-43.0;30.0;;;;;;-5.0;-9.0;-0.0;-15.0;-7.0;37.0;52.27;74.0;8.0;47.0;;;20.0;111.0;1.0;;8.0;-45.08;-53.31;-2.0;-55.67;0.0;-55.88;-1.45;-1.45;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-43.0;8.0;;;7.0;;0.0;;;23.0;-2.0;;;;-7.0;;0.0;;;-1.0;0.0;28.0;43.0;;
