;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
1997.0;1.0;0.0;-1.0;-1.0;;;80.0;31.0;57.0;6.0;20.0;37.0;-3.0;-20.0;37.0;37.0;-18.0;0.0;57.14;1.0;;;;;1.0;1.0;;;;-142.86;-142.86;1.0;;;;;;80.0;;14.0;;14.0;5.0;10.0;2.0;17.0;;1.0;1.0;;;9.0;26.0;;1.0;;;;5.0;;;;13.0;13.0;;;;;;-0.0;38.0;57.0;0.0;57.0;;;;;;-3.0;;-9.0;;0.0;-0.0;-15.0;;-8.0;;2.0;;37.0;;;;;14.0;;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;33.0;6.0;4.0;1.0;2.0;2.0;80.0;23.0;55.0;2.0;16.0;39.0;-5.0;-2.0;;-8.0;-12.0;27.0;19.09;6.0;;;;;6.0;32.0;;;2.0;11.53;1.99;1.0;5.37;0.0;4.77;0.02;0.02;80.0;;6.0;;6.0;3.0;12.0;1.0;23.0;;1.0;1.0;;;8.0;32.0;;2.0;;;;1.0;0.0;;;13.0;13.0;;;;;2.0;-1.0;39.0;55.0;-0.0;55.0;;2.0;2.0;;;-9.0;;-2.0;;;0.0;-7.0;;-0.0;;5.0;;;-0.0;;;;6.0;14.0;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;14.0;3.0;-16.0;-18.0;;-17.0;66.0;15.0;46.0;3.0;24.0;22.0;-10.0;-4.0;8.0;-6.0;-13.0;11.0;21.95;6.0;;;;;6.0;17.0;;;1.0;-112.2;-129.76;-15.0;;;-122.44;-0.26;-0.26;66.0;;0.0;;0.0;2.0;12.0;0.0;17.0;;;;;;14.0;31.0;;2.0;;;;1.0;13.0;;;7.0;21.0;;;;;-15.0;-2.0;40.0;46.0;0.0;46.0;;-17.0;1.0;;;-9.0;;-11.0;;0.0;15.0;-3.0;;-1.0;;0.0;;;;;8.0;;0.0;6.0;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;16.0;1.0;-14.0;-16.0;;-15.0;63.0;16.0;33.0;6.0;26.0;7.0;5.0;1.0;5.0;11.0;5.0;15.0;8.75;5.0;;;;;5.0;20.0;;;1.0;-88.11;-99.37;-12.0;;;-94.92;0.35;0.35;63.0;;12.0;;12.0;2.0;2.0;0.0;5.0;;;;;;12.0;17.0;;1.0;;;;5.0;12.0;;;8.0;21.0;;;;;-31.0;-11.0;48.0;33.0;0.0;33.0;;-15.0;1.0;;;7.0;;9.0;;-0.0;12.0;-1.0;;;0.0;1.0;;;;;5.0;;12.0;0.0;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1.0;-3.0;-2.0;-4.0;;-3.0;57.0;18.0;36.0;13.0;32.0;4.0;-2.0;-13.0;6.0;-9.0;-2.0;3.0;-327.8;2.0;;;;;2.0;5.0;;;1.0;-240.88;-541.03;1.0;;;-348.61;0.06;0.06;57.0;;2.0;12.0;14.0;2.0;2.0;0.0;4.0;;;;;;14.0;18.0;;0.0;0.0;;12.0;;0.0;;;19.0;19.0;39.0;;;;-33.0;-12.0;49.0;36.0;-0.0;36.0;;-3.0;1.0;;;1.0;;0.0;;;-1.0;-0.0;;-13.0;2.0;-2.0;;0.0;;;6.0;;2.0;12.0;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;7.0;3.0;1.0;-1.0;;0.0;67.0;16.0;32.0;16.0;28.0;4.0;2.0;6.0;-4.0;4.0;2.0;4.0;38.74;3.0;;;;;3.0;8.0;;;1.0;14.61;-10.71;0.0;;;2.71;0.0;0.0;67.0;;7.0;3.0;10.0;0.0;2.0;4.0;4.0;;;;;;13.0;17.0;;1.0;0.0;;11.0;4.0;0.0;;;12.0;12.0;;;;;-33.0;-5.0;42.0;32.0;0.0;32.0;;0.0;1.0;;;2.0;;0.0;;;-0.0;-1.0;;-1.0;10.0;-2.0;;0.0;;;-4.0;;7.0;2.0;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;13.0;7.0;6.0;4.0;;6.0;67.0;8.0;26.0;1.0;15.0;10.0;-4.0;1.0;0.0;-3.0;-6.0;5.0;56.89;3.0;;;;;3.0;8.0;0.0;;1.0;49.01;33.13;1.0;;;44.09;0.08;0.08;67.0;;4.0;1.0;5.0;1.0;2.0;1.0;5.0;;13.0;13.0;;;;17.0;;1.0;0.0;;;0.0;;;;15.0;15.0;;;;;-28.0;-5.0;;26.0;0.0;26.0;;6.0;1.0;;;-60.0;;-0.0;;0.0;49.0;-1.0;;-1.0;4.0;-1.0;;0.0;;;-0.0;;4.0;7.0;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;2.0;-1.0;-2.0;-4.0;-3.0;-2.0;82.0;16.0;39.0;1.0;17.0;21.0;-1.0;-5.0;14.0;8.0;-6.0;3.0;-31.02;3.0;;;;;3.0;7.0;;;1.0;-91.93;-175.33;1.0;-114.33;-1.0;-90.19;-0.03;-0.03;76.0;;12.0;1.0;13.0;2.0;1.0;0.0;9.0;;1.0;1.0;;;13.0;23.0;;1.0;0.0;;;;0.0;;;16.0;16.0;;;;;-30.0;0.0;;38.0;2.0;39.0;;-2.0;1.0;-1.0;;2.0;;1.0;;;-1.0;-5.0;;-1.0;0.0;1.0;;14.0;;;-0.0;;12.0;4.0;;0.79;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;0.0;-2.0;-2.0;-9.0;-2.0;-2.0;81.0;10.0;45.0;6.0;20.0;25.0;-4.0;-7.0;6.0;-6.0;-15.0;2.0;-1793.38;5.0;;;;;5.0;7.0;;;1.0;-1373.29;-6815.89;7.0;-1792.89;0.0;-1813.38;-0.03;-0.03;81.0;;6.0;;6.0;1.0;3.0;0.0;17.0;;1.0;1.0;;;18.0;35.0;;2.0;0.0;;4.0;;0.0;;1.0;13.0;15.0;;;;;-33.0;2.0;;45.0;;45.0;;-2.0;1.0;;;-0.0;;-2.0;;;-2.0;-10.0;;-1.0;4.0;-0.0;;6.0;;;-0.0;;6.0;12.0;;0.86;0.0;-0.03;-0.21;;0.15;6.45;81.0;;;;0.0;-6815.9;1.0;-3.0;-1.1;-1813.4;94.0;;520.0;17.1;-inf;-0.5;100.0;;0.86
2006.0;;;;;;;;94.0;566.0;14.0;;446.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.0;;59.0;16.0;18.0;1.0;346.0;88.0;9.0;98.0;28.0;;;471.0;;6.0;;;3.0;5.0;;;79.0;24.0;;;;;;-53.0;-7.0;;;566.0;566.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
