;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
1995.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;89.0;;22.0;16.0;17.0;11.0;261.0;;;;;;25.0;-21.0;1.0;5.0;21.0;;;73.0;;;;;73.0;73.0;2.0;1.0;4.0;24.43;17.91;1.0;19.42;7.0;12.11;0.04;0.04;261.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.0;4.0;;;4.0;;-0.0;;;6.0;-4.0;;;;-16.0;;;;;1.0;;87.0;82.0;;1.27;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;120.0;;29.0;19.0;19.0;13.0;261.0;;;;;;3.0;-39.0;40.0;4.0;-18.0;;;101.0;;;;;101.0;101.0;2.0;2.0;8.0;23.96;15.88;0.0;15.94;6.0;10.63;0.05;0.05;261.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.0;8.0;;;-12.0;;-1.0;;;-5.0;-21.0;13.0;;;-31.0;-13.0;7.0;;;45.0;;28.0;24.0;;1.17;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;250.0;;94.0;61.0;66.0;49.0;238.0;;;;;;99.0;-119.0;31.0;11.0;15.0;;;189.0;;;;;189.0;189.0;7.0;1.0;27.0;37.8;24.27;6.0;26.5;17.0;19.63;0.21;0.21;237.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.0;27.0;;;17.0;;-2.0;;;6.0;-85.0;;;;-34.0;-47.0;89.0;;;-11.0;;63.0;52.0;;1.08;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;319.0;155.0;121.0;73.0;82.0;62.0;258.0;;;;;;134.0;-115.0;86.0;14.0;17.0;163.0;48.7;245.0;;43.0;43.0;;203.0;409.0;;;39.0;37.87;22.94;9.0;25.63;20.0;19.43;0.24;0.24;257.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.0;39.0;;;21.0;;-7.0;;;12.0;-117.0;;;;1.0;-85.0;68.0;;;103.0;;18.0;4.0;;1.08;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;354.0;169.0;45.0;80.0;86.0;69.0;263.0;;;;;;143.0;-147.0;205.0;205.0;-5.0;185.0;47.64;274.0;;46.0;46.0;;227.0;459.0;;;-42.0;12.59;22.71;6.0;24.34;17.0;19.59;0.27;0.26;262.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.0;-42.0;;;-3.0;;;;;118.0;-148.0;;;;1.0;;117.0;-4.0;;93.0;;;;;0.96;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;428.0;208.0;58.0;100.0;108.0;92.0;279.0;;;;;;202.0;-313.0;355.0;34.0;-111.0;220.0;48.53;328.0;;53.0;53.0;;274.0;548.0;;;-50.0;13.58;23.39;8.0;25.32;17.0;21.44;0.33;0.33;275.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92.0;-50.0;;;50.0;;-2.0;;;110.0;-313.0;;;;0.0;-10.0;113.0;-4.0;;257.0;;545.0;511.0;;0.88;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;544.0;386.0;99.0;142.0;150.0;131.0;289.0;;;;;;291.0;-346.0;287.0;18.0;-55.0;159.0;70.86;402.0;;191.0;191.0;;211.0;561.0;;;-51.0;18.18;26.11;8.0;27.62;19.0;24.1;0.46;0.45;284.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131.0;-51.0;;;96.0;;-1.0;;;115.0;-346.0;;;;0.0;-24.0;164.0;;;148.0;;72.0;54.0;;0.87;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;920.0;372.0;205.0;288.0;289.0;262.0;299.0;1217.0;2695.0;412.0;1338.0;1356.0;383.0;-513.0;313.0;-1.0;-130.0;548.0;40.45;750.0;;235.0;235.0;;515.0;1298.0;;;-84.0;22.29;31.27;1.0;31.4;27.0;28.41;0.89;0.88;294.0;;1158.0;;1158.0;;25.0;34.0;1477.0;;;;;;;1477.0;;67.0;71.0;;;275.0;845.0;;;80.0;926.0;;;;10.0;741.0;;605.0;2695.0;;2695.0;;262.0;-84.0;;;122.0;;;;;84.0;-513.0;;;;0.0;-49.0;0.0;;;362.0;;1072.0;1073.0;;1.09;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1323.0;397.0;153.0;309.0;281.0;254.0;298.0;1623.0;3619.0;600.0;1827.0;1792.0;569.0;-408.0;151.0;-63.0;161.0;926.0;30.01;1222.0;;385.0;385.0;;837.0;2148.0;;;-128.0;11.6;23.39;-28.0;21.27;27.0;19.23;0.86;0.85;295.0;;1548.0;;1548.0;;33.0;42.0;1996.0;;55.0;55.0;;;-55.0;1996.0;;84.0;99.0;;;417.0;1075.0;;;153.0;1228.0;;;;12.0;1090.0;-502.0;1192.0;3619.0;;3619.0;;254.0;-128.0;;;131.0;;-5.0;;;312.0;-408.0;-40.0;;;40.0;-88.0;9.0;;;230.0;;1550.0;1613.0;;1.23;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1733.0;492.0;253.0;427.0;384.0;346.0;298.0;2187.0;4939.0;852.0;2699.0;2239.0;688.0;-800.0;606.0;606.0;-115.0;1240.0;28.42;1579.0;;481.0;481.0;;1098.0;2820.0;;;-130.0;14.62;24.65;-44.0;22.14;38.0;19.96;1.17;1.16;296.0;;2092.0;;2092.0;;36.0;59.0;2752.0;;39.0;39.0;;;-39.0;2752.0;;119.0;167.0;;;565.0;1677.0;;;170.0;1847.0;;;;13.0;1493.0;-575.0;1309.0;4939.0;;4939.0;;346.0;-130.0;;;24.0;;;;;448.0;-803.0;;;;3.0;-114.0;7.0;;;713.0;;;;;1.3;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;2051.0;674.0;561.0;455.0;411.0;372.0;301.0;2489.0;5616.0;1025.0;3202.0;2414.0;740.0;-409.0;356.0;686.0;78.0;1377.0;32.88;1654.0;;282.0;282.0;;1372.0;3031.0;;;151.0;27.37;22.16;-44.0;20.02;39.0;18.12;1.24;1.23;299.0;;1744.0;;1744.0;;4.0;741.0;3070.0;;57.0;57.0;;;1.0;3127.0;;96.0;186.0;154.0;;743.0;1847.0;;154.0;175.0;2177.0;;;;12.0;1779.0;-448.0;1072.0;5616.0;;5616.0;;372.0;151.0;;;14.0;;-1.0;;;204.0;-662.0;;;;253.0;-150.0;37.0;;;469.0;-0.0;1744.0;1057.0;;1.21;5.66;1.03;0.22;;1.83;6.66;299.0;23.6;1.3;;1693.0;22.2;124.0;307.0;9.5;18.1;1208.0;1524.0;1992.0;8.1;7.3;15.4;100.0;-47.5;1.212
2007.0;2988.0;932.0;794.0;630.0;602.0;582.0;304.0;3145.0;7602.0;1493.0;4210.0;3393.0;1162.0;-1547.0;261.0;-124.0;501.0;2056.0;31.18;2436.0;;679.0;376.0;303.0;1757.0;4492.0;;;192.0;26.58;21.09;-28.0;20.16;21.0;19.47;1.93;1.92;301.0;;1799.0;862.0;2661.0;;3.0;481.0;3853.0;;63.0;63.0;-320.0;;862.0;4458.0;;73.0;314.0;28.0;;1106.0;2327.0;;202.0;188.0;2717.0;;;;13.0;2545.0;-682.0;1516.0;7602.0;;7602.0;;582.0;192.0;;;117.0;;1.0;;;271.0;-661.0;;-886.0;;1.0;-207.0;15.0;;;453.0;;1799.0;1922.0;;1.34;7.43;1.45;1.24;;1.64;8.43;301.0;24.5;1.4;;2237.0;21.1;144.0;436.0;3.4;19.5;1237.0;1742.0;2540.0;9.5;7.9;17.2;100.0;-3.0;1.336
2008.0;4281.0;1794.0;1123.0;847.0;692.0;616.0;297.0;3765.0;9981.0;2456.0;6034.0;3947.0;1110.0;-1092.0;178.0;196.0;-368.0;2486.0;41.92;947.0;;27.0;;27.0;920.0;3434.0;132.0;153.0;278.0;26.23;19.79;-155.0;16.17;76.0;14.4;2.09;2.07;295.0;;2961.0;16.0;2977.0;;3.0;785.0;5650.0;;74.0;74.0;475.0;;16.0;6216.0;;204.0;579.0;;;1674.0;2997.0;;234.0;348.0;3578.0;;;;15.0;3155.0;-984.0;1761.0;9981.0;;9981.0;;616.0;278.0;;17.0;71.0;;1.0;;;128.0;-1478.0;;-92.0;294.0;-1295.0;-382.0;13.0;-473.0;;1020.0;;2320.0;2124.0;;1.58;9.2;1.33;-0.79;;3.18;8.49;295.0;17.2;0.8;;2714.0;19.8;176.0;391.0;11.0;14.4;830.0;1900.0;2502.0;10.0;8.5;15.6;100.0;-125.0;1.577
2009.0;3898.0;1073.0;273.0;123.0;-239.0;-224.0;288.0;3370.0;8465.0;1828.0;5251.0;3213.0;547.0;-515.0;116.0;149.0;-383.0;2825.0;27.53;951.0;;17.0;;17.0;934.0;3776.0;100.0;173.0;339.0;7.01;3.15;-362.0;-6.13;-15.0;-5.75;-0.78;-0.78;288.0;;2098.0;707.0;2805.0;;3.0;562.0;4830.0;;;62.0;-583.0;;786.0;5095.0;;176.0;269.0;1.0;;1383.0;3050.0;;206.0;167.0;3424.0;;;;12.0;2356.0;-864.0;1709.0;8465.0;;8465.0;;-224.0;339.0;;5.0;144.0;;-0.0;;;284.0;-930.0;;-6.0;5.0;-514.0;-433.0;2.0;-61.0;;608.0;;2098.0;1949.0;;1.33;10.2;-0.59;-1.0;;2.44;8.41;288.0;-38.8;-0.5;;2942.0;3.1;256.0;-169.0;6.3;-5.8;1164.0;2302.0;2425.0;-0.9;-0.8;-7.0;100.0;;1.325
2010.0;4038.0;1510.0;876.0;543.0;461.0;413.0;289.0;4139.0;10220.0;2094.0;6371.0;3849.0;1178.0;-2093.0;773.0;-142.0;-171.0;2528.0;37.39;966.0;;196.0;;196.0;771.0;3494.0;32.0;97.0;318.0;21.7;13.46;-83.0;11.41;48.0;10.22;1.43;1.43;288.0;;1997.0;1879.0;3876.0;;3.0;260.0;5829.0;;;63.0;-1722.0;;1909.0;6080.0;;208.0;359.0;1.0;;1527.0;3820.0;;270.0;187.0;4277.0;;;;13.0;2815.0;-1131.0;2152.0;10220.0;;10220.0;;413.0;318.0;;7.0;377.0;;-1.0;;;64.0;-1348.0;;-1168.0;302.0;-1228.0;-311.0;20.0;;;1065.0;;1997.0;2139.0;;1.35;10.38;1.06;-0.44;;3.47;9.89;288.0;22.9;1.1;;2988.0;13.5;235.0;305.0;10.5;10.2;1514.0;2827.0;2849.0;6.2;5.5;10.7;100.0;11.5;1.351
2011.0;5141.0;1837.0;1123.0;692.0;596.0;531.0;291.0;4926.0;12176.0;2602.0;7992.0;4184.0;1114.0;-671.0;337.0;780.0;-157.0;3305.0;35.72;1145.0;;219.0;;219.0;926.0;4450.0;39.0;133.0;393.0;21.83;13.45;-95.0;11.6;66.0;10.32;1.83;1.83;290.0;;2873.0;1232.0;4105.0;;4.0;818.0;6989.0;;;66.0;-1070.0;;1265.0;7250.0;;214.0;477.0;;;1912.0;4872.0;179.0;379.0;-41.0;5390.0;;;;13.0;2787.0;-1579.0;2962.0;12176.0;;12176.0;;531.0;393.0;;5.0;137.0;;-0.0;;;48.0;-1271.0;;;564.0;-1236.0;-398.0;39.0;;-708.0;1404.0;;2873.0;2093.0;;1.42;12.53;1.29;-0.38;1.73;3.1;10.2;290.0;19.6;1.2;6.8;3630.0;13.5;278.0;375.0;11.0;10.3;1640.0;3439.0;2954.0;6.8;6.0;12.7;-33.5;-426.1;1.417
2012.0;5858.0;1178.0;1403.0;912.0;845.0;748.0;288.0;5172.0;12010.0;2422.0;7598.0;4412.0;1361.0;-247.0;-207.0;907.0;938.0;4679.0;20.12;267.0;;240.0;;240.0;27.0;4946.0;59.0;146.0;413.0;23.95;15.56;-67.0;14.42;97.0;12.76;2.6;2.6;287.0;;3614.0;1030.0;4644.0;;4.0;524.0;6572.0;;62.0;62.0;-831.0;;1035.0;6838.0;;242.0;492.0;305.0;;1688.0;4346.0;195.0;426.0;209.0;5176.0;;;;12.0;3202.0;-1779.0;2977.0;12010.0;;12010.0;;748.0;413.0;;-1.0;137.0;;-0.0;;;65.0;-424.0;;;;-247.0;-440.0;9.0;-166.0;;390.0;;3614.0;2706.0;;1.33;15.28;1.95;2.45;;1.11;11.51;287.0;15.0;1.0;;4390.0;15.6;309.0;560.0;11.5;12.8;2061.0;3257.0;3307.0;9.1;8.2;16.9;100.0;16.7;1.334
