;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ILS/USD)
2009.0;1603.0;609.0;608.0;449.0;402.0;301.0;155.0;477.0;1483.0;505.0;965.0;517.0;462.0;-193.0;-231.0;38.0;263.0;994.0;37.98;160.0;;174.0;73.0;100.0;-13.0;1154.0;7.0;54.0;152.0;37.93;27.98;-46.0;25.09;101.0;18.77;1.96;1.94;154.0;;87.0;;87.0;344.0;42.0;4.0;544.0;;332.0;332.0;;4.0;126.0;1006.0;;205.0;198.0;5.0;15.0;87.0;364.0;;;97.0;460.0;;;;1.0;-45.0;-163.0;725.0;1483.0;;1483.0;;301.0;152.0;17.0;6.0;-55.0;-60.0;-9.0;7.0;2.0;42.0;-200.0;;;6.0;-61.0;-154.0;;;-260.0;183.0;;87.0;49.0;;0.26;39.53;7.42;6.48;6.41;4.92;12.76;154.0;2.3;0.0;37.0;6079.0;28.0;577.0;1141.0;25.2;18.8;-108.0;1379.0;1962.0;34.9;30.7;58.2;13.6;99.0;0.264
2010.0;1893.0;732.0;691.0;528.0;476.0;353.0;156.0;519.0;1596.0;518.0;1419.0;178.0;555.0;-138.0;-420.0;-2.0;423.0;1161.0;38.67;205.0;;169.0;112.0;57.0;36.0;1366.0;0.0;24.0;190.0;36.47;27.87;-51.0;25.16;124.0;18.62;2.28;2.26;155.0;;91.0;;91.0;398.0;29.0;2.0;584.0;;306.0;306.0;;;188.0;1077.0;;239.0;178.0;3.0;14.0;86.0;876.0;;1.0;24.0;901.0;;;;1.0;-35.0;-274.0;486.0;1596.0;;1596.0;;353.0;190.0;5.0;7.0;-55.0;-61.0;16.0;-1.0;-4.0;56.0;-132.0;;;1.0;-37.0;-215.0;;;-343.0;138.0;;91.0;93.0;;0.28;43.12;8.03;9.64;7.81;3.01;4.04;155.0;2.4;0.1;40.3;6674.0;27.9;669.0;1243.0;26.0;18.6;4.0;3088.0;626.0;34.4;31.4;198.6;2.7;81.0;0.284
2011.0;1835.0;530.0;477.0;272.0;195.0;116.0;156.0;605.0;1858.0;495.0;1747.0;111.0;412.0;-284.0;-72.0;55.0;280.0;1305.0;28.87;235.0;;208.0;42.0;166.0;27.0;1540.0;87.0;87.0;195.0;25.98;14.8;-77.0;10.6;78.0;6.33;0.75;0.74;156.0;;139.0;;139.0;412.0;42.0;11.0;538.0;107.0;338.0;445.0;;8.0;262.0;1253.0;;239.0;131.0;;14.0;112.0;1225.0;;4.0;22.0;1251.0;;;;1.0;-85.0;-354.0;551.0;1858.0;;1858.0;;116.0;195.0;1.0;5.0;-151.0;-50.0;-15.0;9.0;-79.0;246.0;-132.0;-157.0;;;-36.0;-372.0;;;-173.0;472.0;;139.0;84.0;;0.26;44.99;2.85;6.85;4.24;3.24;2.73;156.0;5.2;0.3;28.7;6998.0;14.8;743.0;443.0;40.3;6.3;419.0;4673.0;425.0;12.3;15.2;104.2;-48.8;61.8;0.262
2012.0;1491.0;412.0;409.0;231.0;169.0;128.0;156.0;567.0;1717.0;408.0;1519.0;198.0;456.0;-126.0;-326.0;4.0;322.0;1079.0;27.66;211.0;;187.0;39.0;147.0;24.0;1289.0;31.0;53.0;187.0;27.42;15.52;-63.0;11.32;41.0;8.58;0.82;0.82;156.0;;147.0;;147.0;388.0;26.0;6.0;533.0;109.0;326.0;435.0;;10.0;173.0;1150.0;;250.0;82.0;;11.0;65.0;1085.0;;2.0;24.0;1111.0;;;;1.0;-3.0;-437.0;637.0;1717.0;;1717.0;;128.0;187.0;38.0;3.0;72.0;125.0;17.0;-48.0;-11.0;28.0;-134.0;;;5.0;-33.0;-228.0;;;-45.0;-54.0;;147.0;142.0;;0.27;35.79;3.07;7.74;1.07;3.21;4.76;156.0;1.9;0.1;18.0;5572.0;15.5;700.0;478.0;24.2;8.6;595.0;4054.0;741.0;12.8;12.9;64.5;65.1;13.9;0.268
2013.0;1301.0;291.0;299.0;118.0;57.0;39.0;156.0;490.0;1580.0;396.0;1329.0;252.0;443.0;-143.0;-319.0;-19.0;304.0;1011.0;22.33;196.0;;170.0;37.0;133.0;26.0;1206.0;24.0;50.0;193.0;22.99;9.05;-61.0;4.38;18.0;2.99;0.25;0.25;156.0;;139.0;;139.0;317.0;27.0;9.0;516.0;117.0;336.0;453.0;;3.0;117.0;1090.0;;219.0;96.0;9.0;11.0;70.0;906.0;;;26.0;933.0;;;;1.0;35.0;-501.0;717.0;1580.0;;1580.0;;39.0;193.0;7.0;1.0;133.0;163.0;1.0;-33.0;-4.0;69.0;-139.0;;-7.0;;-42.0;-267.0;;;;-52.0;;139.0;158.0;;0.29;29.03;0.87;6.79;;3.1;5.61;156.0;8.2;0.5;;4519.0;9.1;669.0;135.0;31.8;3.0;329.0;3147.0;874.0;6.1;6.7;15.4;100.0;;0.288
2014.0;1128.0;252.0;261.0;103.0;62.0;42.0;156.0;466.0;1409.0;355.0;1143.0;266.0;244.0;-111.0;-87.0;47.0;133.0;877.0;22.3;162.0;;144.0;32.0;112.0;17.0;1038.0;13.0;32.0;167.0;23.09;9.09;-41.0;5.48;20.0;3.68;0.27;0.27;156.0;;170.0;;170.0;252.0;35.0;9.0;426.0;104.0;277.0;381.0;;4.0;133.0;943.0;;206.0;79.0;10.0;9.0;61.0;760.0;;1.0;26.0;788.0;;;;1.0;73.0;-473.0;665.0;1409.0;;1409.0;;42.0;167.0;18.0;2.0;-12.0;-7.0;-12.0;11.0;-8.0;27.0;-111.0;;-1.0;;-36.0;-105.0;;;;18.0;;170.0;123.0;;0.26;28.24;1.04;3.33;;2.77;6.67;156.0;7.5;0.4;;4400.0;9.1;652.0;162.0;32.8;3.7;432.0;2966.0;1039.0;6.0;6.6;15.6;100.0;;0.256
2015.0;1055.0;164.0;190.0;27.0;-9.0;-10.0;156.0;561.0;1419.0;453.0;1157.0;262.0;237.0;-91.0;-78.0;68.0;145.0;891.0;15.54;149.0;;142.0;35.0;107.0;7.0;1040.0;12.0;35.0;165.0;18.02;2.6;-37.0;-0.88;1.0;-0.97;-0.07;-0.07;156.0;;238.0;;238.0;284.0;31.0;8.0;363.0;104.0;245.0;350.0;;13.0;132.0;858.0;;184.0;142.0;13.0;63.0;64.0;654.0;28.0;;22.0;704.0;;;;1.0;69.0;-446.0;639.0;1419.0;;1419.0;;-10.0;165.0;-2.0;4.0;31.0;-47.0;5.0;-1.0;78.0;49.0;-92.0;-0.0;;;-36.0;-216.0;;;;138.0;;238.0;170.0;;0.26;26.34;-0.26;3.61;;2.3;6.54;156.0;-14.4;-0.7;;4111.0;2.6;641.0;-40.0;-11.1;-1.0;420.0;2547.0;1020.0;3.0;1.8;-3.9;100.0;;0.257
2016.0;918.0;161.0;196.0;50.0;23.0;13.0;158.0;606.0;1346.0;416.0;1058.0;288.0;245.0;-166.0;-134.0;-54.0;194.0;757.0;17.49;122.0;;151.0;41.0;110.0;-29.0;880.0;11.0;27.0;146.0;21.39;5.45;-27.0;2.48;9.0;1.47;0.09;0.09;158.0;;185.0;117.0;303.0;271.0;25.0;7.0;313.0;105.0;205.0;311.0;;11.0;106.0;740.0;;176.0;129.0;12.0;46.0;65.0;569.0;51.0;;23.0;642.0;;;;1.0;93.0;-434.0;628.0;1346.0;;1346.0;;13.0;146.0;10.0;12.0;36.0;59.0;6.0;-10.0;-16.0;27.0;-51.0;;-117.0;-117.0;102.0;-170.0;;;;37.0;;185.0;240.0;;0.26;22.49;0.33;4.75;;1.24;7.05;158.0;14.2;0.6;;3544.0;5.4;565.0;52.0;40.9;1.5;732.0;2196.0;1111.0;3.2;3.7;4.7;100.0;;0.259
2017.0;939.0;184.0;243.0;90.0;39.0;33.0;165.0;577.0;1355.0;520.0;943.0;412.0;279.0;-21.0;-215.0;43.0;171.0;754.0;19.61;103.0;;112.0;35.0;77.0;-9.0;857.0;8.0;49.0;155.0;25.89;9.64;-52.0;4.13;6.0;3.49;0.2;0.2;163.0;;249.0;43.0;292.0;246.0;27.0;12.0;339.0;117.0;200.0;317.0;;16.0;106.0;778.0;;226.0;202.0;14.0;21.0;71.0;350.0;47.0;;26.0;423.0;;;;1.0;141.0;-501.0;772.0;1355.0;;1355.0;;33.0;155.0;5.0;6.0;32.0;81.0;1.0;20.0;-72.0;49.0;-108.0;;;87.0;-43.0;-510.0;55.0;;;240.0;;249.0;206.0;;0.29;20.08;0.7;3.67;;2.31;8.81;163.0;7.7;0.3;;3268.0;9.6;540.0;114.0;15.6;3.5;198.0;1218.0;1434.0;8.9;6.5;7.9;100.0;-31.8;0.287
2018.0;871.0;149.0;175.0;31.0;17.0;15.0;168.0;335.0;1063.0;308.0;687.0;376.0;167.0;-94.0;-194.0;-121.0;33.0;722.0;17.15;118.0;;91.0;68.0;23.0;27.0;840.0;7.0;13.0;146.0;20.13;3.56;-14.0;1.93;2.0;1.75;0.09;0.09;168.0;;111.0;;111.0;184.0;26.0;14.0;324.0;109.0;165.0;274.0;;10.0;120.0;728.0;;190.0;43.0;9.0;19.0;55.0;322.0;36.0;;22.0;380.0;;;;1.0;151.0;-448.0;673.0;1063.0;;1063.0;;15.0;146.0;5.0;4.0;-31.0;33.0;-1.0;-18.0;-40.0;28.0;-134.0;-1.0;;40.0;-41.0;-189.0;;-27.0;;22.0;;111.0;232.0;;0.27;19.44;0.34;0.73;;2.99;8.39;168.0;13.7;0.6;;3259.0;3.6;545.0;57.0;11.1;1.7;104.0;1204.0;1406.0;3.5;2.8;4.1;100.0;81.3;0.267
2019.0;936.0;153.0;232.0;25.0;5.0;5.0;164.0;482.0;1451.0;431.0;1041.0;410.0;242.0;-342.0;66.0;-34.0;60.0;783.0;16.3;130.0;;92.0;66.0;26.0;38.0;914.0;1.0;17.0;209.0;24.8;2.69;-20.0;0.59;;0.59;0.03;0.03;163.0;;87.0;160.0;246.0;192.0;36.0;8.0;582.0;118.0;156.0;273.0;;12.0;102.0;970.0;;207.0;144.0;9.0;22.0;58.0;550.0;30.0;;31.0;610.0;;179.0;;1.0;167.0;-528.0;771.0;1451.0;;1451.0;;5.0;209.0;1.0;5.0;-4.0;12.0;-8.0;18.0;-29.0;25.0;-182.0;-1.0;-160.0;;-47.0;-96.0;;;;162.0;;87.0;120.0;;0.29;19.86;0.12;1.28;;3.86;8.7;163.0;37.3;1.5;;3234.0;2.7;723.0;19.0;;0.6;175.0;1899.0;1417.0;2.2;1.6;1.3;100.0;;0.289
2020.0;991.0;163.0;252.0;30.0;8.0;5.0;183.0;465.0;1593.0;415.0;1057.0;536.0;244.0;-181.0;-40.0;24.0;66.0;828.0;16.46;136.0;;89.0;62.0;26.0;47.0;963.0;8.0;22.0;222.0;25.46;3.01;-21.0;0.85;3.0;0.53;0.03;0.03;182.0;;117.0;128.0;245.0;188.0;24.0;8.0;671.0;126.0;162.0;288.0;48.0;9.0;112.0;1128.0;;207.0;127.0;8.0;41.0;39.0;586.0;22.0;;34.0;643.0;;218.0;;1.0;188.0;-499.0;845.0;1593.0;;1593.0;;5.0;222.0;4.0;4.0;-8.0;25.0;15.0;-18.0;-16.0;18.0;-178.0;;-4.0;;-49.0;-249.0;86.0;;;123.0;;117.0;93.0;;0.31;17.49;0.09;1.17;;3.14;9.45;182.0;46.4;1.2;;3189.0;3.0;714.0;17.0;37.0;0.5;162.0;1887.0;1723.0;1.6;1.9;1.0;100.0;-129.6;0.311
2021.0;1081.0;203.0;283.0;52.0;32.0;37.0;182.0;479.0;1734.0;457.0;1136.0;598.0;249.0;-234.0;-37.0;-22.0;33.0;878.0;18.76;157.0;;105.0;77.0;28.0;52.0;1035.0;8.0;22.0;229.0;26.17;4.85;-21.0;2.94;-5.0;3.42;0.2;0.2;182.0;;99.0;111.0;210.0;199.0;28.0;42.0;747.0;131.0;152.0;283.0;90.0;11.0;125.0;1255.0;;227.0;126.0;11.0;29.0;76.0;644.0;13.0;;23.0;679.0;;231.0;;1.0;239.0;;358.0;1734.0;;1734.0;;37.0;229.0;3.0;5.0;-50.0;-8.0;-3.0;1.0;-26.0;24.0;-216.0;;-19.0;;-48.0;-135.0;;;;98.0;;99.0;121.0;;0.32;18.44;0.63;0.56;;3.69;10.2;182.0;7.9;0.3;;3363.0;4.8;713.0;115.0;-16.2;3.4;67.0;2003.0;1859.0;4.9;3.1;6.2;100.0;;0.322
