;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
2005.0;621.0;439.0;90.0;87.0;48.0;30.0;421.0;517.0;973.0;299.0;907.0;66.0;142.0;-34.0;-111.0;-0.0;142.0;182.0;70.65;363.0;;314.0;314.0;;49.0;545.0;4.0;10.0;32.0;14.51;14.04;-39.0;7.79;18.0;4.87;0.07;0.07;421.0;;27.0;1.0;28.0;175.0;296.0;18.0;221.0;139.0;58.0;196.0;3.0;36.0;;456.0;;84.0;123.0;;;93.0;225.0;;50.0;333.0;608.0;;;;83.0;30.0;-47.0;;973.0;0.0;973.0;;30.0;32.0;18.0;;62.0;;7.0;;;-0.0;;;;;-34.0;;;;-3.0;-108.0;3.0;27.0;27.0;;1.18;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;856.0;588.0;133.0;133.0;84.0;60.0;430.0;625.0;1206.0;373.0;720.0;486.0;65.0;-126.0;67.0;5.0;65.0;268.0;68.68;474.0;;413.0;413.0;;61.0;743.0;6.0;11.0;39.0;15.51;15.49;-49.0;9.79;24.0;7.0;0.14;0.14;430.0;;35.0;8.0;44.0;249.0;311.0;21.0;244.0;199.0;80.0;279.0;3.0;55.0;;581.0;;108.0;183.0;;;82.0;262.0;;61.0;24.0;347.0;;;;141.0;60.0;285.0;;1205.0;1.0;1206.0;;60.0;39.0;24.0;;-44.0;;10.0;;;-13.0;;-80.0;;;-46.0;;;;-9.0;76.0;-1.0;35.0;30.0;;1.32;1.51;0.11;0.11;0.02;;0.86;430.0;;;;649.0;15.5;29.0;45.0;28.1;7.0;191.0;198.0;368.0;8.1;7.8;12.3;84.6;14.3;1.32
2007.0;1026.0;764.0;239.0;214.0;180.0;128.0;490.0;723.0;1371.0;462.0;810.0;559.0;129.0;-103.0;-56.0;-31.0;129.0;262.0;74.49;513.0;;438.0;438.0;;75.0;775.0;4.0;14.0;46.0;23.33;20.81;-33.0;17.57;51.0;12.48;0.26;0.26;490.0;;8.0;10.0;19.0;292.0;395.0;17.0;294.0;219.0;83.0;303.0;2.0;50.0;;648.0;;112.0;268.0;6.0;;81.0;276.0;7.0;64.0;1.0;348.0;;14.0;;155.0;;125.0;278.0;1369.0;1.0;1371.0;;128.0;46.0;51.0;;-59.0;;-66.0;;;-37.0;;-25.0;;;-78.0;;;;-19.0;-37.0;-1.0;8.0;39.0;;1.46;1.44;0.18;0.18;0.03;;0.78;490.0;;;;703.0;20.8;32.0;88.0;28.5;12.5;179.0;189.0;383.0;15.2;14.1;22.9;85.4;14.4;1.459
2008.0;1138.0;893.0;304.0;284.0;241.0;170.0;487.0;876.0;1650.0;444.0;977.0;671.0;103.0;-183.0;82.0;1.0;103.0;246.0;78.43;573.0;;490.0;490.0;;84.0;819.0;3.0;18.0;46.0;26.75;24.92;-43.0;21.16;70.0;14.95;0.35;0.35;487.0;;9.0;9.0;18.0;324.0;522.0;12.0;421.0;222.0;81.0;302.0;3.0;48.0;;774.0;;139.0;212.0;23.0;;93.0;453.0;3.0;73.0;4.0;533.0;;17.0;;149.0;;228.0;294.0;1648.0;2.0;1650.0;;170.0;46.0;70.0;;-121.0;;-138.0;;;-63.0;;-1.0;;;-182.0;;;;-49.0;130.0;-0.0;9.0;8.0;;1.4;1.67;0.25;0.15;0.07;;0.99;487.0;;;;814.0;24.9;33.0;122.0;29.1;14.9;309.0;324.0;480.0;15.2;15.7;25.4;71.4;47.4;1.398
2009.0;1307.0;1061.0;367.0;324.0;292.0;212.0;484.0;1438.0;2373.0;428.0;1544.0;811.0;126.0;-195.0;417.0;348.0;-44.0;246.0;81.16;739.0;;632.0;580.0;52.0;107.0;985.0;9.0;18.0;57.0;28.07;24.81;-32.0;22.34;81.0;16.2;0.44;0.44;484.0;;357.0;12.0;369.0;365.0;694.0;11.0;532.0;249.0;99.0;348.0;6.0;48.0;;934.0;;173.0;163.0;5.0;;92.0;1007.0;;86.0;23.0;1116.0;;16.0;;;212.0;322.0;;2355.0;17.0;2373.0;;212.0;57.0;;;-149.0;;-162.0;;;7.0;-170.0;-22.0;;;-25.0;-259.0;74.0;-36.0;-116.0;753.0;-0.0;357.0;9.0;;1.43;1.89;0.31;-0.06;0.17;0.25;1.17;484.0;;;;913.0;24.8;40.0;148.0;27.7;16.2;706.0;703.0;566.0;11.7;13.2;26.1;45.3;-177.4;1.432
2010.0;1325.0;1021.0;317.0;281.0;211.0;155.0;492.0;1531.0;2527.0;566.0;1581.0;927.0;139.0;-139.0;-39.0;-13.0;1.0;305.0;77.03;743.0;;632.0;584.0;48.0;111.0;1047.0;4.0;45.0;61.0;23.94;21.16;-69.0;15.93;57.0;11.66;0.31;0.31;492.0;;321.0;17.0;338.0;379.0;706.0;108.0;581.0;253.0;105.0;358.0;11.0;47.0;;997.0;;215.0;256.0;6.0;;95.0;890.0;;106.0;19.0;1015.0;;11.0;;;155.0;472.0;;2508.0;19.0;2527.0;;155.0;61.0;;;-105.0;;-24.0;;;29.0;-138.0;-2.0;;1.0;-22.0;-160.0;;-2.0;-37.0;159.0;26.0;321.0;334.0;;1.34;2.01;0.23;0.0;0.06;0.21;1.41;492.0;;;;991.0;21.2;46.0;116.0;26.9;11.7;721.0;665.0;693.0;9.6;10.2;16.7;76.4;3356.7;1.338
2011.0;2324.0;1720.0;481.0;361.0;104.0;65.0;556.0;2497.0;7518.0;836.0;5363.0;2152.0;285.0;-2095.0;1909.0;131.0;78.0;604.0;74.01;1362.0;;1188.0;1136.0;52.0;174.0;1966.0;7.0;260.0;117.0;20.68;15.53;-257.0;4.46;39.0;2.8;0.12;0.12;556.0;;441.0;22.0;463.0;689.0;1334.0;12.0;1004.0;2453.0;1305.0;3758.0;9.0;241.0;9.0;5021.0;;363.0;191.0;6.0;;282.0;3637.0;;697.0;193.0;4526.0;;;;153.0;65.0;812.0;1123.0;7515.0;3.0;7518.0;;65.0;117.0;;;-66.0;;9.0;;;169.0;-207.0;-2103.0;;7.0;178.0;-1595.0;;-4.0;;3508.0;32.0;441.0;310.0;;1.29;3.23;0.09;0.11;;0.29;2.99;556.0;68.9;4.2;;1796.0;15.5;91.0;50.0;37.2;2.8;1283.0;2809.0;1663.0;3.4;4.8;3.0;100.0;4.7;1.294
2012.0;3458.0;1754.0;1017.0;871.0;512.0;339.0;685.0;2552.0;7425.0;782.0;4943.0;2476.0;669.0;-85.0;-403.0;175.0;450.0;1704.0;50.73;883.0;164.0;;;;719.0;2587.0;2.0;333.0;170.0;29.41;25.18;-359.0;14.8;175.0;9.79;0.49;0.49;685.0;;625.0;;625.0;583.0;1318.0;27.0;1069.0;2467.0;1279.0;3746.0;8.0;33.0;17.0;4872.0;;301.0;253.0;20.0;;228.0;3412.0;8.0;599.0;143.0;4161.0;;32.0;;1330.0;339.0;811.0;-4.0;7420.0;5.0;7425.0;;339.0;170.0;;;-58.0;;19.0;;;218.0;-219.0;-12.0;;41.0;79.0;-371.0;7.0;-7.0;;-32.0;-6.0;625.0;449.0;;1.32;3.82;0.37;0.5;;0.24;2.74;685.0;24.5;1.7;;2621.0;25.2;129.0;257.0;34.2;9.8;1342.0;2586.0;1877.0;8.4;11.4;13.7;100.0;0.0;1.319
2013.0;3769.0;1949.0;1161.0;1012.0;684.0;475.0;681.0;2941.0;8029.0;983.0;5132.0;2888.0;814.0;-324.0;-145.0;324.0;576.0;1820.0;51.71;937.0;169.0;;;;768.0;2757.0;7.0;296.0;177.0;30.81;26.85;-328.0;18.15;214.0;12.6;0.69;0.69;681.0;;974.0;;974.0;636.0;1302.0;29.0;1155.0;2514.0;1301.0;3815.0;54.0;48.0;16.0;5088.0;;376.0;346.0;21.0;10.0;251.0;3351.0;10.0;624.0;164.0;4149.0;;26.0;;1416.0;380.0;1092.0;;8020.0;8.0;8029.0;;475.0;177.0;;;55.0;;24.0;;;107.0;-238.0;-95.0;-15.0;;-24.0;-183.0;214.0;-166.0;-96.0;86.0;-21.0;974.0;651.0;;1.37;4.03;0.51;0.62;0.1;0.25;3.09;681.0;29.3;1.7;0.7;2742.0;26.8;128.0;346.0;31.3;12.6;1424.0;2438.0;2101.0;9.6;12.3;16.4;79.7;8.3;1.375
2014.0;4059.0;2056.0;1200.0;1038.0;713.0;569.0;685.0;3524.0;10222.0;1306.0;7000.0;3216.0;1184.0;-1840.0;1018.0;448.0;837.0;2003.0;50.64;1018.0;219.0;;;;799.0;3021.0;4.0;253.0;229.0;29.56;25.56;-324.0;17.57;148.0;14.01;0.83;0.83;685.0;;1305.0;;1305.0;736.0;1444.0;38.0;1388.0;3840.0;1292.0;5133.0;71.0;100.0;6.0;6698.0;;532.0;201.0;138.0;25.0;549.0;4925.0;8.0;652.0;109.0;5694.0;;21.0;;1246.0;465.0;1588.0;-84.0;10216.0;6.0;10222.0;;569.0;229.0;;;115.0;;-117.0;;;271.0;-347.0;-1494.0;-16.0;;-44.0;-4803.0;;-84.0;-189.0;6093.0;86.0;1305.0;857.0;;1.21;4.9;0.69;1.01;0.23;0.42;3.88;685.0;28.0;1.5;1.2;3355.0;25.6;189.0;470.0;20.8;14.0;1833.0;4072.0;2658.0;8.6;9.5;17.7;66.8;32.6;1.21
