;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2003.0;5.0;2.0;-0.0;-1.0;-1.0;-1.0;102.0;8.0;9.0;2.0;13.0;-4.0;2.0;-1.0;0.0;1.0;1.0;3.0;48.97;4.0;1.0;3.0;;;0.0;6.0;;;1.0;-9.86;-22.91;0.0;-21.89;;-21.89;-0.01;-0.01;102.0;;8.0;;8.0;0.0;;0.0;1.0;;;;;;;1.0;;;;;1.0;1.0;;;;11.0;11.0;22.0;;;;-7.0;-1.0;;9.0;;9.0;;-1.0;1.0;;;1.0;;;;;1.0;-1.0;;;;-0.0;;0.0;;;;;8.0;7.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;14.0;10.0;3.0;1.0;2.0;1.0;281.0;26.0;32.0;7.0;32.0;-0.0;7.0;-5.0;15.0;17.0;4.0;4.0;71.91;9.0;1.0;7.0;;;1.0;13.0;;;1.0;19.09;9.37;0.0;10.63;0.0;10.22;0.01;0.01;110.0;;24.0;;24.0;1.0;;0.0;4.0;;2.0;2.0;;;0.0;6.0;;;;;1.0;6.0;;;;26.0;26.0;;;;;-6.0;0.0;;32.0;-0.0;32.0;;1.0;1.0;;;2.0;;;;;2.0;-3.0;-1.0;;;-0.0;;15.0;;;;;24.0;8.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;5.0;2.0;-0.0;-1.0;-1.0;-1.0;102.0;116.0;141.0;16.0;16.0;125.0;2.0;-1.0;0.0;1.0;1.0;3.0;44.21;3.0;1.0;3.0;3.0;;;6.0;;;1.0;-9.85;-22.91;0.0;-21.9;;-21.9;-0.01;-0.01;102.0;;112.0;;112.0;3.0;;1.0;12.0;1.0;2.0;3.0;0.0;0.0;10.0;25.0;;;;1.0;10.0;7.0;;0.0;;;0.0;;;;0.0;0.0;-1.0;125.0;141.0;;141.0;;-1.0;1.0;;1.0;1.0;-0.0;;;1.0;;-1.0;;;;-0.0;;;;;0.0;;8.0;7.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;107.0;76.0;49.0;34.0;40.0;39.0;345.0;164.0;214.0;39.0;40.0;174.0;67.0;-38.0;4.0;30.0;48.0;31.0;70.7;42.0;10.0;32.0;;;;74.0;5.0;;9.0;45.89;31.38;6.0;36.93;2.0;36.02;0.12;0.11;333.0;;146.0;11.0;157.0;4.0;;2.0;25.0;6.0;6.0;12.0;;1.0;13.0;50.0;;;;5.0;19.0;20.0;;0.0;;1.0;1.0;;;;0.0;39.0;-4.0;139.0;214.0;;214.0;;39.0;9.0;;6.0;14.0;-0.0;;;9.0;-0.0;-19.0;-6.0;-11.0;;-5.0;;;;;4.0;-4.0;146.0;115.0;;0.13;2.52;0.91;1.13;;0.45;4.08;333.0;8.6;0.5;;838.0;31.4;70.0;302.0;4.0;36.0;978.0;;1357.0;22.1;18.8;22.2;100.0;;0.128
2007.0;239.0;150.0;109.0;75.0;84.0;86.0;347.0;236.0;364.0;86.0;87.0;277.0;128.0;-98.0;6.0;29.0;48.0;88.0;63.0;76.0;19.0;56.0;;;;164.0;7.0;;25.0;45.7;31.37;9.0;35.32;-2.0;36.06;0.25;0.25;339.0;;186.0;33.0;219.0;14.0;;3.0;93.0;7.0;19.0;26.0;2.0;2.0;4.0;127.0;;;;8.0;37.0;49.0;;0.0;;0.0;0.0;;;;0.0;128.0;-11.0;160.0;364.0;;364.0;;86.0;25.0;-1.0;5.0;14.0;-6.0;;;10.0;-1.0;-80.0;-2.0;-16.0;;-2.0;;;;;6.0;-7.0;185.0;156.0;;0.14;5.15;1.86;1.04;;1.72;5.97;339.0;11.0;0.6;;1744.0;31.4;181.0;629.0;-2.1;36.1;1094.0;;2021.0;31.1;23.2;31.1;100.0;;0.137
2008.0;123.0;87.0;56.0;39.0;45.0;44.0;347.0;418.0;577.0;125.0;125.0;453.0;65.0;-31.0;5.0;35.0;40.0;36.0;70.7;48.0;12.0;37.0;;;;84.0;6.0;;10.0;45.89;31.38;7.0;36.93;2.0;36.02;0.45;0.44;342.0;;348.0;44.0;392.0;17.0;;9.0;116.0;7.0;18.0;26.0;2.0;4.0;12.0;159.0;;;;12.0;62.0;62.0;;;;;;;;;0.0;290.0;-16.0;179.0;577.0;;577.0;;44.0;10.0;-0.0;7.0;4.0;-0.0;;;-2.0;-0.0;-24.0;-6.0;;;-6.0;;;;;5.0;-4.0;167.0;132.0;;0.15;2.45;0.88;0.8;;0.48;9.03;342.0;30.6;1.4;;838.0;31.4;70.0;302.0;4.0;36.0;2003.0;;3089.0;9.8;8.0;9.8;100.0;;0.147
2009.0;469.0;299.0;212.0;161.0;171.0;154.0;348.0;709.0;902.0;205.0;206.0;696.0;256.0;-97.0;-5.0;148.0;186.0;169.0;63.87;139.0;42.0;97.0;;;;308.0;7.0;;41.0;45.18;34.29;10.0;36.4;17.0;32.77;0.63;0.63;346.0;;617.0;56.0;673.0;32.0;;4.0;146.0;9.0;18.0;27.0;2.0;5.0;12.0;193.0;;;;22.0;95.0;110.0;1.0;;;;1.0;;;;0.0;504.0;-17.0;209.0;902.0;;902.0;;154.0;41.0;-2.0;12.0;49.0;-5.0;;;37.0;1.0;-70.0;;-112.0;85.0;-3.0;;;-10.0;;5.0;-6.0;346.0;198.0;;0.15;9.25;3.03;3.67;;1.38;13.75;346.0;9.4;0.1;;3198.0;34.3;281.0;1048.0;10.0;32.8;3443.0;4.0;4753.0;22.0;18.9;22.1;100.0;5.4;0.146
2010.0;1201.0;875.0;683.0;601.0;616.0;535.0;349.0;1332.0;1676.0;387.0;401.0;1275.0;713.0;-185.0;19.0;546.0;565.0;326.0;72.85;274.0;109.0;165.0;;;;600.0;10.0;;67.0;56.89;50.02;16.0;51.31;81.0;44.54;1.54;1.53;348.0;;1181.0;57.0;1238.0;65.0;;30.0;246.0;10.0;18.0;27.0;44.0;5.0;22.0;344.0;;;;45.0;173.0;214.0;13.0;1.0;;;14.0;;;;0.0;1057.0;-18.0;236.0;1676.0;;1676.0;;535.0;67.0;-11.0;14.0;113.0;-19.0;;;18.0;-5.0;-148.0;;-440.0;404.0;-2.0;;;;;19.0;-1.0;1181.0;634.0;;0.15;22.74;10.13;10.7;;2.8;24.15;348.0;7.6;0.4;;7915.0;50.0;441.0;3525.0;13.2;44.5;6231.0;86.0;8406.0;41.5;36.8;41.9;100.0;;0.152
2011.0;2304.0;1685.0;1384.0;1204.0;1241.0;1055.0;350.0;2518.0;3709.0;700.0;1115.0;2430.0;1300.0;-2264.0;385.0;-581.0;927.0;619.0;73.13;481.0;212.0;269.0;;;;1100.0;53.0;;141.0;60.08;52.25;37.0;53.85;189.0;45.78;3.02;3.02;349.0;;656.0;1597.0;2253.0;119.0;;146.0;436.0;384.0;148.0;532.0;117.0;8.0;98.0;1191.0;;72.0;30.0;;266.0;333.0;367.0;3.0;21.0;24.0;414.0;;8.0;;0.0;2162.0;-13.0;282.0;3545.0;164.0;3709.0;;1055.0;141.0;-10.0;24.0;94.0;-45.0;;;-49.0;-4.0;-372.0;-309.0;-1821.0;238.0;-75.0;;;;;385.0;-1.0;656.0;1237.0;;0.16;41.56;19.03;16.73;;6.71;43.83;349.0;6.9;0.4;;14501.0;52.2;885.0;6639.0;15.2;45.8;11442.0;2308.0;15292.0;37.1;35.1;43.4;100.0;;0.159
2012.0;3580.0;2545.0;2191.0;1774.0;1920.0;1678.0;350.0;5565.0;7330.0;1322.0;3128.0;4182.0;1925.0;-2207.0;1528.0;1244.0;1513.0;1035.0;71.09;771.0;370.0;401.0;106.0;296.0;;1806.0;139.0;17.0;243.0;61.21;49.54;147.0;53.64;253.0;46.88;4.79;4.79;349.0;;1907.0;3307.0;5214.0;201.0;;150.0;624.0;622.0;255.0;877.0;129.0;9.0;126.0;1765.0;;611.0;354.0;68.0;391.0;-34.0;1563.0;30.0;46.0;166.0;1806.0;;12.0;;0.0;3858.0;-13.0;336.0;7310.0;20.0;7330.0;;1678.0;243.0;-9.0;34.0;125.0;-54.0;;125.0;129.0;-146.0;-412.0;-132.0;-5329.0;3664.0;-35.0;-47.0;16.0;;;1558.0;-2.0;1907.0;662.0;;0.16;63.84;29.93;26.99;;7.35;74.57;349.0;4.0;0.3;;22306.0;49.5;1515.0;10456.0;13.2;46.9;26438.0;9738.0;26055.0;28.3;26.7;40.1;100.0;-1.1;0.161
