;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (PHP/USD)
2005.0;;;;;;;176.0;;;;;;;;;;;;94.44;;;;;;;;;;;62.35;39.33;;37.08;;32.9;;;171.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;184.0;;;;;;;;;;;;95.27;;;;;;;;;;;57.72;37.78;;34.36;;26.33;;;184.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;689.23;181.45;220.91;81.05;109.93;573.74;184.0;0.2;0.0;202.1;127082.0;37.8;28425.0;33455.0;20.7;26.3;-4298.0;69402.0;105788.0;17.4;17.2;31.6;55.3;36.6;
2007.0;;;;;;;192.0;;;;;;;;;;;;96.51;;;;;;;;;;;67.89;45.84;;41.88;;28.33;;;191.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;726.69;205.86;277.3;149.15;128.37;581.22;191.0;0.3;0.0;255.1;138576.0;45.8;28937.0;39257.0;32.4;28.3;1280.0;53333.0;110836.0;23.2;27.3;35.4;27.5;53.6;
2008.0;;;;;;;188.0;;;;;;;;;;;;96.39;;;;;;;;;;;58.43;45.5;;37.05;;23.98;;;188.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;776.6;186.26;286.46;197.62;130.48;562.07;188.0;0.3;0.0;340.8;146127.0;45.5;25122.0;35048.0;35.3;24.0;712.0;59030.0;105761.0;21.0;23.9;33.1;-6.1;78.8;
2009.0;;;;;;;187.0;;;;;;;;;;;;96.33;;;;;;;;;;;59.17;39.11;;37.06;;26.88;;;187.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;791.76;212.83;251.38;210.18;146.58;527.38;187.0;0.2;0.0;423.8;147993.0;39.1;27037.0;39781.0;26.9;26.9;-9551.0;86079.0;98575.0;21.5;21.7;40.4;1.2;87.3;
2010.0;;;;;;;187.0;;;;;;;;;;;;90.17;;;;;;;;;;;59.38;38.46;;37.16;;27.84;;;187.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;773.38;215.31;263.35;219.93;150.27;519.67;187.0;0.3;0.0;393.4;144459.0;38.5;26665.0;40217.0;25.0;27.8;-20617.0;75888.0;97069.0;22.7;21.3;41.4;-2.1;83.7;
2011.0;;;;;;;192.0;;;;;;;;;;;;81.85;;;;;;;;;;;48.7;35.25;;27.25;;20.24;;;191.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;818.33;165.63;254.21;217.37;159.7;793.4;191.0;0.3;0.0;399.5;156603.0;35.3;28221.0;31697.0;25.9;20.2;-46723.0;91280.0;151833.0;13.0;12.2;20.9;-31.2;85.5;
2012.0;;;;;;;216.0;;;;;;;;;;;;87.58;;;;;;;;;;;51.29;27.37;;26.15;;21.69;;;216.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;756.67;164.1;207.76;170.95;164.23;689.91;216.0;0.4;0.0;272.6;163484.0;27.4;33921.0;35454.0;18.7;21.7;-38846.0;102821.0;149060.0;14.2;12.2;23.8;-4.2;94.3;
2013.0;;;;;;;216.0;;;;;;;;;;;;86.68;;;;;;;;;;;48.36;28.73;;24.73;;21.04;;;216.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;779.11;163.94;208.54;174.97;132.87;634.78;216.0;0.4;0.0;258.5;168331.0;28.7;31532.0;35420.0;19.8;21.0;-61384.0;88930.0;137147.0;14.8;12.5;25.8;-6.7;83.9;
2014.0;;;;;;;216.0;;;;;;;;;;;;85.95;;;;;;;;;;;47.86;27.23;;25.82;;19.94;;;216.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;791.29;157.79;145.18;184.67;160.36;621.89;216.0;0.4;0.0;280.5;170962.0;27.2;32528.0;34091.0;22.8;19.9;-67653.0;115400.0;134364.0;13.0;11.3;25.4;-17.0;126.8;
2015.0;;;;;;;216.0;;;;;;;;;;;;84.26;;;;;;;;;;;38.21;24.27;;15.57;;12.9;;;216.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;791.94;102.13;123.21;150.57;199.59;525.83;216.0;0.6;0.0;259.9;171103.0;24.3;32595.0;22065.0;17.1;12.9;-67225.0;143982.0;113608.0;9.2;7.2;19.4;-47.4;122.2;
2016.0;;;;;;;216.0;;;;;;;;;;;;83.72;;;;;;;;;;;39.02;21.63;;13.36;;12.11;;;216.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;764.9;92.6;30.35;106.39;196.33;500.68;216.0;0.4;0.0;276.8;165262.0;21.6;35384.0;20006.0;8.6;12.1;-96049.0;151759.0;108175.0;9.1;6.1;18.5;-14.9;350.4;
2017.0;;;;;;;216.0;;;;;;;;;;;;86.71;;;;;;;;;;;46.56;11.37;;9.11;;8.36;;;216.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;740.21;61.89;89.61;76.91;170.11;494.51;216.0;0.5;0.0;238.5;159926.0;11.4;52750.0;13371.0;7.6;8.4;-78422.0;157654.0;106842.0;7.0;4.8;12.5;-24.3;85.8;
2018.0;3138.0;2724.0;1482.0;416.0;435.0;360.0;216.0;1897.0;9195.0;3669.0;6973.0;2140.0;1164.0;-477.0;-346.0;357.0;264.0;414.0;86.79;2308.0;;1002.0;881.0;121.0;1306.0;2722.0;37.0;132.0;917.0;47.23;13.26;19.0;13.85;73.0;11.48;1.66;1.66;216.0;;984.0;186.0;1170.0;500.0;55.0;172.0;3733.0;1169.0;137.0;1306.0;1245.0;528.0;487.0;7299.0;;1351.0;389.0;265.0;127.0;1802.0;2968.0;52.0;57.0;227.0;3304.0;;;10.0;21.0;230.0;-467.0;2346.0;9113.0;82.0;9195.0;;360.0;917.0;;;-174.0;-232.0;0.0;147.0;-210.0;61.0;-900.0;;-114.0;340.0;197.0;-357.0;;;-265.0;277.0;16.0;984.0;627.0;;0.02;762.54;87.55;64.09;64.46;218.78;520.04;216.0;0.3;0.0;247.0;164752.0;13.3;48132.0;18916.0;16.8;11.5;-93034.0;155835.0;112358.0;8.6;6.2;16.8;26.4;100.6;0.019
2019.0;3340.0;3003.0;1598.0;873.0;638.0;445.0;216.0;1492.0;10364.0;4036.0;8068.0;2211.0;1370.0;-1664.0;-229.0;-539.0;-375.0;337.0;89.91;2130.0;;939.0;832.0;106.0;1191.0;2467.0;34.0;167.0;798.0;47.84;26.15;-235.0;19.11;189.0;13.31;2.05;2.05;216.0;;481.0;223.0;704.0;482.0;67.0;238.0;4896.0;1212.0;127.0;1339.0;1172.0;466.0;999.0;8872.0;;1371.0;453.0;277.0;156.0;2057.0;3670.0;55.0;51.0;256.0;4033.0;;322.0;10.0;22.0;357.0;-614.0;2436.0;10279.0;85.0;10364.0;;445.0;798.0;;;-329.0;-31.0;0.0;370.0;-157.0;457.0;-1745.0;;-11.0;49.0;43.0;-511.0;;;-308.0;590.0;-15.0;481.0;1020.0;;0.02;783.07;104.24;-87.94;72.17;409.11;518.32;216.0;0.2;0.0;322.3;169187.0;26.1;40414.0;22521.0;29.5;13.3;-128871.0;185934.0;111987.0;9.0;7.8;20.1;30.8;-82.1;0.02
2020.0;3769.0;3469.0;1931.0;968.0;688.0;506.0;216.0;1821.0;11992.0;4447.0;9500.0;2403.0;1772.0;-1430.0;10.0;330.0;179.0;301.0;92.02;2500.0;;952.0;816.0;136.0;1548.0;2801.0;25.0;208.0;1041.0;51.22;25.69;-281.0;18.24;176.0;13.42;2.33;2.33;216.0;;838.0;173.0;1011.0;497.0;85.0;228.0;5814.0;1278.0;82.0;1360.0;1178.0;407.0;1412.0;10171.0;;1617.0;450.0;284.0;179.0;2201.0;4606.0;70.0;15.0;362.0;5053.0;;417.0;11.0;23.0;534.0;-742.0;2578.0;11903.0;89.0;11992.0;;506.0;1041.0;;;-219.0;-12.0;-21.0;-59.0;-5.0;444.0;-1593.0;;-132.0;137.0;158.0;-919.0;;;-348.0;1277.0;-21.0;838.0;507.0;;0.02;837.76;112.4;39.68;77.39;354.09;534.16;216.0;0.2;0.0;313.2;181004.0;25.7;49976.0;24284.0;25.6;13.4;-126099.0;221177.0;115408.0;8.9;7.5;21.0;31.1;195.0;0.021
2021.0;3789.0;3455.0;1944.0;948.0;670.0;517.0;216.0;1450.0;12281.0;4398.0;9782.0;2416.0;1800.0;-2029.0;-96.0;-320.0;-207.0;334.0;91.18;2507.0;;912.0;780.0;132.0;1596.0;2842.0;13.0;202.0;1078.0;51.3;25.01;-278.0;17.67;147.0;13.64;2.39;2.39;216.0;;469.0;187.0;655.0;460.0;72.0;262.0;6330.0;1204.0;23.0;1226.0;1122.0;262.0;1891.0;10831.0;;1713.0;314.0;270.0;197.0;2173.0;5063.0;114.0;3.0;204.0;5384.0;;425.0;10.0;21.0;671.0;-714.0;2428.0;12198.0;83.0;12281.0;;517.0;1078.0;;;-251.0;-73.0;1.0;576.0;-77.0;456.0;-2008.0;-27.0;-82.0;78.0;10.0;-442.0;;;-347.0;694.0;5.0;469.0;789.0;;0.02;894.48;122.04;-48.98;81.98;473.93;570.3;216.0;0.2;0.0;280.8;193257.0;25.0;54991.0;26367.0;21.9;13.6;-150343.0;258206.0;123216.0;8.7;7.1;21.4;32.8;-167.4;0.02
