;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
2000.0;120.0;92.0;9.0;40.0;39.0;22.0;30.0;70.0;1064.0;8.0;30.0;1034.0;74.0;-22.0;-31.0;21.0;52.0;28.0;76.7;52.0;;;;;52.0;80.0;;;-30.0;7.08;33.38;-1.0;32.15;17.0;18.08;0.73;0.73;30.0;;58.0;;58.0;10.0;;2.0;28.0;;213.0;213.0;;;754.0;994.0;;1.0;;;;7.0;;;22.0;0.0;22.0;;;;985.0;48.0;-5.0;6.0;1064.0;;1064.0;;22.0;-30.0;18.0;;4.0;2.0;;0.0;;60.0;-22.0;;;;;;;;;-31.0;;58.0;37.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;127.0;96.0;77.0;41.0;45.0;28.0;20.0;117.0;1216.0;9.0;50.0;1166.0;70.0;-38.0;;32.0;32.0;31.0;75.25;54.0;;;;;54.0;85.0;;;33.0;60.84;32.4;4.0;35.4;17.0;21.71;0.92;0.92;20.0;;96.0;;96.0;14.0;;7.0;874.0;;226.0;226.0;;;;1099.0;;0.0;;;;9.0;0.0;;37.0;4.0;41.0;;;;1085.0;74.0;-8.0;15.0;1216.0;;1216.0;;28.0;33.0;;;10.0;-3.0;;-1.0;;-1.0;-38.0;;;;;;;;;;;96.0;64.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;120.0;86.0;68.0;34.0;37.0;21.0;30.0;70.0;1088.0;12.0;49.0;1038.0;54.0;-26.0;-70.0;-42.0;29.0;33.0;72.28;51.0;;;;;51.0;84.0;;;32.0;56.98;28.63;3.0;30.82;15.0;17.76;0.7;0.7;30.0;;48.0;;48.0;16.0;;5.0;816.0;;;203.0;;;;1018.0;;0.0;;;;12.0;0.0;;38.0;-0.0;38.0;;;;1011.0;23.0;-11.0;15.0;1088.0;;1088.0;;21.0;32.0;12.0;;-8.0;-3.0;;0.0;;-3.0;-26.0;;;;;;;;-45.0;-25.0;;48.0;90.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;131.0;98.0;77.0;45.0;47.0;25.0;30.0;91.0;1066.0;14.0;56.0;1010.0;58.0;-30.0;-11.0;17.0;29.0;33.0;74.79;50.0;;;;;50.0;83.0;;;32.0;58.83;34.22;2.0;35.87;21.0;18.83;0.82;0.82;30.0;;63.0;;63.0;15.0;;12.0;788.0;;;188.0;;;;975.0;;1.0;;;;13.0;0.0;;43.0;-0.0;43.0;;;;971.0;35.0;-16.0;21.0;1066.0;;1066.0;;25.0;32.0;17.0;;-14.0;0.0;;1.0;;-1.0;-30.0;;;;;;;;-14.0;2.0;;63.0;46.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;177.0;135.0;107.0;75.0;73.0;55.0;30.0;129.0;1172.0;17.0;65.0;1107.0;101.0;-44.0;-20.0;37.0;64.0;42.0;76.35;59.0;;;;;59.0;101.0;;;36.0;60.26;42.39;-3.0;40.94;17.0;30.72;1.81;1.81;30.0;;105.0;;105.0;19.0;;5.0;844.0;;193.0;193.0;;;6.0;1043.0;;1.0;;;;16.0;0.0;;48.0;-0.0;48.0;;;;1030.0;56.0;-148.0;169.0;1172.0;;1172.0;;55.0;36.0;12.0;;-1.0;-3.0;;4.0;;-0.0;-37.0;;;;-7.0;;;;-16.0;-4.0;;104.0;67.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;194.0;144.0;117.0;75.0;77.0;53.0;32.0;175.0;1323.0;33.0;98.0;1226.0;117.0;-59.0;-26.0;31.0;57.0;50.0;74.01;68.0;;;;;68.0;118.0;;;41.0;60.43;38.73;2.0;39.84;24.0;27.29;1.77;1.77;30.0;;145.0;;145.0;15.0;;15.0;741.0;;197.0;197.0;;;210.0;1148.0;;2.0;;;;31.0;1.0;;64.0;-0.0;64.0;;;;1116.0;53.0;-35.0;92.0;1323.0;;1323.0;;53.0;41.0;20.0;;3.0;5.0;;16.0;;-0.0;-59.0;;;;;;;;-18.0;-8.0;;144.0;113.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;207.0;150.0;122.0;77.0;78.0;49.0;30.0;152.0;1384.0;23.0;107.0;1277.0;96.0;-101.0;-27.0;-33.0;-5.0;57.0;72.31;73.0;;;;;73.0;131.0;;;45.0;58.82;37.06;1.0;37.74;28.0;23.59;1.63;1.63;30.0;;115.0;;115.0;37.0;;;292.0;;940.0;940.0;;;;1232.0;;1.0;;3.0;;22.0;;;84.0;1.0;84.0;;;;;49.0;13.0;;1384.0;;1384.0;;49.0;45.0;26.0;;-24.0;-6.0;;;;;-101.0;;;;;;;;-20.0;-8.0;;115.0;148.0;;0.09;74.63;17.6;-1.91;7.02;36.3;459.5;30.0;2.0;0.1;19.5;2239.0;37.1;488.0;528.0;35.6;23.6;1395.0;;13785.0;3.6;5.5;3.8;60.1;-367.3;0.093
2007.0;255.0;187.0;111.0;107.0;108.0;48.0;30.0;232.0;1528.0;29.0;199.0;1329.0;149.0;-61.0;-29.0;58.0;149.0;68.0;73.31;80.0;;;;;80.0;148.0;10.0;;50.0;43.39;41.86;1.0;42.32;13.0;18.75;1.59;1.59;30.0;;176.0;;176.0;26.0;;30.0;336.0;;939.0;939.0;;20.0;;1295.0;;2.0;;;;27.0;;;104.0;66.0;170.0;;;;1172.0;141.0;-74.0;90.0;1528.0;;1528.0;;48.0;50.0;7.0;;9.0;-3.0;;6.0;;34.0;;;;;-61.0;;;;-21.0;-8.0;;176.0;118.0;;0.09;92.8;17.4;54.05;7.7;;483.18;30.0;2.9;0.2;15.2;2786.0;41.9;541.0;522.0;12.3;18.8;2217.0;;14506.0;3.6;4.0;3.6;55.7;14.3;0.092
2008.0;230.0;171.0;156.0;101.0;113.0;76.0;30.0;184.0;1212.0;23.0;158.0;1055.0;113.0;-58.0;-69.0;-14.0;45.0;59.0;74.43;71.0;;;;;71.0;130.0;10.0;;44.0;67.84;43.67;12.0;48.86;36.0;33.12;2.54;2.54;30.0;;140.0;;140.0;44.0;;;39.0;;746.0;746.0;;16.0;227.0;1028.0;;1.0;;7.0;;22.0;;;134.0;1.0;135.0;;;;;112.0;12.0;;1212.0;;1212.0;;76.0;44.0;;;-30.0;-6.0;;;;23.0;-68.0;;;;10.0;;;;-44.0;-26.0;;126.0;140.0;;0.07;105.62;34.98;20.65;20.0;31.19;483.52;30.0;1.4;0.1;41.7;3169.0;43.7;602.0;1049.0;32.2;33.1;2217.0;;14506.0;6.4;9.3;7.2;42.8;96.9;0.073
2009.0;240.0;179.0;152.0;102.0;103.0;61.0;30.0;159.0;1277.0;31.0;217.0;1060.0;105.0;-47.0;-117.0;-59.0;53.0;60.0;74.82;77.0;;;;;77.0;137.0;3.0;2.0;48.0;63.61;42.71;0.0;42.86;42.0;25.47;2.03;2.03;30.0;;74.0;;74.0;29.0;;57.0;75.0;;741.0;741.0;;22.0;280.0;1118.0;;1.0;17.0;3.0;;13.0;25.0;;161.0;1.0;187.0;;;;979.0;62.0;-22.0;41.0;1277.0;;1277.0;;61.0;48.0;;;-41.0;-1.0;;;14.0;36.0;-52.0;;;23.0;-18.0;;;;-144.0;27.0;;74.0;133.0;;0.08;104.37;26.58;22.98;62.8;22.56;461.92;30.0;1.4;0.0;163.4;3131.0;42.7;630.0;797.0;40.6;25.5;1684.0;330.0;13858.0;5.0;8.2;5.8;-136.3;273.3;0.076
