;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2009.0;550.0;411.0;338.0;296.0;315.0;271.0;648.0;1168.0;1290.0;202.0;202.0;1090.0;307.0;-279.0;6.0;36.0;217.0;140.0;74.65;114.0;34.0;81.0;31.0;50.0;;254.0;19.0;;21.0;61.43;53.86;19.0;57.24;46.0;49.25;0.42;0.42;643.0;;153.0;875.0;1028.0;33.0;;107.0;82.0;;33.0;33.0;5.0;1.0;1.0;122.0;;35.0;;31.0;95.0;72.0;0.0;;;;0.0;;;;0.0;941.0;33.0;115.0;1292.0;-2.0;1290.0;;271.0;21.0;-6.0;5.0;17.0;4.0;;18.0;20.0;-0.0;-90.0;-1.0;-939.0;606.0;113.0;;;;;6.0;3.0;153.0;116.0;;0.15;5.84;2.88;2.3;;0.95;11.56;643.0;2.3;0.0;;3757.0;53.9;144.0;1850.0;14.6;49.3;6595.0;0.0;7439.0;24.8;24.5;24.9;100.0;;0.146
2010.0;836.0;563.0;427.0;386.0;391.0;339.0;650.0;1612.0;1758.0;277.0;283.0;1478.0;433.0;-398.0;4.0;37.0;388.0;273.0;67.34;177.0;48.0;128.0;29.0;100.0;;450.0;21.0;;35.0;51.06;46.2;5.0;46.78;52.0;40.59;0.43;0.43;645.0;;195.0;;195.0;46.0;;1371.0;115.0;;24.0;24.0;5.0;0.0;2.0;146.0;;20.0;;44.0;139.0;119.0;0.0;;0.0;5.0;5.0;;;;0.0;1299.0;49.0;129.0;1760.0;-3.0;1758.0;;339.0;35.0;1.0;16.0;28.0;-14.0;;-6.0;29.0;14.0;-45.0;;;627.0;-980.0;;;;;4.0;-2.0;195.0;158.0;;0.15;8.54;3.47;3.96;;0.46;15.1;645.0;2.1;0.1;;5508.0;46.2;232.0;2236.0;13.4;40.6;8799.0;0.0;9741.0;22.9;22.2;23.0;100.0;;0.152
2011.0;1158.0;782.0;623.0;528.0;575.0;514.0;655.0;2300.0;2454.0;363.0;373.0;2086.0;647.0;-510.0;12.0;148.0;576.0;377.0;67.46;253.0;74.0;179.0;45.0;135.0;;630.0;41.0;;47.0;53.77;45.58;46.0;49.59;62.0;44.36;0.79;0.79;653.0;;352.0;158.0;510.0;53.0;;1737.0;135.0;;10.0;10.0;5.0;0.0;4.0;154.0;;21.0;;62.0;204.0;138.0;;;;10.0;10.0;;;;0.0;1851.0;75.0;159.0;2459.0;-4.0;2454.0;;514.0;47.0;-7.0;19.0;57.0;2.0;;4.0;38.0;17.0;-72.0;;-159.0;3.0;-289.0;-0.0;;;;12.0;-1.0;352.0;204.0;;0.16;11.16;4.95;5.55;;0.69;20.1;653.0;1.8;0.1;;7291.0;45.6;293.0;3234.0;10.9;44.4;12192.0;;13127.0;24.5;23.4;24.6;100.0;;0.159
2012.0;1316.0;902.0;732.0;596.0;687.0;584.0;658.0;2868.0;3094.0;574.0;590.0;2517.0;678.0;-715.0;-63.0;-100.0;649.0;414.0;68.56;307.0;115.0;191.0;46.0;146.0;;721.0;68.0;;37.0;55.64;45.26;91.0;52.17;111.0;44.35;0.89;0.89;657.0;;255.0;2275.0;2530.0;73.0;;265.0;131.0;;2.0;2.0;84.0;0.0;9.0;226.0;;37.0;;63.0;247.0;289.0;;;;16.0;16.0;;;;0.0;2297.0;102.0;118.0;3107.0;-13.0;3094.0;;584.0;37.0;-5.0;33.0;34.0;-11.0;;7.0;23.0;-5.0;-29.0;-1.0;-2686.0;2046.0;-45.0;;;-67.0;;4.0;-1.0;255.0;355.0;;0.16;12.49;5.54;6.16;;0.27;23.88;657.0;1.9;0.1;;8201.0;45.3;234.0;3637.0;16.2;44.4;14292.0;;15681.0;23.0;22.4;23.2;100.0;10.3;0.161
2013.0;1519.0;1110.0;848.0;719.0;822.0;734.0;651.0;3766.0;4055.0;699.0;723.0;3345.0;865.0;-901.0;14.0;-22.0;829.0;409.0;73.05;391.0;152.0;238.0;58.0;181.0;;800.0;84.0;;26.0;55.82;47.33;103.0;54.11;88.0;48.32;1.13;1.12;650.0;;241.0;2895.0;3136.0;107.0;;523.0;144.0;;2.0;2.0;127.0;4.0;13.0;289.0;;56.0;161.0;12.0;321.0;161.0;;;;24.0;24.0;;;;0.0;3058.0;145.0;141.0;4068.0;-13.0;4055.0;;734.0;26.0;24.0;51.0;26.0;-22.0;;12.0;53.0;5.0;-36.0;-33.0;-3748.0;3184.0;-267.0;;;-18.0;-135.0;167.0;-0.0;241.0;263.0;;0.17;14.16;6.84;7.72;1.26;0.34;31.17;650.0;1.8;0.1;10.2;9196.0;47.3;158.0;4444.0;10.7;48.3;18565.0;;20245.0;21.8;20.2;22.0;81.7;18.4;0.165
2014.0;1887.0;1362.0;901.0;768.0;879.0;766.0;655.0;4468.0;4890.0;1088.0;1127.0;3768.0;946.0;-728.0;-125.0;91.0;847.0;525.0;72.15;594.0;213.0;381.0;75.0;305.0;;1119.0;97.0;;28.0;47.76;40.68;112.0;46.6;107.0;40.61;1.18;1.17;653.0;;326.0;3311.0;3637.0;199.0;;632.0;206.0;;30.0;30.0;169.0;3.0;13.0;422.0;;88.0;330.0;54.0;417.0;253.0;;;;39.0;39.0;;;;0.0;3419.0;151.0;198.0;4895.0;-5.0;4890.0;;766.0;28.0;-19.0;56.0;103.0;-76.0;;31.0;78.0;12.0;-100.0;-3.0;-3877.0;3371.0;-132.0;-157.0;;;-319.0;351.0;-2.0;326.0;235.0;;0.16;17.94;7.29;8.05;3.04;0.95;35.83;653.0;2.2;0.1;18.7;11713.0;40.7;174.0;4757.0;12.1;40.6;20976.0;;23390.0;20.1;17.8;20.3;58.3;37.7;0.161
2015.0;3512.0;2064.0;1261.0;1120.0;1249.0;1037.0;661.0;5299.0;6338.0;1797.0;1822.0;4503.0;1244.0;-391.0;-251.0;624.0;1085.0;1447.0;58.78;944.0;332.0;612.0;156.0;456.0;;2392.0;92.0;;28.0;35.92;31.89;129.0;35.57;196.0;29.54;1.58;1.57;657.0;;935.0;3019.0;3954.0;448.0;126.0;771.0;322.0;;66.0;66.0;443.0;4.0;204.0;1039.0;;132.0;350.0;113.0;833.0;482.0;;;13.0;13.0;26.0;;;;0.0;4069.0;160.0;274.0;6325.0;13.0;6338.0;;1037.0;28.0;-23.0;105.0;105.0;-269.0;-122.0;37.0;413.0;-9.0;-159.0;-29.0;-4022.0;3956.0;-162.0;-884.0;;-20.0;-226.0;879.0;22.0;935.0;311.0;;0.15;34.71;10.25;10.73;2.23;1.57;44.51;657.0;2.5;0.1;8.6;22803.0;31.9;182.0;6735.0;15.7;29.5;22742.0;;29240.0;23.0;19.5;23.0;78.2;22.7;0.154
2016.0;5494.0;3117.0;2020.0;1817.0;2000.0;1670.0;661.0;7183.0;8351.0;2811.0;2816.0;5496.0;2229.0;-2015.0;-324.0;-91.0;2065.0;2377.0;56.74;1300.0;438.0;862.0;217.0;645.0;;3677.0;78.0;;47.0;36.76;33.08;182.0;36.4;303.0;30.4;2.55;2.53;656.0;;783.0;4453.0;5235.0;658.0;227.0;1063.0;348.0;;121.0;121.0;363.0;3.0;332.0;1167.0;;226.0;549.0;248.0;1274.0;762.0;;;5.0;0.0;5.0;;;;0.0;5084.0;176.0;236.0;8312.0;39.0;8351.0;;1670.0;47.0;10.0;142.0;380.0;-237.0;-109.0;87.0;414.0;-20.0;-164.0;-17.0;-5280.0;3778.0;-333.0;-1419.0;;-173.0;-366.0;1634.0;19.0;783.0;874.0;;0.14;58.17;17.68;21.86;3.88;1.74;58.19;656.0;2.1;0.1;10.2;38179.0;33.1;328.0;11605.0;15.1;30.4;30385.0;;38191.0;30.4;23.7;30.4;78.1;26.1;0.144
2017.0;8315.0;3983.0;2101.0;1868.0;2000.0;1646.0;663.0;9521.0;10918.0;3650.0;3780.0;7029.0;1827.0;-2036.0;-200.0;-411.0;1439.0;4333.0;47.9;2115.0;672.0;1443.0;373.0;1069.0;;6447.0;103.0;;123.0;25.27;22.46;132.0;24.05;332.0;19.79;2.5;2.48;658.0;;425.0;6201.0;6626.0;625.0;841.0;1429.0;579.0;;217.0;217.0;428.0;127.0;45.0;1396.0;;375.0;1018.0;240.0;1198.0;1059.0;;;33.0;97.0;130.0;;;;0.0;6568.0;191.0;270.0;10809.0;108.0;10918.0;;1646.0;123.0;-67.0;308.0;-231.0;87.0;-599.0;169.0;-199.0;49.0;-388.0;18.0;-7419.0;5848.0;-199.0;-8950.0;;-317.0;-501.0;9567.0;-2.0;425.0;836.0;;0.15;82.21;16.27;14.23;4.95;3.84;69.49;658.0;3.6;0.2;8.5;54102.0;22.5;802.0;10708.0;16.6;19.8;38198.0;;45732.0;23.0;18.3;23.4;69.6;56.8;0.154
2018.0;9758.0;4127.0;1555.0;1147.0;1300.0;894.0;651.0;9984.0;12636.0;5101.0;5949.0;6572.0;1949.0;-1972.0;231.0;220.0;949.0;5631.0;42.29;2980.0;1132.0;1848.0;464.0;1384.0;;8611.0;85.0;;303.0;15.94;11.75;153.0;13.32;358.0;9.16;1.38;1.37;647.0;;783.0;6477.0;7260.0;700.0;729.0;1295.0;782.0;;867.0;867.0;777.0;155.0;72.0;2652.0;;347.0;1985.0;330.0;1355.0;1416.0;;;57.0;790.0;848.0;;;;0.0;6393.0;179.0;;12521.0;115.0;12636.0;;894.0;303.0;-10.0;368.0;360.0;-103.0;66.0;-12.0;262.0;35.0;-1001.0;-40.0;-8558.0;7705.0;-711.0;-3.0;;-1092.0;-209.0;1535.0;12.0;1483.0;1263.0;;0.15;103.79;9.51;10.09;2.23;10.64;69.9;647.0;5.4;0.2;4.3;67156.0;11.8;2084.0;6152.0;27.6;9.2;33607.0;;45232.0;12.2;10.0;13.6;76.6;137.2;0.145
2019.0;8507.0;4531.0;3844.0;1980.0;2353.0;3050.0;650.0;12221.0;16101.0;5492.0;7113.0;8825.0;2472.0;-3179.0;155.0;-547.0;1994.0;3976.0;53.27;2551.0;1208.0;1343.0;450.0;893.0;;6527.0;118.0;;375.0;45.18;23.28;372.0;27.66;419.0;35.85;4.73;4.69;644.0;;466.0;9880.0;10346.0;677.0;93.0;1105.0;730.0;;1055.0;1055.0;1673.0;130.0;291.0;3880.0;;174.0;2444.0;453.0;1456.0;1417.0;40.0;;55.0;1526.0;1621.0;;68.0;;0.0;8098.0;164.0;562.0;15937.0;164.0;16101.0;;3050.0;375.0;22.0;345.0;-51.0;-2.0;60.0;2.0;127.0;-1268.0;-478.0;1291.0;-14588.0;10714.0;-421.0;-43.0;2.0;;-1270.0;1466.0;4.0;919.0;1466.0;;0.14;91.98;32.97;21.56;13.73;5.17;95.41;644.0;1.6;0.1;26.3;59241.0;23.3;2614.0;21238.0;17.8;35.8;46862.0;280.0;61454.0;27.3;21.8;34.6;58.4;63.6;0.144
2020.0;11286.0;5972.0;2844.0;2227.0;2355.0;1848.0;670.0;16520.0;21735.0;7161.0;9020.0;12582.0;3813.0;-4472.0;1519.0;884.0;3309.0;5314.0;52.92;3745.0;1589.0;2156.0;517.0;1640.0;;9059.0;245.0;;530.0;25.2;19.74;128.0;20.87;466.0;16.37;2.8;2.76;661.0;;1397.0;12923.0;14320.0;1015.0;95.0;1090.0;816.0;49.0;1272.0;1321.0;2810.0;166.0;102.0;5215.0;;174.0;3039.0;656.0;1970.0;1979.0;73.0;;109.0;1677.0;1859.0;;123.0;;0.0;9830.0;89.0;2663.0;21602.0;133.0;21735.0;;1848.0;530.0;14.0;408.0;731.0;-81.0;5.0;-13.0;359.0;283.0;-504.0;58.0;-17640.0;13636.0;-364.0;-125.0;3357.0;;-656.0;-1057.0;25.0;1864.0;980.0;;0.15;111.43;18.25;32.67;6.47;4.98;124.23;661.0;4.4;0.1;8.0;73667.0;19.7;3458.0;12063.0;19.8;16.4;61088.0;475.0;82127.0;12.9;10.7;14.7;64.5;-81.6;0.153
2021.0;13772.0;7384.0;3814.0;2581.0;3318.0;2650.0;661.0;17783.0;24153.0;7939.0;8546.0;14986.0;3918.0;-1113.0;-1978.0;819.0;3430.0;6388.0;53.62;4803.0;2213.0;2590.0;670.0;1920.0;;11191.0;239.0;;515.0;27.69;18.74;737.0;24.09;649.0;19.24;4.01;4.01;661.0;;2279.0;13053.0;15332.0;866.0;152.0;1433.0;854.0;;646.0;646.0;916.0;204.0;3751.0;6370.0;;155.0;3042.0;713.0;1907.0;2835.0;200.0;;212.0;195.0;607.0;;;;;;;;23532.0;621.0;24153.0;;2650.0;515.0;64.0;478.0;501.0;-187.0;-54.0;-24.0;212.0;-290.0;-489.0;175.0;-16211.0;15443.0;-268.0;-361.0;;-2032.0;-552.0;966.0;-9.0;2732.0;1913.0;;0.16;132.52;25.5;33.0;5.31;4.7;144.2;661.0;4.1;0.1;5.1;87606.0;18.7;3276.0;16857.0;19.6;19.2;62619.0;1275.0;95328.0;17.0;14.0;17.7;79.2;75.3;0.157
