;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (TRY/USD)
2009.0;5791.0;2693.0;2199.0;1225.0;1445.0;1094.0;880.0;4255.0;9322.0;2297.0;3425.0;5861.0;1295.0;-1485.0;-5.0;-165.0;-473.0;3098.0;46.51;1469.0;;1358.0;273.0;1085.0;110.0;4566.0;317.0;174.0;591.0;37.97;21.15;221.0;24.96;340.0;18.89;1.24;1.24;880.0;;3096.0;62.0;3158.0;962.0;28.0;106.0;2653.0;;1898.0;1898.0;418.0;2.0;96.0;5067.0;;1039.0;696.0;93.0;249.0;313.0;821.0;;118.0;188.0;1128.0;;;;1659.0;4201.0;-3768.0;3768.0;9286.0;37.0;9322.0;;1094.0;591.0;-3.0;;-181.0;;-9.0;;20.0;-206.0;-1768.0;9.0;-84.0;32.0;-398.0;-944.0;;;-745.0;1683.0;30.0;3091.0;3256.0;;0.67;9.85;1.86;-0.8;1.27;3.01;9.97;880.0;7.9;0.1;8.6;8665.0;21.1;884.0;1637.0;23.5;18.9;2930.0;1229.0;8769.0;17.6;17.3;18.7;32.0;-157.5;0.668
2010.0;6018.0;2649.0;2365.0;1157.0;1457.0;1177.0;880.0;4464.0;9854.0;1824.0;3583.0;6296.0;1270.0;-709.0;-306.0;207.0;219.0;3369.0;44.02;1492.0;;1442.0;349.0;1092.0;50.0;4861.0;279.0;103.0;762.0;39.3;19.23;299.0;24.2;323.0;19.56;1.33;1.33;880.0;;3322.0;8.0;3330.0;911.0;25.0;199.0;3087.0;142.0;1578.0;1720.0;436.0;3.0;144.0;5389.0;;958.0;439.0;97.0;165.0;262.0;1416.0;;94.0;249.0;1759.0;;;;1669.0;4626.0;-3507.0;3507.0;9878.0;-24.0;9854.0;;1177.0;762.0;-78.0;;-357.0;;3.0;;-86.0;-234.0;-1051.0;;-17.0;71.0;154.0;-778.0;;;-594.0;1066.0;-48.0;3316.0;3109.0;;0.65;10.58;2.07;0.38;1.04;1.85;11.07;880.0;7.7;0.4;6.5;9311.0;19.2;1179.0;1821.0;22.2;19.6;4085.0;2190.0;9739.0;15.5;16.2;18.7;49.5;271.3;0.646
2011.0;5608.0;2080.0;2257.0;695.0;1017.0;751.0;880.0;4462.0;9096.0;2063.0;3366.0;5790.0;926.0;-1410.0;32.0;-789.0;67.0;3528.0;37.09;1385.0;;1257.0;246.0;1010.0;129.0;4913.0;330.0;290.0;924.0;40.25;12.39;322.0;18.13;292.0;13.4;0.85;0.85;880.0;;2508.0;845.0;3352.0;885.0;26.0;198.0;2709.0;;1246.0;1246.0;437.0;3.0;239.0;4634.0;;929.0;813.0;62.0;118.0;202.0;1057.0;;67.0;179.0;1303.0;;;;1636.0;6052.0;-3236.0;1339.0;9157.0;-61.0;9096.0;;751.0;924.0;-16.0;;-226.0;-275.0;-6.0;44.0;-48.0;-509.0;-859.0;1.0;-858.0;11.0;97.0;-517.0;;;-4.0;552.0;-336.0;2507.0;3295.0;;0.53;12.02;1.61;0.14;0.01;1.84;12.41;880.0;8.4;0.5;0.1;10577.0;12.4;1743.0;1417.0;28.7;13.4;4526.0;1994.0;10921.0;13.4;14.6;13.0;99.5;6.0;0.53
2012.0;5896.0;2255.0;2363.0;966.0;1446.0;1165.0;880.0;5512.0;10537.0;2364.0;3340.0;7276.0;1194.0;306.0;-172.0;1426.0;222.0;3641.0;38.25;1230.0;;1230.0;272.0;958.0;;4871.0;386.0;113.0;793.0;40.09;16.38;480.0;24.53;293.0;19.76;1.33;1.33;880.0;;3946.0;22.0;3969.0;1283.0;49.0;211.0;3080.0;19.0;1284.0;1303.0;287.0;15.0;340.0;5025.0;;490.0;1093.0;269.0;92.0;689.0;622.0;;44.0;310.0;977.0;;21.0;;1645.0;7245.0;-1637.0;23.0;10616.0;-79.0;10537.0;;1165.0;793.0;293.0;;-509.0;-490.0;-21.0;-5.0;47.0;-547.0;-972.0;;-28.0;904.0;193.0;-838.0;;;-9.0;674.0;98.0;3946.0;2520.0;;0.56;11.94;2.36;0.45;0.02;1.97;14.74;880.0;5.8;0.4;0.1;10510.0;16.4;1413.0;2076.0;20.3;19.8;5612.0;1109.0;12970.0;15.2;14.8;16.0;99.3;3.8;0.561
2013.0;5911.0;2257.0;2396.0;991.0;1524.0;1215.0;880.0;5396.0;9865.0;1998.0;3036.0;6913.0;983.0;-465.0;-120.0;-116.0;145.0;3653.0;38.19;1237.0;;1237.0;284.0;954.0;;4891.0;391.0;56.0;818.0;40.54;16.77;532.0;25.77;307.0;20.55;1.38;1.38;880.0;;3768.0;27.0;3794.0;1377.0;32.0;193.0;2720.0;15.0;1080.0;1095.0;252.0;34.0;367.0;4468.0;;452.0;837.0;239.0;91.0;617.0;708.0;;30.0;299.0;1037.0;;21.0;;1619.0;8344.0;-3072.0;23.0;9949.0;-84.0;9865.0;;1215.0;818.0;307.0;;-353.0;-380.0;8.0;-12.0;23.0;-1004.0;-838.0;-1.0;-10.0;0.0;170.0;-1008.0;;;-0.0;888.0;-515.0;3767.0;3884.0;;0.47;14.42;2.96;0.35;0.0;2.04;16.86;880.0;5.1;0.3;0.0;12687.0;16.8;1755.0;2608.0;20.2;20.6;7294.0;1521.0;14839.0;15.8;15.9;17.6;100.0;0.3;0.466
2014.0;5492.0;2129.0;1997.0;938.0;1001.0;862.0;880.0;5717.0;10179.0;2144.0;3000.0;7343.0;799.0;-571.0;39.0;86.0;-226.0;3363.0;38.77;1155.0;;1155.0;256.0;900.0;;4518.0;435.0;57.0;745.0;36.35;17.09;63.0;18.23;333.0;15.69;0.97;0.97;880.0;;3880.0;8.0;3888.0;1621.0;31.0;177.0;2633.0;14.0;1037.0;1051.0;287.0;25.0;465.0;4462.0;;498.0;1053.0;229.0;71.0;523.0;536.0;;26.0;294.0;856.0;;18.0;;1630.0;9263.0;-3572.0;23.0;10344.0;-164.0;10179.0;;862.0;745.0;333.0;;-430.0;-471.0;-1.0;85.0;-16.0;-711.0;-1025.0;-12.0;-0.0;22.0;197.0;-2050.0;;;-4.0;2093.0;-181.0;3880.0;3794.0;;0.43;14.57;2.29;-0.6;0.01;2.72;19.49;880.0;6.3;0.3;0.1;12826.0;17.1;1739.0;2012.0;33.3;15.7;8344.0;1252.0;17149.0;10.2;12.1;11.7;99.6;-1.7;0.428
2015.0;4375.0;1713.0;1609.0;770.0;881.0;708.0;880.0;3013.0;8979.0;2160.0;4039.0;4918.0;651.0;-1312.0;-1583.0;-2094.0;-924.0;2662.0;39.16;866.0;;866.0;214.0;652.0;;3528.0;259.0;100.0;571.0;36.77;17.6;111.0;20.13;229.0;16.19;0.81;0.81;880.0;;1000.0;;1000.0;1696.0;26.0;291.0;2340.0;11.0;2809.0;2821.0;336.0;17.0;452.0;5966.0;;533.0;250.0;114.0;41.0;1336.0;1195.0;29.0;39.0;616.0;1879.0;;14.0;;754.0;3857.0;295.0;12.0;8957.0;22.0;8979.0;;708.0;571.0;229.0;;-453.0;-281.0;-2.0;119.0;10.0;-404.0;-1575.0;-92.0;;7.0;-496.0;-2364.0;;;-1379.0;2161.0;149.0;1000.0;3094.0;;0.34;14.51;2.35;-3.06;4.57;5.22;16.31;880.0;4.8;0.2;40.7;12769.0;17.6;1668.0;2068.0;26.0;16.2;2490.0;3488.0;14355.0;11.3;11.6;14.4;-94.7;-149.3;0.343
2016.0;4049.0;1431.0;1291.0;618.0;569.0;423.0;877.0;3784.0;8955.0;2086.0;4402.0;4538.0;172.0;-844.0;1371.0;888.0;-859.0;2618.0;35.34;686.0;;680.0;139.0;542.0;6.0;3304.0;192.0;124.0;624.0;31.88;15.27;-49.0;14.06;120.0;10.44;0.48;0.48;877.0;;1715.0;;1715.0;1404.0;37.0;627.0;2384.0;9.0;2325.0;2334.0;;15.0;439.0;5172.0;;487.0;807.0;106.0;27.0;765.0;1965.0;21.0;130.0;200.0;2316.0;;14.0;;623.0;3622.0;301.0;-9.0;8939.0;16.0;8955.0;;423.0;624.0;120.0;;-916.0;339.0;-18.0;-775.0;13.0;-79.0;-1031.0;;;;-55.0;-1398.0;;-19.0;-15.0;2802.0;188.0;1715.0;827.0;;0.28;16.28;1.7;-3.45;0.06;4.15;18.25;877.0;5.1;0.2;0.7;14286.0;15.3;2203.0;1492.0;21.1;10.4;5992.0;6935.0;16012.0;7.7;7.5;9.3;96.6;-3.9;0.283
2017.0;4651.0;1657.0;1532.0;774.0;688.0;522.0;877.0;3711.0;8965.0;2433.0;4996.0;3954.0;818.0;-872.0;-413.0;-353.0;-266.0;2994.0;35.63;690.0;;683.0;154.0;529.0;6.0;3684.0;123.0;174.0;685.0;32.94;16.63;-85.0;14.8;151.0;11.22;0.59;0.59;877.0;;1243.0;3.0;1246.0;1614.0;27.0;824.0;2553.0;9.0;2192.0;2200.0;0.0;25.0;475.0;5253.0;;667.0;1129.0;137.0;51.0;587.0;2178.0;23.0;172.0;190.0;2562.0;;32.0;;580.0;2984.0;395.0;-6.0;8950.0;15.0;8965.0;;522.0;685.0;151.0;;-620.0;162.0;7.0;-134.0;-75.0;80.0;-1084.0;;-3.0;;-94.0;-6022.0;;;-789.0;6398.0;113.0;1243.0;1597.0;;0.26;20.1;2.26;-1.15;3.41;4.69;17.09;877.0;3.8;0.2;39.5;17632.0;16.6;2597.0;1979.0;21.9;11.2;4845.0;8258.0;14989.0;10.1;9.5;13.2;-51.1;-296.5;0.264
2018.0;4024.0;1351.0;1439.0;824.0;505.0;382.0;874.0;3466.0;8083.0;2219.0;5049.0;3009.0;1102.0;-857.0;-101.0;512.0;76.0;2674.0;33.56;435.0;;430.0;122.0;307.0;5.0;3108.0;124.0;153.0;810.0;35.75;20.48;-319.0;12.55;94.0;9.49;0.44;0.44;874.0;;1402.0;10.0;1412.0;1338.0;34.0;681.0;2391.0;6.0;1956.0;1962.0;4.0;29.0;231.0;4617.0;;448.0;1330.0;113.0;50.0;391.0;2480.0;25.0;163.0;162.0;2830.0;;267.0;;416.0;2147.0;467.0;-20.0;8058.0;25.0;8083.0;;382.0;810.0;94.0;;-327.0;52.0;-15.0;-95.0;-119.0;143.0;-1026.0;19.0;-8.0;0.0;-270.0;-8574.0;;-18.0;-359.0;8850.0;368.0;1402.0;891.0;;0.19;24.36;2.31;0.46;2.17;6.21;18.22;874.0;3.1;0.1;30.6;21292.0;20.5;4288.0;2021.0;18.5;9.5;6597.0;13120.0;15922.0;8.8;7.8;12.7;6.0;499.3;0.189
2019.0;4226.0;1354.0;1671.0;846.0;553.0;546.0;874.0;3250.0;7685.0;2127.0;4645.0;3034.0;1517.0;-509.0;-585.0;474.0;532.0;2872.0;32.04;393.0;;388.0;127.0;261.0;4.0;3264.0;48.0;145.0;848.0;39.56;20.02;-293.0;13.09;132.0;12.92;0.63;0.63;874.0;;1721.0;59.0;1780.0;1222.0;30.0;217.0;2336.0;6.0;1963.0;1969.0;7.0;32.0;91.0;4435.0;;459.0;1282.0;108.0;58.0;328.0;2131.0;24.0;196.0;167.0;2518.0;;258.0;;370.0;2219.0;463.0;-18.0;7679.0;6.0;7685.0;;546.0;848.0;132.0;;-31.0;-148.0;0.0;16.0;-76.0;23.0;-985.0;367.0;-62.0;14.0;-317.0;-5503.0;;-2.0;-170.0;5090.0;50.0;1721.0;1247.0;;0.17;28.78;3.72;3.63;1.16;6.71;20.66;874.0;1.5;0.1;20.2;25137.0;20.0;5047.0;3246.0;23.9;12.9;6677.0;12677.0;18046.0;11.3;10.7;18.0;68.9;32.2;0.168
2020.0;3912.0;1178.0;1534.0;776.0;622.0;569.0;873.0;2766.0;6921.0;1554.0;4128.0;2793.0;1760.0;-911.0;-574.0;218.0;714.0;2733.0;30.13;285.0;;283.0;98.0;185.0;3.0;3018.0;49.0;109.0;803.0;39.21;19.83;-154.0;15.9;52.0;14.56;0.65;0.65;873.0;;1594.0;94.0;1688.0;892.0;27.0;159.0;2210.0;5.0;1711.0;1716.0;14.0;112.0;102.0;4155.0;;479.0;703.0;108.0;58.0;314.0;2198.0;25.0;180.0;171.0;2574.0;;282.0;;296.0;2203.0;310.0;-15.0;6921.0;0.0;6921.0;;569.0;803.0;52.0;;41.0;-83.0;-3.0;83.0;-58.0;295.0;-1046.0;-10.0;-134.0;131.0;-307.0;-3778.0;;-1.0;-109.0;3315.0;-57.0;1594.0;1376.0;;0.13;33.33;4.85;6.08;0.93;8.91;23.8;873.0;1.1;0.0;17.7;29104.0;19.8;5975.0;4237.0;8.4;14.6;9018.0;16354.0;20785.0;12.5;10.6;20.4;80.8;15.5;0.134
2021.0;2694.0;802.0;953.0;551.0;341.0;377.0;873.0;2213.0;5301.0;1282.0;3609.0;1692.0;1496.0;-685.0;-296.0;507.0;755.0;1892.0;29.76;202.0;;200.0;67.0;133.0;2.0;2095.0;50.0;69.0;544.0;35.39;20.47;-211.0;12.64;-37.0;14.01;0.43;0.43;873.0;;1397.0;4.0;1401.0;610.0;20.0;183.0;1587.0;4.0;1147.0;1150.0;154.0;135.0;61.0;3088.0;;346.0;664.0;93.0;43.0;229.0;2095.0;13.0;70.0;150.0;2327.0;;218.0;;165.0;1368.0;167.0;-7.0;5301.0;0.0;5301.0;;377.0;544.0;-37.0;;-146.0;-65.0;-4.0;32.0;-65.0;757.0;-741.0;-43.0;-78.0;52.0;-177.0;-1072.0;;;-194.0;970.0;-8.0;1396.0;890.0;;0.07;41.13;5.76;11.53;2.96;11.31;25.84;873.0;0.8;0.0;63.4;35921.0;20.5;7252.0;5031.0;-10.8;14.0;12420.0;27930.0;22562.0;11.3;7.7;22.3;48.6;25.7;0.075
