;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CLP/USD)
2000.0;;;;;;;121.0;;;;;;;;;;;;;;;;;;;;;;;16.06;77.6;;13.82;;17.73;;;121.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;121.0;;;;;;;;;;;;;;;;;;;;;;;134.81;77.4;;30.53;;31.21;;;121.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;161.0;;;;;;;;;;;;;;;;;;;;;;;116.79;76.8;;33.34;;35.97;;;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;161.0;;;;;;;;;;;;;;;;;;;;;;;117.17;100.0;;54.6;;52.43;;;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;161.0;;;;;;;;;;;;;;;;;;;;;;;104.71;40.39;;40.39;;35.69;;;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;161.0;;;;;;;;;;;;;;;;;;;;;;;128.8;40.94;;40.94;;34.0;;;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;961.98;327.12;595.27;163.44;12.97;2532.79;161.0;;;;155001.0;40.9;6868.0;52707.0;16.9;34.0;-3.0;777556.0;408099.0;4.6;5.6;12.9;50.0;27.5;
2006.0;;;;;;;161.0;;;;;;;;;;;;;;;;;;;;;;;107.03;26.11;;26.11;;21.84;;;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1112.11;242.88;503.67;166.88;;2690.96;161.0;0.0;0.0;2153.3;179191.0;26.1;6285.0;39134.0;16.3;21.8;3478165.0;833630.0;433584.0;4.2;5.0;9.0;31.3;33.1;
2007.0;;;;;;;161.0;;;;;;;;;;;;;;;;;;;;;;;133.2;28.55;;28.55;;24.14;;;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1312.75;316.91;647.6;195.55;5.2;3008.87;161.0;0.0;0.0;2109.5;211518.0;28.6;6954.0;51063.0;15.5;24.1;-399366.0;737322.0;484808.0;5.2;5.7;10.5;38.3;30.2;
2008.0;427.0;;670.0;241.0;107.0;90.0;156.0;8254.0;9907.0;788.0;9133.0;773.0;180.0;-2237.0;1985.0;-95.0;165.0;;;;;173.0;173.0;;;;896.0;555.0;8.0;156.77;56.29;-133.0;25.15;17.0;21.08;0.56;0.56;156.0;;130.0;188.0;318.0;;;7936.0;62.0;;5.0;5.0;1586.0;;;1652.0;11559.0;;788.0;;;;1224.0;;15.0;;1240.0;9585.0;;;518.0;249.0;;6.0;9907.0;;9907.0;;90.0;8.0;17.0;;;;;;;65.0;-15.0;;-909.0;59.0;-1372.0;-579.0;;-29.0;-89.0;2682.0;-23.0;291.0;386.0;;0.0;1710.07;360.45;658.94;355.86;60.62;3093.75;156.0;0.0;0.0;4246.5;267147.0;56.3;4916.0;56310.0;16.2;21.1;4666416.0;765172.0;483307.0;6.1;6.7;11.7;1.3;71.4;0.002
2009.0;592.0;;459.0;202.0;205.0;172.0;157.0;10545.0;12760.0;725.0;11745.0;1015.0;-153.0;-16.0;288.0;120.0;-175.0;;;;;221.0;221.0;;;;628.0;241.0;13.0;77.54;34.18;3.0;34.62;32.0;29.13;1.08;1.08;157.0;;221.0;192.0;412.0;;;10132.0;110.0;;27.0;27.0;2078.0;;;2215.0;14975.0;;725.0;;;;1870.0;;31.0;;1902.0;12922.0;;;652.0;326.0;-13.0;50.0;12760.0;;12760.0;;172.0;13.0;;;66.0;;;;283.0;-404.0;-22.0;;;;6.0;-112.0;;;-113.0;513.0;;483.0;363.0;;0.0;1885.24;549.08;-556.31;358.72;70.43;3232.05;157.0;0.0;0.0;4180.9;295934.0;34.2;6310.0;86192.0;15.9;29.1;4909877.0;935219.0;507349.0;3.1;3.5;17.0;34.7;-64.5;0.002
