;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (KRW/USD)
1998.0;;;;;;;576.0;;;;;;;;;;;;45.09;;;;;;;;;;;34.12;5.88;;2.93;;1.92;;;576.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;605.0;;;;;;;;;;;;44.01;;;;;;;;;;;36.79;6.51;;3.64;;12.32;;;605.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;624.0;;;;;;;;;;;;47.34;;;;;;;;;;;37.01;7.76;;11.36;;7.28;;;624.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;624.0;;;;;;;;;;;;23.29;;;;;;;;;;;34.77;12.18;;9.62;;6.98;;;498.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;600.0;;;;;;;;;;;;28.71;;;;;;;;;;;39.56;14.26;;16.4;;11.88;;;519.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;496.0;;;;;;;;;;;;51.32;;;;;;;;;;;31.75;11.34;;8.37;;5.11;;;432.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;450.0;;;;;;;;;;;;80.26;;;;;;;;;;;33.15;14.53;;11.77;;7.51;;;422.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;424.0;;;;;;;;;;;;88.6;;;;;;;;;;;29.8;14.17;;10.18;;6.13;;;423.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;420.0;;;;;;;;;;;;79.15;;;;;;;;;;;30.41;13.4;;11.26;;7.28;;;420.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40346.62;2935.46;4620.32;968.27;8469.1;19155.59;420.0;0.0;0.0;4383.3;16936574.0;13.4;3450989.0;1232236.0;24.5;7.3;532334.0;5815488.0;8041072.0;8.1;8.1;15.3;67.0;39.6;
2007.0;;;;;;;413.0;;;;;;;;;;;;78.01;;;;;;;;;;;27.17;9.35;;7.76;;5.66;;;413.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45169.66;2556.76;9525.95;1144.42;797.09;21451.29;413.0;0.0;0.0;4782.4;18670642.0;9.4;3658061.0;1056825.0;24.6;5.7;564497.0;5976851.0;8866778.0;6.3;6.5;11.9;55.2;20.9;
2008.0;;;;;;;412.0;;;;;;;;;;;;78.99;;;;;;;;;;;24.77;7.27;;3.47;;2.61;;;412.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47723.83;1246.97;-1539.0;994.27;8629.7;21455.91;412.0;0.0;0.0;4927.0;19644543.0;7.3;3702900.0;513290.0;24.6;2.6;1832798.0;8381259.0;8831889.0;4.7;4.9;5.8;20.3;-76.3;
2009.0;;;;;;;436.0;;;;;;;;;;;;74.88;;;;;;;;;;;23.33;4.92;;3.64;;3.1;;;428.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45944.21;1425.61;953.98;536.3;6990.24;24262.83;428.0;0.0;0.0;3546.9;19649120.0;4.9;3361466.0;609695.0;15.1;3.1;1030626.0;7823050.0;10376567.0;5.4;4.6;5.9;62.4;185.7;
2010.0;;;;;;;486.0;;;;;;;;;;;;77.07;;;;;;;;;;;25.1;10.2;;7.32;;5.48;;;486.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43852.64;2401.17;-713.15;1032.39;7383.21;22683.2;486.0;0.0;0.0;5131.1;21331313.0;10.2;3285459.0;1168005.0;23.8;5.5;643001.0;7415804.0;11033826.0;8.0;7.6;10.6;57.0;-144.9;
2011.0;19791.0;13314.0;4422.0;1776.0;1438.0;1302.0;487.0;8812.0;28877.0;7871.0;17593.0;10534.0;1935.0;-2383.0;692.0;255.0;-1381.0;6477.0;67.28;7352.0;158.0;4333.0;2862.0;1471.0;2861.0;13829.0;136.0;143.0;2693.0;22.35;8.98;-338.0;7.27;285.0;6.58;2.68;2.68;487.0;;1301.0;228.0;1529.0;6395.0;607.0;280.0;12620.0;404.0;1975.0;2379.0;1036.0;477.0;3553.0;20065.0;;1472.0;1943.0;;151.0;4305.0;8079.0;145.0;112.0;1387.0;9722.0;;123.0;;1408.0;9198.0;-21.0;-51.0;28127.0;750.0;28877.0;;1302.0;2693.0;285.0;;-1771.0;-1271.0;29.0;89.0;-137.0;-573.0;-3317.0;222.0;-402.0;276.0;409.0;-5465.0;;;-528.0;6685.0;11.0;1301.0;1045.0;;0.0;45197.16;2973.16;-3154.78;1204.74;7574.41;24056.25;487.0;0.0;0.0;6615.8;21990051.0;9.0;2991733.0;1446551.0;19.8;6.6;1045534.0;8976156.0;11704236.0;6.8;6.2;12.4;59.5;-38.2;0.001
2012.0;22120.0;17370.0;4605.0;1516.0;1280.0;951.0;522.0;9435.0;31032.0;10123.0;19183.0;11078.0;5149.0;-3460.0;-1140.0;549.0;825.0;4750.0;78.53;15689.0;138.0;6517.0;3099.0;3418.0;9034.0;20439.0;183.0;425.0;2977.0;20.82;6.86;-236.0;5.79;252.0;4.3;1.92;1.92;522.0;;1849.0;220.0;2070.0;6198.0;841.0;326.0;14161.0;538.0;2353.0;2891.0;975.0;550.0;3020.0;21597.0;;1641.0;2881.0;129.0;154.0;5448.0;7438.0;142.0;121.0;1360.0;9061.0;;37.0;;1408.0;9582.0;1.0;87.0;30262.0;770.0;31032.0;;951.0;2977.0;252.0;;1914.0;1656.0;-259.0;160.0;60.0;-945.0;-4325.0;-59.0;-1000.0;429.0;1020.0;-4291.0;10.0;;-438.0;3579.0;-1.0;1849.0;1301.0;;0.0;47063.57;2024.13;1754.66;931.79;9201.18;23570.71;522.0;0.0;0.0;6300.1;24577709.0;6.9;3307546.0;1057047.0;19.6;4.3;-764469.0;8264347.0;12309179.0;6.5;5.4;8.6;54.0;51.9;0.001
2013.0;21652.0;12800.0;3538.0;291.0;-34.0;-171.0;487.0;8975.0;31365.0;10102.0;19811.0;10555.0;3700.0;-3404.0;-281.0;12.0;426.0;8852.0;59.12;12509.0;154.0;6994.0;3631.0;3363.0;5361.0;21361.0;98.0;405.0;3259.0;16.34;1.34;-325.0;-0.16;45.0;-0.79;-0.3;-0.3;487.0;;1864.0;432.0;2296.0;5767.0;606.0;306.0;14748.0;533.0;2912.0;3445.0;933.0;636.0;2628.0;22390.0;;1545.0;2736.0;90.0;129.0;5691.0;7661.0;133.0;153.0;1763.0;9710.0;;61.0;;1408.0;9017.0;22.0;107.0;30366.0;999.0;31365.0;;-171.0;3259.0;45.0;;333.0;845.0;153.0;-131.0;-195.0;234.0;-3274.0;-6.0;-644.0;379.0;-353.0;-5367.0;;;-460.0;5546.0;-3.0;1864.0;1852.0;;0.0;49352.04;-389.62;970.14;1048.82;7463.26;24058.15;487.0;-0.0;-0.0;6458.3;24057881.0;1.3;3620748.0;-189931.0;-129.9;-0.8;-1252197.0;8511910.0;11727741.0;3.2;0.9;-1.6;369.2;;0.001
2014.0;21355.0;12890.0;2753.0;-596.0;-1087.0;-927.0;522.0;7896.0;30419.0;8988.0;19811.0;9304.0;1725.0;-2854.0;965.0;-164.0;-1363.0;8464.0;60.36;13487.0;173.0;7998.0;4234.0;3764.0;5316.0;21951.0;73.0;451.0;3469.0;12.89;-2.79;-491.0;-5.09;-240.0;-4.34;-1.67;-1.67;522.0;;1700.0;299.0;1999.0;5206.0;377.0;315.0;14821.0;522.0;2668.0;3190.0;939.0;971.0;2602.0;22523.0;;1080.0;2678.0;41.0;129.0;5101.0;8905.0;133.0;130.0;1655.0;10822.0;;50.0;;1408.0;7712.0;23.0;162.0;29115.0;1304.0;30419.0;;-927.0;3469.0;-240.0;;-553.0;12.0;271.0;-376.0;25.0;-25.0;-3088.0;-6.0;-455.0;657.0;-482.0;-7928.0;31.0;;-200.0;9063.0;1.0;1700.0;1864.0;;0.0;45435.28;-1972.79;-2900.74;426.59;6570.45;19796.57;522.0;-0.0;-0.0;2845.8;23727378.0;-2.8;3854764.0;-1030240.0;22.1;-4.3;-1213312.0;9894593.0;10338237.0;-2.8;-2.5;-10.0;121.6;;0.001
2015.0;20430.0;12277.0;4319.0;969.0;640.0;492.0;490.0;7779.0;26464.0;7829.0;15524.0;9752.0;3807.0;-2162.0;-1048.0;604.0;643.0;8153.0;60.09;11308.0;165.0;6350.0;3586.0;2764.0;4793.0;19461.0;63.0;347.0;3276.0;21.14;4.74;-330.0;3.13;204.0;2.41;1.02;1.02;490.0;;2304.0;264.0;2567.0;4372.0;555.0;285.0;13031.0;308.0;2032.0;2340.0;836.0;761.0;1718.0;18685.0;;1161.0;1609.0;73.0;89.0;4971.0;6303.0;86.0;117.0;1188.0;7694.0;;141.0;;1408.0;8145.0;12.0;187.0;25276.0;1188.0;26464.0;;492.0;3276.0;312.0;;-457.0;101.0;-243.0;73.0;-82.0;185.0;-3164.0;642.0;-396.0;584.0;-188.0;-6115.0;;;-37.0;5105.0;6.0;2304.0;1700.0;;0.0;46353.79;1115.69;1459.77;84.9;7177.95;22126.9;490.0;0.0;0.0;645.1;22699856.0;4.7;3640006.0;546361.0;32.0;2.4;-55653.0;7003821.0;10835735.0;4.1;4.1;5.0;92.4;5.8;0.001
2016.0;19653.0;11998.0;4076.0;1139.0;955.0;602.0;490.0;8259.0;26065.0;8095.0;15199.0;9715.0;4055.0;-2962.0;-802.0;290.0;1318.0;7654.0;61.05;10860.0;143.0;6260.0;3495.0;2765.0;4457.0;18514.0;98.0;287.0;2908.0;20.74;5.79;-184.0;4.86;279.0;3.06;1.23;1.23;490.0;;2465.0;612.0;3078.0;4530.0;386.0;264.0;12165.0;215.0;2354.0;2569.0;806.0;596.0;1669.0;17806.0;;1051.0;1547.0;75.0;30.0;5467.0;5356.0;73.0;117.0;1559.0;7105.0;;;;1330.0;8198.0;-1.0;189.0;24915.0;1150.0;26065.0;;602.0;2908.0;279.0;;-0.0;214.0;143.0;-98.0;-69.0;266.0;-2737.0;-46.0;-545.0;280.0;-301.0;-1568.0;;;-156.0;923.0;-1.0;2465.0;2176.0;;0.0;47206.21;1446.27;3165.97;375.88;6574.54;23336.53;490.0;0.0;0.0;2663.9;23120878.0;5.8;3421500.0;708362.0;29.2;3.1;192883.0;6300790.0;11429874.0;4.9;4.7;6.2;74.0;11.9;0.001
