;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
1993.0;4915.0;;4361.0;;223.0;227.0;1270.0;;;;;;1191.0;-7366.0;4468.0;-108.0;1031.0;;;;;1749.0;1749.0;;;;7254.0;3927.0;210.0;88.72;;;4.55;-4.0;4.62;0.09;0.09;1270.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;227.0;210.0;-535.0;;-202.0;;;;;1491.0;-161.0;;-8063.0;1313.0;-616.0;;;;-392.0;4860.0;1599.0;1040.0;1148.0;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;5442.0;;6080.0;;1347.0;863.0;1254.0;;;;;;1317.0;-6768.0;5313.0;5313.0;1130.0;;;;;1977.0;1977.0;;;;7934.0;4484.0;248.0;111.71;;;24.76;484.0;15.87;0.59;0.59;1254.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;863.0;248.0;135.0;;-306.0;;;;;377.0;-187.0;;-2262.0;;-4507.0;;;;-393.0;5707.0;;;1015.0;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;5398.0;;7755.0;;1500.0;939.0;1242.0;;;;;;989.0;-5912.0;4867.0;4867.0;800.0;;;;;1906.0;1906.0;;;;9458.0;5987.0;268.0;143.67;;;27.8;562.0;17.39;0.66;0.66;1242.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;939.0;268.0;291.0;;420.0;;;;;-928.0;-190.0;;-2345.0;;-3567.0;-100.0;;;-398.0;5365.0;;;879.0;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;5912.0;;8368.0;;1726.0;1069.0;1254.0;;;;;;-1719.0;-20877.0;22361.0;22361.0;-1898.0;;;;;2131.0;2131.0;;;;10053.0;6399.0;243.0;141.55;;;29.2;658.0;18.08;0.77;0.77;1254.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1069.0;243.0;160.0;;-267.0;;;;;-2923.0;-179.0;;-4682.0;;-16195.0;;;;-420.0;22781.0;;;827.0;;0.75;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;6588.0;;8135.0;;1966.0;1192.0;1256.0;;;;;;299.0;-3111.0;3151.0;3151.0;91.0;;;;;2389.0;2389.0;;;;9448.0;5898.0;271.0;123.48;;;29.84;774.0;18.1;0.89;0.88;1235.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1192.0;271.0;163.0;;-275.0;;;;;-1052.0;-208.0;;-7450.0;;4339.0;;;;-426.0;3577.0;;;563.0;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;6519.0;;8468.0;;1945.0;1183.0;1262.0;;;;;;-4224.0;15.0;4948.0;4948.0;-4560.0;;;;;2331.0;2331.0;;;;9585.0;6300.0;222.0;129.89;;;29.84;762.0;18.15;0.88;0.86;1233.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1183.0;222.0;117.0;;157.0;;;;;-5904.0;-336.0;;-9785.0;12832.0;-3032.0;-47.0;;;-446.0;5441.0;;;824.0;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;7214.0;;8325.0;;1836.0;1173.0;1262.0;;;;;;3328.0;-6845.0;3551.0;35.0;3154.0;;;;;2786.0;2786.0;;;;9657.0;6177.0;312.0;115.39;;;25.44;662.0;16.26;0.86;0.85;1247.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1173.0;312.0;-18.0;;-4196.0;;;;-4527.0;6057.0;-173.0;;-18753.0;10883.0;1026.0;-84.0;;;-500.0;4135.0;;1673.0;1638.0;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;7853.0;;9791.0;;2377.0;1450.0;1220.0;;;;;;-9951.0;-3223.0;12180.0;-993.0;-10143.0;;;;;3083.0;3083.0;;;;10579.0;7112.0;302.0;124.68;;;30.27;927.0;18.47;1.12;1.12;1213.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1450.0;302.0;-135.0;;-12089.0;;;;-11804.0;521.0;-192.0;-212.0;-15599.0;20483.0;-7895.0;-13.0;;;-519.0;12712.0;;622.0;1615.0;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;9272.0;;9575.0;;2360.0;1517.0;1294.0;;;;;;-4534.0;-14301.0;19366.0;531.0;-4767.0;;;;;3602.0;3602.0;;;;10893.0;6791.0;424.0;103.28;;;25.46;843.0;16.37;1.13;1.12;1283.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1517.0;424.0;-104.0;;-6817.0;;;;-6528.0;447.0;-233.0;-1964.0;-28355.0;16711.0;-693.0;-365.0;;;-611.0;20342.0;;1128.0;596.0;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;10087.0;;7777.0;;2648.0;1772.0;1358.0;177003.0;241893.0;;228897.0;12053.0;-1940.0;-3763.0;6179.0;477.0;-2209.0;;;;;4052.0;4052.0;;;;9415.0;4822.0;308.0;77.1;;;26.25;876.0;17.57;1.33;1.32;1345.0;;13684.0;;13684.0;;;163320.0;1061.0;;;3637.0;60192.0;;;64890.0;306783.0;;;;;;4244.0;;;;4244.0;233141.0;;992.0;;6533.0;;;240950.0;943.0;241893.0;;1772.0;308.0;63.0;;-4221.0;;;;-4490.0;138.0;-269.0;-64.0;-21236.0;20626.0;-3090.0;-322.0;;;-709.0;7210.0;;1626.0;1149.0;;0.64;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;13201.0;;9357.0;;3384.0;2278.0;1339.0;211308.0;305459.0;;289722.0;13927.0;-5739.0;-4118.0;10124.0;267.0;-6057.0;;;;;4887.0;4887.0;;;;10651.0;5617.0;356.0;70.88;;;25.64;1106.0;17.25;1.7;1.68;1324.0;;13304.0;;13304.0;;;198004.0;1265.0;;;3916.0;88969.0;;;94150.0;399609.0;;;;;;4732.0;;;;4732.0;294454.0;;631.0;5319.0;7913.0;;64.0;303649.0;1810.0;305459.0;;2278.0;356.0;209.0;;-6557.0;;;;-7066.0;-2025.0;-318.0;-213.0;-38052.0;33930.0;217.0;-76.0;;;-896.0;11095.0;;2188.0;1921.0;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;
