;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (KRW/USD)
1998.0;;;;;;;362.0;;;;;;;;;;;;79.89;;;;;;;;;;;34.88;13.5;;8.1;;4.35;;;362.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;402.0;;;;;;;;;;;;81.25;;;;;;;;;;;24.6;6.92;;8.63;;6.35;;;402.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;477.0;;;;;;;;;;;;83.86;;;;;;;;;;;40.54;20.15;;18.05;;13.1;;;477.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;474.0;;;;;;;;;;;;70.13;;;;;;;;;;;44.86;27.77;;23.85;;13.69;;;474.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;461.0;;;;;;;;;;;;74.69;;;;;;;;;;;40.0;30.0;;23.45;;15.95;;;461.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;411.0;;;;;;;;;;;;80.08;;;;;;;;;;;46.66;30.23;;26.82;;19.15;;;411.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;403.0;;;;;;;;;;;;68.23;;;;;;;;;;;37.08;23.08;;20.08;;14.11;;;403.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;410.0;;;;;;;;;;;;78.94;;;;;;;;;;;42.41;24.91;;23.89;;17.47;;;403.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;407.0;;;;;;;;;;;;80.05;;;;;;;;;;;36.38;23.77;;18.33;;13.16;;;401.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26225.32;3451.75;4832.93;1576.22;3738.58;22146.61;401.0;0.0;0.0;3983.4;10518975.0;23.8;1668694.0;1384497.0;28.3;13.2;1388365.0;2184504.0;8883003.0;12.6;14.1;15.6;54.3;42.9;
2007.0;;;;;;;403.0;;;;;;;;;;;;97.41;;;;;;;;;;;36.49;15.06;;16.52;;13.72;;;398.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30241.53;4149.1;4132.61;1462.76;5057.6;28772.22;398.0;0.0;0.0;3257.1;12024964.0;15.1;2051206.0;1649809.0;34.6;13.7;1797214.0;2674306.0;11440720.0;9.7;12.4;14.4;64.7;35.4;
2008.0;;;;;;;402.0;;;;;;;;;;;;98.34;;;;;;;;;;;33.09;12.5;;8.98;;8.67;;;398.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35209.78;3052.94;2286.89;1713.92;5992.45;26740.68;398.0;0.0;0.0;4991.0;14020984.0;12.5;2759276.0;1215719.0;23.7;8.7;793626.0;5374720.0;10648481.0;8.6;8.8;11.4;43.9;77.3;
2009.0;;;;;;;406.0;;;;;;;;;;;;97.39;;;;;;;;;;;32.81;12.91;;9.62;;8.57;;;398.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36543.58;3131.23;1632.18;1711.12;5732.32;28005.62;398.0;0.0;0.0;6432.8;14555465.0;12.9;2732793.0;1247182.0;25.4;8.6;1475695.0;5366910.0;11154759.0;8.9;9.3;11.2;45.4;109.3;
2010.0;;;;;;;405.0;;;;;;;;;;;;95.89;;;;;;;;;;;32.72;12.58;;10.84;;8.94;;;394.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39210.91;3504.67;4444.8;1727.53;5769.92;28770.74;394.0;0.0;0.0;6113.0;15435373.0;12.6;2868768.0;1379613.0;24.2;8.9;1057688.0;3862091.0;11325600.0;10.6;10.1;12.2;50.7;50.9;
2011.0;14389.0;13526.0;4535.0;1918.0;1965.0;1452.0;381.0;5506.0;21929.0;6006.0;10470.0;10496.0;5676.0;-3815.0;-971.0;892.0;2395.0;863.0;94.0;11586.0;244.0;9208.0;3789.0;5419.0;2134.0;12449.0;398.0;309.0;2234.0;31.51;13.33;46.0;13.65;539.0;10.09;4.0;4.0;381.0;;1486.0;967.0;2453.0;2549.0;198.0;306.0;8128.0;1575.0;2696.0;4271.0;2881.0;205.0;939.0;16424.0;;1533.0;2127.0;264.0;262.0;2084.0;3998.0;191.0;;275.0;4464.0;;38.0;;40.0;10478.0;288.0;-311.0;20966.0;964.0;21929.0;;1452.0;2234.0;;;1962.0;;;;;28.0;-3281.0;;-669.0;344.0;-748.0;-1421.0;;-187.0;-601.0;1238.0;3.0;1486.0;593.0;;0.0;41925.16;4229.39;6978.1;1752.43;9558.81;30580.29;381.0;0.0;0.0;6398.1;15988278.0;13.3;2482703.0;1612889.0;27.4;10.1;-556111.0;4442297.0;11661881.0;11.2;11.0;13.8;58.6;32.9;0.001
2012.0;14670.0;12130.0;4026.0;1590.0;1396.0;1037.0;390.0;4765.0;23036.0;5557.0;11467.0;10669.0;3600.0;-4779.0;527.0;-658.0;413.0;2541.0;82.68;10489.0;274.0;7756.0;1974.0;5783.0;2459.0;13030.0;90.0;371.0;2352.0;27.44;10.84;-194.0;9.51;266.0;7.07;2.72;2.65;381.0;;828.0;517.0;1345.0;2360.0;218.0;842.0;8741.0;1570.0;2421.0;3991.0;5028.0;112.0;399.0;18271.0;;228.0;1344.0;700.0;330.0;3655.0;4833.0;145.0;;931.0;5909.0;;20.0;;40.0;10912.0;-23.0;-260.0;22136.0;900.0;23036.0;;1037.0;2352.0;249.0;;225.0;-165.0;-98.0;67.0;-450.0;-263.0;-3187.0;;-84.0;937.0;-2577.0;-2692.0;;;-590.0;3808.0;-5.0;828.0;1486.0;;0.0;42744.01;3020.06;1203.79;1717.93;9284.35;31086.24;381.0;0.0;0.0;7453.0;16300479.0;10.8;2613018.0;1151705.0;19.1;7.1;-880474.0;5370493.0;11854777.0;8.2;7.6;9.7;43.1;142.7;0.001
2013.0;14942.0;12428.0;4681.0;1421.0;1644.0;1475.0;384.0;4611.0;23919.0;5462.0;11169.0;12107.0;3203.0;-2256.0;-516.0;431.0;393.0;2514.0;83.18;10614.0;317.0;7604.0;2301.0;5303.0;2693.0;13128.0;59.0;299.0;2547.0;31.33;9.51;224.0;11.01;361.0;9.87;3.82;3.82;384.0;;1259.0;376.0;1635.0;2682.0;159.0;135.0;9177.0;1560.0;2476.0;4036.0;5672.0;24.0;400.0;19308.0;;193.0;1189.0;757.0;490.0;3589.0;4513.0;46.0;152.0;996.0;5707.0;;21.0;;40.0;11792.0;-11.0;286.0;23276.0;643.0;23919.0;;1475.0;2547.0;416.0;;-834.0;-241.0;-36.0;-4.0;-469.0;-401.0;-2810.0;;-67.0;427.0;-24.0;-1585.0;;;-590.0;1660.0;-0.0;1259.0;828.0;;0.0;43192.17;4263.96;1135.04;1706.52;8123.0;34997.91;384.0;0.0;0.0;5003.0;16602054.0;9.5;2829784.0;1638964.0;21.9;9.9;-945805.0;5014254.0;13452372.0;9.4;9.2;12.2;60.0;150.3;0.001
2014.0;15447.0;12679.0;4924.0;1447.0;2028.0;1621.0;388.0;4575.0;25147.0;4878.0;11424.0;13056.0;3310.0;-3315.0;-503.0;-508.0;485.0;2769.0;82.08;11028.0;352.0;7935.0;2437.0;5498.0;2741.0;13797.0;54.0;292.0;2603.0;31.88;9.37;581.0;13.13;409.0;10.49;4.14;4.14;388.0;;751.0;534.0;1285.0;2841.0;241.0;208.0;9511.0;1726.0;2236.0;3961.0;6529.0;23.0;548.0;20572.0;;248.0;865.0;1037.0;411.0;3355.0;5219.0;18.0;400.0;909.0;6545.0;;3.0;;40.0;12770.0;-4.0;250.0;24480.0;667.0;25147.0;;1621.0;2603.0;409.0;;-595.0;-152.0;-0.0;-34.0;-115.0;-728.0;-2825.0;;-196.0;66.0;-477.0;-1161.0;;;-600.0;1258.0;1.0;751.0;1259.0;;0.0;44220.06;4640.48;1387.86;1717.92;8086.39;37374.53;388.0;0.0;0.0;4046.0;17163798.0;9.4;2891870.0;1801178.0;20.2;10.5;-337162.0;5798904.0;14506739.0;9.5;9.5;12.4;63.0;123.8;0.001
2015.0;15423.0;12450.0;4796.0;1346.0;1832.0;1367.0;392.0;4644.0;25723.0;4731.0;11887.0;13726.0;3400.0;-2592.0;-868.0;-59.0;1054.0;2973.0;80.72;10887.0;284.0;7700.0;2649.0;5051.0;2903.0;13860.0;41.0;268.0;2694.0;31.1;8.73;486.0;11.88;468.0;8.86;3.45;3.45;392.0;;692.0;705.0;1397.0;2765.0;246.0;236.0;9334.0;1718.0;2074.0;3792.0;7303.0;16.0;635.0;21079.0;;252.0;867.0;1122.0;325.0;3287.0;5905.0;3.0;484.0;764.0;7156.0;;0.0;;40.0;13507.0;8.0;171.0;25613.0;111.0;25723.0;;1367.0;2694.0;468.0;;-564.0;7.0;-7.0;11.0;-127.0;-564.0;-2346.0;;-637.0;236.0;40.0;-849.0;;-441.0;-602.0;1024.0;1.0;692.0;751.0;;0.0;43770.46;3878.8;2991.98;1707.46;6658.07;38954.14;392.0;0.0;0.0;4098.6;17136734.0;8.7;2993486.0;1518604.0;25.5;8.9;-96251.0;6560700.0;15251079.0;7.5;8.2;10.0;56.0;98.9;0.001
2016.0;14528.0;11819.0;4650.0;1108.0;1782.0;1425.0;386.0;5097.0;26603.0;5477.0;12904.0;13576.0;3607.0;-2093.0;-888.0;626.0;950.0;2709.0;81.35;10473.0;293.0;7381.0;2438.0;4943.0;2799.0;13182.0;46.0;247.0;2608.0;32.01;7.63;674.0;12.26;371.0;9.81;3.65;3.65;386.0;;1279.0;490.0;1769.0;2908.0;221.0;199.0;8818.0;1643.0;3210.0;4852.0;6999.0;64.0;773.0;21506.0;;342.0;757.0;1223.0;309.0;4069.0;5507.0;2.0;408.0;1510.0;7427.0;;;;38.0;13560.0;-192.0;170.0;26480.0;123.0;26603.0;;1425.0;2608.0;371.0;;59.0;75.0;1.0;64.0;12.0;-856.0;-2657.0;;-32.0;661.0;-605.0;-1006.0;;;-600.0;718.0;0.0;1279.0;654.0;;0.0;44238.64;4337.9;2891.97;1827.57;8090.6;41338.68;386.0;0.0;0.0;5329.7;17091816.0;7.6;3068558.0;1675967.0;20.8;9.8;-447471.0;6478646.0;15971399.0;7.7;7.7;10.5;57.9;63.2;0.001
