;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CLP/USD)
2000.0;;;;;;;282.0;;;;;;;;;;;;;;;;;;;;;;;151.64;;;28.97;;28.45;;;282.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;282.0;;;;;;;;;;;;;;;;;;;;;;;130.96;;;30.56;;31.51;;;282.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;438.0;;;;;;;;;;;;;;;;;;;;;;;80.47;;;10.43;;10.72;;;438.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;438.0;;;;;;;;;;;;;;;;;;;;;;;74.94;;;29.56;;26.76;;;438.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;430.0;;;;;;;;;;;;;;;;;;;;;;;73.27;;;31.2;;27.85;;;430.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;431.0;;;;;;;;;;;;;;;;;;;;;;;91.78;;;35.04;;31.33;;;431.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;432.0;;;;;;;;;;;;;;;;;;;;;;;95.92;;;34.41;;30.63;;;432.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1470.96;450.6;1005.37;345.55;50.83;1926.17;432.0;0.0;0.0;2753.4;635060.0;;19695.0;194536.0;11.0;30.6;-821.0;2136299.0;831588.0;4.1;4.6;23.4;23.3;34.4;
2007.0;;;;;;;442.0;;;;;;;;;;;;;;;;;;;;;;;123.38;;;35.94;;32.35;;;439.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1714.47;554.61;832.38;369.48;53.65;2406.68;439.0;0.0;0.0;2458.3;752296.0;;23336.0;243357.0;10.0;32.3;13228245.0;1697936.0;1056032.0;5.5;6.2;23.0;33.4;44.4;
2008.0;1632.0;;1969.0;;496.0;436.0;496.0;25801.0;29006.0;2398.0;26929.0;2076.0;410.0;-2805.0;2680.0;140.0;384.0;;;;;774.0;774.0;;;;2662.0;1416.0;57.0;120.71;;;30.42;60.0;26.72;0.99;0.99;496.0;;1953.0;121.0;2074.0;46.0;;23681.0;329.0;;56.0;56.0;2820.0;;;3204.0;32210.0;;2398.0;14.0;;;3041.0;4.0;41.0;;3085.0;27617.0;;;1770.0;333.0;-27.0;;29005.0;0.0;29006.0;;436.0;57.0;;;-314.0;;;;-314.0;231.0;-26.0;-10.0;;;-2769.0;-2074.0;;;-423.0;5177.0;-144.0;2218.0;2078.0;;0.0;2054.57;548.91;483.03;532.87;32.86;2614.8;496.0;0.0;0.0;3932.6;1019691.0;;35573.0;272425.0;12.2;26.7;14627103.0;1900588.0;1297735.0;6.3;6.6;21.0;2.9;110.3;0.002
2009.0;2049.0;;1141.0;;604.0;523.0;491.0;31119.0;35003.0;2736.0;31801.0;3202.0;1407.0;-830.0;-816.0;-239.0;1377.0;;;;;848.0;848.0;;;;1801.0;464.0;73.0;55.69;;;29.49;81.0;25.55;535.93;535.93;491.0;;2507.0;0.0;2507.0;;;28612.0;412.0;;0.0;176.0;3295.0;;;3883.0;38886.0;;2736.0;;;;3176.0;;0.0;;3176.0;32241.0;;;2318.0;867.0;18.0;;35003.0;0.0;35003.0;;523.0;73.0;;;402.0;;;;2002.0;409.0;-31.0;0.0;;;-799.0;-2455.0;;;-440.0;2079.0;;2176.0;2415.0;;0.0;2087.68;533.32;1402.44;448.59;31.23;3262.08;491.0;0.0;0.0;3472.1;1024605.0;;36447.0;261744.0;13.4;25.5;14191506.0;1587998.0;1600982.0;2.9;3.1;16.3;15.9;32.0;0.002
